bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Jcabi_aether,6a94ad50421272603916963d8011bf2b7e8994f7,0703777f16d69d9548b439f0d88a87aa6cc734c5,21,https://github.com/jcabi/jcabi-aether/issues/21,https://github.com/jcabi/jcabi-aether/tree/6a94ad50421272603916963d8011bf2b7e8994f7,https://github.com/jcabi/jcabi-aether/tree/0703777f16d69d9548b439f0d88a87aa6cc734c5,https://github.com/jcabi/jcabi-aether/compare/6a94ad50421272603916963d8011bf2b7e8994f7...0703777f16d69d9548b439f0d88a87aa6cc734c5
2,Jcabi_aether,ba2c65a6471d3b4df29d1caa5994635c35beb036,03a86875445f5b1359e2126634c1a440ed328887,23,https://github.com/jcabi/jcabi-aether/issues/23,https://github.com/jcabi/jcabi-aether/tree/ba2c65a6471d3b4df29d1caa5994635c35beb036,https://github.com/jcabi/jcabi-aether/tree/03a86875445f5b1359e2126634c1a440ed328887,https://github.com/jcabi/jcabi-aether/compare/ba2c65a6471d3b4df29d1caa5994635c35beb036...03a86875445f5b1359e2126634c1a440ed328887
3,Jcabi_aether,1dc66be56f85564561d858994fc7dff92dd1cc02,616b2c52b5e9d4ebc0d1cad1eb1b39de67fdcf23,27,https://github.com/jcabi/jcabi-aether/issues/27,https://github.com/jcabi/jcabi-aether/tree/1dc66be56f85564561d858994fc7dff92dd1cc02,https://github.com/jcabi/jcabi-aether/tree/616b2c52b5e9d4ebc0d1cad1eb1b39de67fdcf23,https://github.com/jcabi/jcabi-aether/compare/1dc66be56f85564561d858994fc7dff92dd1cc02...616b2c52b5e9d4ebc0d1cad1eb1b39de67fdcf23
4,Jcabi_aether,616b2c52b5e9d4ebc0d1cad1eb1b39de67fdcf23,ebbda6e6fb7e0b4508a2452e628b04694dde2b81,27,https://github.com/jcabi/jcabi-aether/issues/27,https://github.com/jcabi/jcabi-aether/tree/616b2c52b5e9d4ebc0d1cad1eb1b39de67fdcf23,https://github.com/jcabi/jcabi-aether/tree/ebbda6e6fb7e0b4508a2452e628b04694dde2b81,https://github.com/jcabi/jcabi-aether/compare/616b2c52b5e9d4ebc0d1cad1eb1b39de67fdcf23...ebbda6e6fb7e0b4508a2452e628b04694dde2b81
5,Jcabi_aether,ebbda6e6fb7e0b4508a2452e628b04694dde2b81,dd67d2690334935378c39966c52da0c5e75e5614,27,https://github.com/jcabi/jcabi-aether/issues/27,https://github.com/jcabi/jcabi-aether/tree/ebbda6e6fb7e0b4508a2452e628b04694dde2b81,https://github.com/jcabi/jcabi-aether/tree/dd67d2690334935378c39966c52da0c5e75e5614,https://github.com/jcabi/jcabi-aether/compare/ebbda6e6fb7e0b4508a2452e628b04694dde2b81...dd67d2690334935378c39966c52da0c5e75e5614
6,Jcabi_aether,dd67d2690334935378c39966c52da0c5e75e5614,425260bebce8bfd255ee09868d0f84caf3b35170,27,https://github.com/jcabi/jcabi-aether/issues/27,https://github.com/jcabi/jcabi-aether/tree/dd67d2690334935378c39966c52da0c5e75e5614,https://github.com/jcabi/jcabi-aether/tree/425260bebce8bfd255ee09868d0f84caf3b35170,https://github.com/jcabi/jcabi-aether/compare/dd67d2690334935378c39966c52da0c5e75e5614...425260bebce8bfd255ee09868d0f84caf3b35170
7,Jcabi_aether,d28d15be9ea4d6e9f682f459993a0d3cd12a597e,2c86e8dc6cc8ca818fcb02b9958fda63debeadac,49,https://github.com/jcabi/jcabi-aether/issues/49,https://github.com/jcabi/jcabi-aether/tree/d28d15be9ea4d6e9f682f459993a0d3cd12a597e,https://github.com/jcabi/jcabi-aether/tree/2c86e8dc6cc8ca818fcb02b9958fda63debeadac,https://github.com/jcabi/jcabi-aether/compare/d28d15be9ea4d6e9f682f459993a0d3cd12a597e...2c86e8dc6cc8ca818fcb02b9958fda63debeadac
8,Jcabi_aether,2c86e8dc6cc8ca818fcb02b9958fda63debeadac,f1fc4df64f2cf51e57d9c9612aac4580436503ce,51,https://github.com/jcabi/jcabi-aether/issues/51,https://github.com/jcabi/jcabi-aether/tree/2c86e8dc6cc8ca818fcb02b9958fda63debeadac,https://github.com/jcabi/jcabi-aether/tree/f1fc4df64f2cf51e57d9c9612aac4580436503ce,https://github.com/jcabi/jcabi-aether/compare/2c86e8dc6cc8ca818fcb02b9958fda63debeadac...f1fc4df64f2cf51e57d9c9612aac4580436503ce
9,Jcabi_aether,f1fc4df64f2cf51e57d9c9612aac4580436503ce,089ca1d128b877138be34e03304b113dac6b5b9f,51,https://github.com/jcabi/jcabi-aether/issues/51,https://github.com/jcabi/jcabi-aether/tree/f1fc4df64f2cf51e57d9c9612aac4580436503ce,https://github.com/jcabi/jcabi-aether/tree/089ca1d128b877138be34e03304b113dac6b5b9f,https://github.com/jcabi/jcabi-aether/compare/f1fc4df64f2cf51e57d9c9612aac4580436503ce...089ca1d128b877138be34e03304b113dac6b5b9f
10,Jcabi_aether,089ca1d128b877138be34e03304b113dac6b5b9f,2fa937c24244c19718333c29eb2593e5c7d5054f,51,https://github.com/jcabi/jcabi-aether/issues/51,https://github.com/jcabi/jcabi-aether/tree/089ca1d128b877138be34e03304b113dac6b5b9f,https://github.com/jcabi/jcabi-aether/tree/2fa937c24244c19718333c29eb2593e5c7d5054f,https://github.com/jcabi/jcabi-aether/compare/089ca1d128b877138be34e03304b113dac6b5b9f...2fa937c24244c19718333c29eb2593e5c7d5054f
11,Jcabi_aether,2fa937c24244c19718333c29eb2593e5c7d5054f,9751fd247f1f8058dc0b587705c39857b1970bb6,51,https://github.com/jcabi/jcabi-aether/issues/51,https://github.com/jcabi/jcabi-aether/tree/2fa937c24244c19718333c29eb2593e5c7d5054f,https://github.com/jcabi/jcabi-aether/tree/9751fd247f1f8058dc0b587705c39857b1970bb6,https://github.com/jcabi/jcabi-aether/compare/2fa937c24244c19718333c29eb2593e5c7d5054f...9751fd247f1f8058dc0b587705c39857b1970bb6
12,Jcabi_aether,9751fd247f1f8058dc0b587705c39857b1970bb6,0392aa8c0441823f201c0b9efeceda92898dced1,51,https://github.com/jcabi/jcabi-aether/issues/51,https://github.com/jcabi/jcabi-aether/tree/9751fd247f1f8058dc0b587705c39857b1970bb6,https://github.com/jcabi/jcabi-aether/tree/0392aa8c0441823f201c0b9efeceda92898dced1,https://github.com/jcabi/jcabi-aether/compare/9751fd247f1f8058dc0b587705c39857b1970bb6...0392aa8c0441823f201c0b9efeceda92898dced1
13,Jcabi_aether,ffc46b85c3122c0be7f887503a1ffb70d0cfc96c,da4aedda3f6cd77ec7a5653c00d2a5c59a3bf346,51,https://github.com/jcabi/jcabi-aether/issues/51,https://github.com/jcabi/jcabi-aether/tree/ffc46b85c3122c0be7f887503a1ffb70d0cfc96c,https://github.com/jcabi/jcabi-aether/tree/da4aedda3f6cd77ec7a5653c00d2a5c59a3bf346,https://github.com/jcabi/jcabi-aether/compare/ffc46b85c3122c0be7f887503a1ffb70d0cfc96c...da4aedda3f6cd77ec7a5653c00d2a5c59a3bf346
14,Jcabi_aether,da4aedda3f6cd77ec7a5653c00d2a5c59a3bf346,445f0bdb1ccb8e6cda9fc819c1fe3973b8f6c535,51,https://github.com/jcabi/jcabi-aether/issues/51,https://github.com/jcabi/jcabi-aether/tree/da4aedda3f6cd77ec7a5653c00d2a5c59a3bf346,https://github.com/jcabi/jcabi-aether/tree/445f0bdb1ccb8e6cda9fc819c1fe3973b8f6c535,https://github.com/jcabi/jcabi-aether/compare/da4aedda3f6cd77ec7a5653c00d2a5c59a3bf346...445f0bdb1ccb8e6cda9fc819c1fe3973b8f6c535
15,Jcabi_aether,445f0bdb1ccb8e6cda9fc819c1fe3973b8f6c535,df789cb454a5ddda40b6f7778b6e4ed7e54f9778,51,https://github.com/jcabi/jcabi-aether/issues/51,https://github.com/jcabi/jcabi-aether/tree/445f0bdb1ccb8e6cda9fc819c1fe3973b8f6c535,https://github.com/jcabi/jcabi-aether/tree/df789cb454a5ddda40b6f7778b6e4ed7e54f9778,https://github.com/jcabi/jcabi-aether/compare/445f0bdb1ccb8e6cda9fc819c1fe3973b8f6c535...df789cb454a5ddda40b6f7778b6e4ed7e54f9778
