bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Jena_core,d4ad24950b3229c55ec7bc24cb2e608edd269cb7,8fae77b1dbc9231fc69a33e2aa697b5a3a382aaa,JENA-247,https://issues.apache.org/jira/browse/JENA-247,https://github.com/apache/jena/tree/d4ad24950b3229c55ec7bc24cb2e608edd269cb7,https://github.com/apache/jena/tree/8fae77b1dbc9231fc69a33e2aa697b5a3a382aaa,https://github.com/apache/jena/compare/d4ad24950b3229c55ec7bc24cb2e608edd269cb7...8fae77b1dbc9231fc69a33e2aa697b5a3a382aaa
2,Jena_core,4898e78cc5584473bf4263dc57d58585f27a7485,6531319a20d5f125a2f88071618947684654e89e,JENA-247,https://issues.apache.org/jira/browse/JENA-247,https://github.com/apache/jena/tree/4898e78cc5584473bf4263dc57d58585f27a7485,https://github.com/apache/jena/tree/6531319a20d5f125a2f88071618947684654e89e,https://github.com/apache/jena/compare/4898e78cc5584473bf4263dc57d58585f27a7485...6531319a20d5f125a2f88071618947684654e89e
3,Jena_core,71b2559534e93392fd8ab05ee8460e850af0a5d9,4b2e54fedb8b9b6818c47b0083d40ce635546019,JENA-254,https://issues.apache.org/jira/browse/JENA-254,https://github.com/apache/jena/tree/71b2559534e93392fd8ab05ee8460e850af0a5d9,https://github.com/apache/jena/tree/4b2e54fedb8b9b6818c47b0083d40ce635546019,https://github.com/apache/jena/compare/71b2559534e93392fd8ab05ee8460e850af0a5d9...4b2e54fedb8b9b6818c47b0083d40ce635546019
4,Jena_core,4e485c83ce799912e355eb8341956429fdffbca6,5fdb7efe96065f1dfa9551393b901d742ccf4ac6,JENA-323,https://issues.apache.org/jira/browse/JENA-323,https://github.com/apache/jena/tree/4e485c83ce799912e355eb8341956429fdffbca6,https://github.com/apache/jena/tree/5fdb7efe96065f1dfa9551393b901d742ccf4ac6,https://github.com/apache/jena/compare/4e485c83ce799912e355eb8341956429fdffbca6...5fdb7efe96065f1dfa9551393b901d742ccf4ac6
5,Jena_core,b99061cdd7081c42df5f987beea4188f4e964d10,d2f58c37e9545ad5afd128d600928b56d9567704,JENA-326,https://issues.apache.org/jira/browse/JENA-326,https://github.com/apache/jena/tree/b99061cdd7081c42df5f987beea4188f4e964d10,https://github.com/apache/jena/tree/d2f58c37e9545ad5afd128d600928b56d9567704,https://github.com/apache/jena/compare/b99061cdd7081c42df5f987beea4188f4e964d10...d2f58c37e9545ad5afd128d600928b56d9567704
6,Jena_core,3a818b09574b7b5c32cdb46d237c0cd600b3f943,54668b8830e3bec4d2a7cffcaf623d2ae98751fe,JENA-333,https://issues.apache.org/jira/browse/JENA-333,https://github.com/apache/jena/tree/3a818b09574b7b5c32cdb46d237c0cd600b3f943,https://github.com/apache/jena/tree/54668b8830e3bec4d2a7cffcaf623d2ae98751fe,https://github.com/apache/jena/compare/3a818b09574b7b5c32cdb46d237c0cd600b3f943...54668b8830e3bec4d2a7cffcaf623d2ae98751fe
7,Jena_core,7fef3fe6169dc57b64b92fdaff30656879973954,c386bd9ef9e6a0af1aad9bfeabb89efd7af729d2,JENA-333,https://issues.apache.org/jira/browse/JENA-333,https://github.com/apache/jena/tree/7fef3fe6169dc57b64b92fdaff30656879973954,https://github.com/apache/jena/tree/c386bd9ef9e6a0af1aad9bfeabb89efd7af729d2,https://github.com/apache/jena/compare/7fef3fe6169dc57b64b92fdaff30656879973954...c386bd9ef9e6a0af1aad9bfeabb89efd7af729d2
8,Jena_core,4c80591203d8c1f378fdac9f88626c038c333996,4390746d025c282de0b96c158a56d154c1755656,JENA-335,https://issues.apache.org/jira/browse/JENA-335,https://github.com/apache/jena/tree/4c80591203d8c1f378fdac9f88626c038c333996,https://github.com/apache/jena/tree/4390746d025c282de0b96c158a56d154c1755656,https://github.com/apache/jena/compare/4c80591203d8c1f378fdac9f88626c038c333996...4390746d025c282de0b96c158a56d154c1755656
9,Jena_core,5144f5abc4a5bc6bf867a88273685c5d6e5fe761,126546ff4af18845dd837ba568e977b87e49791a,JENA-335,https://issues.apache.org/jira/browse/JENA-335,https://github.com/apache/jena/tree/5144f5abc4a5bc6bf867a88273685c5d6e5fe761,https://github.com/apache/jena/tree/126546ff4af18845dd837ba568e977b87e49791a,https://github.com/apache/jena/compare/5144f5abc4a5bc6bf867a88273685c5d6e5fe761...126546ff4af18845dd837ba568e977b87e49791a
10,Jena_core,8a21dec36ef746e9c44cb8fd056e749842ddf80e,8bf38dbbb4fc25de7dd2b994113c0eae49b47380,JENA-315,https://issues.apache.org/jira/browse/JENA-315,https://github.com/apache/jena/tree/8a21dec36ef746e9c44cb8fd056e749842ddf80e,https://github.com/apache/jena/tree/8bf38dbbb4fc25de7dd2b994113c0eae49b47380,https://github.com/apache/jena/compare/8a21dec36ef746e9c44cb8fd056e749842ddf80e...8bf38dbbb4fc25de7dd2b994113c0eae49b47380
11,Jena_core,8bf38dbbb4fc25de7dd2b994113c0eae49b47380,35c1c76bbfa1c0d418b8ee9eb53b73504bbadba3,JENA-315,https://issues.apache.org/jira/browse/JENA-315,https://github.com/apache/jena/tree/8bf38dbbb4fc25de7dd2b994113c0eae49b47380,https://github.com/apache/jena/tree/35c1c76bbfa1c0d418b8ee9eb53b73504bbadba3,https://github.com/apache/jena/compare/8bf38dbbb4fc25de7dd2b994113c0eae49b47380...35c1c76bbfa1c0d418b8ee9eb53b73504bbadba3
12,Jena_core,d316107e02773d5277b323aeaa8c48734a553063,d64b8f0879210bb52f92802790960db4ed75ca3e,JENA-335,https://issues.apache.org/jira/browse/JENA-335,https://github.com/apache/jena/tree/d316107e02773d5277b323aeaa8c48734a553063,https://github.com/apache/jena/tree/d64b8f0879210bb52f92802790960db4ed75ca3e,https://github.com/apache/jena/compare/d316107e02773d5277b323aeaa8c48734a553063...d64b8f0879210bb52f92802790960db4ed75ca3e
13,Jena_core,484cbda8443b1993efc2ee647b14ab91f66a6e1e,c9c47b06a7f5cba2db4813369ea1abb0eb2e64f6,JENA-338,https://issues.apache.org/jira/browse/JENA-338,https://github.com/apache/jena/tree/484cbda8443b1993efc2ee647b14ab91f66a6e1e,https://github.com/apache/jena/tree/c9c47b06a7f5cba2db4813369ea1abb0eb2e64f6,https://github.com/apache/jena/compare/484cbda8443b1993efc2ee647b14ab91f66a6e1e...c9c47b06a7f5cba2db4813369ea1abb0eb2e64f6
