bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Jsoup,62b3080ee6cb68b7b70f0d3e690ac22f3f397663,2cce405d1eed3536b222f830220ef32f5a2937d7,1,https://github.com/jhy/jsoup/issues/1,https://github.com/jhy/jsoup/tree/62b3080ee6cb68b7b70f0d3e690ac22f3f397663,https://github.com/jhy/jsoup/tree/2cce405d1eed3536b222f830220ef32f5a2937d7,https://github.com/jhy/jsoup/compare/62b3080ee6cb68b7b70f0d3e690ac22f3f397663...2cce405d1eed3536b222f830220ef32f5a2937d7
2,Jsoup,8fae12eb11d6474061e189e184fa3cd170c735db,d2f4ea69702a20eb74cc0e43491fc156d0c88d6e,2,https://github.com/jhy/jsoup/issues/2,https://github.com/jhy/jsoup/tree/8fae12eb11d6474061e189e184fa3cd170c735db,https://github.com/jhy/jsoup/tree/d2f4ea69702a20eb74cc0e43491fc156d0c88d6e,https://github.com/jhy/jsoup/compare/8fae12eb11d6474061e189e184fa3cd170c735db...d2f4ea69702a20eb74cc0e43491fc156d0c88d6e
3,Jsoup,67915c0fa8bed9943d5d74bc9d0ae1195dad059e,14db439cfb817b8869bcd6f603960040059d9643,7,https://github.com/jhy/jsoup/issues/7,https://github.com/jhy/jsoup/tree/67915c0fa8bed9943d5d74bc9d0ae1195dad059e,https://github.com/jhy/jsoup/tree/14db439cfb817b8869bcd6f603960040059d9643,https://github.com/jhy/jsoup/compare/67915c0fa8bed9943d5d74bc9d0ae1195dad059e...14db439cfb817b8869bcd6f603960040059d9643
4,Jsoup,14db439cfb817b8869bcd6f603960040059d9643,4a0e5a59e690f53f4fbeb16ef80ba5afe66bb744,4,https://github.com/jhy/jsoup/issues/4,https://github.com/jhy/jsoup/tree/14db439cfb817b8869bcd6f603960040059d9643,https://github.com/jhy/jsoup/tree/4a0e5a59e690f53f4fbeb16ef80ba5afe66bb744,https://github.com/jhy/jsoup/compare/14db439cfb817b8869bcd6f603960040059d9643...4a0e5a59e690f53f4fbeb16ef80ba5afe66bb744
5,Jsoup,4a0e5a59e690f53f4fbeb16ef80ba5afe66bb744,0c312ebdb813b1128061ba0d32b10f4a2e098c39,5,https://github.com/jhy/jsoup/issues/5,https://github.com/jhy/jsoup/tree/4a0e5a59e690f53f4fbeb16ef80ba5afe66bb744,https://github.com/jhy/jsoup/tree/0c312ebdb813b1128061ba0d32b10f4a2e098c39,https://github.com/jhy/jsoup/compare/4a0e5a59e690f53f4fbeb16ef80ba5afe66bb744...0c312ebdb813b1128061ba0d32b10f4a2e098c39
6,Jsoup,0a143a91aa4d4c04b35e4006947645e70ad16990,6b60af669bc6102f0328af330532986b8670f3ac,9,https://github.com/jhy/jsoup/issues/9,https://github.com/jhy/jsoup/tree/0a143a91aa4d4c04b35e4006947645e70ad16990,https://github.com/jhy/jsoup/tree/6b60af669bc6102f0328af330532986b8670f3ac,https://github.com/jhy/jsoup/compare/0a143a91aa4d4c04b35e4006947645e70ad16990...6b60af669bc6102f0328af330532986b8670f3ac
7,Jsoup,6b60af669bc6102f0328af330532986b8670f3ac,19f2541e9dad74a7e734225f3d1b598324a6ea49,6,https://github.com/jhy/jsoup/issues/6,https://github.com/jhy/jsoup/tree/6b60af669bc6102f0328af330532986b8670f3ac,https://github.com/jhy/jsoup/tree/19f2541e9dad74a7e734225f3d1b598324a6ea49,https://github.com/jhy/jsoup/compare/6b60af669bc6102f0328af330532986b8670f3ac...19f2541e9dad74a7e734225f3d1b598324a6ea49
8,Jsoup,7199cf1e647fb410a4341c35f7007c5def4305e0,ec69d09deb79468edde57456c0f79c19128e19e1,10,https://github.com/jhy/jsoup/issues/10,https://github.com/jhy/jsoup/tree/7199cf1e647fb410a4341c35f7007c5def4305e0,https://github.com/jhy/jsoup/tree/ec69d09deb79468edde57456c0f79c19128e19e1,https://github.com/jhy/jsoup/compare/7199cf1e647fb410a4341c35f7007c5def4305e0...ec69d09deb79468edde57456c0f79c19128e19e1
9,Jsoup,4d1d2f06fde6d6b7be685db4bc8c653d71c10b9d,2660750b2e6691a2d5414f3f9f878b69a49539bb,12,https://github.com/jhy/jsoup/issues/12,https://github.com/jhy/jsoup/tree/4d1d2f06fde6d6b7be685db4bc8c653d71c10b9d,https://github.com/jhy/jsoup/tree/2660750b2e6691a2d5414f3f9f878b69a49539bb,https://github.com/jhy/jsoup/compare/4d1d2f06fde6d6b7be685db4bc8c653d71c10b9d...2660750b2e6691a2d5414f3f9f878b69a49539bb
10,Jsoup,2660750b2e6691a2d5414f3f9f878b69a49539bb,3eb8a67876703682e4156b378871911870fcaad9,13,https://github.com/jhy/jsoup/issues/13,https://github.com/jhy/jsoup/tree/2660750b2e6691a2d5414f3f9f878b69a49539bb,https://github.com/jhy/jsoup/tree/3eb8a67876703682e4156b378871911870fcaad9,https://github.com/jhy/jsoup/compare/2660750b2e6691a2d5414f3f9f878b69a49539bb...3eb8a67876703682e4156b378871911870fcaad9
