bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,JxPath,932131e698e669cd7e0743a6999eab455f9de6b0,fab38abb27f2f92b9340cfc232eb5517434bf138,JXPATH-12,https://issues.apache.org/jira/browse/JXPATH-12,https://github.com/apache/commons-jxpath/tree/932131e698e669cd7e0743a6999eab455f9de6b0,https://github.com/apache/commons-jxpath/tree/fab38abb27f2f92b9340cfc232eb5517434bf138,https://github.com/apache/commons-jxpath/compare/932131e698e669cd7e0743a6999eab455f9de6b0...fab38abb27f2f92b9340cfc232eb5517434bf138
2,JxPath,d3ba8ea8a502a0fe8bce7d29dc29e1a7159992de,5eb29ba7901ab88e8388095a8696c4ae13a2c163,JXPATH-38,https://issues.apache.org/jira/browse/JXPATH-38,https://github.com/apache/commons-jxpath/tree/d3ba8ea8a502a0fe8bce7d29dc29e1a7159992de,https://github.com/apache/commons-jxpath/tree/5eb29ba7901ab88e8388095a8696c4ae13a2c163,https://github.com/apache/commons-jxpath/compare/d3ba8ea8a502a0fe8bce7d29dc29e1a7159992de...5eb29ba7901ab88e8388095a8696c4ae13a2c163
3,JxPath,5eb29ba7901ab88e8388095a8696c4ae13a2c163,716c03b3b12ec106974898451b149f6eb79c65da,JXPATH-50,https://issues.apache.org/jira/browse/JXPATH-50,https://github.com/apache/commons-jxpath/tree/5eb29ba7901ab88e8388095a8696c4ae13a2c163,https://github.com/apache/commons-jxpath/tree/716c03b3b12ec106974898451b149f6eb79c65da,https://github.com/apache/commons-jxpath/compare/5eb29ba7901ab88e8388095a8696c4ae13a2c163...716c03b3b12ec106974898451b149f6eb79c65da
4,JxPath,fbc0337a6886409f66f10b6571f16ac855cf29fb,0d7e7dc5d0d27a43b01770f8a7f7c860eacdbbd1,JXPATH-20,https://issues.apache.org/jira/browse/JXPATH-20,https://github.com/apache/commons-jxpath/tree/fbc0337a6886409f66f10b6571f16ac855cf29fb,https://github.com/apache/commons-jxpath/tree/0d7e7dc5d0d27a43b01770f8a7f7c860eacdbbd1,https://github.com/apache/commons-jxpath/compare/fbc0337a6886409f66f10b6571f16ac855cf29fb...0d7e7dc5d0d27a43b01770f8a7f7c860eacdbbd1
5,JxPath,0d7e7dc5d0d27a43b01770f8a7f7c860eacdbbd1,ac549ce85746a5e53ef16d2de4e61fe7682e8528,JXPATH-20,https://issues.apache.org/jira/browse/JXPATH-20,https://github.com/apache/commons-jxpath/tree/0d7e7dc5d0d27a43b01770f8a7f7c860eacdbbd1,https://github.com/apache/commons-jxpath/tree/ac549ce85746a5e53ef16d2de4e61fe7682e8528,https://github.com/apache/commons-jxpath/compare/0d7e7dc5d0d27a43b01770f8a7f7c860eacdbbd1...ac549ce85746a5e53ef16d2de4e61fe7682e8528
6,JxPath,8bdc976fbc725bba1cc16b77f12b85bbfa008bc5,34e73b6483b08da2d793eb613520e23c3d6afeb1,JXPATH-73,https://issues.apache.org/jira/browse/JXPATH-73,https://github.com/apache/commons-jxpath/tree/8bdc976fbc725bba1cc16b77f12b85bbfa008bc5,https://github.com/apache/commons-jxpath/tree/34e73b6483b08da2d793eb613520e23c3d6afeb1,https://github.com/apache/commons-jxpath/compare/8bdc976fbc725bba1cc16b77f12b85bbfa008bc5...34e73b6483b08da2d793eb613520e23c3d6afeb1
7,JxPath,34e73b6483b08da2d793eb613520e23c3d6afeb1,984778f3c264df5d608eb9697df2a268122ac66f,JXPATH-68,https://issues.apache.org/jira/browse/JXPATH-68,https://github.com/apache/commons-jxpath/tree/34e73b6483b08da2d793eb613520e23c3d6afeb1,https://github.com/apache/commons-jxpath/tree/984778f3c264df5d608eb9697df2a268122ac66f,https://github.com/apache/commons-jxpath/compare/34e73b6483b08da2d793eb613520e23c3d6afeb1...984778f3c264df5d608eb9697df2a268122ac66f
8,JxPath,7975d634c5646e5378e034d5335d6c35bba241ff,6ce06b5c91cdc603476e9cdb2bf2b97655892d93,JXPATH-10,https://issues.apache.org/jira/browse/JXPATH-10,https://github.com/apache/commons-jxpath/tree/7975d634c5646e5378e034d5335d6c35bba241ff,https://github.com/apache/commons-jxpath/tree/6ce06b5c91cdc603476e9cdb2bf2b97655892d93,https://github.com/apache/commons-jxpath/compare/7975d634c5646e5378e034d5335d6c35bba241ff...6ce06b5c91cdc603476e9cdb2bf2b97655892d93
9,JxPath,d80be208b8eefbf4ab6b2ea7d0f59eeb42479079,2130b277556eeb1ee97fbd4adc1c4e41c8994275,JXPATH-76,https://issues.apache.org/jira/browse/JXPATH-76,https://github.com/apache/commons-jxpath/tree/d80be208b8eefbf4ab6b2ea7d0f59eeb42479079,https://github.com/apache/commons-jxpath/tree/2130b277556eeb1ee97fbd4adc1c4e41c8994275,https://github.com/apache/commons-jxpath/compare/d80be208b8eefbf4ab6b2ea7d0f59eeb42479079...2130b277556eeb1ee97fbd4adc1c4e41c8994275
10,JxPath,2bb50b71c9169033d917213ec753ff5af309965b,9f912437a14392f8d4c98aa811e9134fbf7b5a52,JXPATH-83,https://issues.apache.org/jira/browse/JXPATH-83,https://github.com/apache/commons-jxpath/tree/2bb50b71c9169033d917213ec753ff5af309965b,https://github.com/apache/commons-jxpath/tree/9f912437a14392f8d4c98aa811e9134fbf7b5a52,https://github.com/apache/commons-jxpath/compare/2bb50b71c9169033d917213ec753ff5af309965b...9f912437a14392f8d4c98aa811e9134fbf7b5a52
11,JxPath,faad15dbcae827aa037bd7183ad5727724a21918,2afb75f6bd8896153bc4abe0e3b4640b0a7bcd63,JXPATH-85,https://issues.apache.org/jira/browse/JXPATH-85,https://github.com/apache/commons-jxpath/tree/faad15dbcae827aa037bd7183ad5727724a21918,https://github.com/apache/commons-jxpath/tree/2afb75f6bd8896153bc4abe0e3b4640b0a7bcd63,https://github.com/apache/commons-jxpath/compare/faad15dbcae827aa037bd7183ad5727724a21918...2afb75f6bd8896153bc4abe0e3b4640b0a7bcd63
