bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,K6,9d741cd2486835b8000ff364e84feda29d3b917d,23b256a313cc5ee76aae9579c48bc50226ea2bf9,55,https://github.com/grafana/k6/issues/55,https://github.com/grafana/k6/tree/9d741cd2486835b8000ff364e84feda29d3b917d,https://github.com/grafana/k6/tree/23b256a313cc5ee76aae9579c48bc50226ea2bf9,https://github.com/grafana/k6/compare/9d741cd2486835b8000ff364e84feda29d3b917d...23b256a313cc5ee76aae9579c48bc50226ea2bf9
2,K6,38c5c297155cfe5d95de61b5e05d2ff813636457,10f8d73d214e65dbd14c8e2181657b5b64271e9d,75,https://github.com/grafana/k6/issues/75,https://github.com/grafana/k6/tree/38c5c297155cfe5d95de61b5e05d2ff813636457,https://github.com/grafana/k6/tree/10f8d73d214e65dbd14c8e2181657b5b64271e9d,https://github.com/grafana/k6/compare/38c5c297155cfe5d95de61b5e05d2ff813636457...10f8d73d214e65dbd14c8e2181657b5b64271e9d
3,K6,5f6076d0536d1998ffebb0523082b65a4a4cb66e,b11e6e0d4ed9ffc646ff2f94930982b01234b348,78,https://github.com/grafana/k6/issues/78,https://github.com/grafana/k6/tree/5f6076d0536d1998ffebb0523082b65a4a4cb66e,https://github.com/grafana/k6/tree/b11e6e0d4ed9ffc646ff2f94930982b01234b348,https://github.com/grafana/k6/compare/5f6076d0536d1998ffebb0523082b65a4a4cb66e...b11e6e0d4ed9ffc646ff2f94930982b01234b348
4,K6,c7571ee1b69689eb0e8b0a8a78ca24c318e5e585,9e4713bf64f012ae31d50a2370280d07256e7128,63,https://github.com/grafana/k6/issues/63,https://github.com/grafana/k6/tree/c7571ee1b69689eb0e8b0a8a78ca24c318e5e585,https://github.com/grafana/k6/tree/9e4713bf64f012ae31d50a2370280d07256e7128,https://github.com/grafana/k6/compare/c7571ee1b69689eb0e8b0a8a78ca24c318e5e585...9e4713bf64f012ae31d50a2370280d07256e7128
5,K6,15daa7878c2e94673f0e8d06314603fada83c675,ee1a578838af009c8e5fef50d2d034b27e1bdf56,75,https://github.com/grafana/k6/issues/75,https://github.com/grafana/k6/tree/15daa7878c2e94673f0e8d06314603fada83c675,https://github.com/grafana/k6/tree/ee1a578838af009c8e5fef50d2d034b27e1bdf56,https://github.com/grafana/k6/compare/15daa7878c2e94673f0e8d06314603fada83c675...ee1a578838af009c8e5fef50d2d034b27e1bdf56
6,K6,26da5435d9c32718a56be7731c4a07e21697221c,9641d68ccab4d8b3f7f154db05b82570cd1659d1,83,https://github.com/grafana/k6/issues/83,https://github.com/grafana/k6/tree/26da5435d9c32718a56be7731c4a07e21697221c,https://github.com/grafana/k6/tree/9641d68ccab4d8b3f7f154db05b82570cd1659d1,https://github.com/grafana/k6/compare/26da5435d9c32718a56be7731c4a07e21697221c...9641d68ccab4d8b3f7f154db05b82570cd1659d1
7,K6,9641d68ccab4d8b3f7f154db05b82570cd1659d1,5998f0147810d6afeb438152c3376dca21bdbc84,82,https://github.com/grafana/k6/issues/82,https://github.com/grafana/k6/tree/9641d68ccab4d8b3f7f154db05b82570cd1659d1,https://github.com/grafana/k6/tree/5998f0147810d6afeb438152c3376dca21bdbc84,https://github.com/grafana/k6/compare/9641d68ccab4d8b3f7f154db05b82570cd1659d1...5998f0147810d6afeb438152c3376dca21bdbc84
8,K6,5998f0147810d6afeb438152c3376dca21bdbc84,fdf8f7c23b74aa86b1754ffe80915e0b4b3488cc,40,https://github.com/grafana/k6/issues/40,https://github.com/grafana/k6/tree/5998f0147810d6afeb438152c3376dca21bdbc84,https://github.com/grafana/k6/tree/fdf8f7c23b74aa86b1754ffe80915e0b4b3488cc,https://github.com/grafana/k6/compare/5998f0147810d6afeb438152c3376dca21bdbc84...fdf8f7c23b74aa86b1754ffe80915e0b4b3488cc
9,K6,5fdb09928c2a660b3dd3708a9a56462d3b24fe53,340e14a6b1ef430a539ff06f5069150f194bcfcc,58,https://github.com/grafana/k6/issues/58,https://github.com/grafana/k6/tree/5fdb09928c2a660b3dd3708a9a56462d3b24fe53,https://github.com/grafana/k6/tree/340e14a6b1ef430a539ff06f5069150f194bcfcc,https://github.com/grafana/k6/compare/5fdb09928c2a660b3dd3708a9a56462d3b24fe53...340e14a6b1ef430a539ff06f5069150f194bcfcc
10,K6,c5bc05d47d9bef4857f5c13aa2fd04b97cbf0020,116b3d6144da8e36169bdfb2af931c5b2584095a,31,https://github.com/grafana/k6/issues/31,https://github.com/grafana/k6/tree/c5bc05d47d9bef4857f5c13aa2fd04b97cbf0020,https://github.com/grafana/k6/tree/116b3d6144da8e36169bdfb2af931c5b2584095a,https://github.com/grafana/k6/compare/c5bc05d47d9bef4857f5c13aa2fd04b97cbf0020...116b3d6144da8e36169bdfb2af931c5b2584095a
11,K6,8b980ac188896c1ac6342ab26d0dfa101c9ede7d,f06cc9bc2b975a2e334b58fcbeee37ee7b4fdce3,77,https://github.com/grafana/k6/issues/77,https://github.com/grafana/k6/tree/8b980ac188896c1ac6342ab26d0dfa101c9ede7d,https://github.com/grafana/k6/tree/f06cc9bc2b975a2e334b58fcbeee37ee7b4fdce3,https://github.com/grafana/k6/compare/8b980ac188896c1ac6342ab26d0dfa101c9ede7d...f06cc9bc2b975a2e334b58fcbeee37ee7b4fdce3
12,K6,c08331d3573b76cc5e63736324ef35300022adaf,33060ba22a77914c1c9bbe271c103534b87ecac2,92,https://github.com/grafana/k6/issues/92,https://github.com/grafana/k6/tree/c08331d3573b76cc5e63736324ef35300022adaf,https://github.com/grafana/k6/tree/33060ba22a77914c1c9bbe271c103534b87ecac2,https://github.com/grafana/k6/compare/c08331d3573b76cc5e63736324ef35300022adaf...33060ba22a77914c1c9bbe271c103534b87ecac2
13,K6,14f7f84bde8d89301eb32f3ddc80fa2c9c4f8cdc,8d4451910514453ba3d05858b828ed4cd3594903,87,https://github.com/grafana/k6/issues/87,https://github.com/grafana/k6/tree/14f7f84bde8d89301eb32f3ddc80fa2c9c4f8cdc,https://github.com/grafana/k6/tree/8d4451910514453ba3d05858b828ed4cd3594903,https://github.com/grafana/k6/compare/14f7f84bde8d89301eb32f3ddc80fa2c9c4f8cdc...8d4451910514453ba3d05858b828ed4cd3594903
14,K6,cc9ee49512a999c0c345c70fffbe453770882911,4eff467362ae900c14cab92ece02b8d55ac755ef,74,https://github.com/grafana/k6/issues/74,https://github.com/grafana/k6/tree/cc9ee49512a999c0c345c70fffbe453770882911,https://github.com/grafana/k6/tree/4eff467362ae900c14cab92ece02b8d55ac755ef,https://github.com/grafana/k6/compare/cc9ee49512a999c0c345c70fffbe453770882911...4eff467362ae900c14cab92ece02b8d55ac755ef
