bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Karaf_main,4aa7edab6c0967c231dea6bbf13be02b05070fa1,c7ca422f14d52c0b53a089a7b3bcf274b7484225,karaf-1,https://issues.apache.org/jira/browse/KARAF-1,https://github.com/apache/karaf/tree/4aa7edab6c0967c231dea6bbf13be02b05070fa1,https://github.com/apache/karaf/tree/c7ca422f14d52c0b53a089a7b3bcf274b7484225,https://github.com/apache/karaf/compare/4aa7edab6c0967c231dea6bbf13be02b05070fa1...c7ca422f14d52c0b53a089a7b3bcf274b7484225
2,Karaf_main,d85e288674be13eb00bab965198eee17a8f5948d,c5ae248a74b5c31bfbaace8d5ed47a7bb2d0448a,karaf-1,https://issues.apache.org/jira/browse/KARAF-1,https://github.com/apache/karaf/tree/d85e288674be13eb00bab965198eee17a8f5948d,https://github.com/apache/karaf/tree/c5ae248a74b5c31bfbaace8d5ed47a7bb2d0448a,https://github.com/apache/karaf/compare/d85e288674be13eb00bab965198eee17a8f5948d...c5ae248a74b5c31bfbaace8d5ed47a7bb2d0448a
3,Karaf_main,a025c50b2986096c25a75176f229387debe4e6e5,6a2e57c6f8bbf2c8725144b499c5dccb4a31ab68,karaf-1,https://issues.apache.org/jira/browse/KARAF-1,https://github.com/apache/karaf/tree/a025c50b2986096c25a75176f229387debe4e6e5,https://github.com/apache/karaf/tree/6a2e57c6f8bbf2c8725144b499c5dccb4a31ab68,https://github.com/apache/karaf/compare/a025c50b2986096c25a75176f229387debe4e6e5...6a2e57c6f8bbf2c8725144b499c5dccb4a31ab68
4,Karaf_main,ee2e34f01a9dcc3558ef2975757a59f9d9ac68e5,1a7c23cdb7410e50f3a3fbe6226f8b8d3e2c5f3a,karaf-1,https://issues.apache.org/jira/browse/KARAF-1,https://github.com/apache/karaf/tree/ee2e34f01a9dcc3558ef2975757a59f9d9ac68e5,https://github.com/apache/karaf/tree/1a7c23cdb7410e50f3a3fbe6226f8b8d3e2c5f3a,https://github.com/apache/karaf/compare/ee2e34f01a9dcc3558ef2975757a59f9d9ac68e5...1a7c23cdb7410e50f3a3fbe6226f8b8d3e2c5f3a
5,Karaf_main,daced9b60204f37487ed005cdb39e7a51d90ffae,e40c5a6534cbc2318bdc05c71437055405de4b33,karaf-1,https://issues.apache.org/jira/browse/KARAF-1,https://github.com/apache/karaf/tree/daced9b60204f37487ed005cdb39e7a51d90ffae,https://github.com/apache/karaf/tree/e40c5a6534cbc2318bdc05c71437055405de4b33,https://github.com/apache/karaf/compare/daced9b60204f37487ed005cdb39e7a51d90ffae...e40c5a6534cbc2318bdc05c71437055405de4b33
6,Karaf_main,368f7307132a28a941523014777e4c9aa234c686,38dbb0f06473ce1a5bc70b4112a6c448858a7d45,karaf-1,https://issues.apache.org/jira/browse/KARAF-1,https://github.com/apache/karaf/tree/368f7307132a28a941523014777e4c9aa234c686,https://github.com/apache/karaf/tree/38dbb0f06473ce1a5bc70b4112a6c448858a7d45,https://github.com/apache/karaf/compare/368f7307132a28a941523014777e4c9aa234c686...38dbb0f06473ce1a5bc70b4112a6c448858a7d45
7,Karaf_main,02d9052a88ab00af0ea476125e84c08b0d2e8ad0,128e39e1228f5520354bb132f2fa3f8665ef395e,karaf-1,https://issues.apache.org/jira/browse/KARAF-1,https://github.com/apache/karaf/tree/02d9052a88ab00af0ea476125e84c08b0d2e8ad0,https://github.com/apache/karaf/tree/128e39e1228f5520354bb132f2fa3f8665ef395e,https://github.com/apache/karaf/compare/02d9052a88ab00af0ea476125e84c08b0d2e8ad0...128e39e1228f5520354bb132f2fa3f8665ef395e
8,Karaf_main,4f47aa98d980f60cda261f8b2ac0bc2a8ddc84c2,0bcfeed6d7b0e66490f1c5c2efd4bc5220e8ab83,karaf-1,https://issues.apache.org/jira/browse/KARAF-1,https://github.com/apache/karaf/tree/4f47aa98d980f60cda261f8b2ac0bc2a8ddc84c2,https://github.com/apache/karaf/tree/0bcfeed6d7b0e66490f1c5c2efd4bc5220e8ab83,https://github.com/apache/karaf/compare/4f47aa98d980f60cda261f8b2ac0bc2a8ddc84c2...0bcfeed6d7b0e66490f1c5c2efd4bc5220e8ab83
9,Karaf_main,69a53b5308375c7a7f6731b980ba5916c0b10336,817721dca12af57701d46ee0fb664975097e6f69,karaf-1,https://issues.apache.org/jira/browse/KARAF-1,https://github.com/apache/karaf/tree/69a53b5308375c7a7f6731b980ba5916c0b10336,https://github.com/apache/karaf/tree/817721dca12af57701d46ee0fb664975097e6f69,https://github.com/apache/karaf/compare/69a53b5308375c7a7f6731b980ba5916c0b10336...817721dca12af57701d46ee0fb664975097e6f69
10,Karaf_main,ffb35a234bec93194ceb3b1ec951712d6d7a285e,50b465443f95bdf880634e8be1313a13632bd82b,karaf-1,https://issues.apache.org/jira/browse/KARAF-1,https://github.com/apache/karaf/tree/ffb35a234bec93194ceb3b1ec951712d6d7a285e,https://github.com/apache/karaf/tree/50b465443f95bdf880634e8be1313a13632bd82b,https://github.com/apache/karaf/compare/ffb35a234bec93194ceb3b1ec951712d6d7a285e...50b465443f95bdf880634e8be1313a13632bd82b
