bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Knox_assertion_common,7a122bfb7dc324ab54c97aebb7b55ef1e8ce36b1,62a19f4f7c1644fb08362adb00da27a631a0b528,KNOX-531,https://issues.apache.org/jira/browse/KNOX-531,https://github.com/apache/knox/tree/7a122bfb7dc324ab54c97aebb7b55ef1e8ce36b1,https://github.com/apache/knox/tree/62a19f4f7c1644fb08362adb00da27a631a0b528,https://github.com/apache/knox/compare/7a122bfb7dc324ab54c97aebb7b55ef1e8ce36b1...62a19f4f7c1644fb08362adb00da27a631a0b528
2,Knox_assertion_common,895457d990bf012faced29121b8783d402393d3e,0dc3b376a0c6d910cec6b6e6577c19be92ba235c,KNOX-539,https://issues.apache.org/jira/browse/KNOX-539,https://github.com/apache/knox/tree/895457d990bf012faced29121b8783d402393d3e,https://github.com/apache/knox/tree/0dc3b376a0c6d910cec6b6e6577c19be92ba235c,https://github.com/apache/knox/compare/895457d990bf012faced29121b8783d402393d3e...0dc3b376a0c6d910cec6b6e6577c19be92ba235c
3,Knox_assertion_common,e20e5b06e3d8184376ab7a53835f3405433e9ee9,f165a6d1901bb5023faba2d61eb5d256012b34eb,KNOX-599,https://issues.apache.org/jira/browse/KNOX-599,https://github.com/apache/knox/tree/e20e5b06e3d8184376ab7a53835f3405433e9ee9,https://github.com/apache/knox/tree/f165a6d1901bb5023faba2d61eb5d256012b34eb,https://github.com/apache/knox/compare/e20e5b06e3d8184376ab7a53835f3405433e9ee9...f165a6d1901bb5023faba2d61eb5d256012b34eb
4,Knox_assertion_common,1755fdfa0fbdb9a016383bfd07905489c89a9319,33bb1ce5727a54721baec0125dd1254d275160ac,KNOX-394,https://issues.apache.org/jira/browse/KNOX-394,https://github.com/apache/knox/tree/1755fdfa0fbdb9a016383bfd07905489c89a9319,https://github.com/apache/knox/tree/33bb1ce5727a54721baec0125dd1254d275160ac,https://github.com/apache/knox/compare/1755fdfa0fbdb9a016383bfd07905489c89a9319...33bb1ce5727a54721baec0125dd1254d275160ac
5,Knox_assertion_common,1671f684fa43ccc2f9901521a1df69605dedabc6,18a2eecd73d82c0e270cb0706a643cddaea4dbb6,KNOX-636,https://issues.apache.org/jira/browse/KNOX-636,https://github.com/apache/knox/tree/1671f684fa43ccc2f9901521a1df69605dedabc6,https://github.com/apache/knox/tree/18a2eecd73d82c0e270cb0706a643cddaea4dbb6,https://github.com/apache/knox/compare/1671f684fa43ccc2f9901521a1df69605dedabc6...18a2eecd73d82c0e270cb0706a643cddaea4dbb6
6,Knox_assertion_common,3a394adb19573ecff255b1b8858f4586e2d88457,b4fea509fde4d292893bd98043f1efc5231d0103,KNOX-790,https://issues.apache.org/jira/browse/KNOX-790,https://github.com/apache/knox/tree/3a394adb19573ecff255b1b8858f4586e2d88457,https://github.com/apache/knox/tree/b4fea509fde4d292893bd98043f1efc5231d0103,https://github.com/apache/knox/compare/3a394adb19573ecff255b1b8858f4586e2d88457...b4fea509fde4d292893bd98043f1efc5231d0103
7,Knox_assertion_common,318fb19d1c94eeaa370c2140e4c7b78936f97aee,8857bef1ec39d1af0075dae86e0de3601752d883,KNOX-906,https://issues.apache.org/jira/browse/KNOX-906,https://github.com/apache/knox/tree/318fb19d1c94eeaa370c2140e4c7b78936f97aee,https://github.com/apache/knox/tree/8857bef1ec39d1af0075dae86e0de3601752d883,https://github.com/apache/knox/compare/318fb19d1c94eeaa370c2140e4c7b78936f97aee...8857bef1ec39d1af0075dae86e0de3601752d883
8,Knox_assertion_common,5dac768d2ed2ad051724b998db5a7a1f39a599b0,22f0af4de5ac89a7ead9d6e3958262b7a4fda9c6,KNOX-849,https://issues.apache.org/jira/browse/KNOX-849,https://github.com/apache/knox/tree/5dac768d2ed2ad051724b998db5a7a1f39a599b0,https://github.com/apache/knox/tree/22f0af4de5ac89a7ead9d6e3958262b7a4fda9c6,https://github.com/apache/knox/compare/5dac768d2ed2ad051724b998db5a7a1f39a599b0...22f0af4de5ac89a7ead9d6e3958262b7a4fda9c6
9,Knox_assertion_common,edecb857a6c01886103361577713cc308d8ad201,0b15afc6cb421de54991dfaa5193853e2cf5d2df,KNOX-626,https://issues.apache.org/jira/browse/KNOX-626,https://github.com/apache/knox/tree/edecb857a6c01886103361577713cc308d8ad201,https://github.com/apache/knox/tree/0b15afc6cb421de54991dfaa5193853e2cf5d2df,https://github.com/apache/knox/compare/edecb857a6c01886103361577713cc308d8ad201...0b15afc6cb421de54991dfaa5193853e2cf5d2df
10,Knox_assertion_common,5432c872271e42d1ba8981e5f5de2059d5509ba2,3a0119b217bb71d107b335c27abac77847b2bfe4,KNOX-1061,https://issues.apache.org/jira/browse/KNOX-1061,https://github.com/apache/knox/tree/5432c872271e42d1ba8981e5f5de2059d5509ba2,https://github.com/apache/knox/tree/3a0119b217bb71d107b335c27abac77847b2bfe4,https://github.com/apache/knox/compare/5432c872271e42d1ba8981e5f5de2059d5509ba2...3a0119b217bb71d107b335c27abac77847b2bfe4
