bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Laravel,64cf2bb6679d23c664c72f78ab9438c1bc74d252,fa1fc940d2c8913667fd1f8b8cc198ac2537422a,47727,https://github.com/laravel/framework/issues/47727,https://github.com/laravel/framework/tree/64cf2bb6679d23c664c72f78ab9438c1bc74d252,https://github.com/laravel/framework/tree/fa1fc940d2c8913667fd1f8b8cc198ac2537422a,https://github.com/laravel/framework/compare/64cf2bb6679d23c664c72f78ab9438c1bc74d252...fa1fc940d2c8913667fd1f8b8cc198ac2537422a
2,Laravel,fad2aab8486a32f2f6f5d5854a46e07f40f98964,9d09c232f8437dc285f7f302c70599279c730db2,47950,https://github.com/laravel/framework/issues/47950,https://github.com/laravel/framework/tree/fad2aab8486a32f2f6f5d5854a46e07f40f98964,https://github.com/laravel/framework/tree/9d09c232f8437dc285f7f302c70599279c730db2,https://github.com/laravel/framework/compare/fad2aab8486a32f2f6f5d5854a46e07f40f98964...9d09c232f8437dc285f7f302c70599279c730db2
3,Laravel,c02a064cca69830d5e3cb1b1c5cc43df90956e6d,cdf9dba15c708438fe28f3011997f21fa211d2d2,48264,https://github.com/laravel/framework/issues/48264,https://github.com/laravel/framework/tree/c02a064cca69830d5e3cb1b1c5cc43df90956e6d,https://github.com/laravel/framework/tree/cdf9dba15c708438fe28f3011997f21fa211d2d2,https://github.com/laravel/framework/compare/c02a064cca69830d5e3cb1b1c5cc43df90956e6d...cdf9dba15c708438fe28f3011997f21fa211d2d2
4,Laravel,02b77ff27477074b284319840abe1303f5818f10,aacd0669c122f462656a8f9fb48a24e5f8c3f6fb,48938,https://github.com/laravel/framework/issues/48938,https://github.com/laravel/framework/tree/02b77ff27477074b284319840abe1303f5818f10,https://github.com/laravel/framework/tree/aacd0669c122f462656a8f9fb48a24e5f8c3f6fb,https://github.com/laravel/framework/compare/02b77ff27477074b284319840abe1303f5818f10...aacd0669c122f462656a8f9fb48a24e5f8c3f6fb
5,Laravel,7be968ae8afb8be82d57b4acc2eda19197b377c1,88d6037dcda4f5696b85ce24ad11ff7e97fd14f0,49267,https://github.com/laravel/framework/issues/49267,https://github.com/laravel/framework/tree/7be968ae8afb8be82d57b4acc2eda19197b377c1,https://github.com/laravel/framework/tree/88d6037dcda4f5696b85ce24ad11ff7e97fd14f0,https://github.com/laravel/framework/compare/7be968ae8afb8be82d57b4acc2eda19197b377c1...88d6037dcda4f5696b85ce24ad11ff7e97fd14f0
6,Laravel,d4f9dab018ad41adcf3860b1730410f007e686ea,e364c47680724e8b02b3bfabf8441e4957047feb,49765,https://github.com/laravel/framework/issues/49765,https://github.com/laravel/framework/tree/d4f9dab018ad41adcf3860b1730410f007e686ea,https://github.com/laravel/framework/tree/e364c47680724e8b02b3bfabf8441e4957047feb,https://github.com/laravel/framework/compare/d4f9dab018ad41adcf3860b1730410f007e686ea...e364c47680724e8b02b3bfabf8441e4957047feb
7,Laravel,3734ae98a6048c954eec960b46127fb8b9a32bad,c4f46abce0e69737de35b71439943ac2a24d6ec3,49941,https://github.com/laravel/framework/issues/49941,https://github.com/laravel/framework/tree/3734ae98a6048c954eec960b46127fb8b9a32bad,https://github.com/laravel/framework/tree/c4f46abce0e69737de35b71439943ac2a24d6ec3,https://github.com/laravel/framework/compare/3734ae98a6048c954eec960b46127fb8b9a32bad...c4f46abce0e69737de35b71439943ac2a24d6ec3
8,Laravel,1d0f002172d1570389e72fb474d16a6996fc943d,e18ca8ffe4f3956c51487d53216c2865ab47f0b7,50022,https://github.com/laravel/framework/issues/50022,https://github.com/laravel/framework/tree/1d0f002172d1570389e72fb474d16a6996fc943d,https://github.com/laravel/framework/tree/e18ca8ffe4f3956c51487d53216c2865ab47f0b7,https://github.com/laravel/framework/compare/1d0f002172d1570389e72fb474d16a6996fc943d...e18ca8ffe4f3956c51487d53216c2865ab47f0b7
9,Laravel,3c3d6a66f2d5dff20bd7ad4e8dc82e94f748d5ff,a518ef66bebd04c97fa1f04cb3a450795cc3ca11,50430,https://github.com/laravel/framework/issues/50430,https://github.com/laravel/framework/tree/3c3d6a66f2d5dff20bd7ad4e8dc82e94f748d5ff,https://github.com/laravel/framework/tree/a518ef66bebd04c97fa1f04cb3a450795cc3ca11,https://github.com/laravel/framework/compare/3c3d6a66f2d5dff20bd7ad4e8dc82e94f748d5ff...a518ef66bebd04c97fa1f04cb3a450795cc3ca11
10,Laravel,3cc3d2a153fca3069b4af86a82b76b8296318696,bf8fe84d3178f0c43801ca40a59f4bc3b2c601c4,50497,https://github.com/laravel/framework/issues/50497,https://github.com/laravel/framework/tree/3cc3d2a153fca3069b4af86a82b76b8296318696,https://github.com/laravel/framework/tree/bf8fe84d3178f0c43801ca40a59f4bc3b2c601c4,https://github.com/laravel/framework/compare/3cc3d2a153fca3069b4af86a82b76b8296318696...bf8fe84d3178f0c43801ca40a59f4bc3b2c601c4
11,Laravel,0dde4f8a68e394f25de119646066849d437f4cd4,4e3de10e5c0439c023661a20bbfb8628ba1d68dd,51097,https://github.com/laravel/framework/issues/51097,https://github.com/laravel/framework/tree/0dde4f8a68e394f25de119646066849d437f4cd4,https://github.com/laravel/framework/tree/4e3de10e5c0439c023661a20bbfb8628ba1d68dd,https://github.com/laravel/framework/compare/0dde4f8a68e394f25de119646066849d437f4cd4...4e3de10e5c0439c023661a20bbfb8628ba1d68dd
12,Laravel,5362c4aa52beb83078b4c25d980f4d3ff1fff69e,410e9dfe4e5e529d3012b35cecea38bafde79a2e,51146,https://github.com/laravel/framework/issues/51146,https://github.com/laravel/framework/tree/5362c4aa52beb83078b4c25d980f4d3ff1fff69e,https://github.com/laravel/framework/tree/410e9dfe4e5e529d3012b35cecea38bafde79a2e,https://github.com/laravel/framework/compare/5362c4aa52beb83078b4c25d980f4d3ff1fff69e...410e9dfe4e5e529d3012b35cecea38bafde79a2e
13,Laravel,cb567d30697d86f52fa057834c53b89702aadbbe,a078b1a97e9e21b7f17d113575b9895572249539,51514,https://github.com/laravel/framework/issues/51514,https://github.com/laravel/framework/tree/cb567d30697d86f52fa057834c53b89702aadbbe,https://github.com/laravel/framework/tree/a078b1a97e9e21b7f17d113575b9895572249539,https://github.com/laravel/framework/compare/cb567d30697d86f52fa057834c53b89702aadbbe...a078b1a97e9e21b7f17d113575b9895572249539
