bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,LessJS,0a271ccb5b9970997a726f45753a96728d5f68bd,1dcb4e77cbecae2b3b66d26aa66995588f3fc382,20,https://github.com/less/less.js/issues/20,https://github.com/less/less.js/tree/0a271ccb5b9970997a726f45753a96728d5f68bd,https://github.com/less/less.js/tree/1dcb4e77cbecae2b3b66d26aa66995588f3fc382,https://github.com/less/less.js/compare/0a271ccb5b9970997a726f45753a96728d5f68bd...1dcb4e77cbecae2b3b66d26aa66995588f3fc382
2,LessJS,31d0f6af3a9de438b2e789da9beb452bbb901abb,3def6cf5bffe628b2ae49a62f4a5655ddca65a44,23,https://github.com/less/less.js/issues/23,https://github.com/less/less.js/tree/31d0f6af3a9de438b2e789da9beb452bbb901abb,https://github.com/less/less.js/tree/3def6cf5bffe628b2ae49a62f4a5655ddca65a44,https://github.com/less/less.js/compare/31d0f6af3a9de438b2e789da9beb452bbb901abb...3def6cf5bffe628b2ae49a62f4a5655ddca65a44
3,LessJS,86d2d984668934475d1cac4e7c77fa4bf18b1882,97b3def8a9ed49bd36f32b8e6f7348b782271228,78,https://github.com/less/less.js/issues/78,https://github.com/less/less.js/tree/86d2d984668934475d1cac4e7c77fa4bf18b1882,https://github.com/less/less.js/tree/97b3def8a9ed49bd36f32b8e6f7348b782271228,https://github.com/less/less.js/compare/86d2d984668934475d1cac4e7c77fa4bf18b1882...97b3def8a9ed49bd36f32b8e6f7348b782271228
4,LessJS,c4d1f8a27896f69aca97a73504ff7f6217a66041,c5cb070e05e87e9a70e7d305e460f2b9127282c0,223,https://github.com/less/less.js/issues/223,https://github.com/less/less.js/tree/c4d1f8a27896f69aca97a73504ff7f6217a66041,https://github.com/less/less.js/tree/c5cb070e05e87e9a70e7d305e460f2b9127282c0,https://github.com/less/less.js/compare/c4d1f8a27896f69aca97a73504ff7f6217a66041...c5cb070e05e87e9a70e7d305e460f2b9127282c0
5,LessJS,38234048782dfff845854ad09f53a65b5c3b9e04,37ee7eb8d5a3700bd138bbead10673319e1c6275,258,https://github.com/less/less.js/issues/258,https://github.com/less/less.js/tree/38234048782dfff845854ad09f53a65b5c3b9e04,https://github.com/less/less.js/tree/37ee7eb8d5a3700bd138bbead10673319e1c6275,https://github.com/less/less.js/compare/38234048782dfff845854ad09f53a65b5c3b9e04...37ee7eb8d5a3700bd138bbead10673319e1c6275
6,LessJS,0726b9bd56627ae48a217af94673bf89a25d9535,853604a7911ac8582b85715ff6bc684348a3eeea,272,https://github.com/less/less.js/issues/272,https://github.com/less/less.js/tree/0726b9bd56627ae48a217af94673bf89a25d9535,https://github.com/less/less.js/tree/853604a7911ac8582b85715ff6bc684348a3eeea,https://github.com/less/less.js/compare/0726b9bd56627ae48a217af94673bf89a25d9535...853604a7911ac8582b85715ff6bc684348a3eeea
7,LessJS,afd599dcb5aaeb9bab04efa0430c2d34f01692c9,f1695f6a9ac1eca390d13af2b8ada3f80ea645b8,265,https://github.com/less/less.js/issues/265,https://github.com/less/less.js/tree/afd599dcb5aaeb9bab04efa0430c2d34f01692c9,https://github.com/less/less.js/tree/f1695f6a9ac1eca390d13af2b8ada3f80ea645b8,https://github.com/less/less.js/compare/afd599dcb5aaeb9bab04efa0430c2d34f01692c9...f1695f6a9ac1eca390d13af2b8ada3f80ea645b8
8,LessJS,2af0f62f982bf6e15c28b961e98e7d3a49588602,40601f8a61789d105b37772a849773cc4177b0dd,464,https://github.com/less/less.js/issues/464,https://github.com/less/less.js/tree/2af0f62f982bf6e15c28b961e98e7d3a49588602,https://github.com/less/less.js/tree/40601f8a61789d105b37772a849773cc4177b0dd,https://github.com/less/less.js/compare/2af0f62f982bf6e15c28b961e98e7d3a49588602...40601f8a61789d105b37772a849773cc4177b0dd
9,LessJS,557177c76dc800c1e3e26917f377f97b0d67dba2,acf65e0f5dfcddd9e6e6161818e980233d53c7ef,602,https://github.com/less/less.js/issues/602,https://github.com/less/less.js/tree/557177c76dc800c1e3e26917f377f97b0d67dba2,https://github.com/less/less.js/tree/acf65e0f5dfcddd9e6e6161818e980233d53c7ef,https://github.com/less/less.js/compare/557177c76dc800c1e3e26917f377f97b0d67dba2...acf65e0f5dfcddd9e6e6161818e980233d53c7ef
10,LessJS,089ca34dc12311224021c49ebf5967a63a80429f,5ccf1dafec6cd449954076a93cb40fd24c0fe388,663,https://github.com/less/less.js/issues/663,https://github.com/less/less.js/tree/089ca34dc12311224021c49ebf5967a63a80429f,https://github.com/less/less.js/tree/5ccf1dafec6cd449954076a93cb40fd24c0fe388,https://github.com/less/less.js/compare/089ca34dc12311224021c49ebf5967a63a80429f...5ccf1dafec6cd449954076a93cb40fd24c0fe388
11,LessJS,5ccf1dafec6cd449954076a93cb40fd24c0fe388,598b24910189c1ce3184cb80ecc64c843df453b8,632,https://github.com/less/less.js/issues/632,https://github.com/less/less.js/tree/5ccf1dafec6cd449954076a93cb40fd24c0fe388,https://github.com/less/less.js/tree/598b24910189c1ce3184cb80ecc64c843df453b8,https://github.com/less/less.js/compare/5ccf1dafec6cd449954076a93cb40fd24c0fe388...598b24910189c1ce3184cb80ecc64c843df453b8
12,LessJS,5974b9e15a7b0adb69b820aa659160ce8ec4b4a6,4821735ba242fb0c00b2afa2f144a85dff9c0e56,863,https://github.com/less/less.js/issues/863,https://github.com/less/less.js/tree/5974b9e15a7b0adb69b820aa659160ce8ec4b4a6,https://github.com/less/less.js/tree/4821735ba242fb0c00b2afa2f144a85dff9c0e56,https://github.com/less/less.js/compare/5974b9e15a7b0adb69b820aa659160ce8ec4b4a6...4821735ba242fb0c00b2afa2f144a85dff9c0e56
13,LessJS,be5464d2a6985517945c4aa95f9eff1d1ccea1e1,e98a20a50d919dff2ac0a48950f2f0f412619b43,828,https://github.com/less/less.js/issues/828,https://github.com/less/less.js/tree/be5464d2a6985517945c4aa95f9eff1d1ccea1e1,https://github.com/less/less.js/tree/e98a20a50d919dff2ac0a48950f2f0f412619b43,https://github.com/less/less.js/compare/be5464d2a6985517945c4aa95f9eff1d1ccea1e1...e98a20a50d919dff2ac0a48950f2f0f412619b43
14,LessJS,3be05a1c7bbf8f7eef854e99be37c7d4c92ce01f,e6e41fac6fa979cff87a41649ab5fb4e85c5993a,669,https://github.com/less/less.js/issues/669,https://github.com/less/less.js/tree/3be05a1c7bbf8f7eef854e99be37c7d4c92ce01f,https://github.com/less/less.js/tree/e6e41fac6fa979cff87a41649ab5fb4e85c5993a,https://github.com/less/less.js/compare/3be05a1c7bbf8f7eef854e99be37c7d4c92ce01f...e6e41fac6fa979cff87a41649ab5fb4e85c5993a
15,LessJS,a702b282e6ef62604ee6d94cdc8bf3ad1134d93a,5d49ca000e18dd6c30a5486fb62f49e01850cc5b,534,https://github.com/less/less.js/issues/534,https://github.com/less/less.js/tree/a702b282e6ef62604ee6d94cdc8bf3ad1134d93a,https://github.com/less/less.js/tree/5d49ca000e18dd6c30a5486fb62f49e01850cc5b,https://github.com/less/less.js/compare/a702b282e6ef62604ee6d94cdc8bf3ad1134d93a...5d49ca000e18dd6c30a5486fb62f49e01850cc5b
16,LessJS,5d49ca000e18dd6c30a5486fb62f49e01850cc5b,b96e307bd57af43a2e963484cfc4ebdf7bbc59ac,847,https://github.com/less/less.js/issues/847,https://github.com/less/less.js/tree/5d49ca000e18dd6c30a5486fb62f49e01850cc5b,https://github.com/less/less.js/tree/b96e307bd57af43a2e963484cfc4ebdf7bbc59ac,https://github.com/less/less.js/compare/5d49ca000e18dd6c30a5486fb62f49e01850cc5b...b96e307bd57af43a2e963484cfc4ebdf7bbc59ac
17,LessJS,b96e307bd57af43a2e963484cfc4ebdf7bbc59ac,be74f9a8373de666942c97668c7b6ad6b409bcec,887,https://github.com/less/less.js/issues/887,https://github.com/less/less.js/tree/b96e307bd57af43a2e963484cfc4ebdf7bbc59ac,https://github.com/less/less.js/tree/be74f9a8373de666942c97668c7b6ad6b409bcec,https://github.com/less/less.js/compare/b96e307bd57af43a2e963484cfc4ebdf7bbc59ac...be74f9a8373de666942c97668c7b6ad6b409bcec
18,LessJS,be8a23923b56e45a49b16c27087a2aabb0a63a56,b809e8eeb2720fe2cb05bcd15c59309a8ed0ef2b,861,https://github.com/less/less.js/issues/861,https://github.com/less/less.js/tree/be8a23923b56e45a49b16c27087a2aabb0a63a56,https://github.com/less/less.js/tree/b809e8eeb2720fe2cb05bcd15c59309a8ed0ef2b,https://github.com/less/less.js/compare/be8a23923b56e45a49b16c27087a2aabb0a63a56...b809e8eeb2720fe2cb05bcd15c59309a8ed0ef2b
