bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Log4j2,dcd734d42056f36fb2e4d2b95ed3aef8a436bf9d,f2b8aae3db89aec0c0496ae29663c3520ac9af27,Log4j2-49,https://issues.apache.org/jira/browse/LOG4J2-49,https://github.com/apache/logging-log4j2/tree/dcd734d42056f36fb2e4d2b95ed3aef8a436bf9d,https://github.com/apache/logging-log4j2/tree/f2b8aae3db89aec0c0496ae29663c3520ac9af27,https://github.com/apache/logging-log4j2/compare/dcd734d42056f36fb2e4d2b95ed3aef8a436bf9d...f2b8aae3db89aec0c0496ae29663c3520ac9af27
2,Log4j2,3966a76db8acf9a65cd0e5ae8ee23cb0fd22921a,346932ea80ab79318b42063fe6bbf031c902f6d2,LOG4J2-50,https://issues.apache.org/jira/browse/LOG4J2-50,https://github.com/apache/logging-log4j2/tree/3966a76db8acf9a65cd0e5ae8ee23cb0fd22921a,https://github.com/apache/logging-log4j2/tree/346932ea80ab79318b42063fe6bbf031c902f6d2,https://github.com/apache/logging-log4j2/compare/3966a76db8acf9a65cd0e5ae8ee23cb0fd22921a...346932ea80ab79318b42063fe6bbf031c902f6d2
3,Log4j2,beba1a6f18d3ba2b3f2075ff3885e0b8c7ec6b3b,3eb4409471c42370534f5cad6729b10f4f4a85ed,LOG4J2-56,https://issues.apache.org/jira/browse/LOG4J2-56,https://github.com/apache/logging-log4j2/tree/beba1a6f18d3ba2b3f2075ff3885e0b8c7ec6b3b,https://github.com/apache/logging-log4j2/tree/3eb4409471c42370534f5cad6729b10f4f4a85ed,https://github.com/apache/logging-log4j2/compare/beba1a6f18d3ba2b3f2075ff3885e0b8c7ec6b3b...3eb4409471c42370534f5cad6729b10f4f4a85ed
4,Log4j2,ecf64b77827d5c9503490146ff8da12c37560e5f,3297646cc4ba1b4b68b954addc1654ee91d28e84,Log4j2-65,https://issues.apache.org/jira/browse/LOG4J2-65,https://github.com/apache/logging-log4j2/tree/ecf64b77827d5c9503490146ff8da12c37560e5f,https://github.com/apache/logging-log4j2/tree/3297646cc4ba1b4b68b954addc1654ee91d28e84,https://github.com/apache/logging-log4j2/compare/ecf64b77827d5c9503490146ff8da12c37560e5f...3297646cc4ba1b4b68b954addc1654ee91d28e84
5,Log4j2,3297646cc4ba1b4b68b954addc1654ee91d28e84,6ca7b3400c473629cf62d01f8d68a830e3c6c59f,Log4J2-64,https://issues.apache.org/jira/browse/LOG4J2-64,https://github.com/apache/logging-log4j2/tree/3297646cc4ba1b4b68b954addc1654ee91d28e84,https://github.com/apache/logging-log4j2/tree/6ca7b3400c473629cf62d01f8d68a830e3c6c59f,https://github.com/apache/logging-log4j2/compare/3297646cc4ba1b4b68b954addc1654ee91d28e84...6ca7b3400c473629cf62d01f8d68a830e3c6c59f
6,Log4j2,13b87f1f64c14ed25589cafc54663013f65b527a,921f7223a687919c6643756355c6a9f00a5738b4,LOG4J2-66,https://issues.apache.org/jira/browse/LOG4J2-66,https://github.com/apache/logging-log4j2/tree/13b87f1f64c14ed25589cafc54663013f65b527a,https://github.com/apache/logging-log4j2/tree/921f7223a687919c6643756355c6a9f00a5738b4,https://github.com/apache/logging-log4j2/compare/13b87f1f64c14ed25589cafc54663013f65b527a...921f7223a687919c6643756355c6a9f00a5738b4
7,Log4j2,aa1147f9a736d6edb9810a8e73ff679c7c55cec8,2afe3dff3dcf527c3b52d818a34d4696566be8db,LOG4J2-71,https://issues.apache.org/jira/browse/LOG4J2-71,https://github.com/apache/logging-log4j2/tree/aa1147f9a736d6edb9810a8e73ff679c7c55cec8,https://github.com/apache/logging-log4j2/tree/2afe3dff3dcf527c3b52d818a34d4696566be8db,https://github.com/apache/logging-log4j2/compare/aa1147f9a736d6edb9810a8e73ff679c7c55cec8...2afe3dff3dcf527c3b52d818a34d4696566be8db
8,Log4j2,5d4a30131db1a034de99b08ef113633dc2482ae2,8c56b085ce093e6cde2e5477e50d8767ebefc76b,LOG4J2-75,https://issues.apache.org/jira/browse/LOG4J2-75,https://github.com/apache/logging-log4j2/tree/5d4a30131db1a034de99b08ef113633dc2482ae2,https://github.com/apache/logging-log4j2/tree/8c56b085ce093e6cde2e5477e50d8767ebefc76b,https://github.com/apache/logging-log4j2/compare/5d4a30131db1a034de99b08ef113633dc2482ae2...8c56b085ce093e6cde2e5477e50d8767ebefc76b
9,Log4j2,8c56b085ce093e6cde2e5477e50d8767ebefc76b,3cfd7b14d6dc0354ebab81f0cd20f22472f07a49,LOG4J2-74,https://issues.apache.org/jira/browse/LOG4J2-74,https://github.com/apache/logging-log4j2/tree/8c56b085ce093e6cde2e5477e50d8767ebefc76b,https://github.com/apache/logging-log4j2/tree/3cfd7b14d6dc0354ebab81f0cd20f22472f07a49,https://github.com/apache/logging-log4j2/compare/8c56b085ce093e6cde2e5477e50d8767ebefc76b...3cfd7b14d6dc0354ebab81f0cd20f22472f07a49
10,Log4j2,3cfd7b14d6dc0354ebab81f0cd20f22472f07a49,ef798aea420fa87f6c7875bfac71232e7d3e3a26,LOG4J2-76,https://issues.apache.org/jira/browse/LOG4J2-76,https://github.com/apache/logging-log4j2/tree/3cfd7b14d6dc0354ebab81f0cd20f22472f07a49,https://github.com/apache/logging-log4j2/tree/ef798aea420fa87f6c7875bfac71232e7d3e3a26,https://github.com/apache/logging-log4j2/compare/3cfd7b14d6dc0354ebab81f0cd20f22472f07a49...ef798aea420fa87f6c7875bfac71232e7d3e3a26
