bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Logrus,62b915c008602a0c106771ce7652415bdc495cda,2835e150d968bd0cd8acaed3a97016342bcb2dea,88,https://github.com/sirupsen/logrus/issues/88,https://github.com/sirupsen/logrus/tree/62b915c008602a0c106771ce7652415bdc495cda,https://github.com/sirupsen/logrus/tree/2835e150d968bd0cd8acaed3a97016342bcb2dea,https://github.com/sirupsen/logrus/compare/62b915c008602a0c106771ce7652415bdc495cda...2835e150d968bd0cd8acaed3a97016342bcb2dea
2,Logrus,a51c6e4ce28d891bca2eb7f7bc5805854a3c2051,d2f9ffa1d9cf25b25191b221229effac1b6de526,98,https://github.com/sirupsen/logrus/issues/98,https://github.com/sirupsen/logrus/tree/a51c6e4ce28d891bca2eb7f7bc5805854a3c2051,https://github.com/sirupsen/logrus/tree/d2f9ffa1d9cf25b25191b221229effac1b6de526,https://github.com/sirupsen/logrus/compare/a51c6e4ce28d891bca2eb7f7bc5805854a3c2051...d2f9ffa1d9cf25b25191b221229effac1b6de526
3,Logrus,a243bbaa0b2e5314bf8e53831d9e0c1afa67de51,dcbe8d66af81426652973ccf8788ae0b008dda08,99,https://github.com/sirupsen/logrus/issues/99,https://github.com/sirupsen/logrus/tree/a243bbaa0b2e5314bf8e53831d9e0c1afa67de51,https://github.com/sirupsen/logrus/tree/dcbe8d66af81426652973ccf8788ae0b008dda08,https://github.com/sirupsen/logrus/compare/a243bbaa0b2e5314bf8e53831d9e0c1afa67de51...dcbe8d66af81426652973ccf8788ae0b008dda08
4,Logrus,53adda1d3e4e795ef2afacebc29e37a513fc331c,8287db79348cd82752b91ee2b7dd5fd274982c65,137,https://github.com/sirupsen/logrus/issues/137,https://github.com/sirupsen/logrus/tree/53adda1d3e4e795ef2afacebc29e37a513fc331c,https://github.com/sirupsen/logrus/tree/8287db79348cd82752b91ee2b7dd5fd274982c65,https://github.com/sirupsen/logrus/compare/53adda1d3e4e795ef2afacebc29e37a513fc331c...8287db79348cd82752b91ee2b7dd5fd274982c65
5,Logrus,31897e2db52d7e9f61764ba41535f7f92cd8fd2f,0dd045932f30d8291d8434a36702a7c2084821a4,137,https://github.com/sirupsen/logrus/issues/137,https://github.com/sirupsen/logrus/tree/31897e2db52d7e9f61764ba41535f7f92cd8fd2f,https://github.com/sirupsen/logrus/tree/0dd045932f30d8291d8434a36702a7c2084821a4,https://github.com/sirupsen/logrus/compare/31897e2db52d7e9f61764ba41535f7f92cd8fd2f...0dd045932f30d8291d8434a36702a7c2084821a4
6,Logrus,8bca2664072173a3c71db4c28ca8d304079b1787,396f8eefaa6f899b05717791043b2b02ba768bd5,216,https://github.com/sirupsen/logrus/issues/216,https://github.com/sirupsen/logrus/tree/8bca2664072173a3c71db4c28ca8d304079b1787,https://github.com/sirupsen/logrus/tree/396f8eefaa6f899b05717791043b2b02ba768bd5,https://github.com/sirupsen/logrus/compare/8bca2664072173a3c71db4c28ca8d304079b1787...396f8eefaa6f899b05717791043b2b02ba768bd5
7,Logrus,433488c23f423b1208305d293d2b0bfbe5a4075c,1196d67b47f1862ddf60010c685e066d1fe40c86,308,https://github.com/sirupsen/logrus/issues/308,https://github.com/sirupsen/logrus/tree/433488c23f423b1208305d293d2b0bfbe5a4075c,https://github.com/sirupsen/logrus/tree/1196d67b47f1862ddf60010c685e066d1fe40c86,https://github.com/sirupsen/logrus/compare/433488c23f423b1208305d293d2b0bfbe5a4075c...1196d67b47f1862ddf60010c685e066d1fe40c86
8,Logrus,2b673abc1e43d4c5a7c3b877c699371f3d61fa15,754bfa9e83e72e4c105ff3eac93eba63302565f4,196,https://github.com/sirupsen/logrus/issues/196,https://github.com/sirupsen/logrus/tree/2b673abc1e43d4c5a7c3b877c699371f3d61fa15,https://github.com/sirupsen/logrus/tree/754bfa9e83e72e4c105ff3eac93eba63302565f4,https://github.com/sirupsen/logrus/compare/2b673abc1e43d4c5a7c3b877c699371f3d61fa15...754bfa9e83e72e4c105ff3eac93eba63302565f4
9,Logrus,3ec0642a7fb6488f65b06f9040adc67e3990296a,7a1f601cfd7604dd99fa6d6af0aa3e2a3f3de6b4,406,https://github.com/sirupsen/logrus/issues/406,https://github.com/sirupsen/logrus/tree/3ec0642a7fb6488f65b06f9040adc67e3990296a,https://github.com/sirupsen/logrus/tree/7a1f601cfd7604dd99fa6d6af0aa3e2a3f3de6b4,https://github.com/sirupsen/logrus/compare/3ec0642a7fb6488f65b06f9040adc67e3990296a...7a1f601cfd7604dd99fa6d6af0aa3e2a3f3de6b4
10,Logrus,3d84af1ae04512e1bd4fe2b23fc6975db255f79c,f78f8d07f6aca1903611d049bf064c8cea107d9d,531,https://github.com/sirupsen/logrus/issues/531,https://github.com/sirupsen/logrus/tree/3d84af1ae04512e1bd4fe2b23fc6975db255f79c,https://github.com/sirupsen/logrus/tree/f78f8d07f6aca1903611d049bf064c8cea107d9d,https://github.com/sirupsen/logrus/compare/3d84af1ae04512e1bd4fe2b23fc6975db255f79c...f78f8d07f6aca1903611d049bf064c8cea107d9d
