bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,LottieAndroid,d8ff4b979f2c34b7795d457f022e38a5e6b6003e,a148130b9f5264a3ad6d2a9602393ef25915be86,55,https://github.com/airbnb/lottie-android/issues/55,https://github.com/airbnb/lottie-android/tree/d8ff4b979f2c34b7795d457f022e38a5e6b6003e,https://github.com/airbnb/lottie-android/tree/a148130b9f5264a3ad6d2a9602393ef25915be86,https://github.com/airbnb/lottie-android/compare/d8ff4b979f2c34b7795d457f022e38a5e6b6003e...a148130b9f5264a3ad6d2a9602393ef25915be86
2,LottieAndroid,0bace80fc86963e19ad7b17c2bf9127e8b4a48c8,35378bceb626cd05d37f40c7f11bea803cc1bde3,51,https://github.com/airbnb/lottie-android/issues/51,https://github.com/airbnb/lottie-android/tree/0bace80fc86963e19ad7b17c2bf9127e8b4a48c8,https://github.com/airbnb/lottie-android/tree/35378bceb626cd05d37f40c7f11bea803cc1bde3,https://github.com/airbnb/lottie-android/compare/0bace80fc86963e19ad7b17c2bf9127e8b4a48c8...35378bceb626cd05d37f40c7f11bea803cc1bde3
3,LottieAndroid,6e0574e2fd552ad4ccc110781b5b2489a95ba17b,a1c707bb642fa1cda37b8b37a7d9cf9e4ad9ffb1,63,https://github.com/airbnb/lottie-android/issues/63,https://github.com/airbnb/lottie-android/tree/6e0574e2fd552ad4ccc110781b5b2489a95ba17b,https://github.com/airbnb/lottie-android/tree/a1c707bb642fa1cda37b8b37a7d9cf9e4ad9ffb1,https://github.com/airbnb/lottie-android/compare/6e0574e2fd552ad4ccc110781b5b2489a95ba17b...a1c707bb642fa1cda37b8b37a7d9cf9e4ad9ffb1
4,LottieAndroid,151a1e0379513281e5b1be0db6c23b2bfd42fb55,e7664e2c5e2b6d2588f36216248cb4a72d523dc2,72,https://github.com/airbnb/lottie-android/issues/72,https://github.com/airbnb/lottie-android/tree/151a1e0379513281e5b1be0db6c23b2bfd42fb55,https://github.com/airbnb/lottie-android/tree/e7664e2c5e2b6d2588f36216248cb4a72d523dc2,https://github.com/airbnb/lottie-android/compare/151a1e0379513281e5b1be0db6c23b2bfd42fb55...e7664e2c5e2b6d2588f36216248cb4a72d523dc2
5,LottieAndroid,e7664e2c5e2b6d2588f36216248cb4a72d523dc2,d0d8f422ccb384d3e9ad4d7813d37d26aac96447,79,https://github.com/airbnb/lottie-android/issues/79,https://github.com/airbnb/lottie-android/tree/e7664e2c5e2b6d2588f36216248cb4a72d523dc2,https://github.com/airbnb/lottie-android/tree/d0d8f422ccb384d3e9ad4d7813d37d26aac96447,https://github.com/airbnb/lottie-android/compare/e7664e2c5e2b6d2588f36216248cb4a72d523dc2...d0d8f422ccb384d3e9ad4d7813d37d26aac96447
6,LottieAndroid,d0d8f422ccb384d3e9ad4d7813d37d26aac96447,bf9b5cabd15f786760ebf41f1fbb2b01ec22293a,64,https://github.com/airbnb/lottie-android/issues/64,https://github.com/airbnb/lottie-android/tree/d0d8f422ccb384d3e9ad4d7813d37d26aac96447,https://github.com/airbnb/lottie-android/tree/bf9b5cabd15f786760ebf41f1fbb2b01ec22293a,https://github.com/airbnb/lottie-android/compare/d0d8f422ccb384d3e9ad4d7813d37d26aac96447...bf9b5cabd15f786760ebf41f1fbb2b01ec22293a
7,LottieAndroid,f4d7e2f5418a3a7497abb48af3e11f463df9d9fa,aa77c155c0babb6a67b02816cc46b0a8a15ef7c1,34,https://github.com/airbnb/lottie-android/issues/34,https://github.com/airbnb/lottie-android/tree/f4d7e2f5418a3a7497abb48af3e11f463df9d9fa,https://github.com/airbnb/lottie-android/tree/aa77c155c0babb6a67b02816cc46b0a8a15ef7c1,https://github.com/airbnb/lottie-android/compare/f4d7e2f5418a3a7497abb48af3e11f463df9d9fa...aa77c155c0babb6a67b02816cc46b0a8a15ef7c1
8,LottieAndroid,aa77c155c0babb6a67b02816cc46b0a8a15ef7c1,43278eea6e5a8e7f34f0c63509968c01b56e2364,59,https://github.com/airbnb/lottie-android/issues/59,https://github.com/airbnb/lottie-android/tree/aa77c155c0babb6a67b02816cc46b0a8a15ef7c1,https://github.com/airbnb/lottie-android/tree/43278eea6e5a8e7f34f0c63509968c01b56e2364,https://github.com/airbnb/lottie-android/compare/aa77c155c0babb6a67b02816cc46b0a8a15ef7c1...43278eea6e5a8e7f34f0c63509968c01b56e2364
9,LottieAndroid,df285545f099256b7ed13eb33ecb76110a8eeb37,3a4de7122d8baf1778e5a8e6e57c05588b219483,43,https://github.com/airbnb/lottie-android/issues/43,https://github.com/airbnb/lottie-android/tree/df285545f099256b7ed13eb33ecb76110a8eeb37,https://github.com/airbnb/lottie-android/tree/3a4de7122d8baf1778e5a8e6e57c05588b219483,https://github.com/airbnb/lottie-android/compare/df285545f099256b7ed13eb33ecb76110a8eeb37...3a4de7122d8baf1778e5a8e6e57c05588b219483
10,LottieAndroid,3a4de7122d8baf1778e5a8e6e57c05588b219483,0ca8ad880ae565a4c67ea849b89f37b38de0cc21,93,https://github.com/airbnb/lottie-android/issues/93,https://github.com/airbnb/lottie-android/tree/3a4de7122d8baf1778e5a8e6e57c05588b219483,https://github.com/airbnb/lottie-android/tree/0ca8ad880ae565a4c67ea849b89f37b38de0cc21,https://github.com/airbnb/lottie-android/compare/3a4de7122d8baf1778e5a8e6e57c05588b219483...0ca8ad880ae565a4c67ea849b89f37b38de0cc21
