bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,MCompiler,c01aadfd674f956cd854cc8a2f0d01cb9bf84f73,a408baa9795ee8ed813971df253b4ec929e345ee,MCOMPILER-23,https://issues.apache.org/jira/browse/MCOMPILER-23,https://github.com/apache/maven-compiler-plugin/tree/c01aadfd674f956cd854cc8a2f0d01cb9bf84f73,https://github.com/apache/maven-compiler-plugin/tree/a408baa9795ee8ed813971df253b4ec929e345ee,https://github.com/apache/maven-compiler-plugin/compare/c01aadfd674f956cd854cc8a2f0d01cb9bf84f73...a408baa9795ee8ed813971df253b4ec929e345ee
2,MCompiler,a408baa9795ee8ed813971df253b4ec929e345ee,e1faadc138ac99f95987879110f15ce1a23a61c6,MCOMPILER-23,https://issues.apache.org/jira/browse/MCOMPILER-23,https://github.com/apache/maven-compiler-plugin/tree/a408baa9795ee8ed813971df253b4ec929e345ee,https://github.com/apache/maven-compiler-plugin/tree/e1faadc138ac99f95987879110f15ce1a23a61c6,https://github.com/apache/maven-compiler-plugin/compare/a408baa9795ee8ed813971df253b4ec929e345ee...e1faadc138ac99f95987879110f15ce1a23a61c6
3,MCompiler,e1faadc138ac99f95987879110f15ce1a23a61c6,655abc1db731b5aea153e35783871a5f344fcbcd,MCOMPILER-24,https://issues.apache.org/jira/browse/MCOMPILER-24,https://github.com/apache/maven-compiler-plugin/tree/e1faadc138ac99f95987879110f15ce1a23a61c6,https://github.com/apache/maven-compiler-plugin/tree/655abc1db731b5aea153e35783871a5f344fcbcd,https://github.com/apache/maven-compiler-plugin/compare/e1faadc138ac99f95987879110f15ce1a23a61c6...655abc1db731b5aea153e35783871a5f344fcbcd
4,MCompiler,655abc1db731b5aea153e35783871a5f344fcbcd,f5034a064e9e89ed156b623cc6ef5839911000a5,MCOMPILER-25,https://issues.apache.org/jira/browse/MCOMPILER-25,https://github.com/apache/maven-compiler-plugin/tree/655abc1db731b5aea153e35783871a5f344fcbcd,https://github.com/apache/maven-compiler-plugin/tree/f5034a064e9e89ed156b623cc6ef5839911000a5,https://github.com/apache/maven-compiler-plugin/compare/655abc1db731b5aea153e35783871a5f344fcbcd...f5034a064e9e89ed156b623cc6ef5839911000a5
5,MCompiler,dd6779c209e78501f26674bb0a66d10955a830d5,3f39d856785c629326fd86342a5181ebfdaa21a2,MCOMPILER-5,https://issues.apache.org/jira/browse/MCOMPILER-5,https://github.com/apache/maven-compiler-plugin/tree/dd6779c209e78501f26674bb0a66d10955a830d5,https://github.com/apache/maven-compiler-plugin/tree/3f39d856785c629326fd86342a5181ebfdaa21a2,https://github.com/apache/maven-compiler-plugin/compare/dd6779c209e78501f26674bb0a66d10955a830d5...3f39d856785c629326fd86342a5181ebfdaa21a2
6,MCompiler,f7767a58d7c532b29ad5401467119467072269a5,143a6c94ec261bce6cc534a42fe1c77e2c186632,MCOMPILER-30,https://issues.apache.org/jira/browse/MCOMPILER-30,https://github.com/apache/maven-compiler-plugin/tree/f7767a58d7c532b29ad5401467119467072269a5,https://github.com/apache/maven-compiler-plugin/tree/143a6c94ec261bce6cc534a42fe1c77e2c186632,https://github.com/apache/maven-compiler-plugin/compare/f7767a58d7c532b29ad5401467119467072269a5...143a6c94ec261bce6cc534a42fe1c77e2c186632
7,MCompiler,25c6beb7be753cafd8f49c1817bc88ed1656ea2b,60a49d36e75ffa8dc7f56fc17a956ff5cb6523ee,MCOMPILER-10,https://issues.apache.org/jira/browse/MCOMPILER-10,https://github.com/apache/maven-compiler-plugin/tree/25c6beb7be753cafd8f49c1817bc88ed1656ea2b,https://github.com/apache/maven-compiler-plugin/tree/60a49d36e75ffa8dc7f56fc17a956ff5cb6523ee,https://github.com/apache/maven-compiler-plugin/compare/25c6beb7be753cafd8f49c1817bc88ed1656ea2b...60a49d36e75ffa8dc7f56fc17a956ff5cb6523ee
8,MCompiler,0a2c6ad5698ceb6fa3732e015646297387de2385,440565842dfef9eb82d00d7acae267b1e94db600,MCOMPILER-59,https://issues.apache.org/jira/browse/MCOMPILER-59,https://github.com/apache/maven-compiler-plugin/tree/0a2c6ad5698ceb6fa3732e015646297387de2385,https://github.com/apache/maven-compiler-plugin/tree/440565842dfef9eb82d00d7acae267b1e94db600,https://github.com/apache/maven-compiler-plugin/compare/0a2c6ad5698ceb6fa3732e015646297387de2385...440565842dfef9eb82d00d7acae267b1e94db600
9,MCompiler,440565842dfef9eb82d00d7acae267b1e94db600,58d0cc56495ba64a4ebc2dcdca5e28c2c88df2c7,MCOMPILER-59,https://issues.apache.org/jira/browse/MCOMPILER-59,https://github.com/apache/maven-compiler-plugin/tree/440565842dfef9eb82d00d7acae267b1e94db600,https://github.com/apache/maven-compiler-plugin/tree/58d0cc56495ba64a4ebc2dcdca5e28c2c88df2c7,https://github.com/apache/maven-compiler-plugin/compare/440565842dfef9eb82d00d7acae267b1e94db600...58d0cc56495ba64a4ebc2dcdca5e28c2c88df2c7
10,MCompiler,58d0cc56495ba64a4ebc2dcdca5e28c2c88df2c7,eba79ee71d022eeb269da8f20132453c31b458e5,MCOMPILER-52,https://issues.apache.org/jira/browse/MCOMPILER-52,https://github.com/apache/maven-compiler-plugin/tree/58d0cc56495ba64a4ebc2dcdca5e28c2c88df2c7,https://github.com/apache/maven-compiler-plugin/tree/eba79ee71d022eeb269da8f20132453c31b458e5,https://github.com/apache/maven-compiler-plugin/compare/58d0cc56495ba64a4ebc2dcdca5e28c2c88df2c7...eba79ee71d022eeb269da8f20132453c31b458e5
