bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,MDeploy,f0b027e969ec8017e65f6b91f8a66bc9eb055a38,f16a72aab5390e3486b0d4d17f4daccfd80ffdb4,MDEPLOY-23,https://issues.apache.org/jira/browse/MDEPLOY-23,https://github.com/apache/maven-deploy-plugin/tree/f0b027e969ec8017e65f6b91f8a66bc9eb055a38,https://github.com/apache/maven-deploy-plugin/tree/f16a72aab5390e3486b0d4d17f4daccfd80ffdb4,https://github.com/apache/maven-deploy-plugin/compare/f0b027e969ec8017e65f6b91f8a66bc9eb055a38...f16a72aab5390e3486b0d4d17f4daccfd80ffdb4
2,MDeploy,854addf0c90c5a7d9e2fba565a859105d8cc52f6,6a737e5c2536c025dc981c4cea892496754f867c,MDEPLOY-21,https://issues.apache.org/jira/browse/MDEPLOY-21,https://github.com/apache/maven-deploy-plugin/tree/854addf0c90c5a7d9e2fba565a859105d8cc52f6,https://github.com/apache/maven-deploy-plugin/tree/6a737e5c2536c025dc981c4cea892496754f867c,https://github.com/apache/maven-deploy-plugin/compare/854addf0c90c5a7d9e2fba565a859105d8cc52f6...6a737e5c2536c025dc981c4cea892496754f867c
3,MDeploy,d9c985324c28759c896ac9f5d952267db9ec9399,77d526208b8c9ac32364b0f9d8b269163c16ebb4,MDEPLOY-33,https://issues.apache.org/jira/browse/MDEPLOY-33,https://github.com/apache/maven-deploy-plugin/tree/d9c985324c28759c896ac9f5d952267db9ec9399,https://github.com/apache/maven-deploy-plugin/tree/77d526208b8c9ac32364b0f9d8b269163c16ebb4,https://github.com/apache/maven-deploy-plugin/compare/d9c985324c28759c896ac9f5d952267db9ec9399...77d526208b8c9ac32364b0f9d8b269163c16ebb4
4,MDeploy,271c42bd4478db5a10242e681e7a8fd96a9329d1,fa462097bc02d8ca6ca48022dc62f30ef15d45c4,MDEPLOY-56,https://issues.apache.org/jira/browse/MDEPLOY-56,https://github.com/apache/maven-deploy-plugin/tree/271c42bd4478db5a10242e681e7a8fd96a9329d1,https://github.com/apache/maven-deploy-plugin/tree/fa462097bc02d8ca6ca48022dc62f30ef15d45c4,https://github.com/apache/maven-deploy-plugin/compare/271c42bd4478db5a10242e681e7a8fd96a9329d1...fa462097bc02d8ca6ca48022dc62f30ef15d45c4
5,MDeploy,c72180d78f9fb5f578aaf4e7b8426c415bb79424,5e8991520dc1db4860392a101ede3c2f2d93efa7,MDEPLOY-45,https://issues.apache.org/jira/browse/MDEPLOY-45,https://github.com/apache/maven-deploy-plugin/tree/c72180d78f9fb5f578aaf4e7b8426c415bb79424,https://github.com/apache/maven-deploy-plugin/tree/5e8991520dc1db4860392a101ede3c2f2d93efa7,https://github.com/apache/maven-deploy-plugin/compare/c72180d78f9fb5f578aaf4e7b8426c415bb79424...5e8991520dc1db4860392a101ede3c2f2d93efa7
6,MDeploy,60a6ed2692b658d33751902b1a1003d4338f9654,9f2e1a6550a56154924ea1cce7be342c4b69105b,MDEPLOY-78,https://issues.apache.org/jira/browse/MDEPLOY-78,https://github.com/apache/maven-deploy-plugin/tree/60a6ed2692b658d33751902b1a1003d4338f9654,https://github.com/apache/maven-deploy-plugin/tree/9f2e1a6550a56154924ea1cce7be342c4b69105b,https://github.com/apache/maven-deploy-plugin/compare/60a6ed2692b658d33751902b1a1003d4338f9654...9f2e1a6550a56154924ea1cce7be342c4b69105b
7,MDeploy,9f2e1a6550a56154924ea1cce7be342c4b69105b,50e58cb727d5bf5e7a91b1d6e6722a941d52d510,MDEPLOY-59,https://issues.apache.org/jira/browse/MDEPLOY-59,https://github.com/apache/maven-deploy-plugin/tree/9f2e1a6550a56154924ea1cce7be342c4b69105b,https://github.com/apache/maven-deploy-plugin/tree/50e58cb727d5bf5e7a91b1d6e6722a941d52d510,https://github.com/apache/maven-deploy-plugin/compare/9f2e1a6550a56154924ea1cce7be342c4b69105b...50e58cb727d5bf5e7a91b1d6e6722a941d52d510
8,MDeploy,50e58cb727d5bf5e7a91b1d6e6722a941d52d510,9e1a3ec7107cf610d5758428a3a6d1c8787c3799,MDEPLOY-84,https://issues.apache.org/jira/browse/MDEPLOY-84,https://github.com/apache/maven-deploy-plugin/tree/50e58cb727d5bf5e7a91b1d6e6722a941d52d510,https://github.com/apache/maven-deploy-plugin/tree/9e1a3ec7107cf610d5758428a3a6d1c8787c3799,https://github.com/apache/maven-deploy-plugin/compare/50e58cb727d5bf5e7a91b1d6e6722a941d52d510...9e1a3ec7107cf610d5758428a3a6d1c8787c3799
9,MDeploy,e8042b0bc53ba4ee50b72babcbdeadb7b30f7852,7b418e5386d3bab6b8d3b306abf16458998bc800,MDEPLOY-88,https://issues.apache.org/jira/browse/MDEPLOY-88,https://github.com/apache/maven-deploy-plugin/tree/e8042b0bc53ba4ee50b72babcbdeadb7b30f7852,https://github.com/apache/maven-deploy-plugin/tree/7b418e5386d3bab6b8d3b306abf16458998bc800,https://github.com/apache/maven-deploy-plugin/compare/e8042b0bc53ba4ee50b72babcbdeadb7b30f7852...7b418e5386d3bab6b8d3b306abf16458998bc800
10,MDeploy,4d46e876587b647ef78f6e174db2a4c6fa3a3e6b,462431e2aa85b0c294df7a6e37baf38a0ff5da4b,MDEPLOY-89,https://issues.apache.org/jira/browse/MDEPLOY-89,https://github.com/apache/maven-deploy-plugin/tree/4d46e876587b647ef78f6e174db2a4c6fa3a3e6b,https://github.com/apache/maven-deploy-plugin/tree/462431e2aa85b0c294df7a6e37baf38a0ff5da4b,https://github.com/apache/maven-deploy-plugin/compare/4d46e876587b647ef78f6e174db2a4c6fa3a3e6b...462431e2aa85b0c294df7a6e37baf38a0ff5da4b
