bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,MGpg,1292a32c926be3e94b96dc316b472d7fc5d618e0,f59c3c02f3f27b6c4047ab8a0bb2790b3138f904,MGPG-11,https://issues.apache.org/jira/browse/MGPG-11,https://github.com/apache/maven-gpg-plugin/tree/1292a32c926be3e94b96dc316b472d7fc5d618e0,https://github.com/apache/maven-gpg-plugin/tree/f59c3c02f3f27b6c4047ab8a0bb2790b3138f904,https://github.com/apache/maven-gpg-plugin/compare/1292a32c926be3e94b96dc316b472d7fc5d618e0...f59c3c02f3f27b6c4047ab8a0bb2790b3138f904
2,MGpg,622275342e03ae9479d739fcbd79de127263f569,599803fdf23db47bcd3db5a0959482dde783a426,MGPG-18,https://issues.apache.org/jira/browse/MGPG-18,https://github.com/apache/maven-gpg-plugin/tree/622275342e03ae9479d739fcbd79de127263f569,https://github.com/apache/maven-gpg-plugin/tree/599803fdf23db47bcd3db5a0959482dde783a426,https://github.com/apache/maven-gpg-plugin/compare/622275342e03ae9479d739fcbd79de127263f569...599803fdf23db47bcd3db5a0959482dde783a426
3,MGpg,d46359dc98eca73d2cbfa863949fed5ec5265ed3,addcd96a318711307a9491eb650c2b090d734268,MGPG-17,https://issues.apache.org/jira/browse/MGPG-17,https://github.com/apache/maven-gpg-plugin/tree/d46359dc98eca73d2cbfa863949fed5ec5265ed3,https://github.com/apache/maven-gpg-plugin/tree/addcd96a318711307a9491eb650c2b090d734268,https://github.com/apache/maven-gpg-plugin/compare/d46359dc98eca73d2cbfa863949fed5ec5265ed3...addcd96a318711307a9491eb650c2b090d734268
4,MGpg,addcd96a318711307a9491eb650c2b090d734268,76cc1d9d141b9dd530d20924e36ab3b5b59cf5aa,MGPG-9,https://issues.apache.org/jira/browse/MGPG-9,https://github.com/apache/maven-gpg-plugin/tree/addcd96a318711307a9491eb650c2b090d734268,https://github.com/apache/maven-gpg-plugin/tree/76cc1d9d141b9dd530d20924e36ab3b5b59cf5aa,https://github.com/apache/maven-gpg-plugin/compare/addcd96a318711307a9491eb650c2b090d734268...76cc1d9d141b9dd530d20924e36ab3b5b59cf5aa
5,MGpg,76cc1d9d141b9dd530d20924e36ab3b5b59cf5aa,a57678cb94f975311f695ab25829e95af10667de,MGPG-19,https://issues.apache.org/jira/browse/MGPG-19,https://github.com/apache/maven-gpg-plugin/tree/76cc1d9d141b9dd530d20924e36ab3b5b59cf5aa,https://github.com/apache/maven-gpg-plugin/tree/a57678cb94f975311f695ab25829e95af10667de,https://github.com/apache/maven-gpg-plugin/compare/76cc1d9d141b9dd530d20924e36ab3b5b59cf5aa...a57678cb94f975311f695ab25829e95af10667de
6,MGpg,d6e06a53018f49042e6a0c93fb5d6c302cf5f1a0,3161290f245427940bf16273f7ce7fd62fd4c203,MGPG-20,https://issues.apache.org/jira/browse/MGPG-20,https://github.com/apache/maven-gpg-plugin/tree/d6e06a53018f49042e6a0c93fb5d6c302cf5f1a0,https://github.com/apache/maven-gpg-plugin/tree/3161290f245427940bf16273f7ce7fd62fd4c203,https://github.com/apache/maven-gpg-plugin/compare/d6e06a53018f49042e6a0c93fb5d6c302cf5f1a0...3161290f245427940bf16273f7ce7fd62fd4c203
7,MGpg,8ca49838c8c87fde55899a031ce07c65e1cba9e5,6400a4e8ea519b81e438b04bba18932f4b75b1ba,MGPG-26,https://issues.apache.org/jira/browse/MGPG-26,https://github.com/apache/maven-gpg-plugin/tree/8ca49838c8c87fde55899a031ce07c65e1cba9e5,https://github.com/apache/maven-gpg-plugin/tree/6400a4e8ea519b81e438b04bba18932f4b75b1ba,https://github.com/apache/maven-gpg-plugin/compare/8ca49838c8c87fde55899a031ce07c65e1cba9e5...6400a4e8ea519b81e438b04bba18932f4b75b1ba
8,MGpg,d9f21c6a59447b8bae67816a1473b080604a7779,c9e5eacb81ef07f6875d157936d83fff7a3ef0bb,MGPG-73,https://issues.apache.org/jira/browse/MGPG-73,https://github.com/apache/maven-gpg-plugin/tree/d9f21c6a59447b8bae67816a1473b080604a7779,https://github.com/apache/maven-gpg-plugin/tree/c9e5eacb81ef07f6875d157936d83fff7a3ef0bb,https://github.com/apache/maven-gpg-plugin/compare/d9f21c6a59447b8bae67816a1473b080604a7779...c9e5eacb81ef07f6875d157936d83fff7a3ef0bb
9,MGpg,7836ae73dc2c1796f30e3fe8cc6d15120d1326e2,ffa0888e8551a3b7a0fd1db45ece9245604f9693,MGPG-41,https://issues.apache.org/jira/browse/MGPG-41,https://github.com/apache/maven-gpg-plugin/tree/7836ae73dc2c1796f30e3fe8cc6d15120d1326e2,https://github.com/apache/maven-gpg-plugin/tree/ffa0888e8551a3b7a0fd1db45ece9245604f9693,https://github.com/apache/maven-gpg-plugin/compare/7836ae73dc2c1796f30e3fe8cc6d15120d1326e2...ffa0888e8551a3b7a0fd1db45ece9245604f9693
10,MGpg,6f540ac7617273b2def4d73c314d94aee1b452d3,11aca384c4005747d797dcc4857280d0d578d05f,MGPG-59,https://issues.apache.org/jira/browse/MGPG-59,https://github.com/apache/maven-gpg-plugin/tree/6f540ac7617273b2def4d73c314d94aee1b452d3,https://github.com/apache/maven-gpg-plugin/tree/11aca384c4005747d797dcc4857280d0d578d05f,https://github.com/apache/maven-gpg-plugin/compare/6f540ac7617273b2def4d73c314d94aee1b452d3...11aca384c4005747d797dcc4857280d0d578d05f
11,MGpg,73347cfd3066d9fd9f2cf6256bf40a5e9fcc2550,58d6496f5aee7f14dc7ad9670a3818253a15c82c,MGPG-71,https://issues.apache.org/jira/browse/MGPG-71,https://github.com/apache/maven-gpg-plugin/tree/73347cfd3066d9fd9f2cf6256bf40a5e9fcc2550,https://github.com/apache/maven-gpg-plugin/tree/58d6496f5aee7f14dc7ad9670a3818253a15c82c,https://github.com/apache/maven-gpg-plugin/compare/73347cfd3066d9fd9f2cf6256bf40a5e9fcc2550...58d6496f5aee7f14dc7ad9670a3818253a15c82c
12,MGpg,58d6496f5aee7f14dc7ad9670a3818253a15c82c,01429377eb35433ea12ca634979770e081018385,MGPG-61,https://issues.apache.org/jira/browse/MGPG-61,https://github.com/apache/maven-gpg-plugin/tree/58d6496f5aee7f14dc7ad9670a3818253a15c82c,https://github.com/apache/maven-gpg-plugin/tree/01429377eb35433ea12ca634979770e081018385,https://github.com/apache/maven-gpg-plugin/compare/58d6496f5aee7f14dc7ad9670a3818253a15c82c...01429377eb35433ea12ca634979770e081018385
13,MGpg,1169a69fcef6204ef9f29a7a3ea50f97fe593aa6,cd0f6d394d5ca0cc6bca77928809953dbb0e736b,MGPG-78,https://issues.apache.org/jira/browse/MGPG-78,https://github.com/apache/maven-gpg-plugin/tree/1169a69fcef6204ef9f29a7a3ea50f97fe593aa6,https://github.com/apache/maven-gpg-plugin/tree/cd0f6d394d5ca0cc6bca77928809953dbb0e736b,https://github.com/apache/maven-gpg-plugin/compare/1169a69fcef6204ef9f29a7a3ea50f97fe593aa6...cd0f6d394d5ca0cc6bca77928809953dbb0e736b
14,MGpg,98086113d314fe2145c85fbc67effd1ed23913b6,64e1d4eecc9ff04979518dd15f8d33a3ec18538e,MGPG-81,https://issues.apache.org/jira/browse/MGPG-81,https://github.com/apache/maven-gpg-plugin/tree/98086113d314fe2145c85fbc67effd1ed23913b6,https://github.com/apache/maven-gpg-plugin/tree/64e1d4eecc9ff04979518dd15f8d33a3ec18538e,https://github.com/apache/maven-gpg-plugin/compare/98086113d314fe2145c85fbc67effd1ed23913b6...64e1d4eecc9ff04979518dd15f8d33a3ec18538e
15,MGpg,b38c6387cb3c8892fdac8ed47ddc9d2892810ed5,26aa5b3eddbc1969a556bd788a0528c1aa9a5518,MGPG-66,https://issues.apache.org/jira/browse/MGPG-66,https://github.com/apache/maven-gpg-plugin/tree/b38c6387cb3c8892fdac8ed47ddc9d2892810ed5,https://github.com/apache/maven-gpg-plugin/tree/26aa5b3eddbc1969a556bd788a0528c1aa9a5518,https://github.com/apache/maven-gpg-plugin/compare/b38c6387cb3c8892fdac8ed47ddc9d2892810ed5...26aa5b3eddbc1969a556bd788a0528c1aa9a5518
