bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,MShade,b272352e32dad68e8b0ee904fe87e76e480394e7,efe39802403dc7c4ccf533121bdccf53f3359009,MSHADE-13,https://issues.apache.org/jira/browse/MSHADE-13,https://github.com/apache/maven-shade-plugin/tree/b272352e32dad68e8b0ee904fe87e76e480394e7,https://github.com/apache/maven-shade-plugin/tree/efe39802403dc7c4ccf533121bdccf53f3359009,https://github.com/apache/maven-shade-plugin/compare/b272352e32dad68e8b0ee904fe87e76e480394e7...efe39802403dc7c4ccf533121bdccf53f3359009
2,MShade,3e12dfb166d0ce0eb30c19f5d2a5a90dcad0f927,6dd4b6c932ac65b434a7771ae37faa744206b001,MSHADE-15,https://issues.apache.org/jira/browse/MSHADE-15,https://github.com/apache/maven-shade-plugin/tree/3e12dfb166d0ce0eb30c19f5d2a5a90dcad0f927,https://github.com/apache/maven-shade-plugin/tree/6dd4b6c932ac65b434a7771ae37faa744206b001,https://github.com/apache/maven-shade-plugin/compare/3e12dfb166d0ce0eb30c19f5d2a5a90dcad0f927...6dd4b6c932ac65b434a7771ae37faa744206b001
3,MShade,6dd4b6c932ac65b434a7771ae37faa744206b001,16e177243c11b8514a9bd57114b80327fe1f1164,MSHADE-16,https://issues.apache.org/jira/browse/MSHADE-16,https://github.com/apache/maven-shade-plugin/tree/6dd4b6c932ac65b434a7771ae37faa744206b001,https://github.com/apache/maven-shade-plugin/tree/16e177243c11b8514a9bd57114b80327fe1f1164,https://github.com/apache/maven-shade-plugin/compare/6dd4b6c932ac65b434a7771ae37faa744206b001...16e177243c11b8514a9bd57114b80327fe1f1164
4,MShade,0c1113784feb2a7f3eab7d5f9e768e5ad91e375a,1313844ec89701189a87ab629f2d7970bccc57a8,MSHADE-19,https://issues.apache.org/jira/browse/MSHADE-19,https://github.com/apache/maven-shade-plugin/tree/0c1113784feb2a7f3eab7d5f9e768e5ad91e375a,https://github.com/apache/maven-shade-plugin/tree/1313844ec89701189a87ab629f2d7970bccc57a8,https://github.com/apache/maven-shade-plugin/compare/0c1113784feb2a7f3eab7d5f9e768e5ad91e375a...1313844ec89701189a87ab629f2d7970bccc57a8
5,MShade,ce88137e50661a9755f8788b36235191c33ad663,0f7f6c6d968282815183dcf4149f9aef8d2a060d,MSHADE-21,https://issues.apache.org/jira/browse/MSHADE-21,https://github.com/apache/maven-shade-plugin/tree/ce88137e50661a9755f8788b36235191c33ad663,https://github.com/apache/maven-shade-plugin/tree/0f7f6c6d968282815183dcf4149f9aef8d2a060d,https://github.com/apache/maven-shade-plugin/compare/ce88137e50661a9755f8788b36235191c33ad663...0f7f6c6d968282815183dcf4149f9aef8d2a060d
6,MShade,0f7f6c6d968282815183dcf4149f9aef8d2a060d,1ad0098d909509ae3d9829547579e3760183c2c6,MSHADE-24,https://issues.apache.org/jira/browse/MSHADE-24,https://github.com/apache/maven-shade-plugin/tree/0f7f6c6d968282815183dcf4149f9aef8d2a060d,https://github.com/apache/maven-shade-plugin/tree/1ad0098d909509ae3d9829547579e3760183c2c6,https://github.com/apache/maven-shade-plugin/compare/0f7f6c6d968282815183dcf4149f9aef8d2a060d...1ad0098d909509ae3d9829547579e3760183c2c6
7,MShade,1ad0098d909509ae3d9829547579e3760183c2c6,d562d48519484b5373132a6bf764fc118c90483f,MSHADE-25,https://issues.apache.org/jira/browse/MSHADE-25,https://github.com/apache/maven-shade-plugin/tree/1ad0098d909509ae3d9829547579e3760183c2c6,https://github.com/apache/maven-shade-plugin/tree/d562d48519484b5373132a6bf764fc118c90483f,https://github.com/apache/maven-shade-plugin/compare/1ad0098d909509ae3d9829547579e3760183c2c6...d562d48519484b5373132a6bf764fc118c90483f
8,MShade,8e389707daa75c16ef6aa2112ba3ec9073bc02e8,47959bbd73b0aa022ebf32f442e7df6d59fa3ae0,MSHADE-26,https://issues.apache.org/jira/browse/MSHADE-26,https://github.com/apache/maven-shade-plugin/tree/8e389707daa75c16ef6aa2112ba3ec9073bc02e8,https://github.com/apache/maven-shade-plugin/tree/47959bbd73b0aa022ebf32f442e7df6d59fa3ae0,https://github.com/apache/maven-shade-plugin/compare/8e389707daa75c16ef6aa2112ba3ec9073bc02e8...47959bbd73b0aa022ebf32f442e7df6d59fa3ae0
9,MShade,a48579ea38efa0a936c97a7e6fa239d61b64db0d,c357002ef5be6272198010747e1c4e1005a72df2,MSHADE-34,https://issues.apache.org/jira/browse/MSHADE-34,https://github.com/apache/maven-shade-plugin/tree/a48579ea38efa0a936c97a7e6fa239d61b64db0d,https://github.com/apache/maven-shade-plugin/tree/c357002ef5be6272198010747e1c4e1005a72df2,https://github.com/apache/maven-shade-plugin/compare/a48579ea38efa0a936c97a7e6fa239d61b64db0d...c357002ef5be6272198010747e1c4e1005a72df2
10,MShade,c357002ef5be6272198010747e1c4e1005a72df2,c37a8fbc56d31e49279109bac308c15602d18bb7,MSHADE-29,https://issues.apache.org/jira/browse/MSHADE-29,https://github.com/apache/maven-shade-plugin/tree/c357002ef5be6272198010747e1c4e1005a72df2,https://github.com/apache/maven-shade-plugin/tree/c37a8fbc56d31e49279109bac308c15602d18bb7,https://github.com/apache/maven-shade-plugin/compare/c357002ef5be6272198010747e1c4e1005a72df2...c37a8fbc56d31e49279109bac308c15602d18bb7
11,MShade,c37a8fbc56d31e49279109bac308c15602d18bb7,13c6097fffaa85d1ea40752cef732d6548e43e2c,MSHADE-23,https://issues.apache.org/jira/browse/MSHADE-23,https://github.com/apache/maven-shade-plugin/tree/c37a8fbc56d31e49279109bac308c15602d18bb7,https://github.com/apache/maven-shade-plugin/tree/13c6097fffaa85d1ea40752cef732d6548e43e2c,https://github.com/apache/maven-shade-plugin/compare/c37a8fbc56d31e49279109bac308c15602d18bb7...13c6097fffaa85d1ea40752cef732d6548e43e2c
12,MShade,0ab180c9883c332e96a917ff217f30f51b2d1431,99d436d485e493e5caece022e3f6f9b93e7cf953,MSHADE-37,https://issues.apache.org/jira/browse/MSHADE-37,https://github.com/apache/maven-shade-plugin/tree/0ab180c9883c332e96a917ff217f30f51b2d1431,https://github.com/apache/maven-shade-plugin/tree/99d436d485e493e5caece022e3f6f9b93e7cf953,https://github.com/apache/maven-shade-plugin/compare/0ab180c9883c332e96a917ff217f30f51b2d1431...99d436d485e493e5caece022e3f6f9b93e7cf953
13,MShade,99d436d485e493e5caece022e3f6f9b93e7cf953,6ab3cde463cf13f6a21719a0619f62b3fcd3d51d,MSHADE-38,https://issues.apache.org/jira/browse/MSHADE-38,https://github.com/apache/maven-shade-plugin/tree/99d436d485e493e5caece022e3f6f9b93e7cf953,https://github.com/apache/maven-shade-plugin/tree/6ab3cde463cf13f6a21719a0619f62b3fcd3d51d,https://github.com/apache/maven-shade-plugin/compare/99d436d485e493e5caece022e3f6f9b93e7cf953...6ab3cde463cf13f6a21719a0619f62b3fcd3d51d
14,MShade,82269a3333a1af4563dc7ff593764e8fde32094d,25f88672cac9e44dbe044a0bb3c07a8de73414f7,MSHADE-44,https://issues.apache.org/jira/browse/MSHADE-44,https://github.com/apache/maven-shade-plugin/tree/82269a3333a1af4563dc7ff593764e8fde32094d,https://github.com/apache/maven-shade-plugin/tree/25f88672cac9e44dbe044a0bb3c07a8de73414f7,https://github.com/apache/maven-shade-plugin/compare/82269a3333a1af4563dc7ff593764e8fde32094d...25f88672cac9e44dbe044a0bb3c07a8de73414f7
15,MShade,9e2713fe86df2622a2b0dac162c8284e1d9d43fe,0147b06cd449d5fa1ae8376695de8beebcc4bc0e,MSHADE-30,https://issues.apache.org/jira/browse/MSHADE-30,https://github.com/apache/maven-shade-plugin/tree/9e2713fe86df2622a2b0dac162c8284e1d9d43fe,https://github.com/apache/maven-shade-plugin/tree/0147b06cd449d5fa1ae8376695de8beebcc4bc0e,https://github.com/apache/maven-shade-plugin/compare/9e2713fe86df2622a2b0dac162c8284e1d9d43fe...0147b06cd449d5fa1ae8376695de8beebcc4bc0e
16,MShade,fe0fdd3448439eb50aae566e4988d19843b99566,ca1570a8ff146cea54e039a6d5739ad61b401a47,MSHADE-46,https://issues.apache.org/jira/browse/MSHADE-46,https://github.com/apache/maven-shade-plugin/tree/fe0fdd3448439eb50aae566e4988d19843b99566,https://github.com/apache/maven-shade-plugin/tree/ca1570a8ff146cea54e039a6d5739ad61b401a47,https://github.com/apache/maven-shade-plugin/compare/fe0fdd3448439eb50aae566e4988d19843b99566...ca1570a8ff146cea54e039a6d5739ad61b401a47
