bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Markedj,904f6242378df165f70c73bc838977b386580954,d25e152460272696636d5372d8dc1db6b148329b,2,https://github.com/gitbucket/markedj/issues/2,https://github.com/gitbucket/markedj/tree/904f6242378df165f70c73bc838977b386580954,https://github.com/gitbucket/markedj/tree/d25e152460272696636d5372d8dc1db6b148329b,https://github.com/gitbucket/markedj/compare/904f6242378df165f70c73bc838977b386580954...d25e152460272696636d5372d8dc1db6b148329b
2,Markedj,0a9ce5f03b31ba3142b133ec6b374704e99055bf,839d2bfdbda7aa369a0f7033fa9b03b85612c637,3,https://github.com/gitbucket/markedj/issues/3,https://github.com/gitbucket/markedj/tree/0a9ce5f03b31ba3142b133ec6b374704e99055bf,https://github.com/gitbucket/markedj/tree/839d2bfdbda7aa369a0f7033fa9b03b85612c637,https://github.com/gitbucket/markedj/compare/0a9ce5f03b31ba3142b133ec6b374704e99055bf...839d2bfdbda7aa369a0f7033fa9b03b85612c637
3,Markedj,3295e4ac0e2afd690d37d734b73e240a03330500,a80260f607e886b659791a989e2c10c75c3292a2,5,https://github.com/gitbucket/markedj/issues/5,https://github.com/gitbucket/markedj/tree/3295e4ac0e2afd690d37d734b73e240a03330500,https://github.com/gitbucket/markedj/tree/a80260f607e886b659791a989e2c10c75c3292a2,https://github.com/gitbucket/markedj/compare/3295e4ac0e2afd690d37d734b73e240a03330500...a80260f607e886b659791a989e2c10c75c3292a2
4,Markedj,9902aa78a26149b9d841557bea6e2325593ec1c3,f7f0b14e7a526ee83ccd29a04d8e80a172d4457e,6,https://github.com/gitbucket/markedj/issues/6,https://github.com/gitbucket/markedj/tree/9902aa78a26149b9d841557bea6e2325593ec1c3,https://github.com/gitbucket/markedj/tree/f7f0b14e7a526ee83ccd29a04d8e80a172d4457e,https://github.com/gitbucket/markedj/compare/9902aa78a26149b9d841557bea6e2325593ec1c3...f7f0b14e7a526ee83ccd29a04d8e80a172d4457e
5,Markedj,794b4676415e5c2c4c81e3d53fde35b9386a322e,b9155beb99fe549b730af27e309723dc34a24e59,8,https://github.com/gitbucket/markedj/issues/8,https://github.com/gitbucket/markedj/tree/794b4676415e5c2c4c81e3d53fde35b9386a322e,https://github.com/gitbucket/markedj/tree/b9155beb99fe549b730af27e309723dc34a24e59,https://github.com/gitbucket/markedj/compare/794b4676415e5c2c4c81e3d53fde35b9386a322e...b9155beb99fe549b730af27e309723dc34a24e59
6,Markedj,ea74b4ba175cf6f0fa7a060f1445550d791ee181,44b009df3ff688d989eb6bfeb95352830a3c441f,14,https://github.com/gitbucket/markedj/issues/14,https://github.com/gitbucket/markedj/tree/ea74b4ba175cf6f0fa7a060f1445550d791ee181,https://github.com/gitbucket/markedj/tree/44b009df3ff688d989eb6bfeb95352830a3c441f,https://github.com/gitbucket/markedj/compare/ea74b4ba175cf6f0fa7a060f1445550d791ee181...44b009df3ff688d989eb6bfeb95352830a3c441f
7,Markedj,e739d7c335e32e5d3b15baf11307e93fcd3231b8,96f74fa03e7e18c52908517114734885a6ff6208,15,https://github.com/gitbucket/markedj/issues/15,https://github.com/gitbucket/markedj/tree/e739d7c335e32e5d3b15baf11307e93fcd3231b8,https://github.com/gitbucket/markedj/tree/96f74fa03e7e18c52908517114734885a6ff6208,https://github.com/gitbucket/markedj/compare/e739d7c335e32e5d3b15baf11307e93fcd3231b8...96f74fa03e7e18c52908517114734885a6ff6208
8,Markedj,96f74fa03e7e18c52908517114734885a6ff6208,ef35821832a02064ab10c3346ea70fe42493dc1a,16,https://github.com/gitbucket/markedj/issues/16,https://github.com/gitbucket/markedj/tree/96f74fa03e7e18c52908517114734885a6ff6208,https://github.com/gitbucket/markedj/tree/ef35821832a02064ab10c3346ea70fe42493dc1a,https://github.com/gitbucket/markedj/compare/96f74fa03e7e18c52908517114734885a6ff6208...ef35821832a02064ab10c3346ea70fe42493dc1a
9,Markedj,ef35821832a02064ab10c3346ea70fe42493dc1a,aa3b804e842a5b2a5e0fae7d914cfe7a4d6c95ae,16,https://github.com/gitbucket/markedj/issues/16,https://github.com/gitbucket/markedj/tree/ef35821832a02064ab10c3346ea70fe42493dc1a,https://github.com/gitbucket/markedj/tree/aa3b804e842a5b2a5e0fae7d914cfe7a4d6c95ae,https://github.com/gitbucket/markedj/compare/ef35821832a02064ab10c3346ea70fe42493dc1a...aa3b804e842a5b2a5e0fae7d914cfe7a4d6c95ae
10,Markedj,aa3b804e842a5b2a5e0fae7d914cfe7a4d6c95ae,7dbd252f1ab5d31a600c981f638705e86886b7ad,14,https://github.com/gitbucket/markedj/issues/14,https://github.com/gitbucket/markedj/tree/aa3b804e842a5b2a5e0fae7d914cfe7a4d6c95ae,https://github.com/gitbucket/markedj/tree/7dbd252f1ab5d31a600c981f638705e86886b7ad,https://github.com/gitbucket/markedj/compare/aa3b804e842a5b2a5e0fae7d914cfe7a4d6c95ae...7dbd252f1ab5d31a600c981f638705e86886b7ad
