bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Math,445d94e08d2e81d972f2ecbf85aaa52304f36e4d,9ebfb870a2edb2fbf2741928efc53c2deb352e90,MATH-60,https://issues.apache.org/jira/browse/MATH-60,https://github.com/apache/commons-math/tree/445d94e08d2e81d972f2ecbf85aaa52304f36e4d,https://github.com/apache/commons-math/tree/9ebfb870a2edb2fbf2741928efc53c2deb352e90,https://github.com/apache/commons-math/compare/445d94e08d2e81d972f2ecbf85aaa52304f36e4d...9ebfb870a2edb2fbf2741928efc53c2deb352e90
2,Math,3ebd273440c9854c36b635169c96202437c99b33,7ec35cf7f5d760cb6b31928c2622d528af11e406,MATH-151,https://issues.apache.org/jira/browse/MATH-151,https://github.com/apache/commons-math/tree/3ebd273440c9854c36b635169c96202437c99b33,https://github.com/apache/commons-math/tree/7ec35cf7f5d760cb6b31928c2622d528af11e406,https://github.com/apache/commons-math/compare/3ebd273440c9854c36b635169c96202437c99b33...7ec35cf7f5d760cb6b31928c2622d528af11e406
3,Math,00b139a1c49c230bfb7b0f1ec5b8c22d560d3447,075008dcd42adcc6924d048a376e611f9219e52b,MATH-85,https://issues.apache.org/jira/browse/MATH-85,https://github.com/apache/commons-math/tree/00b139a1c49c230bfb7b0f1ec5b8c22d560d3447,https://github.com/apache/commons-math/tree/075008dcd42adcc6924d048a376e611f9219e52b,https://github.com/apache/commons-math/compare/00b139a1c49c230bfb7b0f1ec5b8c22d560d3447...075008dcd42adcc6924d048a376e611f9219e52b
4,Math,55b2cc8c039d659da8f4d8af332814043d084a3b,409d56d206891f76a3e751e4dcdcd22a8c898acc,MATH-153,https://issues.apache.org/jira/browse/MATH-153,https://github.com/apache/commons-math/tree/55b2cc8c039d659da8f4d8af332814043d084a3b,https://github.com/apache/commons-math/tree/409d56d206891f76a3e751e4dcdcd22a8c898acc,https://github.com/apache/commons-math/compare/55b2cc8c039d659da8f4d8af332814043d084a3b...409d56d206891f76a3e751e4dcdcd22a8c898acc
5,Math,a012ec83ecd0d13fd7ba250da322a6183adb45aa,739ed17f8cbdb9f0d3ad962c8bd13a89cb88cf67,MATH-163,https://issues.apache.org/jira/browse/MATH-163,https://github.com/apache/commons-math/tree/a012ec83ecd0d13fd7ba250da322a6183adb45aa,https://github.com/apache/commons-math/tree/739ed17f8cbdb9f0d3ad962c8bd13a89cb88cf67,https://github.com/apache/commons-math/compare/a012ec83ecd0d13fd7ba250da322a6183adb45aa...739ed17f8cbdb9f0d3ad962c8bd13a89cb88cf67
6,Math,5bc120c5dff3cdc44f9168800a9d0a1fa538e44d,35414bc4f4ef03ef12e99c027398e5dc84682a9e,MATH-166,https://issues.apache.org/jira/browse/MATH-166,https://github.com/apache/commons-math/tree/5bc120c5dff3cdc44f9168800a9d0a1fa538e44d,https://github.com/apache/commons-math/tree/35414bc4f4ef03ef12e99c027398e5dc84682a9e,https://github.com/apache/commons-math/compare/5bc120c5dff3cdc44f9168800a9d0a1fa538e44d...35414bc4f4ef03ef12e99c027398e5dc84682a9e
7,Math,13eb8cca1711cb01e6d95fe86906a9a8be18aee4,b8b6c66e1caceb44ce7250c999e63a12659a45e4,MATH-167,https://issues.apache.org/jira/browse/MATH-167,https://github.com/apache/commons-math/tree/13eb8cca1711cb01e6d95fe86906a9a8be18aee4,https://github.com/apache/commons-math/tree/b8b6c66e1caceb44ce7250c999e63a12659a45e4,https://github.com/apache/commons-math/compare/13eb8cca1711cb01e6d95fe86906a9a8be18aee4...b8b6c66e1caceb44ce7250c999e63a12659a45e4
8,Math,fb4949bd078ab201835dc932eec27557f0b9102a,a3dc59a94da24e46c252453f08c4b4b4a91c3ce7,MATH-175,https://issues.apache.org/jira/browse/MATH-175,https://github.com/apache/commons-math/tree/fb4949bd078ab201835dc932eec27557f0b9102a,https://github.com/apache/commons-math/tree/a3dc59a94da24e46c252453f08c4b4b4a91c3ce7,https://github.com/apache/commons-math/compare/fb4949bd078ab201835dc932eec27557f0b9102a...a3dc59a94da24e46c252453f08c4b4b4a91c3ce7
9,Math,630d9afa3cca0413fff0ec8bdac471b1a171bbfc,9fec47b79bbb40a78eb79e5a66716697c91ae0be,MATH-182,https://issues.apache.org/jira/browse/MATH-182,https://github.com/apache/commons-math/tree/630d9afa3cca0413fff0ec8bdac471b1a171bbfc,https://github.com/apache/commons-math/tree/9fec47b79bbb40a78eb79e5a66716697c91ae0be,https://github.com/apache/commons-math/compare/630d9afa3cca0413fff0ec8bdac471b1a171bbfc...9fec47b79bbb40a78eb79e5a66716697c91ae0be
10,Math,1c6411cdeeebc98701a3cd80202299e84db5f093,812b7db1748037bce86a5f87620eb16e38703be1,MATH-183,https://issues.apache.org/jira/browse/MATH-183,https://github.com/apache/commons-math/tree/1c6411cdeeebc98701a3cd80202299e84db5f093,https://github.com/apache/commons-math/tree/812b7db1748037bce86a5f87620eb16e38703be1,https://github.com/apache/commons-math/compare/1c6411cdeeebc98701a3cd80202299e84db5f093...812b7db1748037bce86a5f87620eb16e38703be1
11,Math,812b7db1748037bce86a5f87620eb16e38703be1,0152e67e9eb57de2da0df28f396c9e36cd6e12c4,MATH-185,https://issues.apache.org/jira/browse/MATH-185,https://github.com/apache/commons-math/tree/812b7db1748037bce86a5f87620eb16e38703be1,https://github.com/apache/commons-math/tree/0152e67e9eb57de2da0df28f396c9e36cd6e12c4,https://github.com/apache/commons-math/compare/812b7db1748037bce86a5f87620eb16e38703be1...0152e67e9eb57de2da0df28f396c9e36cd6e12c4
12,Math,0152e67e9eb57de2da0df28f396c9e36cd6e12c4,4bfee0420d54e2ca4ad5a07f1b209948ac91f68b,MATH-183,https://issues.apache.org/jira/browse/MATH-183,https://github.com/apache/commons-math/tree/0152e67e9eb57de2da0df28f396c9e36cd6e12c4,https://github.com/apache/commons-math/tree/4bfee0420d54e2ca4ad5a07f1b209948ac91f68b,https://github.com/apache/commons-math/compare/0152e67e9eb57de2da0df28f396c9e36cd6e12c4...4bfee0420d54e2ca4ad5a07f1b209948ac91f68b
13,Math,4bfee0420d54e2ca4ad5a07f1b209948ac91f68b,654a4018c456d3aeb7f6d9e6e7aa4b97b45f3fb0,MATH-183,https://issues.apache.org/jira/browse/MATH-183,https://github.com/apache/commons-math/tree/4bfee0420d54e2ca4ad5a07f1b209948ac91f68b,https://github.com/apache/commons-math/tree/654a4018c456d3aeb7f6d9e6e7aa4b97b45f3fb0,https://github.com/apache/commons-math/compare/4bfee0420d54e2ca4ad5a07f1b209948ac91f68b...654a4018c456d3aeb7f6d9e6e7aa4b97b45f3fb0
14,Math,5c090bf6051e7f6802cfbf2060d4f196f17e0ca9,fc4b86252e4b4d06ea2b0f77a8e17816f9e5d753,MATH-183,https://issues.apache.org/jira/browse/MATH-183,https://github.com/apache/commons-math/tree/5c090bf6051e7f6802cfbf2060d4f196f17e0ca9,https://github.com/apache/commons-math/tree/fc4b86252e4b4d06ea2b0f77a8e17816f9e5d753,https://github.com/apache/commons-math/compare/5c090bf6051e7f6802cfbf2060d4f196f17e0ca9...fc4b86252e4b4d06ea2b0f77a8e17816f9e5d753
15,Math,67e1e4b48e3319dfbe07b75d5589e6261ba9688a,7258df6db3ca8c5dfe318253a951a0d532132c26,MATH-183,https://issues.apache.org/jira/browse/MATH-183,https://github.com/apache/commons-math/tree/67e1e4b48e3319dfbe07b75d5589e6261ba9688a,https://github.com/apache/commons-math/tree/7258df6db3ca8c5dfe318253a951a0d532132c26,https://github.com/apache/commons-math/compare/67e1e4b48e3319dfbe07b75d5589e6261ba9688a...7258df6db3ca8c5dfe318253a951a0d532132c26
16,Math,7258df6db3ca8c5dfe318253a951a0d532132c26,821bca564f332731a68a4ce18e109ba1c2a3fc2e,MATH-186,https://issues.apache.org/jira/browse/MATH-186,https://github.com/apache/commons-math/tree/7258df6db3ca8c5dfe318253a951a0d532132c26,https://github.com/apache/commons-math/tree/821bca564f332731a68a4ce18e109ba1c2a3fc2e,https://github.com/apache/commons-math/compare/7258df6db3ca8c5dfe318253a951a0d532132c26...821bca564f332731a68a4ce18e109ba1c2a3fc2e
17,Math,61fabe8b9f5705e7f1d97327e6ad334b55b820c2,a0c17a75ef12455696feb509281270ba9ef5d9ae,MATH-186,https://issues.apache.org/jira/browse/MATH-186,https://github.com/apache/commons-math/tree/61fabe8b9f5705e7f1d97327e6ad334b55b820c2,https://github.com/apache/commons-math/tree/a0c17a75ef12455696feb509281270ba9ef5d9ae,https://github.com/apache/commons-math/compare/61fabe8b9f5705e7f1d97327e6ad334b55b820c2...a0c17a75ef12455696feb509281270ba9ef5d9ae
18,Math,f02058c10d3e3548584aa52e61ad11e5b1a55d59,1d7fd3318b65cf42987c3dc3bf47c7ed318f3fdf,MATH-190,https://issues.apache.org/jira/browse/MATH-190,https://github.com/apache/commons-math/tree/f02058c10d3e3548584aa52e61ad11e5b1a55d59,https://github.com/apache/commons-math/tree/1d7fd3318b65cf42987c3dc3bf47c7ed318f3fdf,https://github.com/apache/commons-math/compare/f02058c10d3e3548584aa52e61ad11e5b1a55d59...1d7fd3318b65cf42987c3dc3bf47c7ed318f3fdf
19,Math,8f10ef7c0e92f4326e8007be5b852b969ad5519a,f18c6b1affed026d32bd380526526e4b411f265b,MATH-191,https://issues.apache.org/jira/browse/MATH-191,https://github.com/apache/commons-math/tree/8f10ef7c0e92f4326e8007be5b852b969ad5519a,https://github.com/apache/commons-math/tree/f18c6b1affed026d32bd380526526e4b411f265b,https://github.com/apache/commons-math/compare/8f10ef7c0e92f4326e8007be5b852b969ad5519a...f18c6b1affed026d32bd380526526e4b411f265b
20,Math,f42a88e25e5e95fff5f985494e67386e38868bb9,3c9e28e533d86486779419c2124d97fb643d1078,MATH-187,https://issues.apache.org/jira/browse/MATH-187,https://github.com/apache/commons-math/tree/f42a88e25e5e95fff5f985494e67386e38868bb9,https://github.com/apache/commons-math/tree/3c9e28e533d86486779419c2124d97fb643d1078,https://github.com/apache/commons-math/compare/f42a88e25e5e95fff5f985494e67386e38868bb9...3c9e28e533d86486779419c2124d97fb643d1078
21,Math,3c9e28e533d86486779419c2124d97fb643d1078,8eba63863c102b144fe43d008baf719997599fc9,MATH-184,https://issues.apache.org/jira/browse/MATH-184,https://github.com/apache/commons-math/tree/3c9e28e533d86486779419c2124d97fb643d1078,https://github.com/apache/commons-math/tree/8eba63863c102b144fe43d008baf719997599fc9,https://github.com/apache/commons-math/compare/3c9e28e533d86486779419c2124d97fb643d1078...8eba63863c102b144fe43d008baf719997599fc9
22,Math,07b329c5fd484d63106bf80c155bbbbbfb3b241e,cd5f65c4c7bd17d81ecb3924f444f2078a3ff580,MATH-198,https://issues.apache.org/jira/browse/MATH-198,https://github.com/apache/commons-math/tree/07b329c5fd484d63106bf80c155bbbbbfb3b241e,https://github.com/apache/commons-math/tree/cd5f65c4c7bd17d81ecb3924f444f2078a3ff580,https://github.com/apache/commons-math/compare/07b329c5fd484d63106bf80c155bbbbbfb3b241e...cd5f65c4c7bd17d81ecb3924f444f2078a3ff580
23,Math,cd5f65c4c7bd17d81ecb3924f444f2078a3ff580,faead6c3fbe343ba97e70f8eda74a488c916b29a,MATH-199,https://issues.apache.org/jira/browse/MATH-199,https://github.com/apache/commons-math/tree/cd5f65c4c7bd17d81ecb3924f444f2078a3ff580,https://github.com/apache/commons-math/tree/faead6c3fbe343ba97e70f8eda74a488c916b29a,https://github.com/apache/commons-math/compare/cd5f65c4c7bd17d81ecb3924f444f2078a3ff580...faead6c3fbe343ba97e70f8eda74a488c916b29a
24,Math,b736c8bda6122b7f9f69cf0f52d80a23c3910bd8,2c443ab8b0efce5485f63eed62213091a188c993,MATH-200,https://issues.apache.org/jira/browse/MATH-200,https://github.com/apache/commons-math/tree/b736c8bda6122b7f9f69cf0f52d80a23c3910bd8,https://github.com/apache/commons-math/tree/2c443ab8b0efce5485f63eed62213091a188c993,https://github.com/apache/commons-math/compare/b736c8bda6122b7f9f69cf0f52d80a23c3910bd8...2c443ab8b0efce5485f63eed62213091a188c993
25,Math,edbf81119460f61d3f606c73913b139d60c36911,de2965f24ca34e9ea3d5780d56a82ee973f817b4,MATH-201,https://issues.apache.org/jira/browse/MATH-201,https://github.com/apache/commons-math/tree/edbf81119460f61d3f606c73913b139d60c36911,https://github.com/apache/commons-math/tree/de2965f24ca34e9ea3d5780d56a82ee973f817b4,https://github.com/apache/commons-math/compare/edbf81119460f61d3f606c73913b139d60c36911...de2965f24ca34e9ea3d5780d56a82ee973f817b4
