bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Maven2_artifact,08df9d163d416caa8975d7edf22db0c5e0b0dd10,2628261b753a53f56863a5c0150994135148bbbe,MNG-207,https://issues.apache.org/jira/browse/MNG-207,https://github.com/apache/maven-2/tree/08df9d163d416caa8975d7edf22db0c5e0b0dd10,https://github.com/apache/maven-2/tree/2628261b753a53f56863a5c0150994135148bbbe,https://github.com/apache/maven-2/compare/08df9d163d416caa8975d7edf22db0c5e0b0dd10...2628261b753a53f56863a5c0150994135148bbbe
2,Maven2_artifact,5653c7e402cbbeaa8b2f904d3160452362b54905,70a510917cf14f436e62dc5ea79e9b9961379397,MNG-255,https://issues.apache.org/jira/browse/MNG-255,https://github.com/apache/maven-2/tree/5653c7e402cbbeaa8b2f904d3160452362b54905,https://github.com/apache/maven-2/tree/70a510917cf14f436e62dc5ea79e9b9961379397,https://github.com/apache/maven-2/compare/5653c7e402cbbeaa8b2f904d3160452362b54905...70a510917cf14f436e62dc5ea79e9b9961379397
3,Maven2_artifact,45541c55649e58f9f6b7d181bd1eb6799fcb45d1,ccfdf7af42916db224edaf295fbdc349eb269806,MNG-260,https://issues.apache.org/jira/browse/MNG-260,https://github.com/apache/maven-2/tree/45541c55649e58f9f6b7d181bd1eb6799fcb45d1,https://github.com/apache/maven-2/tree/ccfdf7af42916db224edaf295fbdc349eb269806,https://github.com/apache/maven-2/compare/45541c55649e58f9f6b7d181bd1eb6799fcb45d1...ccfdf7af42916db224edaf295fbdc349eb269806
4,Maven2_artifact,4493e3cbeb9452bf0899cef251cbfc3b0eb292ef,f86ee59771fa79abb2b2e660da8f7f1523515408,MNG-297,https://issues.apache.org/jira/browse/MNG-297,https://github.com/apache/maven-2/tree/4493e3cbeb9452bf0899cef251cbfc3b0eb292ef,https://github.com/apache/maven-2/tree/f86ee59771fa79abb2b2e660da8f7f1523515408,https://github.com/apache/maven-2/compare/4493e3cbeb9452bf0899cef251cbfc3b0eb292ef...f86ee59771fa79abb2b2e660da8f7f1523515408
5,Maven2_artifact,00644fbd385b2d7a632357861106803aa95c0c76,075932b36df523ad207400738c3769036c7f737c,MNG-447,https://issues.apache.org/jira/browse/MNG-447,https://github.com/apache/maven-2/tree/00644fbd385b2d7a632357861106803aa95c0c76,https://github.com/apache/maven-2/tree/075932b36df523ad207400738c3769036c7f737c,https://github.com/apache/maven-2/compare/00644fbd385b2d7a632357861106803aa95c0c76...075932b36df523ad207400738c3769036c7f737c
6,Maven2_artifact,1218c92bd4e7112b54c72dec9f81a806f0c20793,3db9b6cd559cd92450e8b59ea084b2850127dc67,MNG-446,https://issues.apache.org/jira/browse/MNG-446,https://github.com/apache/maven-2/tree/1218c92bd4e7112b54c72dec9f81a806f0c20793,https://github.com/apache/maven-2/tree/3db9b6cd559cd92450e8b59ea084b2850127dc67,https://github.com/apache/maven-2/compare/1218c92bd4e7112b54c72dec9f81a806f0c20793...3db9b6cd559cd92450e8b59ea084b2850127dc67
7,Maven2_artifact,ce3665851c653760544a3e825972d360c15466c7,b4cfe5671125835f383e39935919abceca9b85b6,MNG-261,https://issues.apache.org/jira/browse/MNG-261,https://github.com/apache/maven-2/tree/ce3665851c653760544a3e825972d360c15466c7,https://github.com/apache/maven-2/tree/b4cfe5671125835f383e39935919abceca9b85b6,https://github.com/apache/maven-2/compare/ce3665851c653760544a3e825972d360c15466c7...b4cfe5671125835f383e39935919abceca9b85b6
8,Maven2_artifact,29439c710c076548aaeb2e09dc0b9eed574c960e,b76388e3c47bf41127f279bd9cc5ec5976cb4c68,MNG-486,https://issues.apache.org/jira/browse/MNG-486,https://github.com/apache/maven-2/tree/29439c710c076548aaeb2e09dc0b9eed574c960e,https://github.com/apache/maven-2/tree/b76388e3c47bf41127f279bd9cc5ec5976cb4c68,https://github.com/apache/maven-2/compare/29439c710c076548aaeb2e09dc0b9eed574c960e...b76388e3c47bf41127f279bd9cc5ec5976cb4c68
9,Maven2_artifact,e90ba206d3afd5569a644bd9f68ffa8943d15d44,ea5bbda3e0858ce74651d59c96586a2211251a06,MNG-63,https://issues.apache.org/jira/browse/MNG-63,https://github.com/apache/maven-2/tree/e90ba206d3afd5569a644bd9f68ffa8943d15d44,https://github.com/apache/maven-2/tree/ea5bbda3e0858ce74651d59c96586a2211251a06,https://github.com/apache/maven-2/compare/e90ba206d3afd5569a644bd9f68ffa8943d15d44...ea5bbda3e0858ce74651d59c96586a2211251a06
10,Maven2_artifact,872214ca25579b29080c72907e9990fa4ab9a47a,2c80da6ba485dadb9aca2a8aa1a42988bcea5460,MNG-482,https://issues.apache.org/jira/browse/MNG-482,https://github.com/apache/maven-2/tree/872214ca25579b29080c72907e9990fa4ab9a47a,https://github.com/apache/maven-2/tree/2c80da6ba485dadb9aca2a8aa1a42988bcea5460,https://github.com/apache/maven-2/compare/872214ca25579b29080c72907e9990fa4ab9a47a...2c80da6ba485dadb9aca2a8aa1a42988bcea5460
11,Maven2_artifact,c6ad9aa729f9fe128869eb84dd7bb9310954685e,c7d5e83520949f2577db6ad37e63c27cb10f4ae3,MNG-397,https://issues.apache.org/jira/browse/MNG-397,https://github.com/apache/maven-2/tree/c6ad9aa729f9fe128869eb84dd7bb9310954685e,https://github.com/apache/maven-2/tree/c7d5e83520949f2577db6ad37e63c27cb10f4ae3,https://github.com/apache/maven-2/compare/c6ad9aa729f9fe128869eb84dd7bb9310954685e...c7d5e83520949f2577db6ad37e63c27cb10f4ae3
12,Maven2_artifact,999f9393eb98e5882ec6ed40c5af93749cbd593a,e78bef04292b2804a9569346e0643c447a5441dd,MNG-598,https://issues.apache.org/jira/browse/MNG-598,https://github.com/apache/maven-2/tree/999f9393eb98e5882ec6ed40c5af93749cbd593a,https://github.com/apache/maven-2/tree/e78bef04292b2804a9569346e0643c447a5441dd,https://github.com/apache/maven-2/compare/999f9393eb98e5882ec6ed40c5af93749cbd593a...e78bef04292b2804a9569346e0643c447a5441dd
13,Maven2_artifact,527c6b499069b4919eba626eb1f4588280484d5e,8b01ca10f7aac10f989f7b808487687e8516bdb4,MNG-226,https://issues.apache.org/jira/browse/MNG-226,https://github.com/apache/maven-2/tree/527c6b499069b4919eba626eb1f4588280484d5e,https://github.com/apache/maven-2/tree/8b01ca10f7aac10f989f7b808487687e8516bdb4,https://github.com/apache/maven-2/compare/527c6b499069b4919eba626eb1f4588280484d5e...8b01ca10f7aac10f989f7b808487687e8516bdb4
14,Maven2_artifact,fc1cbaeb1efd57a9a0ee9320603c1f31846d2b61,826413b74a50865c55b200deae55da7ad2bf3764,MNG-598,https://issues.apache.org/jira/browse/MNG-598,https://github.com/apache/maven-2/tree/fc1cbaeb1efd57a9a0ee9320603c1f31846d2b61,https://github.com/apache/maven-2/tree/826413b74a50865c55b200deae55da7ad2bf3764,https://github.com/apache/maven-2/compare/fc1cbaeb1efd57a9a0ee9320603c1f31846d2b61...826413b74a50865c55b200deae55da7ad2bf3764
