bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,MetaModel_core,4a3ddf03c8770705b8f1a7371c2de0892cb7837d,05dce3ff346fab76d4354770db9b018440914451,METAMODEL-29,https://issues.apache.org/jira/browse/METAMODEL-29,https://github.com/apache/metamodel/tree/4a3ddf03c8770705b8f1a7371c2de0892cb7837d,https://github.com/apache/metamodel/tree/05dce3ff346fab76d4354770db9b018440914451,https://github.com/apache/metamodel/compare/4a3ddf03c8770705b8f1a7371c2de0892cb7837d...05dce3ff346fab76d4354770db9b018440914451
2,MetaModel_core,828c82d5dcc4ff32ac2c0ad646a3532c54a1013c,2648a4f15650458a9c6d8450ef294a1185087f8a,METAMODEL-47,https://issues.apache.org/jira/browse/METAMODEL-47,https://github.com/apache/metamodel/tree/828c82d5dcc4ff32ac2c0ad646a3532c54a1013c,https://github.com/apache/metamodel/tree/2648a4f15650458a9c6d8450ef294a1185087f8a,https://github.com/apache/metamodel/compare/828c82d5dcc4ff32ac2c0ad646a3532c54a1013c...2648a4f15650458a9c6d8450ef294a1185087f8a
3,MetaModel_core,a7b347503e7bbc6c030ae5bef25839606b9b68c6,816aa86187fa1ced3634feaf3ed3094077bffb20,METAMODEL-54,https://issues.apache.org/jira/browse/METAMODEL-54,https://github.com/apache/metamodel/tree/a7b347503e7bbc6c030ae5bef25839606b9b68c6,https://github.com/apache/metamodel/tree/816aa86187fa1ced3634feaf3ed3094077bffb20,https://github.com/apache/metamodel/compare/a7b347503e7bbc6c030ae5bef25839606b9b68c6...816aa86187fa1ced3634feaf3ed3094077bffb20
4,MetaModel_core,816aa86187fa1ced3634feaf3ed3094077bffb20,7bf85f9097bac5f1784bb13b942a053eba2df86d,METAMODEL-3,https://issues.apache.org/jira/browse/METAMODEL-3,https://github.com/apache/metamodel/tree/816aa86187fa1ced3634feaf3ed3094077bffb20,https://github.com/apache/metamodel/tree/7bf85f9097bac5f1784bb13b942a053eba2df86d,https://github.com/apache/metamodel/compare/816aa86187fa1ced3634feaf3ed3094077bffb20...7bf85f9097bac5f1784bb13b942a053eba2df86d
5,MetaModel_core,979ac783553cd98ec257437d011cd19a9807103e,f1ca2be89aeb0fff790f9fa7de28c7ca579be032,METAMODEL-58,https://issues.apache.org/jira/browse/METAMODEL-58,https://github.com/apache/metamodel/tree/979ac783553cd98ec257437d011cd19a9807103e,https://github.com/apache/metamodel/tree/f1ca2be89aeb0fff790f9fa7de28c7ca579be032,https://github.com/apache/metamodel/compare/979ac783553cd98ec257437d011cd19a9807103e...f1ca2be89aeb0fff790f9fa7de28c7ca579be032
6,MetaModel_core,069de273cb62e21c899353ec4eaf56636c2fcd63,9d60bceb0713a8294aa6a370b1c9fc91f5ae8d7b,METAMODEL-70,https://issues.apache.org/jira/browse/METAMODEL-70,https://github.com/apache/metamodel/tree/069de273cb62e21c899353ec4eaf56636c2fcd63,https://github.com/apache/metamodel/tree/9d60bceb0713a8294aa6a370b1c9fc91f5ae8d7b,https://github.com/apache/metamodel/compare/069de273cb62e21c899353ec4eaf56636c2fcd63...9d60bceb0713a8294aa6a370b1c9fc91f5ae8d7b
7,MetaModel_core,9d60bceb0713a8294aa6a370b1c9fc91f5ae8d7b,cad631d6b8b8fd0a57409356c756e4f448b8851f,METAMODEL-69,https://issues.apache.org/jira/browse/METAMODEL-69,https://github.com/apache/metamodel/tree/9d60bceb0713a8294aa6a370b1c9fc91f5ae8d7b,https://github.com/apache/metamodel/tree/cad631d6b8b8fd0a57409356c756e4f448b8851f,https://github.com/apache/metamodel/compare/9d60bceb0713a8294aa6a370b1c9fc91f5ae8d7b...cad631d6b8b8fd0a57409356c756e4f448b8851f
8,MetaModel_core,cad631d6b8b8fd0a57409356c756e4f448b8851f,85e457f3cb05975d9bf832deba589c93e346e3d6,METAMODEL-69,https://issues.apache.org/jira/browse/METAMODEL-69,https://github.com/apache/metamodel/tree/cad631d6b8b8fd0a57409356c756e4f448b8851f,https://github.com/apache/metamodel/tree/85e457f3cb05975d9bf832deba589c93e346e3d6,https://github.com/apache/metamodel/compare/cad631d6b8b8fd0a57409356c756e4f448b8851f...85e457f3cb05975d9bf832deba589c93e346e3d6
9,MetaModel_core,39c4a391b55e360eaa4132c598648e0b27563756,a395c5f8023700c2ef47fbb542dd3bf8b88a6ee3,METAMODEL-69,https://issues.apache.org/jira/browse/METAMODEL-69,https://github.com/apache/metamodel/tree/39c4a391b55e360eaa4132c598648e0b27563756,https://github.com/apache/metamodel/tree/a395c5f8023700c2ef47fbb542dd3bf8b88a6ee3,https://github.com/apache/metamodel/compare/39c4a391b55e360eaa4132c598648e0b27563756...a395c5f8023700c2ef47fbb542dd3bf8b88a6ee3
10,MetaModel_core,a395c5f8023700c2ef47fbb542dd3bf8b88a6ee3,48db730750cc907ec53858be2d567c89fff9a2f0,METAMODEL-69,https://issues.apache.org/jira/browse/METAMODEL-69,https://github.com/apache/metamodel/tree/a395c5f8023700c2ef47fbb542dd3bf8b88a6ee3,https://github.com/apache/metamodel/tree/48db730750cc907ec53858be2d567c89fff9a2f0,https://github.com/apache/metamodel/compare/a395c5f8023700c2ef47fbb542dd3bf8b88a6ee3...48db730750cc907ec53858be2d567c89fff9a2f0
