bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,MetaModel_csv,ea419bacf33b2da98c40755a8c1b95ba6672f86e,3e395f640c7ac6aa50f8effce40c68281f43b618,METAMODEL-30,https://issues.apache.org/jira/browse/METAMODEL-30,https://github.com/apache/metamodel/tree/ea419bacf33b2da98c40755a8c1b95ba6672f86e,https://github.com/apache/metamodel/tree/3e395f640c7ac6aa50f8effce40c68281f43b618,https://github.com/apache/metamodel/compare/ea419bacf33b2da98c40755a8c1b95ba6672f86e...3e395f640c7ac6aa50f8effce40c68281f43b618
2,MetaModel_csv,554b1afc6e73bd40cacf69bdb5648d2330c9d22a,828c82d5dcc4ff32ac2c0ad646a3532c54a1013c,METAMODEL-43,https://issues.apache.org/jira/browse/METAMODEL-43,https://github.com/apache/metamodel/tree/554b1afc6e73bd40cacf69bdb5648d2330c9d22a,https://github.com/apache/metamodel/tree/828c82d5dcc4ff32ac2c0ad646a3532c54a1013c,https://github.com/apache/metamodel/compare/554b1afc6e73bd40cacf69bdb5648d2330c9d22a...828c82d5dcc4ff32ac2c0ad646a3532c54a1013c
3,MetaModel_csv,1d7270c12f21626cd560ea4486ada7e2175f2104,fa16e374139bb31b1f651f3bfa47614ab24b6533,METAMODEL-62,https://issues.apache.org/jira/browse/METAMODEL-62,https://github.com/apache/metamodel/tree/1d7270c12f21626cd560ea4486ada7e2175f2104,https://github.com/apache/metamodel/tree/fa16e374139bb31b1f651f3bfa47614ab24b6533,https://github.com/apache/metamodel/compare/1d7270c12f21626cd560ea4486ada7e2175f2104...fa16e374139bb31b1f651f3bfa47614ab24b6533
4,MetaModel_csv,845895e54ccb6a5f979a45284eb801976fade83b,23c8f11464344feef1e6d2e63aa459eb4e4d2b09,METAMODEL-90,https://issues.apache.org/jira/browse/METAMODEL-90,https://github.com/apache/metamodel/tree/845895e54ccb6a5f979a45284eb801976fade83b,https://github.com/apache/metamodel/tree/23c8f11464344feef1e6d2e63aa459eb4e4d2b09,https://github.com/apache/metamodel/compare/845895e54ccb6a5f979a45284eb801976fade83b...23c8f11464344feef1e6d2e63aa459eb4e4d2b09
5,MetaModel_csv,7d21fba0a5579c96a0ab1feb5818621cfa299e9a,d1966b3756b92e3eed5943a2d1e76b949928daeb,METAMODEL-173,https://issues.apache.org/jira/browse/METAMODEL-173,https://github.com/apache/metamodel/tree/7d21fba0a5579c96a0ab1feb5818621cfa299e9a,https://github.com/apache/metamodel/tree/d1966b3756b92e3eed5943a2d1e76b949928daeb,https://github.com/apache/metamodel/compare/7d21fba0a5579c96a0ab1feb5818621cfa299e9a...d1966b3756b92e3eed5943a2d1e76b949928daeb
6,MetaModel_csv,1758ae20691a407e19e1ae0738ef4e594757024c,ef354e837f815e3bfde7661913561c384999117c,METAMODEL-207,https://issues.apache.org/jira/browse/METAMODEL-207,https://github.com/apache/metamodel/tree/1758ae20691a407e19e1ae0738ef4e594757024c,https://github.com/apache/metamodel/tree/ef354e837f815e3bfde7661913561c384999117c,https://github.com/apache/metamodel/compare/1758ae20691a407e19e1ae0738ef4e594757024c...ef354e837f815e3bfde7661913561c384999117c
7,MetaModel_csv,b2eca1c3a400d6c6e6b7bf758d29c1e2e4865e4a,f779f43cd048ce9fb5c05bb92ee31a9039a3a4fa,METAMODEL-227,https://issues.apache.org/jira/browse/METAMODEL-227,https://github.com/apache/metamodel/tree/b2eca1c3a400d6c6e6b7bf758d29c1e2e4865e4a,https://github.com/apache/metamodel/tree/f779f43cd048ce9fb5c05bb92ee31a9039a3a4fa,https://github.com/apache/metamodel/compare/b2eca1c3a400d6c6e6b7bf758d29c1e2e4865e4a...f779f43cd048ce9fb5c05bb92ee31a9039a3a4fa
8,MetaModel_csv,dbc9b54e5546646ff7023ad5f8cccceaece54816,f1fc2bf4da40775ffa11416c665460d59b0180fb,METAMODEL-1086,https://issues.apache.org/jira/browse/METAMODEL-1086,https://github.com/apache/metamodel/tree/dbc9b54e5546646ff7023ad5f8cccceaece54816,https://github.com/apache/metamodel/tree/f1fc2bf4da40775ffa11416c665460d59b0180fb,https://github.com/apache/metamodel/compare/dbc9b54e5546646ff7023ad5f8cccceaece54816...f1fc2bf4da40775ffa11416c665460d59b0180fb
9,MetaModel_csv,8a17fbfbb4c37c702fd362a25bc401268a08e3f1,9c8f0b9d100853431f20b5761b4364c04276452b,METAMODEL-1113,https://issues.apache.org/jira/browse/METAMODEL-1113,https://github.com/apache/metamodel/tree/8a17fbfbb4c37c702fd362a25bc401268a08e3f1,https://github.com/apache/metamodel/tree/9c8f0b9d100853431f20b5761b4364c04276452b,https://github.com/apache/metamodel/compare/8a17fbfbb4c37c702fd362a25bc401268a08e3f1...9c8f0b9d100853431f20b5761b4364c04276452b
10,MetaModel_csv,9976b410f775d09f6d458be435ae01af5171e9bb,018c9d1a00bf0908c340396677f4a3994fec9b31,METAMODEL-1141,https://issues.apache.org/jira/browse/METAMODEL-1141,https://github.com/apache/metamodel/tree/9976b410f775d09f6d458be435ae01af5171e9bb,https://github.com/apache/metamodel/tree/018c9d1a00bf0908c340396677f4a3994fec9b31,https://github.com/apache/metamodel/compare/9976b410f775d09f6d458be435ae01af5171e9bb...018c9d1a00bf0908c340396677f4a3994fec9b31
11,MetaModel_csv,7c8628a072ba625690b08cd41185236f8128b1d7,583e32aed942a1b091891459b068a2f8c4d17602,METAMODEL-1160,https://issues.apache.org/jira/browse/METAMODEL-1160,https://github.com/apache/metamodel/tree/7c8628a072ba625690b08cd41185236f8128b1d7,https://github.com/apache/metamodel/tree/583e32aed942a1b091891459b068a2f8c4d17602,https://github.com/apache/metamodel/compare/7c8628a072ba625690b08cd41185236f8128b1d7...583e32aed942a1b091891459b068a2f8c4d17602
