bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,MetaModel_jdbc,d05da0c37bd498b6a99e26e217fcb03de76ef5a6,bdef4329763498b71a9eb780eb6e54427be37541,METAMODEL-35,https://issues.apache.org/jira/browse/METAMODEL-35,https://github.com/apache/metamodel/tree/d05da0c37bd498b6a99e26e217fcb03de76ef5a6,https://github.com/apache/metamodel/tree/bdef4329763498b71a9eb780eb6e54427be37541,https://github.com/apache/metamodel/compare/d05da0c37bd498b6a99e26e217fcb03de76ef5a6...bdef4329763498b71a9eb780eb6e54427be37541
2,MetaModel_jdbc,bd54b1e0d04b697f3d8c882ddafb66de9562c14d,49a1553cac0fb17c906d9d43dff1bd6bbecd5dd1,METAMODEL-59,https://issues.apache.org/jira/browse/METAMODEL-59,https://github.com/apache/metamodel/tree/bd54b1e0d04b697f3d8c882ddafb66de9562c14d,https://github.com/apache/metamodel/tree/49a1553cac0fb17c906d9d43dff1bd6bbecd5dd1,https://github.com/apache/metamodel/compare/bd54b1e0d04b697f3d8c882ddafb66de9562c14d...49a1553cac0fb17c906d9d43dff1bd6bbecd5dd1
3,MetaModel_jdbc,49a1553cac0fb17c906d9d43dff1bd6bbecd5dd1,2023997c98fd8e0b2da6639709c61843cb165f13,METAMODEL-60,https://issues.apache.org/jira/browse/METAMODEL-60,https://github.com/apache/metamodel/tree/49a1553cac0fb17c906d9d43dff1bd6bbecd5dd1,https://github.com/apache/metamodel/tree/2023997c98fd8e0b2da6639709c61843cb165f13,https://github.com/apache/metamodel/compare/49a1553cac0fb17c906d9d43dff1bd6bbecd5dd1...2023997c98fd8e0b2da6639709c61843cb165f13
4,MetaModel_jdbc,fff3a930dc2ab6c4540cc22e96ef4c019f8e290b,a2dc297e17ee1972422911deeb235d3bdafa1e3d,METAMODEL-85,https://issues.apache.org/jira/browse/METAMODEL-85,https://github.com/apache/metamodel/tree/fff3a930dc2ab6c4540cc22e96ef4c019f8e290b,https://github.com/apache/metamodel/tree/a2dc297e17ee1972422911deeb235d3bdafa1e3d,https://github.com/apache/metamodel/compare/fff3a930dc2ab6c4540cc22e96ef4c019f8e290b...a2dc297e17ee1972422911deeb235d3bdafa1e3d
5,MetaModel_jdbc,1b4cd55cf5a21620325ba711c1efd77d324e63a5,1bc0887ef3853d11903259133d45e4acce10213c,METAMODEL-131,https://issues.apache.org/jira/browse/METAMODEL-131,https://github.com/apache/metamodel/tree/1b4cd55cf5a21620325ba711c1efd77d324e63a5,https://github.com/apache/metamodel/tree/1bc0887ef3853d11903259133d45e4acce10213c,https://github.com/apache/metamodel/compare/1b4cd55cf5a21620325ba711c1efd77d324e63a5...1bc0887ef3853d11903259133d45e4acce10213c
6,MetaModel_jdbc,3b7c4fcdfba600727f2eb9ad1186ab8bdd79219c,f9ba2470a2593bb24ac599c30f21b94622036548,METAMODEL-142,https://issues.apache.org/jira/browse/METAMODEL-142,https://github.com/apache/metamodel/tree/3b7c4fcdfba600727f2eb9ad1186ab8bdd79219c,https://github.com/apache/metamodel/tree/f9ba2470a2593bb24ac599c30f21b94622036548,https://github.com/apache/metamodel/compare/3b7c4fcdfba600727f2eb9ad1186ab8bdd79219c...f9ba2470a2593bb24ac599c30f21b94622036548
7,MetaModel_jdbc,973a069d54f925a45c4db23e782901afd63e64bc,8156d76fd10a9ccc3ae88563e417b9c8700f22a3,METAMODEL-151,https://issues.apache.org/jira/browse/METAMODEL-151,https://github.com/apache/metamodel/tree/973a069d54f925a45c4db23e782901afd63e64bc,https://github.com/apache/metamodel/tree/8156d76fd10a9ccc3ae88563e417b9c8700f22a3,https://github.com/apache/metamodel/compare/973a069d54f925a45c4db23e782901afd63e64bc...8156d76fd10a9ccc3ae88563e417b9c8700f22a3
8,MetaModel_jdbc,15c94fc87f9165c7e9528f4dee4d4f10e3fd5420,e3e8357b9c5fadce3a7f00b73dff625219bea06f,METAMODEL-176,https://issues.apache.org/jira/browse/METAMODEL-176,https://github.com/apache/metamodel/tree/15c94fc87f9165c7e9528f4dee4d4f10e3fd5420,https://github.com/apache/metamodel/tree/e3e8357b9c5fadce3a7f00b73dff625219bea06f,https://github.com/apache/metamodel/compare/15c94fc87f9165c7e9528f4dee4d4f10e3fd5420...e3e8357b9c5fadce3a7f00b73dff625219bea06f
9,MetaModel_jdbc,237f454778936989bc868a2e572bbb8507311cc4,cda516b16a30258d7ec07da0f336851f40bdda7f,METAMODEL-157,https://issues.apache.org/jira/browse/METAMODEL-157,https://github.com/apache/metamodel/tree/237f454778936989bc868a2e572bbb8507311cc4,https://github.com/apache/metamodel/tree/cda516b16a30258d7ec07da0f336851f40bdda7f,https://github.com/apache/metamodel/compare/237f454778936989bc868a2e572bbb8507311cc4...cda516b16a30258d7ec07da0f336851f40bdda7f
10,MetaModel_jdbc,d17a10dd01a5e22b8d9c3f5511c553d97e0c5098,b95d74f1fe51ade825a0369fdc56d11b726fc884,METAMODEL-194,https://issues.apache.org/jira/browse/METAMODEL-194,https://github.com/apache/metamodel/tree/d17a10dd01a5e22b8d9c3f5511c553d97e0c5098,https://github.com/apache/metamodel/tree/b95d74f1fe51ade825a0369fdc56d11b726fc884,https://github.com/apache/metamodel/compare/d17a10dd01a5e22b8d9c3f5511c553d97e0c5098...b95d74f1fe51ade825a0369fdc56d11b726fc884
