bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Mitmproxy,5d6f855387e61ae21371734fdd7a48bca301fe64,ebfa9b2a5d6d0fa119059e833b4b3db8a3ea86b3,10,https://github.com/mitmproxy/mitmproxy/issues/10,https://github.com/mitmproxy/mitmproxy/tree/5d6f855387e61ae21371734fdd7a48bca301fe64,https://github.com/mitmproxy/mitmproxy/tree/ebfa9b2a5d6d0fa119059e833b4b3db8a3ea86b3,https://github.com/mitmproxy/mitmproxy/compare/5d6f855387e61ae21371734fdd7a48bca301fe64...ebfa9b2a5d6d0fa119059e833b4b3db8a3ea86b3
2,Mitmproxy,46c5982d3da0355f458ceea2077230fbed9c289b,e484e667a60831f369c94758c40b1e825d9b6f99,26,https://github.com/mitmproxy/mitmproxy/issues/26,https://github.com/mitmproxy/mitmproxy/tree/46c5982d3da0355f458ceea2077230fbed9c289b,https://github.com/mitmproxy/mitmproxy/tree/e484e667a60831f369c94758c40b1e825d9b6f99,https://github.com/mitmproxy/mitmproxy/compare/46c5982d3da0355f458ceea2077230fbed9c289b...e484e667a60831f369c94758c40b1e825d9b6f99
3,Mitmproxy,16e87a81acf2f6992a47d54b6f2cad61c8b8ff2b,f070e4523aebd383f6424a020c93f4065aaa673c,47,https://github.com/mitmproxy/mitmproxy/issues/47,https://github.com/mitmproxy/mitmproxy/tree/16e87a81acf2f6992a47d54b6f2cad61c8b8ff2b,https://github.com/mitmproxy/mitmproxy/tree/f070e4523aebd383f6424a020c93f4065aaa673c,https://github.com/mitmproxy/mitmproxy/compare/16e87a81acf2f6992a47d54b6f2cad61c8b8ff2b...f070e4523aebd383f6424a020c93f4065aaa673c
4,Mitmproxy,8c976ac7f0f17f617d483827a8b53b01ddf5d398,09c29e894e989639a44a00009dae3b8bfc738a84,70,https://github.com/mitmproxy/mitmproxy/issues/70,https://github.com/mitmproxy/mitmproxy/tree/8c976ac7f0f17f617d483827a8b53b01ddf5d398,https://github.com/mitmproxy/mitmproxy/tree/09c29e894e989639a44a00009dae3b8bfc738a84,https://github.com/mitmproxy/mitmproxy/compare/8c976ac7f0f17f617d483827a8b53b01ddf5d398...09c29e894e989639a44a00009dae3b8bfc738a84
5,Mitmproxy,0451eb193ef0abaf875bfd8ad2a1ac4bd68c3efe,4d250095cba36b32ce3e5083d453525209eeee06,79,https://github.com/mitmproxy/mitmproxy/issues/79,https://github.com/mitmproxy/mitmproxy/tree/0451eb193ef0abaf875bfd8ad2a1ac4bd68c3efe,https://github.com/mitmproxy/mitmproxy/tree/4d250095cba36b32ce3e5083d453525209eeee06,https://github.com/mitmproxy/mitmproxy/compare/0451eb193ef0abaf875bfd8ad2a1ac4bd68c3efe...4d250095cba36b32ce3e5083d453525209eeee06
6,Mitmproxy,c34d1e3de6483b1ab8a1a3add53fb84364c68249,cfb5ba89ce96594b2f8d51f27c9b2ee41ecf18e5,104,https://github.com/mitmproxy/mitmproxy/issues/104,https://github.com/mitmproxy/mitmproxy/tree/c34d1e3de6483b1ab8a1a3add53fb84364c68249,https://github.com/mitmproxy/mitmproxy/tree/cfb5ba89ce96594b2f8d51f27c9b2ee41ecf18e5,https://github.com/mitmproxy/mitmproxy/compare/c34d1e3de6483b1ab8a1a3add53fb84364c68249...cfb5ba89ce96594b2f8d51f27c9b2ee41ecf18e5
7,Mitmproxy,cfb5ba89ce96594b2f8d51f27c9b2ee41ecf18e5,5b48bce5854693afd83b5f1e18fdda869e8d8a1b,105,https://github.com/mitmproxy/mitmproxy/issues/105,https://github.com/mitmproxy/mitmproxy/tree/cfb5ba89ce96594b2f8d51f27c9b2ee41ecf18e5,https://github.com/mitmproxy/mitmproxy/tree/5b48bce5854693afd83b5f1e18fdda869e8d8a1b,https://github.com/mitmproxy/mitmproxy/compare/cfb5ba89ce96594b2f8d51f27c9b2ee41ecf18e5...5b48bce5854693afd83b5f1e18fdda869e8d8a1b
8,Mitmproxy,19279033b351ad267f77b57c26adff115ceb5904,7ef68b5a13ac41c0a180b891c5331c8526c1e7f4,133,https://github.com/mitmproxy/mitmproxy/issues/133,https://github.com/mitmproxy/mitmproxy/tree/19279033b351ad267f77b57c26adff115ceb5904,https://github.com/mitmproxy/mitmproxy/tree/7ef68b5a13ac41c0a180b891c5331c8526c1e7f4,https://github.com/mitmproxy/mitmproxy/compare/19279033b351ad267f77b57c26adff115ceb5904...7ef68b5a13ac41c0a180b891c5331c8526c1e7f4
9,Mitmproxy,7ef68b5a13ac41c0a180b891c5331c8526c1e7f4,9f6657727b9f1639970beb6052837a4ab6c33299,125,https://github.com/mitmproxy/mitmproxy/issues/125,https://github.com/mitmproxy/mitmproxy/tree/7ef68b5a13ac41c0a180b891c5331c8526c1e7f4,https://github.com/mitmproxy/mitmproxy/tree/9f6657727b9f1639970beb6052837a4ab6c33299,https://github.com/mitmproxy/mitmproxy/compare/7ef68b5a13ac41c0a180b891c5331c8526c1e7f4...9f6657727b9f1639970beb6052837a4ab6c33299
10,Mitmproxy,9f6657727b9f1639970beb6052837a4ab6c33299,1a5c27aa7db69f6175a8bb493fde85a8e92dcff7,67,https://github.com/mitmproxy/mitmproxy/issues/67,https://github.com/mitmproxy/mitmproxy/tree/9f6657727b9f1639970beb6052837a4ab6c33299,https://github.com/mitmproxy/mitmproxy/tree/1a5c27aa7db69f6175a8bb493fde85a8e92dcff7,https://github.com/mitmproxy/mitmproxy/compare/9f6657727b9f1639970beb6052837a4ab6c33299...1a5c27aa7db69f6175a8bb493fde85a8e92dcff7
