bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Mockito,2e94be850bf7b7cba5ad8780189b3842aa902cc1,d665c1ca64e65a4b64a220cfc9dc3ee066a139f2,96,https://github.com/mockito/mockito/issues/96,https://github.com/mockito/mockito/tree/2e94be850bf7b7cba5ad8780189b3842aa902cc1,https://github.com/mockito/mockito/tree/d665c1ca64e65a4b64a220cfc9dc3ee066a139f2,https://github.com/mockito/mockito/compare/2e94be850bf7b7cba5ad8780189b3842aa902cc1...d665c1ca64e65a4b64a220cfc9dc3ee066a139f2
2,Mockito,7a74fbcce1f2b041293b62e7272e21557de698a3,1d9d483a599a8f8c5aec5d9bd1ff605623477388,105,https://github.com/mockito/mockito/issues/105,https://github.com/mockito/mockito/tree/7a74fbcce1f2b041293b62e7272e21557de698a3,https://github.com/mockito/mockito/tree/1d9d483a599a8f8c5aec5d9bd1ff605623477388,https://github.com/mockito/mockito/compare/7a74fbcce1f2b041293b62e7272e21557de698a3...1d9d483a599a8f8c5aec5d9bd1ff605623477388
3,Mockito,9378bc42c8c5cc870a755fe268af778e6261aa4b,6d665caedab2366313c8e14a770077383c206c14,107,https://github.com/mockito/mockito/issues/107,https://github.com/mockito/mockito/tree/9378bc42c8c5cc870a755fe268af778e6261aa4b,https://github.com/mockito/mockito/tree/6d665caedab2366313c8e14a770077383c206c14,https://github.com/mockito/mockito/compare/9378bc42c8c5cc870a755fe268af778e6261aa4b...6d665caedab2366313c8e14a770077383c206c14
4,Mockito,5f6a3cb640bf97b1df8d75a81af4a4eb8c24c036,e70919d8a887b0721cea7119e4f67ea7f6530a74,112,https://github.com/mockito/mockito/issues/112,https://github.com/mockito/mockito/tree/5f6a3cb640bf97b1df8d75a81af4a4eb8c24c036,https://github.com/mockito/mockito/tree/e70919d8a887b0721cea7119e4f67ea7f6530a74,https://github.com/mockito/mockito/compare/5f6a3cb640bf97b1df8d75a81af4a4eb8c24c036...e70919d8a887b0721cea7119e4f67ea7f6530a74
5,Mockito,8bc06cbce6d13da52e5fea6ffdc83cbad472e3b1,1b8674b476d489802b8fc3bbd552d175d2e07f08,119,https://github.com/mockito/mockito/issues/119,https://github.com/mockito/mockito/tree/8bc06cbce6d13da52e5fea6ffdc83cbad472e3b1,https://github.com/mockito/mockito/tree/1b8674b476d489802b8fc3bbd552d175d2e07f08,https://github.com/mockito/mockito/compare/8bc06cbce6d13da52e5fea6ffdc83cbad472e3b1...1b8674b476d489802b8fc3bbd552d175d2e07f08
6,Mockito,1b8674b476d489802b8fc3bbd552d175d2e07f08,a21ff2d1b4a6cb0b668a4e1946b76be3561d0eed,119,https://github.com/mockito/mockito/issues/119,https://github.com/mockito/mockito/tree/1b8674b476d489802b8fc3bbd552d175d2e07f08,https://github.com/mockito/mockito/tree/a21ff2d1b4a6cb0b668a4e1946b76be3561d0eed,https://github.com/mockito/mockito/compare/1b8674b476d489802b8fc3bbd552d175d2e07f08...a21ff2d1b4a6cb0b668a4e1946b76be3561d0eed
7,Mockito,f45c2dc0c21f365218fa093106e45dbb0b54746a,31f908029b8cd9b1f32bed3a41651b30ebb47b9f,122,https://github.com/mockito/mockito/issues/122,https://github.com/mockito/mockito/tree/f45c2dc0c21f365218fa093106e45dbb0b54746a,https://github.com/mockito/mockito/tree/31f908029b8cd9b1f32bed3a41651b30ebb47b9f,https://github.com/mockito/mockito/compare/f45c2dc0c21f365218fa093106e45dbb0b54746a...31f908029b8cd9b1f32bed3a41651b30ebb47b9f
8,Mockito,03092d20186b02385545dc574ca84dd015e53c89,80d17bbed386675c86e2bff0eae3c8de28e36e4d,135,https://github.com/mockito/mockito/issues/135,https://github.com/mockito/mockito/tree/03092d20186b02385545dc574ca84dd015e53c89,https://github.com/mockito/mockito/tree/80d17bbed386675c86e2bff0eae3c8de28e36e4d,https://github.com/mockito/mockito/compare/03092d20186b02385545dc574ca84dd015e53c89...80d17bbed386675c86e2bff0eae3c8de28e36e4d
9,Mockito,8c33547e97f124e790a85db2df93aae525485a76,6d10d03eabb2b9ca580a65688c324f44565fd770,136,https://github.com/mockito/mockito/issues/136,https://github.com/mockito/mockito/tree/8c33547e97f124e790a85db2df93aae525485a76,https://github.com/mockito/mockito/tree/6d10d03eabb2b9ca580a65688c324f44565fd770,https://github.com/mockito/mockito/compare/8c33547e97f124e790a85db2df93aae525485a76...6d10d03eabb2b9ca580a65688c324f44565fd770
10,Mockito,830e10671f0f877b3f668ca8c6f8535e8a01e8d3,8694f3ede446929454b8e62162394f4db516c501,137,https://github.com/mockito/mockito/issues/137,https://github.com/mockito/mockito/tree/830e10671f0f877b3f668ca8c6f8535e8a01e8d3,https://github.com/mockito/mockito/tree/8694f3ede446929454b8e62162394f4db516c501,https://github.com/mockito/mockito/compare/830e10671f0f877b3f668ca8c6f8535e8a01e8d3...8694f3ede446929454b8e62162394f4db516c501
11,Mockito,3175ad0d549da31f0c886ec74e85632d4679cd46,7edaff3bcc0c101a4f71577c8c4c8f654192c083,140,https://github.com/mockito/mockito/issues/140,https://github.com/mockito/mockito/tree/3175ad0d549da31f0c886ec74e85632d4679cd46,https://github.com/mockito/mockito/tree/7edaff3bcc0c101a4f71577c8c4c8f654192c083,https://github.com/mockito/mockito/compare/3175ad0d549da31f0c886ec74e85632d4679cd46...7edaff3bcc0c101a4f71577c8c4c8f654192c083
12,Mockito,7c5a16913ee8295a39def6076da699a3efb08523,fb455b94118bf03faff3baf665cdb0b8f67d6968,139,https://github.com/mockito/mockito/issues/139,https://github.com/mockito/mockito/tree/7c5a16913ee8295a39def6076da699a3efb08523,https://github.com/mockito/mockito/tree/fb455b94118bf03faff3baf665cdb0b8f67d6968,https://github.com/mockito/mockito/compare/7c5a16913ee8295a39def6076da699a3efb08523...fb455b94118bf03faff3baf665cdb0b8f67d6968
13,Mockito,a7ba606944563adcdc631a2c04463a8124d26b02,dc205824dbc289acbcde919e430176ad72da847f,134,https://github.com/mockito/mockito/issues/134,https://github.com/mockito/mockito/tree/a7ba606944563adcdc631a2c04463a8124d26b02,https://github.com/mockito/mockito/tree/dc205824dbc289acbcde919e430176ad72da847f,https://github.com/mockito/mockito/compare/a7ba606944563adcdc631a2c04463a8124d26b02...dc205824dbc289acbcde919e430176ad72da847f
