bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Mrunit,09255c1ccaad26fb68b377ac81a83a343a656dfa,cbe843923dbfcac00de9036714fb32c19b0f2870,MRUNIT-7,https://issues.apache.org/jira/browse/MRUNIT-7,https://github.com/apache/mrun/tree/09255c1ccaad26fb68b377ac81a83a343a656dfa,https://github.com/apache/mrun/tree/cbe843923dbfcac00de9036714fb32c19b0f2870,https://github.com/apache/mrun/compare/09255c1ccaad26fb68b377ac81a83a343a656dfa...cbe843923dbfcac00de9036714fb32c19b0f2870
2,Mrunit,4951ae39a311fe2b45c7ae8d760201364830761f,75a7ff9d7f4f3003f4398be5ee71401047f14ec2,MRUNIT-10,https://issues.apache.org/jira/browse/MRUNIT-10,https://github.com/apache/mrun/tree/4951ae39a311fe2b45c7ae8d760201364830761f,https://github.com/apache/mrun/tree/75a7ff9d7f4f3003f4398be5ee71401047f14ec2,https://github.com/apache/mrun/compare/4951ae39a311fe2b45c7ae8d760201364830761f...75a7ff9d7f4f3003f4398be5ee71401047f14ec2
3,Mrunit,72143cb27bfdd8de3e88f2ad249bb50f2e93ed58,a063810b8b88e29c79b3c81af9ccc633a81985bd,MRUNIT-8,https://issues.apache.org/jira/browse/MRUNIT-8,https://github.com/apache/mrun/tree/72143cb27bfdd8de3e88f2ad249bb50f2e93ed58,https://github.com/apache/mrun/tree/a063810b8b88e29c79b3c81af9ccc633a81985bd,https://github.com/apache/mrun/compare/72143cb27bfdd8de3e88f2ad249bb50f2e93ed58...a063810b8b88e29c79b3c81af9ccc633a81985bd
4,Mrunit,a063810b8b88e29c79b3c81af9ccc633a81985bd,82b0b3e475aff662f0ff876628c12aa21d02417f,MRUNIT-9,https://issues.apache.org/jira/browse/MRUNIT-9,https://github.com/apache/mrun/tree/a063810b8b88e29c79b3c81af9ccc633a81985bd,https://github.com/apache/mrun/tree/82b0b3e475aff662f0ff876628c12aa21d02417f,https://github.com/apache/mrun/compare/a063810b8b88e29c79b3c81af9ccc633a81985bd...82b0b3e475aff662f0ff876628c12aa21d02417f
5,Mrunit,46bbd993125d84a6f792554cddfbfdaf4c3b1dce,32351b71c984884bf717bdd2cdd97b9c26da3b43,MRUNIT-33,https://issues.apache.org/jira/browse/MRUNIT-33,https://github.com/apache/mrun/tree/46bbd993125d84a6f792554cddfbfdaf4c3b1dce,https://github.com/apache/mrun/tree/32351b71c984884bf717bdd2cdd97b9c26da3b43,https://github.com/apache/mrun/compare/46bbd993125d84a6f792554cddfbfdaf4c3b1dce...32351b71c984884bf717bdd2cdd97b9c26da3b43
6,Mrunit,110a68173c38c802c62b62f8db55c44ff8e2ee2d,2ee2e6e721a2d17dd479c4d30a4f2e867a62f28b,MRUNIT-19,https://issues.apache.org/jira/browse/MRUNIT-19,https://github.com/apache/mrun/tree/110a68173c38c802c62b62f8db55c44ff8e2ee2d,https://github.com/apache/mrun/tree/2ee2e6e721a2d17dd479c4d30a4f2e867a62f28b,https://github.com/apache/mrun/compare/110a68173c38c802c62b62f8db55c44ff8e2ee2d...2ee2e6e721a2d17dd479c4d30a4f2e867a62f28b
7,Mrunit,242c7d40d1006697b92b65af89b93f146fcbe70c,639db9cfeb02fca1cf08eb99d742fe3f7179be83,MRUNIT-56,https://issues.apache.org/jira/browse/MRUNIT-56,https://github.com/apache/mrun/tree/242c7d40d1006697b92b65af89b93f146fcbe70c,https://github.com/apache/mrun/tree/639db9cfeb02fca1cf08eb99d742fe3f7179be83,https://github.com/apache/mrun/compare/242c7d40d1006697b92b65af89b93f146fcbe70c...639db9cfeb02fca1cf08eb99d742fe3f7179be83
8,Mrunit,639db9cfeb02fca1cf08eb99d742fe3f7179be83,eb0bba8a3ac6e5ef76f9ca682b56f8f78035a386,MRUNIT-58,https://issues.apache.org/jira/browse/MRUNIT-58,https://github.com/apache/mrun/tree/639db9cfeb02fca1cf08eb99d742fe3f7179be83,https://github.com/apache/mrun/tree/eb0bba8a3ac6e5ef76f9ca682b56f8f78035a386,https://github.com/apache/mrun/compare/639db9cfeb02fca1cf08eb99d742fe3f7179be83...eb0bba8a3ac6e5ef76f9ca682b56f8f78035a386
9,Mrunit,a177f5a0b92e31737ed46f8ec749f9f0bb23ce84,1279ba1568ac98fa04dfe957f4d8c24ea31e03f5,MRUNIT-54,https://issues.apache.org/jira/browse/MRUNIT-54,https://github.com/apache/mrun/tree/a177f5a0b92e31737ed46f8ec749f9f0bb23ce84,https://github.com/apache/mrun/tree/1279ba1568ac98fa04dfe957f4d8c24ea31e03f5,https://github.com/apache/mrun/compare/a177f5a0b92e31737ed46f8ec749f9f0bb23ce84...1279ba1568ac98fa04dfe957f4d8c24ea31e03f5
10,Mrunit,21688bc84e22f361ff211045f9d40967cc5de517,dadedc264409645cbc136275b6bd3423f68b89ba,MRUNIT-70,https://issues.apache.org/jira/browse/MRUNIT-70,https://github.com/apache/mrun/tree/21688bc84e22f361ff211045f9d40967cc5de517,https://github.com/apache/mrun/tree/dadedc264409645cbc136275b6bd3423f68b89ba,https://github.com/apache/mrun/compare/21688bc84e22f361ff211045f9d40967cc5de517...dadedc264409645cbc136275b6bd3423f68b89ba
