bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Mshared_archiver,b7f47ba84a0a75d469115d64045a50298206c25d,ed648b3ae3de2ecd9404c70df4ef4ca8543ff4bc,MSHARED-50,https://issues.apache.org/jira/browse/MSHARED-50,https://github.com/apache/maven-shared/tree/b7f47ba84a0a75d469115d64045a50298206c25d,https://github.com/apache/maven-shared/tree/ed648b3ae3de2ecd9404c70df4ef4ca8543ff4bc,https://github.com/apache/maven-shared/compare/b7f47ba84a0a75d469115d64045a50298206c25d...ed648b3ae3de2ecd9404c70df4ef4ca8543ff4bc
2,Mshared_archiver,1e9c5ee8d9b484ab20a56b584649960b4a99d5eb,b311bd95c49092319d32dd8a5be824cad4964fa1,MSHARED-36,https://issues.apache.org/jira/browse/MSHARED-36,https://github.com/apache/maven-shared/tree/1e9c5ee8d9b484ab20a56b584649960b4a99d5eb,https://github.com/apache/maven-shared/tree/b311bd95c49092319d32dd8a5be824cad4964fa1,https://github.com/apache/maven-shared/compare/1e9c5ee8d9b484ab20a56b584649960b4a99d5eb...b311bd95c49092319d32dd8a5be824cad4964fa1
3,Mshared_archiver,e7d1d2fabd76559dbedf1fe36d9a8849c1af7e4f,c9e5b86eba26af299d87787f20769ceeb6358380,MSHARED-133,https://issues.apache.org/jira/browse/MSHARED-133,https://github.com/apache/maven-shared/tree/e7d1d2fabd76559dbedf1fe36d9a8849c1af7e4f,https://github.com/apache/maven-shared/tree/c9e5b86eba26af299d87787f20769ceeb6358380,https://github.com/apache/maven-shared/compare/e7d1d2fabd76559dbedf1fe36d9a8849c1af7e4f...c9e5b86eba26af299d87787f20769ceeb6358380
4,Mshared_archiver,8349e7a1592d0897e15cfdcfbf596a473437c7ac,93a422c2ebb2b5fadc76f4d1e97589c2a82017fe,MSHARED-148,https://issues.apache.org/jira/browse/MSHARED-148,https://github.com/apache/maven-shared/tree/8349e7a1592d0897e15cfdcfbf596a473437c7ac,https://github.com/apache/maven-shared/tree/93a422c2ebb2b5fadc76f4d1e97589c2a82017fe,https://github.com/apache/maven-shared/compare/8349e7a1592d0897e15cfdcfbf596a473437c7ac...93a422c2ebb2b5fadc76f4d1e97589c2a82017fe
5,Mshared_archiver,721daf6ee1cdced37a470c3a4f8fe91e921da9cb,3ef050510ed5f0e5581a5657893bb37055219e85,MSHARED-40,https://issues.apache.org/jira/browse/MSHARED-40,https://github.com/apache/maven-shared/tree/721daf6ee1cdced37a470c3a4f8fe91e921da9cb,https://github.com/apache/maven-shared/tree/3ef050510ed5f0e5581a5657893bb37055219e85,https://github.com/apache/maven-shared/compare/721daf6ee1cdced37a470c3a4f8fe91e921da9cb...3ef050510ed5f0e5581a5657893bb37055219e85
6,Mshared_archiver,3522a472f9cf7e60f34cd35bd0b2442ef2d96e19,48dd159815974ee175347eafe48715cf69697249,MSHARED-133,https://issues.apache.org/jira/browse/MSHARED-133,https://github.com/apache/maven-shared/tree/3522a472f9cf7e60f34cd35bd0b2442ef2d96e19,https://github.com/apache/maven-shared/tree/48dd159815974ee175347eafe48715cf69697249,https://github.com/apache/maven-shared/compare/3522a472f9cf7e60f34cd35bd0b2442ef2d96e19...48dd159815974ee175347eafe48715cf69697249
7,Mshared_archiver,81eac62753e5ee92a821ab030b1223369d8b8000,6dd9e9422eae2570dc68d0c3eb44b079d302c772,MSHARED-160,https://issues.apache.org/jira/browse/MSHARED-160,https://github.com/apache/maven-shared/tree/81eac62753e5ee92a821ab030b1223369d8b8000,https://github.com/apache/maven-shared/tree/6dd9e9422eae2570dc68d0c3eb44b079d302c772,https://github.com/apache/maven-shared/compare/81eac62753e5ee92a821ab030b1223369d8b8000...6dd9e9422eae2570dc68d0c3eb44b079d302c772
8,Mshared_archiver,6dd9e9422eae2570dc68d0c3eb44b079d302c772,73b9c776e9526743d03bf18a8e3e2543f87ef21c,MSHARED-131,https://issues.apache.org/jira/browse/MSHARED-131,https://github.com/apache/maven-shared/tree/6dd9e9422eae2570dc68d0c3eb44b079d302c772,https://github.com/apache/maven-shared/tree/73b9c776e9526743d03bf18a8e3e2543f87ef21c,https://github.com/apache/maven-shared/compare/6dd9e9422eae2570dc68d0c3eb44b079d302c772...73b9c776e9526743d03bf18a8e3e2543f87ef21c
9,Mshared_archiver,ffbe3e645f6e5fbcdd831212dc98421b54fcf3a2,cadccce971b40e7d390fdeff032ce3f4d423c3dd,MSHARED-38,https://issues.apache.org/jira/browse/MSHARED-38,https://github.com/apache/maven-shared/tree/ffbe3e645f6e5fbcdd831212dc98421b54fcf3a2,https://github.com/apache/maven-shared/tree/cadccce971b40e7d390fdeff032ce3f4d423c3dd,https://github.com/apache/maven-shared/compare/ffbe3e645f6e5fbcdd831212dc98421b54fcf3a2...cadccce971b40e7d390fdeff032ce3f4d423c3dd
10,Mshared_archiver,8924a1ea44b761c0a3cda258f169857b6e9033c9,5322e87781085c1edb5b3f8c8d0ac43de0142e19,MSHARED-134,https://issues.apache.org/jira/browse/MSHARED-134,https://github.com/apache/maven-shared/tree/8924a1ea44b761c0a3cda258f169857b6e9033c9,https://github.com/apache/maven-shared/tree/5322e87781085c1edb5b3f8c8d0ac43de0142e19,https://github.com/apache/maven-shared/compare/8924a1ea44b761c0a3cda258f169857b6e9033c9...5322e87781085c1edb5b3f8c8d0ac43de0142e19
11,Mshared_archiver,5322e87781085c1edb5b3f8c8d0ac43de0142e19,5fa026cbc544bb9f92a34d2d7bff01ea2d1e4843,MSHARED-182,https://issues.apache.org/jira/browse/MSHARED-182,https://github.com/apache/maven-shared/tree/5322e87781085c1edb5b3f8c8d0ac43de0142e19,https://github.com/apache/maven-shared/tree/5fa026cbc544bb9f92a34d2d7bff01ea2d1e4843,https://github.com/apache/maven-shared/compare/5322e87781085c1edb5b3f8c8d0ac43de0142e19...5fa026cbc544bb9f92a34d2d7bff01ea2d1e4843
