bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Mypy,341bf19f03504af911743b2279ecfdd3f21e66db,bab4e22f1d0207ebc17ee3388d2434484aa998f4,10254,https://github.com/python/mypy/issues/10254,https://github.com/python/mypy/tree/341bf19f03504af911743b2279ecfdd3f21e66db,https://github.com/python/mypy/tree/bab4e22f1d0207ebc17ee3388d2434484aa998f4,https://github.com/python/mypy/compare/341bf19f03504af911743b2279ecfdd3f21e66db...bab4e22f1d0207ebc17ee3388d2434484aa998f4
2,Mypy,ee05821bb20cd47ed0404117f9a77e87da9d10b6,1567e36165b00d532f232cb3d33d1faf04aaf63d,10264,https://github.com/python/mypy/issues/10264,https://github.com/python/mypy/tree/ee05821bb20cd47ed0404117f9a77e87da9d10b6,https://github.com/python/mypy/tree/1567e36165b00d532f232cb3d33d1faf04aaf63d,https://github.com/python/mypy/compare/ee05821bb20cd47ed0404117f9a77e87da9d10b6...1567e36165b00d532f232cb3d33d1faf04aaf63d
3,Mypy,dd16ba3cd1306a6a209e6675804324411b004398,09bf2500bb6326c56a82b7559e1114d42bcec846,10253,https://github.com/python/mypy/issues/10253,https://github.com/python/mypy/tree/dd16ba3cd1306a6a209e6675804324411b004398,https://github.com/python/mypy/tree/09bf2500bb6326c56a82b7559e1114d42bcec846,https://github.com/python/mypy/compare/dd16ba3cd1306a6a209e6675804324411b004398...09bf2500bb6326c56a82b7559e1114d42bcec846
4,Mypy,352b0a9954fc845b71042ec59b0e763d6c73a7f4,e14cb14d6770095b0088b04df9432eb533ecc78c,10381,https://github.com/python/mypy/issues/10381,https://github.com/python/mypy/tree/352b0a9954fc845b71042ec59b0e763d6c73a7f4,https://github.com/python/mypy/tree/e14cb14d6770095b0088b04df9432eb533ecc78c,https://github.com/python/mypy/compare/352b0a9954fc845b71042ec59b0e763d6c73a7f4...e14cb14d6770095b0088b04df9432eb533ecc78c
5,Mypy,322ef60ba7231bbd4f735b273e88e67afb57ad17,44925f4b121392135440f53d7c8a3fb30593d6cc,10391,https://github.com/python/mypy/issues/10391,https://github.com/python/mypy/tree/322ef60ba7231bbd4f735b273e88e67afb57ad17,https://github.com/python/mypy/tree/44925f4b121392135440f53d7c8a3fb30593d6cc,https://github.com/python/mypy/compare/322ef60ba7231bbd4f735b273e88e67afb57ad17...44925f4b121392135440f53d7c8a3fb30593d6cc
6,Mypy,a8a8a5252238a75e8fcde72136fa5c1e6c887556,b17e33fd14bb2fe3453810adf1848984e209aa59,10411,https://github.com/python/mypy/issues/10411,https://github.com/python/mypy/tree/a8a8a5252238a75e8fcde72136fa5c1e6c887556,https://github.com/python/mypy/tree/b17e33fd14bb2fe3453810adf1848984e209aa59,https://github.com/python/mypy/compare/a8a8a5252238a75e8fcde72136fa5c1e6c887556...b17e33fd14bb2fe3453810adf1848984e209aa59
7,Mypy,b17e33fd14bb2fe3453810adf1848984e209aa59,0729345b15576884ae79552995de6d3209b99e86,10414,https://github.com/python/mypy/issues/10414,https://github.com/python/mypy/tree/b17e33fd14bb2fe3453810adf1848984e209aa59,https://github.com/python/mypy/tree/0729345b15576884ae79552995de6d3209b99e86,https://github.com/python/mypy/compare/b17e33fd14bb2fe3453810adf1848984e209aa59...0729345b15576884ae79552995de6d3209b99e86
8,Mypy,b484c6d341464d750467c9c318d855e5b6bfd398,4518b55663bc689646280a0ab2247c4a724bf3c0,10421,https://github.com/python/mypy/issues/10421,https://github.com/python/mypy/tree/b484c6d341464d750467c9c318d855e5b6bfd398,https://github.com/python/mypy/tree/4518b55663bc689646280a0ab2247c4a724bf3c0,https://github.com/python/mypy/compare/b484c6d341464d750467c9c318d855e5b6bfd398...4518b55663bc689646280a0ab2247c4a724bf3c0
9,Mypy,4518b55663bc689646280a0ab2247c4a724bf3c0,6d2635d21050a406f785cf9c7a6b8a9253d9be07,10423,https://github.com/python/mypy/issues/10423,https://github.com/python/mypy/tree/4518b55663bc689646280a0ab2247c4a724bf3c0,https://github.com/python/mypy/tree/6d2635d21050a406f785cf9c7a6b8a9253d9be07,https://github.com/python/mypy/compare/4518b55663bc689646280a0ab2247c4a724bf3c0...6d2635d21050a406f785cf9c7a6b8a9253d9be07
10,Mypy,204c7dada412b0ca4ce22315d2acae640adb128f,4a5e311d229d038b9801a6b8d3b0119b474f1136,10429,https://github.com/python/mypy/issues/10429,https://github.com/python/mypy/tree/204c7dada412b0ca4ce22315d2acae640adb128f,https://github.com/python/mypy/tree/4a5e311d229d038b9801a6b8d3b0119b474f1136,https://github.com/python/mypy/compare/204c7dada412b0ca4ce22315d2acae640adb128f...4a5e311d229d038b9801a6b8d3b0119b474f1136
11,Mypy,466017dab694fd87b7ab2d89475259a7004f589e,5eb4de443269b906d2e8b2292dbf472ce17d0e1f,10454,https://github.com/python/mypy/issues/10454,https://github.com/python/mypy/tree/466017dab694fd87b7ab2d89475259a7004f589e,https://github.com/python/mypy/tree/5eb4de443269b906d2e8b2292dbf472ce17d0e1f,https://github.com/python/mypy/compare/466017dab694fd87b7ab2d89475259a7004f589e...5eb4de443269b906d2e8b2292dbf472ce17d0e1f
12,Mypy,61c346230cf4960c9766f7c2b5bd3312b47f74da,d57d5d146483df5304d3553c14c9b97d4f62ade6,10538,https://github.com/python/mypy/issues/10538,https://github.com/python/mypy/tree/61c346230cf4960c9766f7c2b5bd3312b47f74da,https://github.com/python/mypy/tree/d57d5d146483df5304d3553c14c9b97d4f62ade6,https://github.com/python/mypy/compare/61c346230cf4960c9766f7c2b5bd3312b47f74da...d57d5d146483df5304d3553c14c9b97d4f62ade6
13,Mypy,4e2fca8ff8a384a3e7c29f3ca861c8ea34af4362,159f382fe39f96098f92b12ef6241a44c45f3804,10529,https://github.com/python/mypy/issues/10529,https://github.com/python/mypy/tree/4e2fca8ff8a384a3e7c29f3ca861c8ea34af4362,https://github.com/python/mypy/tree/159f382fe39f96098f92b12ef6241a44c45f3804,https://github.com/python/mypy/compare/4e2fca8ff8a384a3e7c29f3ca861c8ea34af4362...159f382fe39f96098f92b12ef6241a44c45f3804
14,Mypy,159f382fe39f96098f92b12ef6241a44c45f3804,4642a31bdd437edc2ebe788cc6deb3214f06d997,10283,https://github.com/python/mypy/issues/10283,https://github.com/python/mypy/tree/159f382fe39f96098f92b12ef6241a44c45f3804,https://github.com/python/mypy/tree/4642a31bdd437edc2ebe788cc6deb3214f06d997,https://github.com/python/mypy/compare/159f382fe39f96098f92b12ef6241a44c45f3804...4642a31bdd437edc2ebe788cc6deb3214f06d997
15,Mypy,0a6a48c4278f99417fe81f7d3f0194edeaec7e46,e37dfb126ee03fff92c66d5fc55d82befb750163,10596,https://github.com/python/mypy/issues/10596,https://github.com/python/mypy/tree/0a6a48c4278f99417fe81f7d3f0194edeaec7e46,https://github.com/python/mypy/tree/e37dfb126ee03fff92c66d5fc55d82befb750163,https://github.com/python/mypy/compare/0a6a48c4278f99417fe81f7d3f0194edeaec7e46...e37dfb126ee03fff92c66d5fc55d82befb750163
16,Mypy,cd35d486e7fdea0addea086b57ac2679c8d71544,83356aef8f42242e52212871d7c7510cf542ae73,10601,https://github.com/python/mypy/issues/10601,https://github.com/python/mypy/tree/cd35d486e7fdea0addea086b57ac2679c8d71544,https://github.com/python/mypy/tree/83356aef8f42242e52212871d7c7510cf542ae73,https://github.com/python/mypy/compare/cd35d486e7fdea0addea086b57ac2679c8d71544...83356aef8f42242e52212871d7c7510cf542ae73
17,Mypy,83356aef8f42242e52212871d7c7510cf542ae73,0095dc29b3b296925492c8a982f23b8e2afdc146,10602,https://github.com/python/mypy/issues/10602,https://github.com/python/mypy/tree/83356aef8f42242e52212871d7c7510cf542ae73,https://github.com/python/mypy/tree/0095dc29b3b296925492c8a982f23b8e2afdc146,https://github.com/python/mypy/compare/83356aef8f42242e52212871d7c7510cf542ae73...0095dc29b3b296925492c8a982f23b8e2afdc146
18,Mypy,7f921078882f1fcaba7c825f699c194aedf0af8a,fe157d40cf11c5bd6398fe0bef99c8844ed3aedf,10604,https://github.com/python/mypy/issues/10604,https://github.com/python/mypy/tree/7f921078882f1fcaba7c825f699c194aedf0af8a,https://github.com/python/mypy/tree/fe157d40cf11c5bd6398fe0bef99c8844ed3aedf,https://github.com/python/mypy/compare/7f921078882f1fcaba7c825f699c194aedf0af8a...fe157d40cf11c5bd6398fe0bef99c8844ed3aedf
19,Mypy,d3c30feaf0d04d3e7c7af1218f8cec3a97699398,7f54bd064399ee4e38586c311a2796ff3f255276,10648,https://github.com/python/mypy/issues/10648,https://github.com/python/mypy/tree/d3c30feaf0d04d3e7c7af1218f8cec3a97699398,https://github.com/python/mypy/tree/7f54bd064399ee4e38586c311a2796ff3f255276,https://github.com/python/mypy/compare/d3c30feaf0d04d3e7c7af1218f8cec3a97699398...7f54bd064399ee4e38586c311a2796ff3f255276
20,Mypy,f91fb1a6ee0908faf856684dc2e60afc8b9a9daf,3319826beb8cd1b3e787b60ed5f240c86c5b3c7d,10653,https://github.com/python/mypy/issues/10653,https://github.com/python/mypy/tree/f91fb1a6ee0908faf856684dc2e60afc8b9a9daf,https://github.com/python/mypy/tree/3319826beb8cd1b3e787b60ed5f240c86c5b3c7d,https://github.com/python/mypy/compare/f91fb1a6ee0908faf856684dc2e60afc8b9a9daf...3319826beb8cd1b3e787b60ed5f240c86c5b3c7d
21,Mypy,416f57bed76d6a2aca15934c24a850464e6c99ca,cae5d3c8b5f14d0796914aa6a113473ca3ffc38e,10605,https://github.com/python/mypy/issues/10605,https://github.com/python/mypy/tree/416f57bed76d6a2aca15934c24a850464e6c99ca,https://github.com/python/mypy/tree/cae5d3c8b5f14d0796914aa6a113473ca3ffc38e,https://github.com/python/mypy/compare/416f57bed76d6a2aca15934c24a850464e6c99ca...cae5d3c8b5f14d0796914aa6a113473ca3ffc38e
22,Mypy,7b0df28a4cdc65601acaaeee72a9266137ffbe57,7d9f20af865be334cbf7670bfb361530c19ecbb0,10393,https://github.com/python/mypy/issues/10393,https://github.com/python/mypy/tree/7b0df28a4cdc65601acaaeee72a9266137ffbe57,https://github.com/python/mypy/tree/7d9f20af865be334cbf7670bfb361530c19ecbb0,https://github.com/python/mypy/compare/7b0df28a4cdc65601acaaeee72a9266137ffbe57...7d9f20af865be334cbf7670bfb361530c19ecbb0
23,Mypy,9f409c3d89c7fa65eff8cf67883473487e6effd4,0bafbfbe316a9973062522984152a72699131273,10591,https://github.com/python/mypy/issues/10591,https://github.com/python/mypy/tree/9f409c3d89c7fa65eff8cf67883473487e6effd4,https://github.com/python/mypy/tree/0bafbfbe316a9973062522984152a72699131273,https://github.com/python/mypy/compare/9f409c3d89c7fa65eff8cf67883473487e6effd4...0bafbfbe316a9973062522984152a72699131273
24,Mypy,c90026bd867635a4efe70cdacf0caaf00a986914,ed2b4c76cb8662942096de1cfbf08aa422a3b6f2,10865,https://github.com/python/mypy/issues/10865,https://github.com/python/mypy/tree/c90026bd867635a4efe70cdacf0caaf00a986914,https://github.com/python/mypy/tree/ed2b4c76cb8662942096de1cfbf08aa422a3b6f2,https://github.com/python/mypy/compare/c90026bd867635a4efe70cdacf0caaf00a986914...ed2b4c76cb8662942096de1cfbf08aa422a3b6f2
25,Mypy,725a24a82fdf79521db5d0c43549e8731f793c55,bbea3b56297d3d966b9a98900c218df6616fec85,10483,https://github.com/python/mypy/issues/10483,https://github.com/python/mypy/tree/725a24a82fdf79521db5d0c43549e8731f793c55,https://github.com/python/mypy/tree/bbea3b56297d3d966b9a98900c218df6616fec85,https://github.com/python/mypy/compare/725a24a82fdf79521db5d0c43549e8731f793c55...bbea3b56297d3d966b9a98900c218df6616fec85
26,Mypy,7b9aa4cfe2cb57fa3f90a917dcd02620986bee79,3ef8040a4c9b9ad05368f593749125b4c7f8067d,11062,https://github.com/python/mypy/issues/11062,https://github.com/python/mypy/tree/7b9aa4cfe2cb57fa3f90a917dcd02620986bee79,https://github.com/python/mypy/tree/3ef8040a4c9b9ad05368f593749125b4c7f8067d,https://github.com/python/mypy/compare/7b9aa4cfe2cb57fa3f90a917dcd02620986bee79...3ef8040a4c9b9ad05368f593749125b4c7f8067d
27,Mypy,e654572fa9627f455825817699a57ee4c5dcbf0c,05f38571f1b7af46dbadaeba0f74626d3a9e07c9,11007,https://github.com/python/mypy/issues/11007,https://github.com/python/mypy/tree/e654572fa9627f455825817699a57ee4c5dcbf0c,https://github.com/python/mypy/tree/05f38571f1b7af46dbadaeba0f74626d3a9e07c9,https://github.com/python/mypy/compare/e654572fa9627f455825817699a57ee4c5dcbf0c...05f38571f1b7af46dbadaeba0f74626d3a9e07c9
28,Mypy,cc224ca26d565c6701e2e96ac76e66e2450f9d33,e2d8a507bac5d2652c72a4a4bc62349d865cd076,11066,https://github.com/python/mypy/issues/11066,https://github.com/python/mypy/tree/cc224ca26d565c6701e2e96ac76e66e2450f9d33,https://github.com/python/mypy/tree/e2d8a507bac5d2652c72a4a4bc62349d865cd076,https://github.com/python/mypy/compare/cc224ca26d565c6701e2e96ac76e66e2450f9d33...e2d8a507bac5d2652c72a4a4bc62349d865cd076
29,Mypy,99fae38db80e2d2778c5d11e61463100342818ad,130ba461b3590d7f34f326fbcfd1d913089765b7,11089,https://github.com/python/mypy/issues/11089,https://github.com/python/mypy/tree/99fae38db80e2d2778c5d11e61463100342818ad,https://github.com/python/mypy/tree/130ba461b3590d7f34f326fbcfd1d913089765b7,https://github.com/python/mypy/compare/99fae38db80e2d2778c5d11e61463100342818ad...130ba461b3590d7f34f326fbcfd1d913089765b7
30,Mypy,130ba461b3590d7f34f326fbcfd1d913089765b7,c6e8a0b74c32b99a863153dae55c3ba403a148b5,11079,https://github.com/python/mypy/issues/11079,https://github.com/python/mypy/tree/130ba461b3590d7f34f326fbcfd1d913089765b7,https://github.com/python/mypy/tree/c6e8a0b74c32b99a863153dae55c3ba403a148b5,https://github.com/python/mypy/compare/130ba461b3590d7f34f326fbcfd1d913089765b7...c6e8a0b74c32b99a863153dae55c3ba403a148b5
31,Mypy,836ff14af53af54295d8ccd5fc6bdd6e83e599b4,04ff70ca604a4c63d9f7fe518a2c5bc893cc59cd,11105,https://github.com/python/mypy/issues/11105,https://github.com/python/mypy/tree/836ff14af53af54295d8ccd5fc6bdd6e83e599b4,https://github.com/python/mypy/tree/04ff70ca604a4c63d9f7fe518a2c5bc893cc59cd,https://github.com/python/mypy/compare/836ff14af53af54295d8ccd5fc6bdd6e83e599b4...04ff70ca604a4c63d9f7fe518a2c5bc893cc59cd
32,Mypy,b3ff2a683bd41a176c597d3c3ba65f6a31f805c5,8ac0dc2b87c53bbe0f0633ba80a3136390cab668,10801,https://github.com/python/mypy/issues/10801,https://github.com/python/mypy/tree/b3ff2a683bd41a176c597d3c3ba65f6a31f805c5,https://github.com/python/mypy/tree/8ac0dc2b87c53bbe0f0633ba80a3136390cab668,https://github.com/python/mypy/compare/b3ff2a683bd41a176c597d3c3ba65f6a31f805c5...8ac0dc2b87c53bbe0f0633ba80a3136390cab668
33,Mypy,d7bb8400e8fe48bb8a31bca6a38fef16420550bb,23e02e20f50255bd5b3217d224d1f9c77d85f6ce,11020,https://github.com/python/mypy/issues/11020,https://github.com/python/mypy/tree/d7bb8400e8fe48bb8a31bca6a38fef16420550bb,https://github.com/python/mypy/tree/23e02e20f50255bd5b3217d224d1f9c77d85f6ce,https://github.com/python/mypy/compare/d7bb8400e8fe48bb8a31bca6a38fef16420550bb...23e02e20f50255bd5b3217d224d1f9c77d85f6ce
34,Mypy,23e02e20f50255bd5b3217d224d1f9c77d85f6ce,91f299edff3836df29a36a5490a21c0cfb6e0a71,11075,https://github.com/python/mypy/issues/11075,https://github.com/python/mypy/tree/23e02e20f50255bd5b3217d224d1f9c77d85f6ce,https://github.com/python/mypy/tree/91f299edff3836df29a36a5490a21c0cfb6e0a71,https://github.com/python/mypy/compare/23e02e20f50255bd5b3217d224d1f9c77d85f6ce...91f299edff3836df29a36a5490a21c0cfb6e0a71
35,Mypy,0c1b6a210fa199b0dd0e8f5a01b4530b6d43d7e1,4e7c2a0e0dc69295bc3f2d93d4e34964c591d473,11172,https://github.com/python/mypy/issues/11172,https://github.com/python/mypy/tree/0c1b6a210fa199b0dd0e8f5a01b4530b6d43d7e1,https://github.com/python/mypy/tree/4e7c2a0e0dc69295bc3f2d93d4e34964c591d473,https://github.com/python/mypy/compare/0c1b6a210fa199b0dd0e8f5a01b4530b6d43d7e1...4e7c2a0e0dc69295bc3f2d93d4e34964c591d473
36,Mypy,4e7c2a0e0dc69295bc3f2d93d4e34964c591d473,8b47a032e1317fb8e3f9a818005a6b63e9bf0311,11157,https://github.com/python/mypy/issues/11157,https://github.com/python/mypy/tree/4e7c2a0e0dc69295bc3f2d93d4e34964c591d473,https://github.com/python/mypy/tree/8b47a032e1317fb8e3f9a818005a6b63e9bf0311,https://github.com/python/mypy/compare/4e7c2a0e0dc69295bc3f2d93d4e34964c591d473...8b47a032e1317fb8e3f9a818005a6b63e9bf0311
37,Mypy,8b47a032e1317fb8e3f9a818005a6b63e9bf0311,3ec0284513359810bb5b149f94eec236d2e8da6c,10248,https://github.com/python/mypy/issues/10248,https://github.com/python/mypy/tree/8b47a032e1317fb8e3f9a818005a6b63e9bf0311,https://github.com/python/mypy/tree/3ec0284513359810bb5b149f94eec236d2e8da6c,https://github.com/python/mypy/compare/8b47a032e1317fb8e3f9a818005a6b63e9bf0311...3ec0284513359810bb5b149f94eec236d2e8da6c
38,Mypy,8e82171a3e68a5180fab267cad4d2b7cfa1f5cdc,e0b4b05b8aafa328942b84233756a64be4950e1a,11155,https://github.com/python/mypy/issues/11155,https://github.com/python/mypy/tree/8e82171a3e68a5180fab267cad4d2b7cfa1f5cdc,https://github.com/python/mypy/tree/e0b4b05b8aafa328942b84233756a64be4950e1a,https://github.com/python/mypy/compare/8e82171a3e68a5180fab267cad4d2b7cfa1f5cdc...e0b4b05b8aafa328942b84233756a64be4950e1a
