bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,N5_ij,af7c3c6569700411792f216a6edb1c64cc1fed97,ebe0ba22854a17abcccd29d01885dab9f1eb5950,11,https://github.com/saalfeldlab/n5-ij/issues/11,https://github.com/saalfeldlab/n5-ij/tree/af7c3c6569700411792f216a6edb1c64cc1fed97,https://github.com/saalfeldlab/n5-ij/tree/ebe0ba22854a17abcccd29d01885dab9f1eb5950,https://github.com/saalfeldlab/n5-ij/compare/af7c3c6569700411792f216a6edb1c64cc1fed97...ebe0ba22854a17abcccd29d01885dab9f1eb5950
2,N5_ij,c8a0d42f4b59a881ac4e4aa78ddd49aea3c7b493,98f5112b7156f81fa926fbe1a94ea6d1bb967932,22,https://github.com/saalfeldlab/n5-ij/issues/22,https://github.com/saalfeldlab/n5-ij/tree/c8a0d42f4b59a881ac4e4aa78ddd49aea3c7b493,https://github.com/saalfeldlab/n5-ij/tree/98f5112b7156f81fa926fbe1a94ea6d1bb967932,https://github.com/saalfeldlab/n5-ij/compare/c8a0d42f4b59a881ac4e4aa78ddd49aea3c7b493...98f5112b7156f81fa926fbe1a94ea6d1bb967932
3,N5_ij,c8458fb3398b2692d17b6e1100d505f3acc1105b,3d8aba423e779335ddc9089dde27ec5c21c30d35,21,https://github.com/saalfeldlab/n5-ij/issues/21,https://github.com/saalfeldlab/n5-ij/tree/c8458fb3398b2692d17b6e1100d505f3acc1105b,https://github.com/saalfeldlab/n5-ij/tree/3d8aba423e779335ddc9089dde27ec5c21c30d35,https://github.com/saalfeldlab/n5-ij/compare/c8458fb3398b2692d17b6e1100d505f3acc1105b...3d8aba423e779335ddc9089dde27ec5c21c30d35
4,N5_ij,3d8aba423e779335ddc9089dde27ec5c21c30d35,7510b4d05a45491f2d56699530af8da143854dce,27,https://github.com/saalfeldlab/n5-ij/issues/27,https://github.com/saalfeldlab/n5-ij/tree/3d8aba423e779335ddc9089dde27ec5c21c30d35,https://github.com/saalfeldlab/n5-ij/tree/7510b4d05a45491f2d56699530af8da143854dce,https://github.com/saalfeldlab/n5-ij/compare/3d8aba423e779335ddc9089dde27ec5c21c30d35...7510b4d05a45491f2d56699530af8da143854dce
5,N5_ij,3d8aba423e779335ddc9089dde27ec5c21c30d35,1a79b55b371e61779f33fd0a264dcbc97f5dcf01,27,https://github.com/saalfeldlab/n5-ij/issues/27,https://github.com/saalfeldlab/n5-ij/tree/3d8aba423e779335ddc9089dde27ec5c21c30d35,https://github.com/saalfeldlab/n5-ij/tree/1a79b55b371e61779f33fd0a264dcbc97f5dcf01,https://github.com/saalfeldlab/n5-ij/compare/3d8aba423e779335ddc9089dde27ec5c21c30d35...1a79b55b371e61779f33fd0a264dcbc97f5dcf01
6,N5_ij,a6c71e7335fd176264ec6693f69b02816bcd0abf,bce1110117004991465cfda2507964fbb2a7033d,37,https://github.com/saalfeldlab/n5-ij/issues/37,https://github.com/saalfeldlab/n5-ij/tree/a6c71e7335fd176264ec6693f69b02816bcd0abf,https://github.com/saalfeldlab/n5-ij/tree/bce1110117004991465cfda2507964fbb2a7033d,https://github.com/saalfeldlab/n5-ij/compare/a6c71e7335fd176264ec6693f69b02816bcd0abf...bce1110117004991465cfda2507964fbb2a7033d
7,N5_ij,2afe93ec8eacbded9dd6e99166f1a78cb595d2fb,eb9f2aa38e676c36ac79fc26ac8bec4905c1a7fb,40,https://github.com/saalfeldlab/n5-ij/issues/40,https://github.com/saalfeldlab/n5-ij/tree/2afe93ec8eacbded9dd6e99166f1a78cb595d2fb,https://github.com/saalfeldlab/n5-ij/tree/eb9f2aa38e676c36ac79fc26ac8bec4905c1a7fb,https://github.com/saalfeldlab/n5-ij/compare/2afe93ec8eacbded9dd6e99166f1a78cb595d2fb...eb9f2aa38e676c36ac79fc26ac8bec4905c1a7fb
8,N5_ij,320ae94005c26a45c7db230e15449e47a471eda6,d2df9528fad4fba61c6c1c112ddc92dd529fed69,54,https://github.com/saalfeldlab/n5-ij/issues/54,https://github.com/saalfeldlab/n5-ij/tree/320ae94005c26a45c7db230e15449e47a471eda6,https://github.com/saalfeldlab/n5-ij/tree/d2df9528fad4fba61c6c1c112ddc92dd529fed69,https://github.com/saalfeldlab/n5-ij/compare/320ae94005c26a45c7db230e15449e47a471eda6...d2df9528fad4fba61c6c1c112ddc92dd529fed69
9,N5_ij,a7e15dcb4b697263b89d9c82d99c4f878b2659f9,3634c140ac72c6a5920338c049fb5735d631468d,63,https://github.com/saalfeldlab/n5-ij/issues/63,https://github.com/saalfeldlab/n5-ij/tree/a7e15dcb4b697263b89d9c82d99c4f878b2659f9,https://github.com/saalfeldlab/n5-ij/tree/3634c140ac72c6a5920338c049fb5735d631468d,https://github.com/saalfeldlab/n5-ij/compare/a7e15dcb4b697263b89d9c82d99c4f878b2659f9...3634c140ac72c6a5920338c049fb5735d631468d
10,N5_ij,ddfff937cba3f26461ef07958e9aedc5d86b187a,ea45ed51301c1c3a9a4bae2de36a686cb8b78a5e,98,https://github.com/saalfeldlab/n5-ij/issues/98,https://github.com/saalfeldlab/n5-ij/tree/ddfff937cba3f26461ef07958e9aedc5d86b187a,https://github.com/saalfeldlab/n5-ij/tree/ea45ed51301c1c3a9a4bae2de36a686cb8b78a5e,https://github.com/saalfeldlab/n5-ij/compare/ddfff937cba3f26461ef07958e9aedc5d86b187a...ea45ed51301c1c3a9a4bae2de36a686cb8b78a5e
11,N5_ij,a740c63c6ab39731c881a6fbf7d0e51868f161e3,f42e991716f68953cbdad0902aac3055888f8671,83,https://github.com/saalfeldlab/n5-ij/issues/83,https://github.com/saalfeldlab/n5-ij/tree/a740c63c6ab39731c881a6fbf7d0e51868f161e3,https://github.com/saalfeldlab/n5-ij/tree/f42e991716f68953cbdad0902aac3055888f8671,https://github.com/saalfeldlab/n5-ij/compare/a740c63c6ab39731c881a6fbf7d0e51868f161e3...f42e991716f68953cbdad0902aac3055888f8671
12,N5_ij,65b3152d6c5d5259fd1ca2c0146c03aa8ffbc5c5,4c817849b0ac0266e87bb8c2d243c0f6198a097e,78,https://github.com/saalfeldlab/n5-ij/issues/78,https://github.com/saalfeldlab/n5-ij/tree/65b3152d6c5d5259fd1ca2c0146c03aa8ffbc5c5,https://github.com/saalfeldlab/n5-ij/tree/4c817849b0ac0266e87bb8c2d243c0f6198a097e,https://github.com/saalfeldlab/n5-ij/compare/65b3152d6c5d5259fd1ca2c0146c03aa8ffbc5c5...4c817849b0ac0266e87bb8c2d243c0f6198a097e
