bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Neovim,585eeacb24e1aa0fed978e46063de100b16b8bdf,e89071522cb0b6d56fd4e7d7776851e73fb807c3,26135,https://github.com/neovim/neovim/issues/26135,https://github.com/neovim/neovim/tree/585eeacb24e1aa0fed978e46063de100b16b8bdf,https://github.com/neovim/neovim/tree/e89071522cb0b6d56fd4e7d7776851e73fb807c3,https://github.com/neovim/neovim/compare/585eeacb24e1aa0fed978e46063de100b16b8bdf...e89071522cb0b6d56fd4e7d7776851e73fb807c3
2,Neovim,6343d414369de1f3b259e51438cd4f666d82d3d2,84bbe4b0ca935db1f6202db339aee5594a3b3908,26122,https://github.com/neovim/neovim/issues/26122,https://github.com/neovim/neovim/tree/6343d414369de1f3b259e51438cd4f666d82d3d2,https://github.com/neovim/neovim/tree/84bbe4b0ca935db1f6202db339aee5594a3b3908,https://github.com/neovim/neovim/compare/6343d414369de1f3b259e51438cd4f666d82d3d2...84bbe4b0ca935db1f6202db339aee5594a3b3908
3,Neovim,040369e1e4b86c4655a6885b36ee89ad4f10ca16,8f10362cdc5835a1cd86c8195ce8e3b10ab85384,26372,https://github.com/neovim/neovim/issues/26372,https://github.com/neovim/neovim/tree/040369e1e4b86c4655a6885b36ee89ad4f10ca16,https://github.com/neovim/neovim/tree/8f10362cdc5835a1cd86c8195ce8e3b10ab85384,https://github.com/neovim/neovim/compare/040369e1e4b86c4655a6885b36ee89ad4f10ca16...8f10362cdc5835a1cd86c8195ce8e3b10ab85384
4,Neovim,6b00b8a369480a6535e7d286dd6ea27a6b0c94a5,3198598e6974ae2009e816aeb96462cdfc3c59e9,26425,https://github.com/neovim/neovim/issues/26425,https://github.com/neovim/neovim/tree/6b00b8a369480a6535e7d286dd6ea27a6b0c94a5,https://github.com/neovim/neovim/tree/3198598e6974ae2009e816aeb96462cdfc3c59e9,https://github.com/neovim/neovim/compare/6b00b8a369480a6535e7d286dd6ea27a6b0c94a5...3198598e6974ae2009e816aeb96462cdfc3c59e9
5,Neovim,dc466f9a63ede5e2bbddc33688c0c972abfe9a52,54225bdb021e64d09f98201bc0a610e2600b6473,27137,https://github.com/neovim/neovim/issues/27137,https://github.com/neovim/neovim/tree/dc466f9a63ede5e2bbddc33688c0c972abfe9a52,https://github.com/neovim/neovim/tree/54225bdb021e64d09f98201bc0a610e2600b6473,https://github.com/neovim/neovim/compare/dc466f9a63ede5e2bbddc33688c0c972abfe9a52...54225bdb021e64d09f98201bc0a610e2600b6473
6,Neovim,f4b3636f245fce5f4b246b838c7cdd8a87364123,0a8e66898d73ee90a9c52d0944141f498804c99d,26880,https://github.com/neovim/neovim/issues/26880,https://github.com/neovim/neovim/tree/f4b3636f245fce5f4b246b838c7cdd8a87364123,https://github.com/neovim/neovim/tree/0a8e66898d73ee90a9c52d0944141f498804c99d,https://github.com/neovim/neovim/compare/f4b3636f245fce5f4b246b838c7cdd8a87364123...0a8e66898d73ee90a9c52d0944141f498804c99d
7,Neovim,4682f158a062dd8ede37c568c3e456aac83819fc,917172dd9680cc4234a47beee91e8adcaf0e833c,27424,https://github.com/neovim/neovim/issues/27424,https://github.com/neovim/neovim/tree/4682f158a062dd8ede37c568c3e456aac83819fc,https://github.com/neovim/neovim/tree/917172dd9680cc4234a47beee91e8adcaf0e833c,https://github.com/neovim/neovim/compare/4682f158a062dd8ede37c568c3e456aac83819fc...917172dd9680cc4234a47beee91e8adcaf0e833c
8,Neovim,01c15a30c0ab56e14342f9996bea3ad86a68a343,2accf2480530c7df2120d8522103f5f1516268cf,27211,https://github.com/neovim/neovim/issues/27211,https://github.com/neovim/neovim/tree/01c15a30c0ab56e14342f9996bea3ad86a68a343,https://github.com/neovim/neovim/tree/2accf2480530c7df2120d8522103f5f1516268cf,https://github.com/neovim/neovim/compare/01c15a30c0ab56e14342f9996bea3ad86a68a343...2accf2480530c7df2120d8522103f5f1516268cf
9,Neovim,e2e63bd045491f36e12c924fddbe76b3ef884b38,b97d5038f16b1be4e413c4215e90818c05fb7ea1,27046,https://github.com/neovim/neovim/issues/27046,https://github.com/neovim/neovim/tree/e2e63bd045491f36e12c924fddbe76b3ef884b38,https://github.com/neovim/neovim/tree/b97d5038f16b1be4e413c4215e90818c05fb7ea1,https://github.com/neovim/neovim/compare/e2e63bd045491f36e12c924fddbe76b3ef884b38...b97d5038f16b1be4e413c4215e90818c05fb7ea1
10,Neovim,86c3f284fc8569b65d5ef4becc76f8d18c59e3d3,2c8f36a3b0b6e9d8a8c0d0f9cafff9cbf8bcb520,27669,https://github.com/neovim/neovim/issues/27669,https://github.com/neovim/neovim/tree/86c3f284fc8569b65d5ef4becc76f8d18c59e3d3,https://github.com/neovim/neovim/tree/2c8f36a3b0b6e9d8a8c0d0f9cafff9cbf8bcb520,https://github.com/neovim/neovim/compare/86c3f284fc8569b65d5ef4becc76f8d18c59e3d3...2c8f36a3b0b6e9d8a8c0d0f9cafff9cbf8bcb520
11,Neovim,3d2aeec68d6a03a07394eea154447166f6487078,8149bd089e15043576b1e6588babd9c121740f1a,27713,https://github.com/neovim/neovim/issues/27713,https://github.com/neovim/neovim/tree/3d2aeec68d6a03a07394eea154447166f6487078,https://github.com/neovim/neovim/tree/8149bd089e15043576b1e6588babd9c121740f1a,https://github.com/neovim/neovim/compare/3d2aeec68d6a03a07394eea154447166f6487078...8149bd089e15043576b1e6588babd9c121740f1a
12,Neovim,8149bd089e15043576b1e6588babd9c121740f1a,3e016fa8d4f797345d55f6006c42026abedb6c4e,27318,https://github.com/neovim/neovim/issues/27318,https://github.com/neovim/neovim/tree/8149bd089e15043576b1e6588babd9c121740f1a,https://github.com/neovim/neovim/tree/3e016fa8d4f797345d55f6006c42026abedb6c4e,https://github.com/neovim/neovim/compare/8149bd089e15043576b1e6588babd9c121740f1a...3e016fa8d4f797345d55f6006c42026abedb6c4e
13,Neovim,233649bc757743f7677b2ae414779192a94aa2ae,a873f33993ef84e3f954127038e559e1ac1cac43,27121,https://github.com/neovim/neovim/issues/27121,https://github.com/neovim/neovim/tree/233649bc757743f7677b2ae414779192a94aa2ae,https://github.com/neovim/neovim/tree/a873f33993ef84e3f954127038e559e1ac1cac43,https://github.com/neovim/neovim/compare/233649bc757743f7677b2ae414779192a94aa2ae...a873f33993ef84e3f954127038e559e1ac1cac43
14,Neovim,d5488633f68fcfd58b4bcad654ab103b4746204b,08fc1ebbaa49e3110b65bddeed28d2e61a96f5d9,27723,https://github.com/neovim/neovim/issues/27723,https://github.com/neovim/neovim/tree/d5488633f68fcfd58b4bcad654ab103b4746204b,https://github.com/neovim/neovim/tree/08fc1ebbaa49e3110b65bddeed28d2e61a96f5d9,https://github.com/neovim/neovim/compare/d5488633f68fcfd58b4bcad654ab103b4746204b...08fc1ebbaa49e3110b65bddeed28d2e61a96f5d9
15,Neovim,8955cef0c6963678994347dbf95ed09fc8e29407,fc2a56fe61a95b4124045039b39e20419920d2e2,27720,https://github.com/neovim/neovim/issues/27720,https://github.com/neovim/neovim/tree/8955cef0c6963678994347dbf95ed09fc8e29407,https://github.com/neovim/neovim/tree/fc2a56fe61a95b4124045039b39e20419920d2e2,https://github.com/neovim/neovim/compare/8955cef0c6963678994347dbf95ed09fc8e29407...fc2a56fe61a95b4124045039b39e20419920d2e2
16,Neovim,77a9f3395bd1e7184f4d735c01e50285e30477ab,3b29b39e6deb212456eba691bc79b17edaa8717b,27895,https://github.com/neovim/neovim/issues/27895,https://github.com/neovim/neovim/tree/77a9f3395bd1e7184f4d735c01e50285e30477ab,https://github.com/neovim/neovim/tree/3b29b39e6deb212456eba691bc79b17edaa8717b,https://github.com/neovim/neovim/compare/77a9f3395bd1e7184f4d735c01e50285e30477ab...3b29b39e6deb212456eba691bc79b17edaa8717b
17,Neovim,9765efb40f57b543d9fea610fb0d0f05b8387454,0f85aeb478a68c18a8195e69724e1cb618fec058,27942,https://github.com/neovim/neovim/issues/27942,https://github.com/neovim/neovim/tree/9765efb40f57b543d9fea610fb0d0f05b8387454,https://github.com/neovim/neovim/tree/0f85aeb478a68c18a8195e69724e1cb618fec058,https://github.com/neovim/neovim/compare/9765efb40f57b543d9fea610fb0d0f05b8387454...0f85aeb478a68c18a8195e69724e1cb618fec058
18,Neovim,2424c3e6967ef953222cf48564629ffe5812d415,19d63563e1cceabbf8603d0abb2e88fae5bd3626,28107,https://github.com/neovim/neovim/issues/28107,https://github.com/neovim/neovim/tree/2424c3e6967ef953222cf48564629ffe5812d415,https://github.com/neovim/neovim/tree/19d63563e1cceabbf8603d0abb2e88fae5bd3626,https://github.com/neovim/neovim/compare/2424c3e6967ef953222cf48564629ffe5812d415...19d63563e1cceabbf8603d0abb2e88fae5bd3626
19,Neovim,ae28ef327e02ac87ef26f941c401312ed0462d8c,f4df49a9598151343af3fc4a30b8a42608c52bb6,28197,https://github.com/neovim/neovim/issues/28197,https://github.com/neovim/neovim/tree/ae28ef327e02ac87ef26f941c401312ed0462d8c,https://github.com/neovim/neovim/tree/f4df49a9598151343af3fc4a30b8a42608c52bb6,https://github.com/neovim/neovim/compare/ae28ef327e02ac87ef26f941c401312ed0462d8c...f4df49a9598151343af3fc4a30b8a42608c52bb6
20,Neovim,4ca6e08327496ed5efc3465c42464319302ba22a,c34c31af734577255b6fb8a84b5f1ce9ff03cd6a,26145,https://github.com/neovim/neovim/issues/26145,https://github.com/neovim/neovim/tree/4ca6e08327496ed5efc3465c42464319302ba22a,https://github.com/neovim/neovim/tree/c34c31af734577255b6fb8a84b5f1ce9ff03cd6a,https://github.com/neovim/neovim/compare/4ca6e08327496ed5efc3465c42464319302ba22a...c34c31af734577255b6fb8a84b5f1ce9ff03cd6a
21,Neovim,f6a3fdd6848d67dc54cebb6c297f8ebdc109c3a3,aa1d0ac095dcc08b6069d716222739e83cbe051f,28287,https://github.com/neovim/neovim/issues/28287,https://github.com/neovim/neovim/tree/f6a3fdd6848d67dc54cebb6c297f8ebdc109c3a3,https://github.com/neovim/neovim/tree/aa1d0ac095dcc08b6069d716222739e83cbe051f,https://github.com/neovim/neovim/compare/f6a3fdd6848d67dc54cebb6c297f8ebdc109c3a3...aa1d0ac095dcc08b6069d716222739e83cbe051f
