bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Net,8cf4a9ef1ce9d57153c839dc246c6f4ffe5b97da,2f6cce0a9de948b6b59c0dab22ee4b58c809fe6c,NET-28,https://issues.apache.org/jira/browse/NET-28,https://github.com/apache/commons-ne/tree/8cf4a9ef1ce9d57153c839dc246c6f4ffe5b97da,https://github.com/apache/commons-ne/tree/2f6cce0a9de948b6b59c0dab22ee4b58c809fe6c,https://github.com/apache/commons-ne/compare/8cf4a9ef1ce9d57153c839dc246c6f4ffe5b97da...2f6cce0a9de948b6b59c0dab22ee4b58c809fe6c
2,Net,e97e359cf24ce802fc53307dae5f267bc2d23c2b,eb945ea4b8810c4a32f622b1bea7781079a3ab37,NET-36,https://issues.apache.org/jira/browse/NET-36,https://github.com/apache/commons-ne/tree/e97e359cf24ce802fc53307dae5f267bc2d23c2b,https://github.com/apache/commons-ne/tree/eb945ea4b8810c4a32f622b1bea7781079a3ab37,https://github.com/apache/commons-ne/compare/e97e359cf24ce802fc53307dae5f267bc2d23c2b...eb945ea4b8810c4a32f622b1bea7781079a3ab37
3,Net,e321b9be6df156d9a705c084aded741e1ce1ba6f,4676f817b13db90735df8fb9e35304a7a75722f6,NET-68,https://issues.apache.org/jira/browse/NET-68,https://github.com/apache/commons-ne/tree/e321b9be6df156d9a705c084aded741e1ce1ba6f,https://github.com/apache/commons-ne/tree/4676f817b13db90735df8fb9e35304a7a75722f6,https://github.com/apache/commons-ne/compare/e321b9be6df156d9a705c084aded741e1ce1ba6f...4676f817b13db90735df8fb9e35304a7a75722f6
4,Net,a7fb411ce58472825ec1df10282ad883cbd057ee,5d1dc2b9a4bb19c5fbc38c271960be147ef22016,NET-24,https://issues.apache.org/jira/browse/NET-24,https://github.com/apache/commons-ne/tree/a7fb411ce58472825ec1df10282ad883cbd057ee,https://github.com/apache/commons-ne/tree/5d1dc2b9a4bb19c5fbc38c271960be147ef22016,https://github.com/apache/commons-ne/compare/a7fb411ce58472825ec1df10282ad883cbd057ee...5d1dc2b9a4bb19c5fbc38c271960be147ef22016
5,Net,5d1dc2b9a4bb19c5fbc38c271960be147ef22016,d26934447d0959f1cca83ef987f455b60675f711,NET-178,https://issues.apache.org/jira/browse/NET-178,https://github.com/apache/commons-ne/tree/5d1dc2b9a4bb19c5fbc38c271960be147ef22016,https://github.com/apache/commons-ne/tree/d26934447d0959f1cca83ef987f455b60675f711,https://github.com/apache/commons-ne/compare/5d1dc2b9a4bb19c5fbc38c271960be147ef22016...d26934447d0959f1cca83ef987f455b60675f711
6,Net,41fcf52a10bf31693aae21df5776d051f282002b,000e726af8464d94e7d02d307dde0e07e176d58c,NET-182,https://issues.apache.org/jira/browse/NET-182,https://github.com/apache/commons-ne/tree/41fcf52a10bf31693aae21df5776d051f282002b,https://github.com/apache/commons-ne/tree/000e726af8464d94e7d02d307dde0e07e176d58c,https://github.com/apache/commons-ne/compare/41fcf52a10bf31693aae21df5776d051f282002b...000e726af8464d94e7d02d307dde0e07e176d58c
7,Net,de60ce3803c67c2791d74e058495e008af3e5fac,eacb4eb812111f8cb8315b291e9b8e8115849270,NET-170,https://issues.apache.org/jira/browse/NET-170,https://github.com/apache/commons-ne/tree/de60ce3803c67c2791d74e058495e008af3e5fac,https://github.com/apache/commons-ne/tree/eacb4eb812111f8cb8315b291e9b8e8115849270,https://github.com/apache/commons-ne/compare/de60ce3803c67c2791d74e058495e008af3e5fac...eacb4eb812111f8cb8315b291e9b8e8115849270
8,Net,eb254809443214cfdc139eb2ae46fc6ed9ce28bb,7556827f4d25275707a839ae2143a5c4afe169a3,NET-68,https://issues.apache.org/jira/browse/NET-68,https://github.com/apache/commons-ne/tree/eb254809443214cfdc139eb2ae46fc6ed9ce28bb,https://github.com/apache/commons-ne/tree/7556827f4d25275707a839ae2143a5c4afe169a3,https://github.com/apache/commons-ne/compare/eb254809443214cfdc139eb2ae46fc6ed9ce28bb...7556827f4d25275707a839ae2143a5c4afe169a3
9,Net,42424fdb6948b948ca64c333b136a0ccf79c619f,ca4c6b694befae0bffbdba330aebedbcd7d01e17,NET-172,https://issues.apache.org/jira/browse/NET-172,https://github.com/apache/commons-ne/tree/42424fdb6948b948ca64c333b136a0ccf79c619f,https://github.com/apache/commons-ne/tree/ca4c6b694befae0bffbdba330aebedbcd7d01e17,https://github.com/apache/commons-ne/compare/42424fdb6948b948ca64c333b136a0ccf79c619f...ca4c6b694befae0bffbdba330aebedbcd7d01e17
10,Net,ef5a226f03260e828bd14c0f08f57719338aa061,a02430dbd4636baa43cd3d496a94c33c29cbedd4,NET-148,https://issues.apache.org/jira/browse/NET-148,https://github.com/apache/commons-ne/tree/ef5a226f03260e828bd14c0f08f57719338aa061,https://github.com/apache/commons-ne/tree/a02430dbd4636baa43cd3d496a94c33c29cbedd4,https://github.com/apache/commons-ne/compare/ef5a226f03260e828bd14c0f08f57719338aa061...a02430dbd4636baa43cd3d496a94c33c29cbedd4
