bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Netty,8d6f0a3ce4c2d61c843021b77c924087a5f6ea19,9a18159bfedd1a3185a45dd860526d3afb2f15ea,5787,https://github.com/netty/netty/issues/5787,https://github.com/netty/netty/tree/8d6f0a3ce4c2d61c843021b77c924087a5f6ea19,https://github.com/netty/netty/tree/9a18159bfedd1a3185a45dd860526d3afb2f15ea,https://github.com/netty/netty/compare/8d6f0a3ce4c2d61c843021b77c924087a5f6ea19...9a18159bfedd1a3185a45dd860526d3afb2f15ea
2,Netty,7e62f9fcdb319661b303266bc15296ddc44bb324,0b7bf49c165e682644a53279f75a44ba084201cd,5910,https://github.com/netty/netty/issues/5910,https://github.com/netty/netty/tree/7e62f9fcdb319661b303266bc15296ddc44bb324,https://github.com/netty/netty/tree/0b7bf49c165e682644a53279f75a44ba084201cd,https://github.com/netty/netty/compare/7e62f9fcdb319661b303266bc15296ddc44bb324...0b7bf49c165e682644a53279f75a44ba084201cd
3,Netty,9cfa4675548e368f3c905c0df31d18912d43cf08,23f033ac08906b8db4dbb5695d6f0701ad14e4d3,5933,https://github.com/netty/netty/issues/5933,https://github.com/netty/netty/tree/9cfa4675548e368f3c905c0df31d18912d43cf08,https://github.com/netty/netty/tree/23f033ac08906b8db4dbb5695d6f0701ad14e4d3,https://github.com/netty/netty/compare/9cfa4675548e368f3c905c0df31d18912d43cf08...23f033ac08906b8db4dbb5695d6f0701ad14e4d3
4,Netty,b2379e62f4ae50b55bce7c43e5bd008cf9aacfd1,bff951ca07da117f1086dc928b452dd94bc8978d,5954,https://github.com/netty/netty/issues/5954,https://github.com/netty/netty/tree/b2379e62f4ae50b55bce7c43e5bd008cf9aacfd1,https://github.com/netty/netty/tree/bff951ca07da117f1086dc928b452dd94bc8978d,https://github.com/netty/netty/compare/b2379e62f4ae50b55bce7c43e5bd008cf9aacfd1...bff951ca07da117f1086dc928b452dd94bc8978d
5,Netty,55c291ae5bdb7ac79464c4f838ca0aaaba6518fe,ea0ddc0ea2cd11071bb960c7ff1aeade7bc1c1cb,6066,https://github.com/netty/netty/issues/6066,https://github.com/netty/netty/tree/55c291ae5bdb7ac79464c4f838ca0aaaba6518fe,https://github.com/netty/netty/tree/ea0ddc0ea2cd11071bb960c7ff1aeade7bc1c1cb,https://github.com/netty/netty/compare/55c291ae5bdb7ac79464c4f838ca0aaaba6518fe...ea0ddc0ea2cd11071bb960c7ff1aeade7bc1c1cb
6,Netty,0eeeb764391490585f690c8b424d9ce2d43e6a9b,56ddc47f23611f6e1c8009caf0b67f535a41802c,6138,https://github.com/netty/netty/issues/6138,https://github.com/netty/netty/tree/0eeeb764391490585f690c8b424d9ce2d43e6a9b,https://github.com/netty/netty/tree/56ddc47f23611f6e1c8009caf0b67f535a41802c,https://github.com/netty/netty/compare/0eeeb764391490585f690c8b424d9ce2d43e6a9b...56ddc47f23611f6e1c8009caf0b67f535a41802c
7,Netty,a8950dfc4cd0f0acc9900e315b98f518c3694e8f,2457f386d8873d4b401571eb676c0b8b84288c76,6153,https://github.com/netty/netty/issues/6153,https://github.com/netty/netty/tree/a8950dfc4cd0f0acc9900e315b98f518c3694e8f,https://github.com/netty/netty/tree/2457f386d8873d4b401571eb676c0b8b84288c76,https://github.com/netty/netty/compare/a8950dfc4cd0f0acc9900e315b98f518c3694e8f...2457f386d8873d4b401571eb676c0b8b84288c76
8,Netty,9bec25a6eb491a3aa2b680d098113581bbc29bf1,44add3c5255479eb0a6bdd266e53f50d11c76684,6265,https://github.com/netty/netty/issues/6265,https://github.com/netty/netty/tree/9bec25a6eb491a3aa2b680d098113581bbc29bf1,https://github.com/netty/netty/tree/44add3c5255479eb0a6bdd266e53f50d11c76684,https://github.com/netty/netty/compare/9bec25a6eb491a3aa2b680d098113581bbc29bf1...44add3c5255479eb0a6bdd266e53f50d11c76684
9,Netty,94cb389c04bd084f698345aac4cb70b02e5da086,f10f8a31318a2e408b979de6a8ed49caa615d86a,6282,https://github.com/netty/netty/issues/6282,https://github.com/netty/netty/tree/94cb389c04bd084f698345aac4cb70b02e5da086,https://github.com/netty/netty/tree/f10f8a31318a2e408b979de6a8ed49caa615d86a,https://github.com/netty/netty/compare/94cb389c04bd084f698345aac4cb70b02e5da086...f10f8a31318a2e408b979de6a8ed49caa615d86a
10,Netty,1843b318850ac7a3990c13b1d275e0e37491301e,9ee4cc0ada3d8e46b139671dabfbfd35c8be3308,6387,https://github.com/netty/netty/issues/6387,https://github.com/netty/netty/tree/1843b318850ac7a3990c13b1d275e0e37491301e,https://github.com/netty/netty/tree/9ee4cc0ada3d8e46b139671dabfbfd35c8be3308,https://github.com/netty/netty/compare/1843b318850ac7a3990c13b1d275e0e37491301e...9ee4cc0ada3d8e46b139671dabfbfd35c8be3308
11,Netty,9e6e1a3e7b451779a0aa8db07271a7befd69e02c,9c1a1916962354f1e69fe43107219c25a86e6cef,6452,https://github.com/netty/netty/issues/6452,https://github.com/netty/netty/tree/9e6e1a3e7b451779a0aa8db07271a7befd69e02c,https://github.com/netty/netty/tree/9c1a1916962354f1e69fe43107219c25a86e6cef,https://github.com/netty/netty/compare/9e6e1a3e7b451779a0aa8db07271a7befd69e02c...9c1a1916962354f1e69fe43107219c25a86e6cef
12,Netty,bf08ed0b93e54e8e21f23e9d948fd2732dc52171,7467106630ad6b2522f7953c244546b91b107efe,6551,https://github.com/netty/netty/issues/6551,https://github.com/netty/netty/tree/bf08ed0b93e54e8e21f23e9d948fd2732dc52171,https://github.com/netty/netty/tree/7467106630ad6b2522f7953c244546b91b107efe,https://github.com/netty/netty/compare/bf08ed0b93e54e8e21f23e9d948fd2732dc52171...7467106630ad6b2522f7953c244546b91b107efe
