bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,NewtonsoftJson,71a91bf34f7e8b93dee43f304eb0fff150cd7fe4,2368a8e1b19a65c97f660cdccd1a6345526ab204,210,https://github.com/JamesNK/Newtonsoft.Json/issues/210,https://github.com/JamesNK/Newtonsoft.Json/tree/71a91bf34f7e8b93dee43f304eb0fff150cd7fe4,https://github.com/JamesNK/Newtonsoft.Json/tree/2368a8e1b19a65c97f660cdccd1a6345526ab204,https://github.com/JamesNK/Newtonsoft.Json/compare/71a91bf34f7e8b93dee43f304eb0fff150cd7fe4...2368a8e1b19a65c97f660cdccd1a6345526ab204
2,NewtonsoftJson,425c1d8402800b07b2de7e72ea7876883addc14f,f3706313ef68d4ce968081d080f07a6d86393e43,726,https://github.com/JamesNK/Newtonsoft.Json/issues/726,https://github.com/JamesNK/Newtonsoft.Json/tree/425c1d8402800b07b2de7e72ea7876883addc14f,https://github.com/JamesNK/Newtonsoft.Json/tree/f3706313ef68d4ce968081d080f07a6d86393e43,https://github.com/JamesNK/Newtonsoft.Json/compare/425c1d8402800b07b2de7e72ea7876883addc14f...f3706313ef68d4ce968081d080f07a6d86393e43
3,NewtonsoftJson,48786adc5bf9e9bcaea52147f09d6022ae14082c,40bd05180939308cf9e8a27f56e99fa7cb79916b,746,https://github.com/JamesNK/Newtonsoft.Json/issues/746,https://github.com/JamesNK/Newtonsoft.Json/tree/48786adc5bf9e9bcaea52147f09d6022ae14082c,https://github.com/JamesNK/Newtonsoft.Json/tree/40bd05180939308cf9e8a27f56e99fa7cb79916b,https://github.com/JamesNK/Newtonsoft.Json/compare/48786adc5bf9e9bcaea52147f09d6022ae14082c...40bd05180939308cf9e8a27f56e99fa7cb79916b
4,NewtonsoftJson,dca52603345d0e1d60f4fb58305ee67a7035e812,d764cfae1a0953fc9225c367c7cb93a02fb19293,752,https://github.com/JamesNK/Newtonsoft.Json/issues/752,https://github.com/JamesNK/Newtonsoft.Json/tree/dca52603345d0e1d60f4fb58305ee67a7035e812,https://github.com/JamesNK/Newtonsoft.Json/tree/d764cfae1a0953fc9225c367c7cb93a02fb19293,https://github.com/JamesNK/Newtonsoft.Json/compare/dca52603345d0e1d60f4fb58305ee67a7035e812...d764cfae1a0953fc9225c367c7cb93a02fb19293
5,NewtonsoftJson,dca52603345d0e1d60f4fb58305ee67a7035e812,bf2e5a29aab3c0798c8a341a03bb82e797c06d09,755,https://github.com/JamesNK/Newtonsoft.Json/issues/755,https://github.com/JamesNK/Newtonsoft.Json/tree/dca52603345d0e1d60f4fb58305ee67a7035e812,https://github.com/JamesNK/Newtonsoft.Json/tree/bf2e5a29aab3c0798c8a341a03bb82e797c06d09,https://github.com/JamesNK/Newtonsoft.Json/compare/dca52603345d0e1d60f4fb58305ee67a7035e812...bf2e5a29aab3c0798c8a341a03bb82e797c06d09
6,NewtonsoftJson,7191c3a4e76eeb73ed82a06c22455060d1234b13,4605894b6b3c34859baa0561135e75b5ff8895c5,926,https://github.com/JamesNK/Newtonsoft.Json/issues/926,https://github.com/JamesNK/Newtonsoft.Json/tree/7191c3a4e76eeb73ed82a06c22455060d1234b13,https://github.com/JamesNK/Newtonsoft.Json/tree/4605894b6b3c34859baa0561135e75b5ff8895c5,https://github.com/JamesNK/Newtonsoft.Json/compare/7191c3a4e76eeb73ed82a06c22455060d1234b13...4605894b6b3c34859baa0561135e75b5ff8895c5
7,NewtonsoftJson,fac72ad50c896ea0c01dbca56e3655a39005546c,2a28dcc544347c325c4bfe018aa6d775f549b858,1050,https://github.com/JamesNK/Newtonsoft.Json/issues/1050,https://github.com/JamesNK/Newtonsoft.Json/tree/fac72ad50c896ea0c01dbca56e3655a39005546c,https://github.com/JamesNK/Newtonsoft.Json/tree/2a28dcc544347c325c4bfe018aa6d775f549b858,https://github.com/JamesNK/Newtonsoft.Json/compare/fac72ad50c896ea0c01dbca56e3655a39005546c...2a28dcc544347c325c4bfe018aa6d775f549b858
8,NewtonsoftJson,322252a98991a4a8a8f83dec300c76663cb99c5f,2abc38a0ad56cbe166ee26a26846fee269938a2a,1120,https://github.com/JamesNK/Newtonsoft.Json/issues/1120,https://github.com/JamesNK/Newtonsoft.Json/tree/322252a98991a4a8a8f83dec300c76663cb99c5f,https://github.com/JamesNK/Newtonsoft.Json/tree/2abc38a0ad56cbe166ee26a26846fee269938a2a,https://github.com/JamesNK/Newtonsoft.Json/compare/322252a98991a4a8a8f83dec300c76663cb99c5f...2abc38a0ad56cbe166ee26a26846fee269938a2a
9,NewtonsoftJson,0b187df8cb1b00f246d048d4502bc3147607be2f,260dfedac53c30a3b9b6b372d622f679ebdb7535,1142,https://github.com/JamesNK/Newtonsoft.Json/issues/1142,https://github.com/JamesNK/Newtonsoft.Json/tree/0b187df8cb1b00f246d048d4502bc3147607be2f,https://github.com/JamesNK/Newtonsoft.Json/tree/260dfedac53c30a3b9b6b372d622f679ebdb7535,https://github.com/JamesNK/Newtonsoft.Json/compare/0b187df8cb1b00f246d048d4502bc3147607be2f...260dfedac53c30a3b9b6b372d622f679ebdb7535
10,NewtonsoftJson,260dfedac53c30a3b9b6b372d622f679ebdb7535,218c25c859536613258fa2fd41c4209719ad75ea,1138,https://github.com/JamesNK/Newtonsoft.Json/issues/1138,https://github.com/JamesNK/Newtonsoft.Json/tree/260dfedac53c30a3b9b6b372d622f679ebdb7535,https://github.com/JamesNK/Newtonsoft.Json/tree/218c25c859536613258fa2fd41c4209719ad75ea,https://github.com/JamesNK/Newtonsoft.Json/compare/260dfedac53c30a3b9b6b372d622f679ebdb7535...218c25c859536613258fa2fd41c4209719ad75ea
11,NewtonsoftJson,7e4b3448c77bdd5b59b0381c9c051a4ec465ba14,9727996b1a0ac7c961fd227d2a620896120dfaad,1182,https://github.com/JamesNK/Newtonsoft.Json/issues/1182,https://github.com/JamesNK/Newtonsoft.Json/tree/7e4b3448c77bdd5b59b0381c9c051a4ec465ba14,https://github.com/JamesNK/Newtonsoft.Json/tree/9727996b1a0ac7c961fd227d2a620896120dfaad,https://github.com/JamesNK/Newtonsoft.Json/compare/7e4b3448c77bdd5b59b0381c9c051a4ec465ba14...9727996b1a0ac7c961fd227d2a620896120dfaad
12,NewtonsoftJson,285b4c9a8532f447a934aaef95f0b632e7272907,7819b3c5ef37220dc5e5d2f877921740b67d676c,1180,https://github.com/JamesNK/Newtonsoft.Json/issues/1180,https://github.com/JamesNK/Newtonsoft.Json/tree/285b4c9a8532f447a934aaef95f0b632e7272907,https://github.com/JamesNK/Newtonsoft.Json/tree/7819b3c5ef37220dc5e5d2f877921740b67d676c,https://github.com/JamesNK/Newtonsoft.Json/compare/285b4c9a8532f447a934aaef95f0b632e7272907...7819b3c5ef37220dc5e5d2f877921740b67d676c
13,NewtonsoftJson,5712e024b274ced1d387c75639fe18b9ea736a25,05d721e36f6f2203d23d445419912cf2d854bdb7,1984,https://github.com/JamesNK/Newtonsoft.Json/issues/1984,https://github.com/JamesNK/Newtonsoft.Json/tree/5712e024b274ced1d387c75639fe18b9ea736a25,https://github.com/JamesNK/Newtonsoft.Json/tree/05d721e36f6f2203d23d445419912cf2d854bdb7,https://github.com/JamesNK/Newtonsoft.Json/compare/5712e024b274ced1d387c75639fe18b9ea736a25...05d721e36f6f2203d23d445419912cf2d854bdb7
14,NewtonsoftJson,5a35c77d09191e34216cf0b2d9f615089465cd1f,0a56633b6cd4fccc860a8486260ee67636f3fe90,2372,https://github.com/JamesNK/Newtonsoft.Json/issues/2372,https://github.com/JamesNK/Newtonsoft.Json/tree/5a35c77d09191e34216cf0b2d9f615089465cd1f,https://github.com/JamesNK/Newtonsoft.Json/tree/0a56633b6cd4fccc860a8486260ee67636f3fe90,https://github.com/JamesNK/Newtonsoft.Json/compare/5a35c77d09191e34216cf0b2d9f615089465cd1f...0a56633b6cd4fccc860a8486260ee67636f3fe90
