bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,NodeFetch,98b167c35d4465bdff1c5760ad9676142e3eefc6,b6f3913499b894ed6990b5b9024df301e679e3b1,7,https://github.com/node-fetch/node-fetch/issues/7,https://github.com/node-fetch/node-fetch/tree/98b167c35d4465bdff1c5760ad9676142e3eefc6,https://github.com/node-fetch/node-fetch/tree/b6f3913499b894ed6990b5b9024df301e679e3b1,https://github.com/node-fetch/node-fetch/compare/98b167c35d4465bdff1c5760ad9676142e3eefc6...b6f3913499b894ed6990b5b9024df301e679e3b1
2,NodeFetch,3e53f0c2c86078808508aa2ca11094bb45570548,95b58936b8673f7fdc21050c3bfeb460e9b00bf1,165,https://github.com/node-fetch/node-fetch/issues/165,https://github.com/node-fetch/node-fetch/tree/3e53f0c2c86078808508aa2ca11094bb45570548,https://github.com/node-fetch/node-fetch/tree/95b58936b8673f7fdc21050c3bfeb460e9b00bf1,https://github.com/node-fetch/node-fetch/compare/3e53f0c2c86078808508aa2ca11094bb45570548...95b58936b8673f7fdc21050c3bfeb460e9b00bf1
3,NodeFetch,2874af4218c059e9990de47596d0d9da1872cdf9,993d4cdea1b63db4ec41a994873e6044f26cde85,127,https://github.com/node-fetch/node-fetch/issues/127,https://github.com/node-fetch/node-fetch/tree/2874af4218c059e9990de47596d0d9da1872cdf9,https://github.com/node-fetch/node-fetch/tree/993d4cdea1b63db4ec41a994873e6044f26cde85,https://github.com/node-fetch/node-fetch/compare/2874af4218c059e9990de47596d0d9da1872cdf9...993d4cdea1b63db4ec41a994873e6044f26cde85
4,NodeFetch,67326e3873ba1ee3dff79871f256fdf77dff0ab2,ea111626e9ae3ea112bf7bc8fec4b28a905ddf37,186,https://github.com/node-fetch/node-fetch/issues/186,https://github.com/node-fetch/node-fetch/tree/67326e3873ba1ee3dff79871f256fdf77dff0ab2,https://github.com/node-fetch/node-fetch/tree/ea111626e9ae3ea112bf7bc8fec4b28a905ddf37,https://github.com/node-fetch/node-fetch/compare/67326e3873ba1ee3dff79871f256fdf77dff0ab2...ea111626e9ae3ea112bf7bc8fec4b28a905ddf37
5,NodeFetch,e67b3a8579e00b90f036c3e81f3083fac58ce1e2,8f3e886c7fe377e95f2338cecb939a1de3bf3488,186,https://github.com/node-fetch/node-fetch/issues/186,https://github.com/node-fetch/node-fetch/tree/e67b3a8579e00b90f036c3e81f3083fac58ce1e2,https://github.com/node-fetch/node-fetch/tree/8f3e886c7fe377e95f2338cecb939a1de3bf3488,https://github.com/node-fetch/node-fetch/compare/e67b3a8579e00b90f036c3e81f3083fac58ce1e2...8f3e886c7fe377e95f2338cecb939a1de3bf3488
6,NodeFetch,c7a912cf5b05af8e68cf0082c6deefa7a5e6c7dd,d3b4161d7c26210aa115047844d2504ca58a87a8,184,https://github.com/node-fetch/node-fetch/issues/184,https://github.com/node-fetch/node-fetch/tree/c7a912cf5b05af8e68cf0082c6deefa7a5e6c7dd,https://github.com/node-fetch/node-fetch/tree/d3b4161d7c26210aa115047844d2504ca58a87a8,https://github.com/node-fetch/node-fetch/compare/c7a912cf5b05af8e68cf0082c6deefa7a5e6c7dd...d3b4161d7c26210aa115047844d2504ca58a87a8
7,NodeFetch,b092a8ed12f07ec2838d3b05572a3d3920c1b350,76cb57cace246fa6d5764d761247fdbe8e08519a,175,https://github.com/node-fetch/node-fetch/issues/175,https://github.com/node-fetch/node-fetch/tree/b092a8ed12f07ec2838d3b05572a3d3920c1b350,https://github.com/node-fetch/node-fetch/tree/76cb57cace246fa6d5764d761247fdbe8e08519a,https://github.com/node-fetch/node-fetch/compare/b092a8ed12f07ec2838d3b05572a3d3920c1b350...76cb57cace246fa6d5764d761247fdbe8e08519a
8,NodeFetch,7f0e50260ea0f9a7662a33ea1bd209f6cb4c5407,d3071fa46a27abc744b803db890d9323636eabec,165,https://github.com/node-fetch/node-fetch/issues/165,https://github.com/node-fetch/node-fetch/tree/7f0e50260ea0f9a7662a33ea1bd209f6cb4c5407,https://github.com/node-fetch/node-fetch/tree/d3071fa46a27abc744b803db890d9323636eabec,https://github.com/node-fetch/node-fetch/compare/7f0e50260ea0f9a7662a33ea1bd209f6cb4c5407...d3071fa46a27abc744b803db890d9323636eabec
9,NodeFetch,3d676235a8045b406ce6e8af9d2bb600b627ed5b,cc4ace1778a9235de38c3d5666668b79f25d69a9,208,https://github.com/node-fetch/node-fetch/issues/208,https://github.com/node-fetch/node-fetch/tree/3d676235a8045b406ce6e8af9d2bb600b627ed5b,https://github.com/node-fetch/node-fetch/tree/cc4ace1778a9235de38c3d5666668b79f25d69a9,https://github.com/node-fetch/node-fetch/compare/3d676235a8045b406ce6e8af9d2bb600b627ed5b...cc4ace1778a9235de38c3d5666668b79f25d69a9
10,NodeFetch,8cf1541fb0155ac2e5e87b10a6a20d0db08b6b8f,908f661664e51fd847a5f69eb31724bbf2b3724b,8,https://github.com/node-fetch/node-fetch/issues/8,https://github.com/node-fetch/node-fetch/tree/8cf1541fb0155ac2e5e87b10a6a20d0db08b6b8f,https://github.com/node-fetch/node-fetch/tree/908f661664e51fd847a5f69eb31724bbf2b3724b,https://github.com/node-fetch/node-fetch/compare/8cf1541fb0155ac2e5e87b10a6a20d0db08b6b8f...908f661664e51fd847a5f69eb31724bbf2b3724b
