bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Oozie_client,ae8ae6d6b0b131146eb34dde8a3bbd305ce734c9,49f5691180f0e293e1d926a5db0a6f14d771640f,OOZIE-50,https://issues.apache.org/jira/browse/OOZIE-50,https://github.com/apache/oozie/tree/ae8ae6d6b0b131146eb34dde8a3bbd305ce734c9,https://github.com/apache/oozie/tree/49f5691180f0e293e1d926a5db0a6f14d771640f,https://github.com/apache/oozie/compare/ae8ae6d6b0b131146eb34dde8a3bbd305ce734c9...49f5691180f0e293e1d926a5db0a6f14d771640f
2,Oozie_client,86a18c01b2940dda7e79b8fbf2d9f7924690d471,1e1e3da7594def1e148fa264f60987f0d6a2b087,OOZIE-62,https://issues.apache.org/jira/browse/OOZIE-62,https://github.com/apache/oozie/tree/86a18c01b2940dda7e79b8fbf2d9f7924690d471,https://github.com/apache/oozie/tree/1e1e3da7594def1e148fa264f60987f0d6a2b087,https://github.com/apache/oozie/compare/86a18c01b2940dda7e79b8fbf2d9f7924690d471...1e1e3da7594def1e148fa264f60987f0d6a2b087
3,Oozie_client,c705016845480680329199b08643827dbb146a8a,c8dddb6afcc1fbb6c01c0e2c13bb658ac211b3e5,OOZIE-97,https://issues.apache.org/jira/browse/OOZIE-97,https://github.com/apache/oozie/tree/c705016845480680329199b08643827dbb146a8a,https://github.com/apache/oozie/tree/c8dddb6afcc1fbb6c01c0e2c13bb658ac211b3e5,https://github.com/apache/oozie/compare/c705016845480680329199b08643827dbb146a8a...c8dddb6afcc1fbb6c01c0e2c13bb658ac211b3e5
4,Oozie_client,c8dddb6afcc1fbb6c01c0e2c13bb658ac211b3e5,2f5d07f99fc6c400747c34ff5d64cddc9e4ef340,OOZIE-108,https://issues.apache.org/jira/browse/OOZIE-108,https://github.com/apache/oozie/tree/c8dddb6afcc1fbb6c01c0e2c13bb658ac211b3e5,https://github.com/apache/oozie/tree/2f5d07f99fc6c400747c34ff5d64cddc9e4ef340,https://github.com/apache/oozie/compare/c8dddb6afcc1fbb6c01c0e2c13bb658ac211b3e5...2f5d07f99fc6c400747c34ff5d64cddc9e4ef340
5,Oozie_client,d09f435a0d4cac5f97a72b250768901555a7df8b,faad2595a8d0ce0127e9a9b88e35c5cc96c17a24,OOZIE-110,https://issues.apache.org/jira/browse/OOZIE-110,https://github.com/apache/oozie/tree/d09f435a0d4cac5f97a72b250768901555a7df8b,https://github.com/apache/oozie/tree/faad2595a8d0ce0127e9a9b88e35c5cc96c17a24,https://github.com/apache/oozie/compare/d09f435a0d4cac5f97a72b250768901555a7df8b...faad2595a8d0ce0127e9a9b88e35c5cc96c17a24
6,Oozie_client,b00dbec2e60647e931ca18626edad62be08af554,1c4d0e3a3eff3a808831a2ca10667d2582eac4a7,OOZIE-81,https://issues.apache.org/jira/browse/OOZIE-81,https://github.com/apache/oozie/tree/b00dbec2e60647e931ca18626edad62be08af554,https://github.com/apache/oozie/tree/1c4d0e3a3eff3a808831a2ca10667d2582eac4a7,https://github.com/apache/oozie/compare/b00dbec2e60647e931ca18626edad62be08af554...1c4d0e3a3eff3a808831a2ca10667d2582eac4a7
7,Oozie_client,70284594544e6e4eef561ae1f8097fb66f89f029,eb4056db3b51f27e7179e2bb7224de34db2eff0a,OOZIE-571,https://issues.apache.org/jira/browse/OOZIE-571,https://github.com/apache/oozie/tree/70284594544e6e4eef561ae1f8097fb66f89f029,https://github.com/apache/oozie/tree/eb4056db3b51f27e7179e2bb7224de34db2eff0a,https://github.com/apache/oozie/compare/70284594544e6e4eef561ae1f8097fb66f89f029...eb4056db3b51f27e7179e2bb7224de34db2eff0a
8,Oozie_client,6fc6461693818153fdffabadd10e4a8947307163,e5a02a52508748d806e40873b77c65fbf19872d6,OOZIE-572,https://issues.apache.org/jira/browse/OOZIE-572,https://github.com/apache/oozie/tree/6fc6461693818153fdffabadd10e4a8947307163,https://github.com/apache/oozie/tree/e5a02a52508748d806e40873b77c65fbf19872d6,https://github.com/apache/oozie/compare/6fc6461693818153fdffabadd10e4a8947307163...e5a02a52508748d806e40873b77c65fbf19872d6
9,Oozie_client,05c4b6afba8f00dbbdb86c089122ad9ddd6465dc,c0b1b86701810b6cacec86414607fceec091ead5,OOZIE-579,https://issues.apache.org/jira/browse/OOZIE-579,https://github.com/apache/oozie/tree/05c4b6afba8f00dbbdb86c089122ad9ddd6465dc,https://github.com/apache/oozie/tree/c0b1b86701810b6cacec86414607fceec091ead5,https://github.com/apache/oozie/compare/05c4b6afba8f00dbbdb86c089122ad9ddd6465dc...c0b1b86701810b6cacec86414607fceec091ead5
10,Oozie_client,a77190dbaa033ed37a882d847da99d5ba4c1571f,31701b5854396d55636997558741c8e4875a1b0e,OOZIE-601,https://issues.apache.org/jira/browse/OOZIE-601,https://github.com/apache/oozie/tree/a77190dbaa033ed37a882d847da99d5ba4c1571f,https://github.com/apache/oozie/tree/31701b5854396d55636997558741c8e4875a1b0e,https://github.com/apache/oozie/compare/a77190dbaa033ed37a882d847da99d5ba4c1571f...31701b5854396d55636997558741c8e4875a1b0e
