bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,PHPStan,7c16cf7fd58098e547434ca344750710c6bd228d,c5b92fd872f370e036f02a38412a5cb898100856,1864,https://github.com/phpstan/phpstan/issues/1864,https://github.com/phpstan/phpstan/tree/7c16cf7fd58098e547434ca344750710c6bd228d,https://github.com/phpstan/phpstan/tree/c5b92fd872f370e036f02a38412a5cb898100856,https://github.com/phpstan/phpstan/compare/7c16cf7fd58098e547434ca344750710c6bd228d...c5b92fd872f370e036f02a38412a5cb898100856
2,PHPStan,38f8190495c0cf269d4de29ee2a1c0122293cd74,53e8556d33c75a185bb43429eaaae00945fe0611,1779,https://github.com/phpstan/phpstan/issues/1779,https://github.com/phpstan/phpstan/tree/38f8190495c0cf269d4de29ee2a1c0122293cd74,https://github.com/phpstan/phpstan/tree/53e8556d33c75a185bb43429eaaae00945fe0611,https://github.com/phpstan/phpstan/compare/38f8190495c0cf269d4de29ee2a1c0122293cd74...53e8556d33c75a185bb43429eaaae00945fe0611
3,PHPStan,53e8556d33c75a185bb43429eaaae00945fe0611,2711fe5f02229515f39f5742c0ef2601c27f493a,1831,https://github.com/phpstan/phpstan/issues/1831,https://github.com/phpstan/phpstan/tree/53e8556d33c75a185bb43429eaaae00945fe0611,https://github.com/phpstan/phpstan/tree/2711fe5f02229515f39f5742c0ef2601c27f493a,https://github.com/phpstan/phpstan/compare/53e8556d33c75a185bb43429eaaae00945fe0611...2711fe5f02229515f39f5742c0ef2601c27f493a
4,PHPStan,2711fe5f02229515f39f5742c0ef2601c27f493a,0422ed7de8249daf371d39b6e6532d1307c8598c,1792,https://github.com/phpstan/phpstan/issues/1792,https://github.com/phpstan/phpstan/tree/2711fe5f02229515f39f5742c0ef2601c27f493a,https://github.com/phpstan/phpstan/tree/0422ed7de8249daf371d39b6e6532d1307c8598c,https://github.com/phpstan/phpstan/compare/2711fe5f02229515f39f5742c0ef2601c27f493a...0422ed7de8249daf371d39b6e6532d1307c8598c
5,PHPStan,666f068d2616446b4d662f935232b399523bdc1c,40b3a0f91c8ad33a8cfc735b82b4d4f036591f0f,2026,https://github.com/phpstan/phpstan/issues/2026,https://github.com/phpstan/phpstan/tree/666f068d2616446b4d662f935232b399523bdc1c,https://github.com/phpstan/phpstan/tree/40b3a0f91c8ad33a8cfc735b82b4d4f036591f0f,https://github.com/phpstan/phpstan/compare/666f068d2616446b4d662f935232b399523bdc1c...40b3a0f91c8ad33a8cfc735b82b4d4f036591f0f
6,PHPStan,6675219b4cede16a48a8b16ac0cf91cb10a5999b,fbd2b935ddd5b9319301010de9ea387a65cecae5,2169,https://github.com/phpstan/phpstan/issues/2169,https://github.com/phpstan/phpstan/tree/6675219b4cede16a48a8b16ac0cf91cb10a5999b,https://github.com/phpstan/phpstan/tree/fbd2b935ddd5b9319301010de9ea387a65cecae5,https://github.com/phpstan/phpstan/compare/6675219b4cede16a48a8b16ac0cf91cb10a5999b...fbd2b935ddd5b9319301010de9ea387a65cecae5
7,PHPStan,002a5c5eba120d28780fe12a4610622487fb5061,3e8dcdef0187835b7208a73e2bf9942582cf5bab,2234,https://github.com/phpstan/phpstan/issues/2234,https://github.com/phpstan/phpstan/tree/002a5c5eba120d28780fe12a4610622487fb5061,https://github.com/phpstan/phpstan/tree/3e8dcdef0187835b7208a73e2bf9942582cf5bab,https://github.com/phpstan/phpstan/compare/002a5c5eba120d28780fe12a4610622487fb5061...3e8dcdef0187835b7208a73e2bf9942582cf5bab
8,PHPStan,62f62a2cd3a7bd5f49682ac6d3de8e4ca3a736de,11e5e562fd12e2fbf414bd919ceda71b0c871776,2341,https://github.com/phpstan/phpstan/issues/2341,https://github.com/phpstan/phpstan/tree/62f62a2cd3a7bd5f49682ac6d3de8e4ca3a736de,https://github.com/phpstan/phpstan/tree/11e5e562fd12e2fbf414bd919ceda71b0c871776,https://github.com/phpstan/phpstan/compare/62f62a2cd3a7bd5f49682ac6d3de8e4ca3a736de...11e5e562fd12e2fbf414bd919ceda71b0c871776
9,PHPStan,16d4301bb3f60e324df88acbdcf4def0def3315d,58bc0f52528475ea32a4902379262e6af43a0a76,2072,https://github.com/phpstan/phpstan/issues/2072,https://github.com/phpstan/phpstan/tree/16d4301bb3f60e324df88acbdcf4def0def3315d,https://github.com/phpstan/phpstan/tree/58bc0f52528475ea32a4902379262e6af43a0a76,https://github.com/phpstan/phpstan/compare/16d4301bb3f60e324df88acbdcf4def0def3315d...58bc0f52528475ea32a4902379262e6af43a0a76
10,PHPStan,24fa3bc001df8a6d06277b734985b6481a7193e5,c88b31b22117e906b23a51f0a7e79016acf7118e,2437,https://github.com/phpstan/phpstan/issues/2437,https://github.com/phpstan/phpstan/tree/24fa3bc001df8a6d06277b734985b6481a7193e5,https://github.com/phpstan/phpstan/tree/c88b31b22117e906b23a51f0a7e79016acf7118e,https://github.com/phpstan/phpstan/compare/24fa3bc001df8a6d06277b734985b6481a7193e5...c88b31b22117e906b23a51f0a7e79016acf7118e
