bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,PHPUnit,ff8ec1a6bc4e8ac3ef69196e8e29726a9b0a2a6e,ed729014d11d08987e4673705fdf1cefb85107e8,30,https://github.com/sebastianbergmann/phpunit/issues/30,https://github.com/sebastianbergmann/phpun/tree/ff8ec1a6bc4e8ac3ef69196e8e29726a9b0a2a6e,https://github.com/sebastianbergmann/phpun/tree/ed729014d11d08987e4673705fdf1cefb85107e8,https://github.com/sebastianbergmann/phpun/compare/ff8ec1a6bc4e8ac3ef69196e8e29726a9b0a2a6e...ed729014d11d08987e4673705fdf1cefb85107e8
2,PHPUnit,8ff19a0de34236713f5cd41b415ffa208b0ffa82,53d21fa4e104563072651d7de41d7969db15f46e,31,https://github.com/sebastianbergmann/phpunit/issues/31,https://github.com/sebastianbergmann/phpun/tree/8ff19a0de34236713f5cd41b415ffa208b0ffa82,https://github.com/sebastianbergmann/phpun/tree/53d21fa4e104563072651d7de41d7969db15f46e,https://github.com/sebastianbergmann/phpun/compare/8ff19a0de34236713f5cd41b415ffa208b0ffa82...53d21fa4e104563072651d7de41d7969db15f46e
3,PHPUnit,a90a575a3d2bfe3b2d43c85acff63f89f116a627,79630364163ab7c3388acfcdef4268190cb3ce91,28,https://github.com/sebastianbergmann/phpunit/issues/28,https://github.com/sebastianbergmann/phpun/tree/a90a575a3d2bfe3b2d43c85acff63f89f116a627,https://github.com/sebastianbergmann/phpun/tree/79630364163ab7c3388acfcdef4268190cb3ce91,https://github.com/sebastianbergmann/phpun/compare/a90a575a3d2bfe3b2d43c85acff63f89f116a627...79630364163ab7c3388acfcdef4268190cb3ce91
4,PHPUnit,89f743bd07d6f7b4b5d39207712ce55b5a923875,245381d629b7206ec4247c5f5c765604aaf916d1,5,https://github.com/sebastianbergmann/phpunit/issues/5,https://github.com/sebastianbergmann/phpun/tree/89f743bd07d6f7b4b5d39207712ce55b5a923875,https://github.com/sebastianbergmann/phpun/tree/245381d629b7206ec4247c5f5c765604aaf916d1,https://github.com/sebastianbergmann/phpun/compare/89f743bd07d6f7b4b5d39207712ce55b5a923875...245381d629b7206ec4247c5f5c765604aaf916d1
5,PHPUnit,5b40f4302a29a6c6b9abf3848729556e3f56f257,01627406ab493e735c610d4112af6e3720aa1b42,9,https://github.com/sebastianbergmann/phpunit/issues/9,https://github.com/sebastianbergmann/phpun/tree/5b40f4302a29a6c6b9abf3848729556e3f56f257,https://github.com/sebastianbergmann/phpun/tree/01627406ab493e735c610d4112af6e3720aa1b42,https://github.com/sebastianbergmann/phpun/compare/5b40f4302a29a6c6b9abf3848729556e3f56f257...01627406ab493e735c610d4112af6e3720aa1b42
6,PHPUnit,22ea7c3c80b2544c93c849463dcaae8f80cd0a9b,a5b609ea3fc1ea0ad872bacc428495858a8dd5e2,11,https://github.com/sebastianbergmann/phpunit/issues/11,https://github.com/sebastianbergmann/phpun/tree/22ea7c3c80b2544c93c849463dcaae8f80cd0a9b,https://github.com/sebastianbergmann/phpun/tree/a5b609ea3fc1ea0ad872bacc428495858a8dd5e2,https://github.com/sebastianbergmann/phpun/compare/22ea7c3c80b2544c93c849463dcaae8f80cd0a9b...a5b609ea3fc1ea0ad872bacc428495858a8dd5e2
7,PHPUnit,f203c448c8c1cb9aa2ce80caeb6d5dc3cb74b7fb,6fe63d6a708b364a4c89079f486294e8812c6ef0,47,https://github.com/sebastianbergmann/phpunit/issues/47,https://github.com/sebastianbergmann/phpun/tree/f203c448c8c1cb9aa2ce80caeb6d5dc3cb74b7fb,https://github.com/sebastianbergmann/phpun/tree/6fe63d6a708b364a4c89079f486294e8812c6ef0,https://github.com/sebastianbergmann/phpun/compare/f203c448c8c1cb9aa2ce80caeb6d5dc3cb74b7fb...6fe63d6a708b364a4c89079f486294e8812c6ef0
8,PHPUnit,27abbad1a9d4cac5c88900f2ec31e91e998e4f60,aaff7d5cb1ac376d3e6d360cbbf79fb86a941bd8,38,https://github.com/sebastianbergmann/phpunit/issues/38,https://github.com/sebastianbergmann/phpun/tree/27abbad1a9d4cac5c88900f2ec31e91e998e4f60,https://github.com/sebastianbergmann/phpun/tree/aaff7d5cb1ac376d3e6d360cbbf79fb86a941bd8,https://github.com/sebastianbergmann/phpun/compare/27abbad1a9d4cac5c88900f2ec31e91e998e4f60...aaff7d5cb1ac376d3e6d360cbbf79fb86a941bd8
9,PHPUnit,aacadb67ad70e1b6da9efb17a045cfe11a06e19a,02a9f9fcc5a9928c5583b214e8d2b3081814d314,43,https://github.com/sebastianbergmann/phpunit/issues/43,https://github.com/sebastianbergmann/phpun/tree/aacadb67ad70e1b6da9efb17a045cfe11a06e19a,https://github.com/sebastianbergmann/phpun/tree/02a9f9fcc5a9928c5583b214e8d2b3081814d314,https://github.com/sebastianbergmann/phpun/compare/aacadb67ad70e1b6da9efb17a045cfe11a06e19a...02a9f9fcc5a9928c5583b214e8d2b3081814d314
10,PHPUnit,8bc780732ecc85d39e689af04756613d45f6b9ef,3db602e8879efcad406ff2d629550f55ab2f7864,54,https://github.com/sebastianbergmann/phpunit/issues/54,https://github.com/sebastianbergmann/phpun/tree/8bc780732ecc85d39e689af04756613d45f6b9ef,https://github.com/sebastianbergmann/phpun/tree/3db602e8879efcad406ff2d629550f55ab2f7864,https://github.com/sebastianbergmann/phpun/compare/8bc780732ecc85d39e689af04756613d45f6b9ef...3db602e8879efcad406ff2d629550f55ab2f7864
11,PHPUnit,aa0f74f121597684372022189a82e7c6dba56c19,6d148d0f7aeb2ae578afb135cfe28f6d3068c72f,63,https://github.com/sebastianbergmann/phpunit/issues/63,https://github.com/sebastianbergmann/phpun/tree/aa0f74f121597684372022189a82e7c6dba56c19,https://github.com/sebastianbergmann/phpun/tree/6d148d0f7aeb2ae578afb135cfe28f6d3068c72f,https://github.com/sebastianbergmann/phpun/compare/aa0f74f121597684372022189a82e7c6dba56c19...6d148d0f7aeb2ae578afb135cfe28f6d3068c72f
