bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,PM2,2fa5e38a89ffff83522f9218d37b473f9deef876,31603d391daa645c82b1ab4cce014fe46396e736,2,https://github.com/Unitech/pm2/issues/2,https://github.com/Unitech/pm2/tree/2fa5e38a89ffff83522f9218d37b473f9deef876,https://github.com/Unitech/pm2/tree/31603d391daa645c82b1ab4cce014fe46396e736,https://github.com/Unitech/pm2/compare/2fa5e38a89ffff83522f9218d37b473f9deef876...31603d391daa645c82b1ab4cce014fe46396e736
2,PM2,31603d391daa645c82b1ab4cce014fe46396e736,488519fd408c9692b2af2f65cd9f4f022635d963,4,https://github.com/Unitech/pm2/issues/4,https://github.com/Unitech/pm2/tree/31603d391daa645c82b1ab4cce014fe46396e736,https://github.com/Unitech/pm2/tree/488519fd408c9692b2af2f65cd9f4f022635d963,https://github.com/Unitech/pm2/compare/31603d391daa645c82b1ab4cce014fe46396e736...488519fd408c9692b2af2f65cd9f4f022635d963
3,PM2,13e37c1c92118a35638f31fd3c9ba8f80177dc1f,9f9d55ab2109867c72f52a6d11d17c73a52ba292,23,https://github.com/Unitech/pm2/issues/23,https://github.com/Unitech/pm2/tree/13e37c1c92118a35638f31fd3c9ba8f80177dc1f,https://github.com/Unitech/pm2/tree/9f9d55ab2109867c72f52a6d11d17c73a52ba292,https://github.com/Unitech/pm2/compare/13e37c1c92118a35638f31fd3c9ba8f80177dc1f...9f9d55ab2109867c72f52a6d11d17c73a52ba292
4,PM2,9f9d55ab2109867c72f52a6d11d17c73a52ba292,ff65b50a34aafb8f32dcfb79857509196d50cfd3,24,https://github.com/Unitech/pm2/issues/24,https://github.com/Unitech/pm2/tree/9f9d55ab2109867c72f52a6d11d17c73a52ba292,https://github.com/Unitech/pm2/tree/ff65b50a34aafb8f32dcfb79857509196d50cfd3,https://github.com/Unitech/pm2/compare/9f9d55ab2109867c72f52a6d11d17c73a52ba292...ff65b50a34aafb8f32dcfb79857509196d50cfd3
5,PM2,7479eb9321d30d0ffbacd00e17ac5221af350ea9,fa73feb77e0fdd64b039e06099493be55004f1a8,149,https://github.com/Unitech/pm2/issues/149,https://github.com/Unitech/pm2/tree/7479eb9321d30d0ffbacd00e17ac5221af350ea9,https://github.com/Unitech/pm2/tree/fa73feb77e0fdd64b039e06099493be55004f1a8,https://github.com/Unitech/pm2/compare/7479eb9321d30d0ffbacd00e17ac5221af350ea9...fa73feb77e0fdd64b039e06099493be55004f1a8
6,PM2,7479eb9321d30d0ffbacd00e17ac5221af350ea9,ddff349b44504502043601f9cc8e6d3a30e6278a,151,https://github.com/Unitech/pm2/issues/151,https://github.com/Unitech/pm2/tree/7479eb9321d30d0ffbacd00e17ac5221af350ea9,https://github.com/Unitech/pm2/tree/ddff349b44504502043601f9cc8e6d3a30e6278a,https://github.com/Unitech/pm2/compare/7479eb9321d30d0ffbacd00e17ac5221af350ea9...ddff349b44504502043601f9cc8e6d3a30e6278a
7,PM2,d68b7ea1a5e9795b92411f1304fbb6e51d3fb5e9,aa19782973ab30480ba808d9dfad4b2b28738d25,438,https://github.com/Unitech/pm2/issues/438,https://github.com/Unitech/pm2/tree/d68b7ea1a5e9795b92411f1304fbb6e51d3fb5e9,https://github.com/Unitech/pm2/tree/aa19782973ab30480ba808d9dfad4b2b28738d25,https://github.com/Unitech/pm2/compare/d68b7ea1a5e9795b92411f1304fbb6e51d3fb5e9...aa19782973ab30480ba808d9dfad4b2b28738d25
8,PM2,4b3475574a3f72018bf5ef0842a1c351483178d5,e3d75bc445e0e886c20b5f71b9a3dadff4d46852,471,https://github.com/Unitech/pm2/issues/471,https://github.com/Unitech/pm2/tree/4b3475574a3f72018bf5ef0842a1c351483178d5,https://github.com/Unitech/pm2/tree/e3d75bc445e0e886c20b5f71b9a3dadff4d46852,https://github.com/Unitech/pm2/compare/4b3475574a3f72018bf5ef0842a1c351483178d5...e3d75bc445e0e886c20b5f71b9a3dadff4d46852
9,PM2,e3d75bc445e0e886c20b5f71b9a3dadff4d46852,ba33ec7e63a84bc5d1dcd0ed5f6c726bf207bb41,495,https://github.com/Unitech/pm2/issues/495,https://github.com/Unitech/pm2/tree/e3d75bc445e0e886c20b5f71b9a3dadff4d46852,https://github.com/Unitech/pm2/tree/ba33ec7e63a84bc5d1dcd0ed5f6c726bf207bb41,https://github.com/Unitech/pm2/compare/e3d75bc445e0e886c20b5f71b9a3dadff4d46852...ba33ec7e63a84bc5d1dcd0ed5f6c726bf207bb41
10,PM2,c9dd41144133c2150b4697ff1901bb6bc5be098e,dd8925b3600a819898c4c349167cf59c9d6a0a50,397,https://github.com/Unitech/pm2/issues/397,https://github.com/Unitech/pm2/tree/c9dd41144133c2150b4697ff1901bb6bc5be098e,https://github.com/Unitech/pm2/tree/dd8925b3600a819898c4c349167cf59c9d6a0a50,https://github.com/Unitech/pm2/compare/c9dd41144133c2150b4697ff1901bb6bc5be098e...dd8925b3600a819898c4c349167cf59c9d6a0a50
