bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Pdfbox_pdfbox,11b6535639da9c62ea873f4d88f97311e895342f,d7cc17b617d5fd6010f074324b6469eb54c78873,PDFBOX-666,https://issues.apache.org/jira/browse/PDFBOX-666,https://www.github.com/apache/pdfbox/tree/11b6535639da9c62ea873f4d88f97311e895342f,https://www.github.com/apache/pdfbox/tree/d7cc17b617d5fd6010f074324b6469eb54c78873,https://www.github.com/apache/pdfbox/compare/11b6535639da9c62ea873f4d88f97311e895342f...d7cc17b617d5fd6010f074324b6469eb54c78873
2,Pdfbox_pdfbox,5540eb2ca119a95f537e0f5fd3cb84bd02f250b4,3bb63ca167fa8376e157cbcaf1e81857301b9501,PDFBOX-666,https://issues.apache.org/jira/browse/PDFBOX-666,https://www.github.com/apache/pdfbox/tree/5540eb2ca119a95f537e0f5fd3cb84bd02f250b4,https://www.github.com/apache/pdfbox/tree/3bb63ca167fa8376e157cbcaf1e81857301b9501,https://www.github.com/apache/pdfbox/compare/5540eb2ca119a95f537e0f5fd3cb84bd02f250b4...3bb63ca167fa8376e157cbcaf1e81857301b9501
3,Pdfbox_pdfbox,3bb63ca167fa8376e157cbcaf1e81857301b9501,103195b61da98bd51eddf400398882745f74309d,PDFBOX-632,https://issues.apache.org/jira/browse/PDFBOX-632,https://www.github.com/apache/pdfbox/tree/3bb63ca167fa8376e157cbcaf1e81857301b9501,https://www.github.com/apache/pdfbox/tree/103195b61da98bd51eddf400398882745f74309d,https://www.github.com/apache/pdfbox/compare/3bb63ca167fa8376e157cbcaf1e81857301b9501...103195b61da98bd51eddf400398882745f74309d
4,Pdfbox_pdfbox,764c23ef9764b30a89bdcb3dc28ece2b1599b89f,19bd1b9603228d80f3a7df771ad00118794a0f2a,PDFBOX-574,https://issues.apache.org/jira/browse/PDFBOX-574,https://www.github.com/apache/pdfbox/tree/764c23ef9764b30a89bdcb3dc28ece2b1599b89f,https://www.github.com/apache/pdfbox/tree/19bd1b9603228d80f3a7df771ad00118794a0f2a,https://www.github.com/apache/pdfbox/compare/764c23ef9764b30a89bdcb3dc28ece2b1599b89f...19bd1b9603228d80f3a7df771ad00118794a0f2a
5,Pdfbox_pdfbox,19bd1b9603228d80f3a7df771ad00118794a0f2a,dde6838b79d425d29bfc4547bcfe5c56657e5073,PDFBOX-584,https://issues.apache.org/jira/browse/PDFBOX-584,https://www.github.com/apache/pdfbox/tree/19bd1b9603228d80f3a7df771ad00118794a0f2a,https://www.github.com/apache/pdfbox/tree/dde6838b79d425d29bfc4547bcfe5c56657e5073,https://www.github.com/apache/pdfbox/compare/19bd1b9603228d80f3a7df771ad00118794a0f2a...dde6838b79d425d29bfc4547bcfe5c56657e5073
6,Pdfbox_pdfbox,dde6838b79d425d29bfc4547bcfe5c56657e5073,90514f93d000c1517865f03daf01c8b1a3bf2e80,PDFBOX-515,https://issues.apache.org/jira/browse/PDFBOX-515,https://www.github.com/apache/pdfbox/tree/dde6838b79d425d29bfc4547bcfe5c56657e5073,https://www.github.com/apache/pdfbox/tree/90514f93d000c1517865f03daf01c8b1a3bf2e80,https://www.github.com/apache/pdfbox/compare/dde6838b79d425d29bfc4547bcfe5c56657e5073...90514f93d000c1517865f03daf01c8b1a3bf2e80
7,Pdfbox_pdfbox,3e04ea182263d9c73b8a7f5b2e08060ca0d4d322,c1175059f0107c097f0360786ee04e355fdfbf49,PDFBOX-673,https://issues.apache.org/jira/browse/PDFBOX-673,https://www.github.com/apache/pdfbox/tree/3e04ea182263d9c73b8a7f5b2e08060ca0d4d322,https://www.github.com/apache/pdfbox/tree/c1175059f0107c097f0360786ee04e355fdfbf49,https://www.github.com/apache/pdfbox/compare/3e04ea182263d9c73b8a7f5b2e08060ca0d4d322...c1175059f0107c097f0360786ee04e355fdfbf49
8,Pdfbox_pdfbox,c1175059f0107c097f0360786ee04e355fdfbf49,7fa70d3179a2ce2ef12d0d2c5c7fea2bbf095eb4,PDFBOX-672,https://issues.apache.org/jira/browse/PDFBOX-672,https://www.github.com/apache/pdfbox/tree/c1175059f0107c097f0360786ee04e355fdfbf49,https://www.github.com/apache/pdfbox/tree/7fa70d3179a2ce2ef12d0d2c5c7fea2bbf095eb4,https://www.github.com/apache/pdfbox/compare/c1175059f0107c097f0360786ee04e355fdfbf49...7fa70d3179a2ce2ef12d0d2c5c7fea2bbf095eb4
9,Pdfbox_pdfbox,62f487739cc2c4fdaa6ed15e302629d4f8d4a818,60aecd0d56708a8f9ab9e3fd5eef98427a475cf4,PDFBOX-674,https://issues.apache.org/jira/browse/PDFBOX-674,https://www.github.com/apache/pdfbox/tree/62f487739cc2c4fdaa6ed15e302629d4f8d4a818,https://www.github.com/apache/pdfbox/tree/60aecd0d56708a8f9ab9e3fd5eef98427a475cf4,https://www.github.com/apache/pdfbox/compare/62f487739cc2c4fdaa6ed15e302629d4f8d4a818...60aecd0d56708a8f9ab9e3fd5eef98427a475cf4
10,Pdfbox_pdfbox,206e4885cf79b5d6f68bc83cc45ac5bebfb4a2a5,d186b1b4f21a887f39081064b519a55aa49bf55f,PDFBOX-672,https://issues.apache.org/jira/browse/PDFBOX-672,https://www.github.com/apache/pdfbox/tree/206e4885cf79b5d6f68bc83cc45ac5bebfb4a2a5,https://www.github.com/apache/pdfbox/tree/d186b1b4f21a887f39081064b519a55aa49bf55f,https://www.github.com/apache/pdfbox/compare/206e4885cf79b5d6f68bc83cc45ac5bebfb4a2a5...d186b1b4f21a887f39081064b519a55aa49bf55f
