bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Playwright,f58c1f37eb36333ce2fa00d6beddc4a7909a1b39,f61e445f2b2a0abf8334c3b3c13ec5f986631cb0,28321,https://github.com/microsoft/playwright/issues/28321,https://github.com/microsoft/playwrigh/tree/f58c1f37eb36333ce2fa00d6beddc4a7909a1b39,https://github.com/microsoft/playwrigh/tree/f61e445f2b2a0abf8334c3b3c13ec5f986631cb0,https://github.com/microsoft/playwrigh/compare/f58c1f37eb36333ce2fa00d6beddc4a7909a1b39...f61e445f2b2a0abf8334c3b3c13ec5f986631cb0
2,Playwright,ea7fe340c1967a880710dddf4318f9ee02588fdc,facec88c99dd04d41381333e3d72ebdd5bf29f28,28375,https://github.com/microsoft/playwright/issues/28375,https://github.com/microsoft/playwrigh/tree/ea7fe340c1967a880710dddf4318f9ee02588fdc,https://github.com/microsoft/playwrigh/tree/facec88c99dd04d41381333e3d72ebdd5bf29f28,https://github.com/microsoft/playwrigh/compare/ea7fe340c1967a880710dddf4318f9ee02588fdc...facec88c99dd04d41381333e3d72ebdd5bf29f28
3,Playwright,736c0efd43e4b03c880f997caacaa6f4f43afe3d,8d3a931377939a7eaedec6b422ae646e5938bfdd,28495,https://github.com/microsoft/playwright/issues/28495,https://github.com/microsoft/playwrigh/tree/736c0efd43e4b03c880f997caacaa6f4f43afe3d,https://github.com/microsoft/playwrigh/tree/8d3a931377939a7eaedec6b422ae646e5938bfdd,https://github.com/microsoft/playwrigh/compare/736c0efd43e4b03c880f997caacaa6f4f43afe3d...8d3a931377939a7eaedec6b422ae646e5938bfdd
4,Playwright,1101b46037a3a0021d12bab54fbac1de15927201,3f3f33206004d7d1b46b614e1db5cc13fc384b79,28501,https://github.com/microsoft/playwright/issues/28501,https://github.com/microsoft/playwrigh/tree/1101b46037a3a0021d12bab54fbac1de15927201,https://github.com/microsoft/playwrigh/tree/3f3f33206004d7d1b46b614e1db5cc13fc384b79,https://github.com/microsoft/playwrigh/compare/1101b46037a3a0021d12bab54fbac1de15927201...3f3f33206004d7d1b46b614e1db5cc13fc384b79
5,Playwright,3f3f33206004d7d1b46b614e1db5cc13fc384b79,35e8c440c21ee8f076016a97252ef13a46f3de10,28320,https://github.com/microsoft/playwright/issues/28320,https://github.com/microsoft/playwrigh/tree/3f3f33206004d7d1b46b614e1db5cc13fc384b79,https://github.com/microsoft/playwrigh/tree/35e8c440c21ee8f076016a97252ef13a46f3de10,https://github.com/microsoft/playwrigh/compare/3f3f33206004d7d1b46b614e1db5cc13fc384b79...35e8c440c21ee8f076016a97252ef13a46f3de10
6,Playwright,bbf588a992525f29e9d26c97237570301d432804,4c848c0dafe6173214bfd1e7f382ca56f3de3047,28702,https://github.com/microsoft/playwright/issues/28702,https://github.com/microsoft/playwrigh/tree/bbf588a992525f29e9d26c97237570301d432804,https://github.com/microsoft/playwrigh/tree/4c848c0dafe6173214bfd1e7f382ca56f3de3047,https://github.com/microsoft/playwrigh/compare/bbf588a992525f29e9d26c97237570301d432804...4c848c0dafe6173214bfd1e7f382ca56f3de3047
7,Playwright,90665ef05696438b3da68dd8e335af7273745e9c,37634df0c4620d782dc9fce82fba63cea4dcf1a3,28954,https://github.com/microsoft/playwright/issues/28954,https://github.com/microsoft/playwrigh/tree/90665ef05696438b3da68dd8e335af7273745e9c,https://github.com/microsoft/playwrigh/tree/37634df0c4620d782dc9fce82fba63cea4dcf1a3,https://github.com/microsoft/playwrigh/compare/90665ef05696438b3da68dd8e335af7273745e9c...37634df0c4620d782dc9fce82fba63cea4dcf1a3
8,Playwright,ab7d1b5e5398dbe4097666fb520bf7304bac05cf,775ef30e4368abd2d570ef9e92c4eb277acb1940,28991,https://github.com/microsoft/playwright/issues/28991,https://github.com/microsoft/playwrigh/tree/ab7d1b5e5398dbe4097666fb520bf7304bac05cf,https://github.com/microsoft/playwrigh/tree/775ef30e4368abd2d570ef9e92c4eb277acb1940,https://github.com/microsoft/playwrigh/compare/ab7d1b5e5398dbe4097666fb520bf7304bac05cf...775ef30e4368abd2d570ef9e92c4eb277acb1940
9,Playwright,9b657b54fb04158b2b3c7f8b1c4e92313db9a902,d023829dd543c0ced528a60a0365327c39c6e419,28630,https://github.com/microsoft/playwright/issues/28630,https://github.com/microsoft/playwrigh/tree/9b657b54fb04158b2b3c7f8b1c4e92313db9a902,https://github.com/microsoft/playwrigh/tree/d023829dd543c0ced528a60a0365327c39c6e419,https://github.com/microsoft/playwrigh/compare/9b657b54fb04158b2b3c7f8b1c4e92313db9a902...d023829dd543c0ced528a60a0365327c39c6e419
10,Playwright,129f5bfdbe0470ba315caf75b6cd5ddcbc2d91b5,bc83d7084c17a0b787c30b3c874e7a35a5576042,28989,https://github.com/microsoft/playwright/issues/28989,https://github.com/microsoft/playwrigh/tree/129f5bfdbe0470ba315caf75b6cd5ddcbc2d91b5,https://github.com/microsoft/playwrigh/tree/bc83d7084c17a0b787c30b3c874e7a35a5576042,https://github.com/microsoft/playwrigh/compare/129f5bfdbe0470ba315caf75b6cd5ddcbc2d91b5...bc83d7084c17a0b787c30b3c874e7a35a5576042
11,Playwright,32034728ad1d03c9a012b80060f8e8353fa2aa4b,5ee7179b13c5302e0d5e3f98019490d70e13aef6,29133,https://github.com/microsoft/playwright/issues/29133,https://github.com/microsoft/playwrigh/tree/32034728ad1d03c9a012b80060f8e8353fa2aa4b,https://github.com/microsoft/playwrigh/tree/5ee7179b13c5302e0d5e3f98019490d70e13aef6,https://github.com/microsoft/playwrigh/compare/32034728ad1d03c9a012b80060f8e8353fa2aa4b...5ee7179b13c5302e0d5e3f98019490d70e13aef6
12,Playwright,36ebdfb441901550a47cdc75a2373513ea5c0bfe,acc72c26634250e7d29984da2bfca2630f8132d0,29161,https://github.com/microsoft/playwright/issues/29161,https://github.com/microsoft/playwrigh/tree/36ebdfb441901550a47cdc75a2373513ea5c0bfe,https://github.com/microsoft/playwrigh/tree/acc72c26634250e7d29984da2bfca2630f8132d0,https://github.com/microsoft/playwrigh/compare/36ebdfb441901550a47cdc75a2373513ea5c0bfe...acc72c26634250e7d29984da2bfca2630f8132d0
13,Playwright,cfefac74ab9c5b588af92b1f993073ba3c113e45,18ce0fa3706ff2aac8d8a117d1b926720ba751df,29263,https://github.com/microsoft/playwright/issues/29263,https://github.com/microsoft/playwrigh/tree/cfefac74ab9c5b588af92b1f993073ba3c113e45,https://github.com/microsoft/playwrigh/tree/18ce0fa3706ff2aac8d8a117d1b926720ba751df,https://github.com/microsoft/playwrigh/compare/cfefac74ab9c5b588af92b1f993073ba3c113e45...18ce0fa3706ff2aac8d8a117d1b926720ba751df
