bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Poetry,3240acce8fd609ac85d74afb805ce60b0da2432c,0667c67a9ebcc9250ad8d70f74f0905cc9f20ab2,122,https://github.com/python-poetry/poetry/issues/122,https://github.com/python-poetry/poetry/tree/3240acce8fd609ac85d74afb805ce60b0da2432c,https://github.com/python-poetry/poetry/tree/0667c67a9ebcc9250ad8d70f74f0905cc9f20ab2,https://github.com/python-poetry/poetry/compare/3240acce8fd609ac85d74afb805ce60b0da2432c...0667c67a9ebcc9250ad8d70f74f0905cc9f20ab2
2,Poetry,91b4f2fef1107bb9eaa1e4fc416d396a7502d20f,ea353ae80a04767f9052917a3403adc309dbce49,206,https://github.com/python-poetry/poetry/issues/206,https://github.com/python-poetry/poetry/tree/91b4f2fef1107bb9eaa1e4fc416d396a7502d20f,https://github.com/python-poetry/poetry/tree/ea353ae80a04767f9052917a3403adc309dbce49,https://github.com/python-poetry/poetry/compare/91b4f2fef1107bb9eaa1e4fc416d396a7502d20f...ea353ae80a04767f9052917a3403adc309dbce49
3,Poetry,490ddf00c3f1c8790399c6ba55b9f4abc9a7f26d,4c833892bc1907e6106f51a07f78d3e97d746b48,350,https://github.com/python-poetry/poetry/issues/350,https://github.com/python-poetry/poetry/tree/490ddf00c3f1c8790399c6ba55b9f4abc9a7f26d,https://github.com/python-poetry/poetry/tree/4c833892bc1907e6106f51a07f78d3e97d746b48,https://github.com/python-poetry/poetry/compare/490ddf00c3f1c8790399c6ba55b9f4abc9a7f26d...4c833892bc1907e6106f51a07f78d3e97d746b48
4,Poetry,9dac5bf0ad36415592fd03d049cd8d1adedd161f,7c57995af365686b64e857930538e880ad2c96fd,349,https://github.com/python-poetry/poetry/issues/349,https://github.com/python-poetry/poetry/tree/9dac5bf0ad36415592fd03d049cd8d1adedd161f,https://github.com/python-poetry/poetry/tree/7c57995af365686b64e857930538e880ad2c96fd,https://github.com/python-poetry/poetry/compare/9dac5bf0ad36415592fd03d049cd8d1adedd161f...7c57995af365686b64e857930538e880ad2c96fd
5,Poetry,11b6f91c61f9e44950b51b5a11c03d27469744e7,179c4d2aa06afb5650ea87da3103be54c18742a0,437,https://github.com/python-poetry/poetry/issues/437,https://github.com/python-poetry/poetry/tree/11b6f91c61f9e44950b51b5a11c03d27469744e7,https://github.com/python-poetry/poetry/tree/179c4d2aa06afb5650ea87da3103be54c18742a0,https://github.com/python-poetry/poetry/compare/11b6f91c61f9e44950b51b5a11c03d27469744e7...179c4d2aa06afb5650ea87da3103be54c18742a0
6,Poetry,11c62cb8830fcdea8163b3d2c4ae9e4d9384602b,f09483846a7bb0a07b5aa087f21c9cb6b284b2eb,431,https://github.com/python-poetry/poetry/issues/431,https://github.com/python-poetry/poetry/tree/11c62cb8830fcdea8163b3d2c4ae9e4d9384602b,https://github.com/python-poetry/poetry/tree/f09483846a7bb0a07b5aa087f21c9cb6b284b2eb,https://github.com/python-poetry/poetry/compare/11c62cb8830fcdea8163b3d2c4ae9e4d9384602b...f09483846a7bb0a07b5aa087f21c9cb6b284b2eb
7,Poetry,3feff049dbfe30de0043e1d3e538d47bc20144f3,22dfb29bf9dcc27abc859ab4a988ea4ca733b29e,585,https://github.com/python-poetry/poetry/issues/585,https://github.com/python-poetry/poetry/tree/3feff049dbfe30de0043e1d3e538d47bc20144f3,https://github.com/python-poetry/poetry/tree/22dfb29bf9dcc27abc859ab4a988ea4ca733b29e,https://github.com/python-poetry/poetry/compare/3feff049dbfe30de0043e1d3e538d47bc20144f3...22dfb29bf9dcc27abc859ab4a988ea4ca733b29e
8,Poetry,c497a5d836d72395bda8476edb24bacc698ea9b7,4eb7b87d38061751843b1a781a1453a91ddf2d0a,603,https://github.com/python-poetry/poetry/issues/603,https://github.com/python-poetry/poetry/tree/c497a5d836d72395bda8476edb24bacc698ea9b7,https://github.com/python-poetry/poetry/tree/4eb7b87d38061751843b1a781a1453a91ddf2d0a,https://github.com/python-poetry/poetry/compare/c497a5d836d72395bda8476edb24bacc698ea9b7...4eb7b87d38061751843b1a781a1453a91ddf2d0a
9,Poetry,48e21915306dd6a8d69b9e94d5609d4d3a8845b2,64e8af3b4f19d3991a983745cfd313d37c92e802,433,https://github.com/python-poetry/poetry/issues/433,https://github.com/python-poetry/poetry/tree/48e21915306dd6a8d69b9e94d5609d4d3a8845b2,https://github.com/python-poetry/poetry/tree/64e8af3b4f19d3991a983745cfd313d37c92e802,https://github.com/python-poetry/poetry/compare/48e21915306dd6a8d69b9e94d5609d4d3a8845b2...64e8af3b4f19d3991a983745cfd313d37c92e802
10,Poetry,e9a13f855ff5f31c9ad62c02fc2778dbd7b4f569,1ba6be8bb5374c85c20d5bb8c59ef29a30d0bcff,1074,https://github.com/python-poetry/poetry/issues/1074,https://github.com/python-poetry/poetry/tree/e9a13f855ff5f31c9ad62c02fc2778dbd7b4f569,https://github.com/python-poetry/poetry/tree/1ba6be8bb5374c85c20d5bb8c59ef29a30d0bcff,https://github.com/python-poetry/poetry/compare/e9a13f855ff5f31c9ad62c02fc2778dbd7b4f569...1ba6be8bb5374c85c20d5bb8c59ef29a30d0bcff
