bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Prettier,ad855e4e03f572fdd8e955da207f4ef61581f24c,29959103a9db4fe486dd99e93803ec5e3fdc97be,8555,https://github.com/prettier/prettier/issues/8555,https://github.com/prettier/prettier/tree/ad855e4e03f572fdd8e955da207f4ef61581f24c,https://github.com/prettier/prettier/tree/29959103a9db4fe486dd99e93803ec5e3fdc97be,https://github.com/prettier/prettier/compare/ad855e4e03f572fdd8e955da207f4ef61581f24c...29959103a9db4fe486dd99e93803ec5e3fdc97be
2,Prettier,bb60b08f9e438ae3a5f6996166c16239ffeb9e9e,9d06174d55b9826fe9133c041d0f0104fef45624,9702,https://github.com/prettier/prettier/issues/9702,https://github.com/prettier/prettier/tree/bb60b08f9e438ae3a5f6996166c16239ffeb9e9e,https://github.com/prettier/prettier/tree/9d06174d55b9826fe9133c041d0f0104fef45624,https://github.com/prettier/prettier/compare/bb60b08f9e438ae3a5f6996166c16239ffeb9e9e...9d06174d55b9826fe9133c041d0f0104fef45624
3,Prettier,a547330ca97277037d10b60ff5e6b9c3c5cdca1f,6a5efe7fa8810395e944601ac2103361ca7c9df2,11397,https://github.com/prettier/prettier/issues/11397,https://github.com/prettier/prettier/tree/a547330ca97277037d10b60ff5e6b9c3c5cdca1f,https://github.com/prettier/prettier/tree/6a5efe7fa8810395e944601ac2103361ca7c9df2,https://github.com/prettier/prettier/compare/a547330ca97277037d10b60ff5e6b9c3c5cdca1f...6a5efe7fa8810395e944601ac2103361ca7c9df2
4,Prettier,ce1bb16c178691681fd6ebce16010b12e42ec6da,1c4da1e4411e5372aef634c02e6fd18deaf78893,11053,https://github.com/prettier/prettier/issues/11053,https://github.com/prettier/prettier/tree/ce1bb16c178691681fd6ebce16010b12e42ec6da,https://github.com/prettier/prettier/tree/1c4da1e4411e5372aef634c02e6fd18deaf78893,https://github.com/prettier/prettier/compare/ce1bb16c178691681fd6ebce16010b12e42ec6da...1c4da1e4411e5372aef634c02e6fd18deaf78893
5,Prettier,6f602d1126eff381fb8a7f61b60d5bdb1018a196,db0e9d228dfb7f62c61aacfcded093587901de78,11636,https://github.com/prettier/prettier/issues/11636,https://github.com/prettier/prettier/tree/6f602d1126eff381fb8a7f61b60d5bdb1018a196,https://github.com/prettier/prettier/tree/db0e9d228dfb7f62c61aacfcded093587901de78,https://github.com/prettier/prettier/compare/6f602d1126eff381fb8a7f61b60d5bdb1018a196...db0e9d228dfb7f62c61aacfcded093587901de78
6,Prettier,44949eb5dc45197cfca3e1890809e675a4a38597,2c689f3e30af2daadcc919aa6d44deb03ef2b208,14207,https://github.com/prettier/prettier/issues/14207,https://github.com/prettier/prettier/tree/44949eb5dc45197cfca3e1890809e675a4a38597,https://github.com/prettier/prettier/tree/2c689f3e30af2daadcc919aa6d44deb03ef2b208,https://github.com/prettier/prettier/compare/44949eb5dc45197cfca3e1890809e675a4a38597...2c689f3e30af2daadcc919aa6d44deb03ef2b208
7,Prettier,d50a4e46397f7d95ce7db903a4d4c62ca639b05a,f62bf4a19140e4d5e75855b0b53b8a063ac9f409,16007,https://github.com/prettier/prettier/issues/16007,https://github.com/prettier/prettier/tree/d50a4e46397f7d95ce7db903a4d4c62ca639b05a,https://github.com/prettier/prettier/tree/f62bf4a19140e4d5e75855b0b53b8a063ac9f409,https://github.com/prettier/prettier/compare/d50a4e46397f7d95ce7db903a4d4c62ca639b05a...f62bf4a19140e4d5e75855b0b53b8a063ac9f409
8,Prettier,e977d65b1922496559327be24cfd253456f9ba7a,5923e69901676ee9696bb40b65a98c41dd775966,11553,https://github.com/prettier/prettier/issues/11553,https://github.com/prettier/prettier/tree/e977d65b1922496559327be24cfd253456f9ba7a,https://github.com/prettier/prettier/tree/5923e69901676ee9696bb40b65a98c41dd775966,https://github.com/prettier/prettier/compare/e977d65b1922496559327be24cfd253456f9ba7a...5923e69901676ee9696bb40b65a98c41dd775966
9,Prettier,10db357c5f2c684b07e2103f11b5e3debb736cdc,e13614ffd806ee39bdb1ed8fb1026b538de025af,16897,https://github.com/prettier/prettier/issues/16897,https://github.com/prettier/prettier/tree/10db357c5f2c684b07e2103f11b5e3debb736cdc,https://github.com/prettier/prettier/tree/e13614ffd806ee39bdb1ed8fb1026b538de025af,https://github.com/prettier/prettier/compare/10db357c5f2c684b07e2103f11b5e3debb736cdc...e13614ffd806ee39bdb1ed8fb1026b538de025af
10,Prettier,f41214b2f177839dfb2465e4445887cd29e7a531,84ee9016ba4f99bb423cb144173d5ba679377de2,17489,https://github.com/prettier/prettier/issues/17489,https://github.com/prettier/prettier/tree/f41214b2f177839dfb2465e4445887cd29e7a531,https://github.com/prettier/prettier/tree/84ee9016ba4f99bb423cb144173d5ba679377de2,https://github.com/prettier/prettier/compare/f41214b2f177839dfb2465e4445887cd29e7a531...84ee9016ba4f99bb423cb144173d5ba679377de2
