bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Psalm,dec5dfbd0ff8808ba47705bbbb7048ef75d4e4aa,496a175a9f8d3e82de3f335e160e57321df7b934,1497,https://github.com/vimeo/psalm/issues/1497,https://github.com/vimeo/psalm/tree/dec5dfbd0ff8808ba47705bbbb7048ef75d4e4aa,https://github.com/vimeo/psalm/tree/496a175a9f8d3e82de3f335e160e57321df7b934,https://github.com/vimeo/psalm/compare/dec5dfbd0ff8808ba47705bbbb7048ef75d4e4aa...496a175a9f8d3e82de3f335e160e57321df7b934
2,Psalm,6b0b86b0d93422f44ec69acd3101de547d5be26b,783f028f700c3e45df3cdf47c2eed742d85d0b5e,1498,https://github.com/vimeo/psalm/issues/1498,https://github.com/vimeo/psalm/tree/6b0b86b0d93422f44ec69acd3101de547d5be26b,https://github.com/vimeo/psalm/tree/783f028f700c3e45df3cdf47c2eed742d85d0b5e,https://github.com/vimeo/psalm/compare/6b0b86b0d93422f44ec69acd3101de547d5be26b...783f028f700c3e45df3cdf47c2eed742d85d0b5e
3,Psalm,783f028f700c3e45df3cdf47c2eed742d85d0b5e,691d71cdb416bc971270d96ad588abe37c4e6085,1504,https://github.com/vimeo/psalm/issues/1504,https://github.com/vimeo/psalm/tree/783f028f700c3e45df3cdf47c2eed742d85d0b5e,https://github.com/vimeo/psalm/tree/691d71cdb416bc971270d96ad588abe37c4e6085,https://github.com/vimeo/psalm/compare/783f028f700c3e45df3cdf47c2eed742d85d0b5e...691d71cdb416bc971270d96ad588abe37c4e6085
4,Psalm,5e287fa83ebf1693f5d731fe3bf82e2882695ca8,bd6fea0d57ff3de700d8d7eaea74bf35bd04033d,1514,https://github.com/vimeo/psalm/issues/1514,https://github.com/vimeo/psalm/tree/5e287fa83ebf1693f5d731fe3bf82e2882695ca8,https://github.com/vimeo/psalm/tree/bd6fea0d57ff3de700d8d7eaea74bf35bd04033d,https://github.com/vimeo/psalm/compare/5e287fa83ebf1693f5d731fe3bf82e2882695ca8...bd6fea0d57ff3de700d8d7eaea74bf35bd04033d
5,Psalm,da2b5ff57041a360d25281cd276748b28bdb3ad8,f34a99c0cc2fb67c9da200d5a399db2c7e69c745,1515,https://github.com/vimeo/psalm/issues/1515,https://github.com/vimeo/psalm/tree/da2b5ff57041a360d25281cd276748b28bdb3ad8,https://github.com/vimeo/psalm/tree/f34a99c0cc2fb67c9da200d5a399db2c7e69c745,https://github.com/vimeo/psalm/compare/da2b5ff57041a360d25281cd276748b28bdb3ad8...f34a99c0cc2fb67c9da200d5a399db2c7e69c745
6,Psalm,31e1804ff9307d47f739d61874660fe0e1d93deb,230680fd1c84ff35b532be4896bad0a1ccd92b33,1513,https://github.com/vimeo/psalm/issues/1513,https://github.com/vimeo/psalm/tree/31e1804ff9307d47f739d61874660fe0e1d93deb,https://github.com/vimeo/psalm/tree/230680fd1c84ff35b532be4896bad0a1ccd92b33,https://github.com/vimeo/psalm/compare/31e1804ff9307d47f739d61874660fe0e1d93deb...230680fd1c84ff35b532be4896bad0a1ccd92b33
7,Psalm,dd7596ea64ac6309affa3d12440e5f5bf7291915,f82a55d836a5c6198bca05c37b624dfe81c7d494,1512,https://github.com/vimeo/psalm/issues/1512,https://github.com/vimeo/psalm/tree/dd7596ea64ac6309affa3d12440e5f5bf7291915,https://github.com/vimeo/psalm/tree/f82a55d836a5c6198bca05c37b624dfe81c7d494,https://github.com/vimeo/psalm/compare/dd7596ea64ac6309affa3d12440e5f5bf7291915...f82a55d836a5c6198bca05c37b624dfe81c7d494
8,Psalm,f82a55d836a5c6198bca05c37b624dfe81c7d494,1ab6345bacf16d5ab70729b9df8fd155086b6e6f,1496,https://github.com/vimeo/psalm/issues/1496,https://github.com/vimeo/psalm/tree/f82a55d836a5c6198bca05c37b624dfe81c7d494,https://github.com/vimeo/psalm/tree/1ab6345bacf16d5ab70729b9df8fd155086b6e6f,https://github.com/vimeo/psalm/compare/f82a55d836a5c6198bca05c37b624dfe81c7d494...1ab6345bacf16d5ab70729b9df8fd155086b6e6f
9,Psalm,1ab6345bacf16d5ab70729b9df8fd155086b6e6f,af4d10cb631001c94fc2a6d95813cea914736a5e,1499,https://github.com/vimeo/psalm/issues/1499,https://github.com/vimeo/psalm/tree/1ab6345bacf16d5ab70729b9df8fd155086b6e6f,https://github.com/vimeo/psalm/tree/af4d10cb631001c94fc2a6d95813cea914736a5e,https://github.com/vimeo/psalm/compare/1ab6345bacf16d5ab70729b9df8fd155086b6e6f...af4d10cb631001c94fc2a6d95813cea914736a5e
10,Psalm,8116c48f6cd6ab14ac6b651de851e997faf74738,ef8292cfc746a24dbccfde7efa10ac236c232616,1510,https://github.com/vimeo/psalm/issues/1510,https://github.com/vimeo/psalm/tree/8116c48f6cd6ab14ac6b651de851e997faf74738,https://github.com/vimeo/psalm/tree/ef8292cfc746a24dbccfde7efa10ac236c232616,https://github.com/vimeo/psalm/compare/8116c48f6cd6ab14ac6b651de851e997faf74738...ef8292cfc746a24dbccfde7efa10ac236c232616
