bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Pug,920718f6a123ce3ef317eed3672b21c5bb409dc7,e9a08fbb988df6273b61ff853b41dd2c7d2aa92d,2,https://github.com/pugjs/pug/issues/2,https://github.com/pugjs/pu/tree/920718f6a123ce3ef317eed3672b21c5bb409dc7,https://github.com/pugjs/pu/tree/e9a08fbb988df6273b61ff853b41dd2c7d2aa92d,https://github.com/pugjs/pu/compare/920718f6a123ce3ef317eed3672b21c5bb409dc7...e9a08fbb988df6273b61ff853b41dd2c7d2aa92d
2,Pug,0687dc7676a37f53cf9fc258cd6844b7d884d03b,3cbc19a5674faa2c063ac7a30ce709c5ac21d994,7,https://github.com/pugjs/pug/issues/7,https://github.com/pugjs/pu/tree/0687dc7676a37f53cf9fc258cd6844b7d884d03b,https://github.com/pugjs/pu/tree/3cbc19a5674faa2c063ac7a30ce709c5ac21d994,https://github.com/pugjs/pu/compare/0687dc7676a37f53cf9fc258cd6844b7d884d03b...3cbc19a5674faa2c063ac7a30ce709c5ac21d994
3,Pug,ef022dd4e7c0709dbd696957a980a004bacacb82,9b8ee639907eeaa3b09f1b0129e0d38d9e3035e2,6,https://github.com/pugjs/pug/issues/6,https://github.com/pugjs/pu/tree/ef022dd4e7c0709dbd696957a980a004bacacb82,https://github.com/pugjs/pu/tree/9b8ee639907eeaa3b09f1b0129e0d38d9e3035e2,https://github.com/pugjs/pu/compare/ef022dd4e7c0709dbd696957a980a004bacacb82...9b8ee639907eeaa3b09f1b0129e0d38d9e3035e2
4,Pug,9b8ee639907eeaa3b09f1b0129e0d38d9e3035e2,1573692bbe179c2c09daef854949b6c36cbc4a1a,8,https://github.com/pugjs/pug/issues/8,https://github.com/pugjs/pu/tree/9b8ee639907eeaa3b09f1b0129e0d38d9e3035e2,https://github.com/pugjs/pu/tree/1573692bbe179c2c09daef854949b6c36cbc4a1a,https://github.com/pugjs/pu/compare/9b8ee639907eeaa3b09f1b0129e0d38d9e3035e2...1573692bbe179c2c09daef854949b6c36cbc4a1a
5,Pug,1573692bbe179c2c09daef854949b6c36cbc4a1a,4824b557a15781c308da2cbe70db2271449fb4d9,9,https://github.com/pugjs/pug/issues/9,https://github.com/pugjs/pu/tree/1573692bbe179c2c09daef854949b6c36cbc4a1a,https://github.com/pugjs/pu/tree/4824b557a15781c308da2cbe70db2271449fb4d9,https://github.com/pugjs/pu/compare/1573692bbe179c2c09daef854949b6c36cbc4a1a...4824b557a15781c308da2cbe70db2271449fb4d9
6,Pug,9a77af6cde50a70bf8e351c3e314ed4d505e6d1b,1b7d7dd7b5faeedd705b02dff37a8ff76d55411f,4,https://github.com/pugjs/pug/issues/4,https://github.com/pugjs/pu/tree/9a77af6cde50a70bf8e351c3e314ed4d505e6d1b,https://github.com/pugjs/pu/tree/1b7d7dd7b5faeedd705b02dff37a8ff76d55411f,https://github.com/pugjs/pu/compare/9a77af6cde50a70bf8e351c3e314ed4d505e6d1b...1b7d7dd7b5faeedd705b02dff37a8ff76d55411f
7,Pug,68cb41be98ef52e517157e9c68e1a39b3a5365e3,9f08f00d7514b84956bfec2294a3f952e7cb4cbc,17,https://github.com/pugjs/pug/issues/17,https://github.com/pugjs/pu/tree/68cb41be98ef52e517157e9c68e1a39b3a5365e3,https://github.com/pugjs/pu/tree/9f08f00d7514b84956bfec2294a3f952e7cb4cbc,https://github.com/pugjs/pu/compare/68cb41be98ef52e517157e9c68e1a39b3a5365e3...9f08f00d7514b84956bfec2294a3f952e7cb4cbc
8,Pug,5efcd7b56decf937e3101e23375c733c377a1320,574493a89ff71cfb78962bd05f3241f3d0f4386e,16,https://github.com/pugjs/pug/issues/16,https://github.com/pugjs/pu/tree/5efcd7b56decf937e3101e23375c733c377a1320,https://github.com/pugjs/pu/tree/574493a89ff71cfb78962bd05f3241f3d0f4386e,https://github.com/pugjs/pu/compare/5efcd7b56decf937e3101e23375c733c377a1320...574493a89ff71cfb78962bd05f3241f3d0f4386e
9,Pug,32f987942ac0ead4e043f3bcc23598244f14b4a5,7d59de5cac400271cab41f9e3a41322e9cb8ff40,12,https://github.com/pugjs/pug/issues/12,https://github.com/pugjs/pu/tree/32f987942ac0ead4e043f3bcc23598244f14b4a5,https://github.com/pugjs/pu/tree/7d59de5cac400271cab41f9e3a41322e9cb8ff40,https://github.com/pugjs/pu/compare/32f987942ac0ead4e043f3bcc23598244f14b4a5...7d59de5cac400271cab41f9e3a41322e9cb8ff40
10,Pug,e58cad29fe97fa770ed44f48e93c85bd92a9b739,de56cd0d3e995ba64eb841109e63743322021931,27,https://github.com/pugjs/pug/issues/27,https://github.com/pugjs/pu/tree/e58cad29fe97fa770ed44f48e93c85bd92a9b739,https://github.com/pugjs/pu/tree/de56cd0d3e995ba64eb841109e63743322021931,https://github.com/pugjs/pu/compare/e58cad29fe97fa770ed44f48e93c85bd92a9b739...de56cd0d3e995ba64eb841109e63743322021931
