bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Pundit,94b8c0e52207bd33d83344047a7ce12f72a49ab8,ca74a16da78606ce280cc1acfc99b500081d7441,57,https://github.com/varvet/pundit/issues/57,https://github.com/varvet/pund/tree/94b8c0e52207bd33d83344047a7ce12f72a49ab8,https://github.com/varvet/pund/tree/ca74a16da78606ce280cc1acfc99b500081d7441,https://github.com/varvet/pund/compare/94b8c0e52207bd33d83344047a7ce12f72a49ab8...ca74a16da78606ce280cc1acfc99b500081d7441
2,Pundit,ba65a6bcb6a87a6e11cc9e66206de00edfeb81c3,4c7d3c4dd67a58b46fec1b1c3f95d9f347052cf5,12,https://github.com/varvet/pundit/issues/12,https://github.com/varvet/pund/tree/ba65a6bcb6a87a6e11cc9e66206de00edfeb81c3,https://github.com/varvet/pund/tree/4c7d3c4dd67a58b46fec1b1c3f95d9f347052cf5,https://github.com/varvet/pund/compare/ba65a6bcb6a87a6e11cc9e66206de00edfeb81c3...4c7d3c4dd67a58b46fec1b1c3f95d9f347052cf5
3,Pundit,7ecdde65b35b68e427b0dbf18637513749755f48,698c9b5cb812d22a78b5c90c5697035b4ec8bcf2,134,https://github.com/varvet/pundit/issues/134,https://github.com/varvet/pund/tree/7ecdde65b35b68e427b0dbf18637513749755f48,https://github.com/varvet/pund/tree/698c9b5cb812d22a78b5c90c5697035b4ec8bcf2,https://github.com/varvet/pund/compare/7ecdde65b35b68e427b0dbf18637513749755f48...698c9b5cb812d22a78b5c90c5697035b4ec8bcf2
4,Pundit,ce62bc5cd160efa9b59555376eeddc32acc02191,f8985951542198c90e59839f12ed28fbd170fb4d,251,https://github.com/varvet/pundit/issues/251,https://github.com/varvet/pund/tree/ce62bc5cd160efa9b59555376eeddc32acc02191,https://github.com/varvet/pund/tree/f8985951542198c90e59839f12ed28fbd170fb4d,https://github.com/varvet/pund/compare/ce62bc5cd160efa9b59555376eeddc32acc02191...f8985951542198c90e59839f12ed28fbd170fb4d
5,Pundit,ce62bc5cd160efa9b59555376eeddc32acc02191,8ee11ef2fc8973bdab9b02b4bdee8a282256d76f,252,https://github.com/varvet/pundit/issues/252,https://github.com/varvet/pund/tree/ce62bc5cd160efa9b59555376eeddc32acc02191,https://github.com/varvet/pund/tree/8ee11ef2fc8973bdab9b02b4bdee8a282256d76f,https://github.com/varvet/pund/compare/ce62bc5cd160efa9b59555376eeddc32acc02191...8ee11ef2fc8973bdab9b02b4bdee8a282256d76f
6,Pundit,66ba305eb8e9c15fd1cf74e38b1167c62ec51df2,87d859a3f441a05954f8070ec6b60ee8297f89b1,207,https://github.com/varvet/pundit/issues/207,https://github.com/varvet/pund/tree/66ba305eb8e9c15fd1cf74e38b1167c62ec51df2,https://github.com/varvet/pund/tree/87d859a3f441a05954f8070ec6b60ee8297f89b1,https://github.com/varvet/pund/compare/66ba305eb8e9c15fd1cf74e38b1167c62ec51df2...87d859a3f441a05954f8070ec6b60ee8297f89b1
7,Pundit,9bb0f8380243a74bfebccf53e319a0c21fcaee85,aedebeab476f4afcc7a255024841cb95dd51975f,311,https://github.com/varvet/pundit/issues/311,https://github.com/varvet/pund/tree/9bb0f8380243a74bfebccf53e319a0c21fcaee85,https://github.com/varvet/pund/tree/aedebeab476f4afcc7a255024841cb95dd51975f,https://github.com/varvet/pund/compare/9bb0f8380243a74bfebccf53e319a0c21fcaee85...aedebeab476f4afcc7a255024841cb95dd51975f
8,Pundit,3454a80945dac6c987733764c79c59716d7d1170,00c989d5f1af4bed64e53d805987bc2d6389b3cb,322,https://github.com/varvet/pundit/issues/322,https://github.com/varvet/pund/tree/3454a80945dac6c987733764c79c59716d7d1170,https://github.com/varvet/pund/tree/00c989d5f1af4bed64e53d805987bc2d6389b3cb,https://github.com/varvet/pund/compare/3454a80945dac6c987733764c79c59716d7d1170...00c989d5f1af4bed64e53d805987bc2d6389b3cb
9,Pundit,7972f661340ea2e7b8cb38016d4aab094ff655d6,9862b6024985d67214dd5dd93c3b347e5b2b718c,340,https://github.com/varvet/pundit/issues/340,https://github.com/varvet/pund/tree/7972f661340ea2e7b8cb38016d4aab094ff655d6,https://github.com/varvet/pund/tree/9862b6024985d67214dd5dd93c3b347e5b2b718c,https://github.com/varvet/pund/compare/7972f661340ea2e7b8cb38016d4aab094ff655d6...9862b6024985d67214dd5dd93c3b347e5b2b718c
10,Pundit,cdeb0fde8f69d7a40ccb6c4f546ff1c4507b9408,9855bdf97ab6bb44fe220e7134dcdaf716242abf,266,https://github.com/varvet/pundit/issues/266,https://github.com/varvet/pund/tree/cdeb0fde8f69d7a40ccb6c4f546ff1c4507b9408,https://github.com/varvet/pund/tree/9855bdf97ab6bb44fe220e7134dcdaf716242abf,https://github.com/varvet/pund/compare/cdeb0fde8f69d7a40ccb6c4f546ff1c4507b9408...9855bdf97ab6bb44fe220e7134dcdaf716242abf
11,Pundit,af78b4405f07da879f7f8939303d9d544eb2bf2f,6eec6c6a9de79e89af99b957b23b683c225fffe2,775,https://github.com/varvet/pundit/issues/775,https://github.com/varvet/pund/tree/af78b4405f07da879f7f8939303d9d544eb2bf2f,https://github.com/varvet/pund/tree/6eec6c6a9de79e89af99b957b23b683c225fffe2,https://github.com/varvet/pund/compare/af78b4405f07da879f7f8939303d9d544eb2bf2f...6eec6c6a9de79e89af99b957b23b683c225fffe2
12,Pundit,89924301e529389843327295f74eb4caa805e3b2,d1dcb2f20e6f19298c3aecd718cbfec92e79955f,805,https://github.com/varvet/pundit/issues/805,https://github.com/varvet/pund/tree/89924301e529389843327295f74eb4caa805e3b2,https://github.com/varvet/pund/tree/d1dcb2f20e6f19298c3aecd718cbfec92e79955f,https://github.com/varvet/pund/compare/89924301e529389843327295f74eb4caa805e3b2...d1dcb2f20e6f19298c3aecd718cbfec92e79955f
