bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Pydantic,c0413c8896c8b3fc311e300f681c58bd3f8750f7,f6643d60f9de027724382927819dd62e1ac5b672,221,https://github.com/pydantic/pydantic/issues/221,https://github.com/pydantic/pydantic/tree/c0413c8896c8b3fc311e300f681c58bd3f8750f7,https://github.com/pydantic/pydantic/tree/f6643d60f9de027724382927819dd62e1ac5b672,https://github.com/pydantic/pydantic/compare/c0413c8896c8b3fc311e300f681c58bd3f8750f7...f6643d60f9de027724382927819dd62e1ac5b672
2,Pydantic,d1f1795db67395cc764e68644779c94a58a454cb,e0d8d960f30a791c766c35121467bda041945abf,213,https://github.com/pydantic/pydantic/issues/213,https://github.com/pydantic/pydantic/tree/d1f1795db67395cc764e68644779c94a58a454cb,https://github.com/pydantic/pydantic/tree/e0d8d960f30a791c766c35121467bda041945abf,https://github.com/pydantic/pydantic/compare/d1f1795db67395cc764e68644779c94a58a454cb...e0d8d960f30a791c766c35121467bda041945abf
3,Pydantic,16eebf0c61588aced4f16059d3ae9a633c2cfdf4,8885503ccb4b496d8591e9715004740d7494cc40,242,https://github.com/pydantic/pydantic/issues/242,https://github.com/pydantic/pydantic/tree/16eebf0c61588aced4f16059d3ae9a633c2cfdf4,https://github.com/pydantic/pydantic/tree/8885503ccb4b496d8591e9715004740d7494cc40,https://github.com/pydantic/pydantic/compare/16eebf0c61588aced4f16059d3ae9a633c2cfdf4...8885503ccb4b496d8591e9715004740d7494cc40
4,Pydantic,8885503ccb4b496d8591e9715004740d7494cc40,aad175a25f201124a8d25c7862d076d0a2f902f5,236,https://github.com/pydantic/pydantic/issues/236,https://github.com/pydantic/pydantic/tree/8885503ccb4b496d8591e9715004740d7494cc40,https://github.com/pydantic/pydantic/tree/aad175a25f201124a8d25c7862d076d0a2f902f5,https://github.com/pydantic/pydantic/compare/8885503ccb4b496d8591e9715004740d7494cc40...aad175a25f201124a8d25c7862d076d0a2f902f5
5,Pydantic,9f874a7e97bb1ed291c015b40b3f63e84ae01433,c32ce342c9bead79d3c269c89fb2f6f4a4ac3cbf,249,https://github.com/pydantic/pydantic/issues/249,https://github.com/pydantic/pydantic/tree/9f874a7e97bb1ed291c015b40b3f63e84ae01433,https://github.com/pydantic/pydantic/tree/c32ce342c9bead79d3c269c89fb2f6f4a4ac3cbf,https://github.com/pydantic/pydantic/compare/9f874a7e97bb1ed291c015b40b3f63e84ae01433...c32ce342c9bead79d3c269c89fb2f6f4a4ac3cbf
6,Pydantic,15850a43c5942ac92eb7584d8568e658887dfacc,64ada930fccac0b4832b3748fded7f6c832ddfa5,275,https://github.com/pydantic/pydantic/issues/275,https://github.com/pydantic/pydantic/tree/15850a43c5942ac92eb7584d8568e658887dfacc,https://github.com/pydantic/pydantic/tree/64ada930fccac0b4832b3748fded7f6c832ddfa5,https://github.com/pydantic/pydantic/compare/15850a43c5942ac92eb7584d8568e658887dfacc...64ada930fccac0b4832b3748fded7f6c832ddfa5
7,Pydantic,9d74ff939454137760197f76f4ad7f55442ad69b,ef140056fa865f0eb52dc363b4225cb837917725,295,https://github.com/pydantic/pydantic/issues/295,https://github.com/pydantic/pydantic/tree/9d74ff939454137760197f76f4ad7f55442ad69b,https://github.com/pydantic/pydantic/tree/ef140056fa865f0eb52dc363b4225cb837917725,https://github.com/pydantic/pydantic/compare/9d74ff939454137760197f76f4ad7f55442ad69b...ef140056fa865f0eb52dc363b4225cb837917725
8,Pydantic,ef140056fa865f0eb52dc363b4225cb837917725,b5fdc0db1ebe1c12c949bf5f0ad2df43051d5859,293,https://github.com/pydantic/pydantic/issues/293,https://github.com/pydantic/pydantic/tree/ef140056fa865f0eb52dc363b4225cb837917725,https://github.com/pydantic/pydantic/tree/b5fdc0db1ebe1c12c949bf5f0ad2df43051d5859,https://github.com/pydantic/pydantic/compare/ef140056fa865f0eb52dc363b4225cb837917725...b5fdc0db1ebe1c12c949bf5f0ad2df43051d5859
9,Pydantic,31a0c2b1a9eaee247bb8d17a95334baa80bbd2d5,9ff946d2fa11f35a51b3febe221f7d72382b1c60,305,https://github.com/pydantic/pydantic/issues/305,https://github.com/pydantic/pydantic/tree/31a0c2b1a9eaee247bb8d17a95334baa80bbd2d5,https://github.com/pydantic/pydantic/tree/9ff946d2fa11f35a51b3febe221f7d72382b1c60,https://github.com/pydantic/pydantic/compare/31a0c2b1a9eaee247bb8d17a95334baa80bbd2d5...9ff946d2fa11f35a51b3febe221f7d72382b1c60
10,Pydantic,94706bc834b0e451708c45db598345a504915b21,a0aa9e78cd84863a8ea9e2446c75cb1127379caa,277,https://github.com/pydantic/pydantic/issues/277,https://github.com/pydantic/pydantic/tree/94706bc834b0e451708c45db598345a504915b21,https://github.com/pydantic/pydantic/tree/a0aa9e78cd84863a8ea9e2446c75cb1127379caa,https://github.com/pydantic/pydantic/compare/94706bc834b0e451708c45db598345a504915b21...a0aa9e78cd84863a8ea9e2446c75cb1127379caa
11,Pydantic,c725a4a5e5e6c46d81d09f2d09bdec1e62950181,8635accd959b5122b6c41d3fad81f3b09583176e,312,https://github.com/pydantic/pydantic/issues/312,https://github.com/pydantic/pydantic/tree/c725a4a5e5e6c46d81d09f2d09bdec1e62950181,https://github.com/pydantic/pydantic/tree/8635accd959b5122b6c41d3fad81f3b09583176e,https://github.com/pydantic/pydantic/compare/c725a4a5e5e6c46d81d09f2d09bdec1e62950181...8635accd959b5122b6c41d3fad81f3b09583176e
12,Pydantic,d3cec7be5693276a0449c466cfd64495a42563d5,72791787ea0dd4f62cf699128e45b73958617588,276,https://github.com/pydantic/pydantic/issues/276,https://github.com/pydantic/pydantic/tree/d3cec7be5693276a0449c466cfd64495a42563d5,https://github.com/pydantic/pydantic/tree/72791787ea0dd4f62cf699128e45b73958617588,https://github.com/pydantic/pydantic/compare/d3cec7be5693276a0449c466cfd64495a42563d5...72791787ea0dd4f62cf699128e45b73958617588
13,Pydantic,72791787ea0dd4f62cf699128e45b73958617588,c6d1a69bdd886f1b3f7e83557cd2927e1028fcfd,329,https://github.com/pydantic/pydantic/issues/329,https://github.com/pydantic/pydantic/tree/72791787ea0dd4f62cf699128e45b73958617588,https://github.com/pydantic/pydantic/tree/c6d1a69bdd886f1b3f7e83557cd2927e1028fcfd,https://github.com/pydantic/pydantic/compare/72791787ea0dd4f62cf699128e45b73958617588...c6d1a69bdd886f1b3f7e83557cd2927e1028fcfd
14,Pydantic,c6d1a69bdd886f1b3f7e83557cd2927e1028fcfd,8301f9e4b2f6451adf502870eda9ca6f72e6a785,273,https://github.com/pydantic/pydantic/issues/273,https://github.com/pydantic/pydantic/tree/c6d1a69bdd886f1b3f7e83557cd2927e1028fcfd,https://github.com/pydantic/pydantic/tree/8301f9e4b2f6451adf502870eda9ca6f72e6a785,https://github.com/pydantic/pydantic/compare/c6d1a69bdd886f1b3f7e83557cd2927e1028fcfd...8301f9e4b2f6451adf502870eda9ca6f72e6a785
15,Pydantic,8301f9e4b2f6451adf502870eda9ca6f72e6a785,0d5cd3bce5cee043ff43222bf94cbc73e53f7ecb,309,https://github.com/pydantic/pydantic/issues/309,https://github.com/pydantic/pydantic/tree/8301f9e4b2f6451adf502870eda9ca6f72e6a785,https://github.com/pydantic/pydantic/tree/0d5cd3bce5cee043ff43222bf94cbc73e53f7ecb,https://github.com/pydantic/pydantic/compare/8301f9e4b2f6451adf502870eda9ca6f72e6a785...0d5cd3bce5cee043ff43222bf94cbc73e53f7ecb
