bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Pylint,4b1d2a3542bfd33500eab47d717f3bf98e500ad4,2aa82b4af90298f89db6de369ad45f957f0b08e9,3205,https://github.com/pylint-dev/pylint/issues/3205,https://github.com/pylint-dev/pylin/tree/4b1d2a3542bfd33500eab47d717f3bf98e500ad4,https://github.com/pylint-dev/pylin/tree/2aa82b4af90298f89db6de369ad45f957f0b08e9,https://github.com/pylint-dev/pylin/compare/4b1d2a3542bfd33500eab47d717f3bf98e500ad4...2aa82b4af90298f89db6de369ad45f957f0b08e9
2,Pylint,6cc36378f78aab2feb2d26d429d273d6a1f78865,89b367da29914ed4ce95fca177d9eabe006124a9,4026,https://github.com/pylint-dev/pylint/issues/4026,https://github.com/pylint-dev/pylin/tree/6cc36378f78aab2feb2d26d429d273d6a1f78865,https://github.com/pylint-dev/pylin/tree/89b367da29914ed4ce95fca177d9eabe006124a9,https://github.com/pylint-dev/pylin/compare/6cc36378f78aab2feb2d26d429d273d6a1f78865...89b367da29914ed4ce95fca177d9eabe006124a9
3,Pylint,30ead39404f5b744a69dfe86e76a1bc3abe9de19,e524e87562c8d92f10c4684f7dd365b71d57878c,3733,https://github.com/pylint-dev/pylint/issues/3733,https://github.com/pylint-dev/pylin/tree/30ead39404f5b744a69dfe86e76a1bc3abe9de19,https://github.com/pylint-dev/pylin/tree/e524e87562c8d92f10c4684f7dd365b71d57878c,https://github.com/pylint-dev/pylin/compare/30ead39404f5b744a69dfe86e76a1bc3abe9de19...e524e87562c8d92f10c4684f7dd365b71d57878c
4,Pylint,58ab68be5205ffd0e2a328bf14319110b03e00ce,c4b7a6f7f90f918e60ced25eefe31da171bf7cf8,2473,https://github.com/pylint-dev/pylint/issues/2473,https://github.com/pylint-dev/pylin/tree/58ab68be5205ffd0e2a328bf14319110b03e00ce,https://github.com/pylint-dev/pylin/tree/c4b7a6f7f90f918e60ced25eefe31da171bf7cf8,https://github.com/pylint-dev/pylin/compare/58ab68be5205ffd0e2a328bf14319110b03e00ce...c4b7a6f7f90f918e60ced25eefe31da171bf7cf8
5,Pylint,176bbe58ce26357d3b71c4fa33ddb954351c5872,aca85ac973dad8d15f4b7a8b4f52bce0f6e6c8a1,4910,https://github.com/pylint-dev/pylint/issues/4910,https://github.com/pylint-dev/pylin/tree/176bbe58ce26357d3b71c4fa33ddb954351c5872,https://github.com/pylint-dev/pylin/tree/aca85ac973dad8d15f4b7a8b4f52bce0f6e6c8a1,https://github.com/pylint-dev/pylin/compare/176bbe58ce26357d3b71c4fa33ddb954351c5872...aca85ac973dad8d15f4b7a8b4f52bce0f6e6c8a1
6,Pylint,b4c1bbdf87abc4b902e30f73f58286bd8d7330da,6704a70383965b63d5b9a1de17d0fb1c8564c32b,6954,https://github.com/pylint-dev/pylint/issues/6954,https://github.com/pylint-dev/pylin/tree/b4c1bbdf87abc4b902e30f73f58286bd8d7330da,https://github.com/pylint-dev/pylin/tree/6704a70383965b63d5b9a1de17d0fb1c8564c32b,https://github.com/pylint-dev/pylin/compare/b4c1bbdf87abc4b902e30f73f58286bd8d7330da...6704a70383965b63d5b9a1de17d0fb1c8564c32b
7,Pylint,254471e3117adf59dc3d1d6b8f9b6d6252e8242d,4984c5df9ca65d43e69568748e4af358e0b5f449,8687,https://github.com/pylint-dev/pylint/issues/8687,https://github.com/pylint-dev/pylin/tree/254471e3117adf59dc3d1d6b8f9b6d6252e8242d,https://github.com/pylint-dev/pylin/tree/4984c5df9ca65d43e69568748e4af358e0b5f449,https://github.com/pylint-dev/pylin/compare/254471e3117adf59dc3d1d6b8f9b6d6252e8242d...4984c5df9ca65d43e69568748e4af358e0b5f449
8,Pylint,2558f951fd4032e6bdaf2e7e4ae758b6e0bc6802,8d2aa9527d094e80bb97dff57c7940e498a3e6dd,9791,https://github.com/pylint-dev/pylint/issues/9791,https://github.com/pylint-dev/pylin/tree/2558f951fd4032e6bdaf2e7e4ae758b6e0bc6802,https://github.com/pylint-dev/pylin/tree/8d2aa9527d094e80bb97dff57c7940e498a3e6dd,https://github.com/pylint-dev/pylin/compare/2558f951fd4032e6bdaf2e7e4ae758b6e0bc6802...8d2aa9527d094e80bb97dff57c7940e498a3e6dd
9,Pylint,e413924a4cd837914f521df4bb3daa165812c329,554bf4e55dee455fa5cacc6cc6ff88129e4486ea,5975,https://github.com/pylint-dev/pylint/issues/5975,https://github.com/pylint-dev/pylin/tree/e413924a4cd837914f521df4bb3daa165812c329,https://github.com/pylint-dev/pylin/tree/554bf4e55dee455fa5cacc6cc6ff88129e4486ea,https://github.com/pylint-dev/pylin/compare/e413924a4cd837914f521df4bb3daa165812c329...554bf4e55dee455fa5cacc6cc6ff88129e4486ea
10,Pylint,f66455cd9dc34a2864cbbd808429229c7ceba2ec,b53aca2105b9153a5a861c707555eaabd03bdb8d,9018,https://github.com/pylint-dev/pylint/issues/9018,https://github.com/pylint-dev/pylin/tree/f66455cd9dc34a2864cbbd808429229c7ceba2ec,https://github.com/pylint-dev/pylin/tree/b53aca2105b9153a5a861c707555eaabd03bdb8d,https://github.com/pylint-dev/pylin/compare/f66455cd9dc34a2864cbbd808429229c7ceba2ec...b53aca2105b9153a5a861c707555eaabd03bdb8d
