bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Pytest,4a0aea2debfdd0ed2584221128fed891d0bc727d,dd6c5344681809a7509e45acdf3e28d03b728144,2926,https://github.com/pytest-dev/pytest/issues/2926,https://github.com/pytest-dev/pytes/tree/4a0aea2debfdd0ed2584221128fed891d0bc727d,https://github.com/pytest-dev/pytes/tree/dd6c5344681809a7509e45acdf3e28d03b728144,https://github.com/pytest-dev/pytes/compare/4a0aea2debfdd0ed2584221128fed891d0bc727d...dd6c5344681809a7509e45acdf3e28d03b728144
2,Pytest,685387a43ec504f3b6447dcf389a65fad342d548,e87ff07370cab38fbd22fdadf89c82c0d92a1e5f,2922,https://github.com/pytest-dev/pytest/issues/2922,https://github.com/pytest-dev/pytes/tree/685387a43ec504f3b6447dcf389a65fad342d548,https://github.com/pytest-dev/pytes/tree/e87ff07370cab38fbd22fdadf89c82c0d92a1e5f,https://github.com/pytest-dev/pytes/compare/685387a43ec504f3b6447dcf389a65fad342d548...e87ff07370cab38fbd22fdadf89c82c0d92a1e5f
3,Pytest,77bd0aa02ffc7f8734682c2e353135af5d94ab76,c8d52b633b6a7423633042c0eec3c67483ac13a3,2939,https://github.com/pytest-dev/pytest/issues/2939,https://github.com/pytest-dev/pytes/tree/77bd0aa02ffc7f8734682c2e353135af5d94ab76,https://github.com/pytest-dev/pytes/tree/c8d52b633b6a7423633042c0eec3c67483ac13a3,https://github.com/pytest-dev/pytes/compare/77bd0aa02ffc7f8734682c2e353135af5d94ab76...c8d52b633b6a7423633042c0eec3c67483ac13a3
4,Pytest,d95c8a22046369732f76306ce39ddd5a5c0cb305,796db80ca42a88defbbf1ff10ec59e9d128159fa,2956,https://github.com/pytest-dev/pytest/issues/2956,https://github.com/pytest-dev/pytes/tree/d95c8a22046369732f76306ce39ddd5a5c0cb305,https://github.com/pytest-dev/pytes/tree/796db80ca42a88defbbf1ff10ec59e9d128159fa,https://github.com/pytest-dev/pytes/compare/d95c8a22046369732f76306ce39ddd5a5c0cb305...796db80ca42a88defbbf1ff10ec59e9d128159fa
5,Pytest,4d2f05e4b967a8df6becb939fe236f5f0b3f11cb,4ea7bbc197de2af0938ff64423add33098ee7326,2920,https://github.com/pytest-dev/pytest/issues/2920,https://github.com/pytest-dev/pytes/tree/4d2f05e4b967a8df6becb939fe236f5f0b3f11cb,https://github.com/pytest-dev/pytes/tree/4ea7bbc197de2af0938ff64423add33098ee7326,https://github.com/pytest-dev/pytes/compare/4d2f05e4b967a8df6becb939fe236f5f0b3f11cb...4ea7bbc197de2af0938ff64423add33098ee7326
6,Pytest,d95c8a22046369732f76306ce39ddd5a5c0cb305,89cf943e041dfcef2e6ef6514d4f67b98cba50e9,2957,https://github.com/pytest-dev/pytest/issues/2957,https://github.com/pytest-dev/pytes/tree/d95c8a22046369732f76306ce39ddd5a5c0cb305,https://github.com/pytest-dev/pytes/tree/89cf943e041dfcef2e6ef6514d4f67b98cba50e9,https://github.com/pytest-dev/pytes/compare/d95c8a22046369732f76306ce39ddd5a5c0cb305...89cf943e041dfcef2e6ef6514d4f67b98cba50e9
7,Pytest,88ed1ab64857c42a2509ed1eea1bf3f13ebd797e,fdfc1946da9dff75747d734c26b3602edfec1226,2959,https://github.com/pytest-dev/pytest/issues/2959,https://github.com/pytest-dev/pytes/tree/88ed1ab64857c42a2509ed1eea1bf3f13ebd797e,https://github.com/pytest-dev/pytes/tree/fdfc1946da9dff75747d734c26b3602edfec1226,https://github.com/pytest-dev/pytes/compare/88ed1ab64857c42a2509ed1eea1bf3f13ebd797e...fdfc1946da9dff75747d734c26b3602edfec1226
8,Pytest,88ed1ab64857c42a2509ed1eea1bf3f13ebd797e,70f1e3b4b0cdcf428fdcf44b6bc62ad76e2a03b2,2979,https://github.com/pytest-dev/pytest/issues/2979,https://github.com/pytest-dev/pytes/tree/88ed1ab64857c42a2509ed1eea1bf3f13ebd797e,https://github.com/pytest-dev/pytes/tree/70f1e3b4b0cdcf428fdcf44b6bc62ad76e2a03b2,https://github.com/pytest-dev/pytes/compare/88ed1ab64857c42a2509ed1eea1bf3f13ebd797e...70f1e3b4b0cdcf428fdcf44b6bc62ad76e2a03b2
9,Pytest,4de433e280050a1e7d6f903170540fa25cbb8ddf,cf0cac3b734dd47c8f6cbf3afa759231fbb76bc9,2984,https://github.com/pytest-dev/pytest/issues/2984,https://github.com/pytest-dev/pytes/tree/4de433e280050a1e7d6f903170540fa25cbb8ddf,https://github.com/pytest-dev/pytes/tree/cf0cac3b734dd47c8f6cbf3afa759231fbb76bc9,https://github.com/pytest-dev/pytes/compare/4de433e280050a1e7d6f903170540fa25cbb8ddf...cf0cac3b734dd47c8f6cbf3afa759231fbb76bc9
10,Pytest,2e8b0a83fe467a3a8365b6e661e44e54d3a00b03,ce30896cd20953f4eca1f2acac904c3f7a8e0c78,3004,https://github.com/pytest-dev/pytest/issues/3004,https://github.com/pytest-dev/pytes/tree/2e8b0a83fe467a3a8365b6e661e44e54d3a00b03,https://github.com/pytest-dev/pytes/tree/ce30896cd20953f4eca1f2acac904c3f7a8e0c78,https://github.com/pytest-dev/pytes/compare/2e8b0a83fe467a3a8365b6e661e44e54d3a00b03...ce30896cd20953f4eca1f2acac904c3f7a8e0c78
