bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Quarkus,f56b5c3de3a922a37cfa59a9809f73733c07d51b,2c0d16b2b2c7e6a865a5f626256cf24079abf169,40083,https://github.com/quarkusio/quarkus/issues/40083,https://github.com/quarkusio/quarkus/tree/f56b5c3de3a922a37cfa59a9809f73733c07d51b,https://github.com/quarkusio/quarkus/tree/2c0d16b2b2c7e6a865a5f626256cf24079abf169,https://github.com/quarkusio/quarkus/compare/f56b5c3de3a922a37cfa59a9809f73733c07d51b...2c0d16b2b2c7e6a865a5f626256cf24079abf169
2,Quarkus,200652ebc8ae91587ad50ef3267aa161ccd4f920,9840da101ce9e351b433b5112bc2a9148e5069e3,40089,https://github.com/quarkusio/quarkus/issues/40089,https://github.com/quarkusio/quarkus/tree/200652ebc8ae91587ad50ef3267aa161ccd4f920,https://github.com/quarkusio/quarkus/tree/9840da101ce9e351b433b5112bc2a9148e5069e3,https://github.com/quarkusio/quarkus/compare/200652ebc8ae91587ad50ef3267aa161ccd4f920...9840da101ce9e351b433b5112bc2a9148e5069e3
3,Quarkus,20ed823c32479cbb0c805da9a3e86071140d18d2,d8167a9b33d441ef5e15838c01ba13bd6f72a1ed,40196,https://github.com/quarkusio/quarkus/issues/40196,https://github.com/quarkusio/quarkus/tree/20ed823c32479cbb0c805da9a3e86071140d18d2,https://github.com/quarkusio/quarkus/tree/d8167a9b33d441ef5e15838c01ba13bd6f72a1ed,https://github.com/quarkusio/quarkus/compare/20ed823c32479cbb0c805da9a3e86071140d18d2...d8167a9b33d441ef5e15838c01ba13bd6f72a1ed
4,Quarkus,0efd81a42c5e916f040b038921cd725e54528fc1,21ce6780012af9033500cdbffc7452ab35efef9c,40272,https://github.com/quarkusio/quarkus/issues/40272,https://github.com/quarkusio/quarkus/tree/0efd81a42c5e916f040b038921cd725e54528fc1,https://github.com/quarkusio/quarkus/tree/21ce6780012af9033500cdbffc7452ab35efef9c,https://github.com/quarkusio/quarkus/compare/0efd81a42c5e916f040b038921cd725e54528fc1...21ce6780012af9033500cdbffc7452ab35efef9c
5,Quarkus,db219a86e009e347446b660d565059adbc4beb61,9daa467417b84c812ee04da5d909c79d5a729580,40371,https://github.com/quarkusio/quarkus/issues/40371,https://github.com/quarkusio/quarkus/tree/db219a86e009e347446b660d565059adbc4beb61,https://github.com/quarkusio/quarkus/tree/9daa467417b84c812ee04da5d909c79d5a729580,https://github.com/quarkusio/quarkus/compare/db219a86e009e347446b660d565059adbc4beb61...9daa467417b84c812ee04da5d909c79d5a729580
6,Quarkus,24d8c7adffabff1f46dddef67dae87aec297e1cc,97c797ab8783bf200e737f9c0ea5b37f2bc46a35,40438,https://github.com/quarkusio/quarkus/issues/40438,https://github.com/quarkusio/quarkus/tree/24d8c7adffabff1f46dddef67dae87aec297e1cc,https://github.com/quarkusio/quarkus/tree/97c797ab8783bf200e737f9c0ea5b37f2bc46a35,https://github.com/quarkusio/quarkus/compare/24d8c7adffabff1f46dddef67dae87aec297e1cc...97c797ab8783bf200e737f9c0ea5b37f2bc46a35
7,Quarkus,ea5c6fd94e0866de328c110e82242dfd12c0ca6f,5370e591e5684ff782b90f5e5faa9fc968f01bea,40495,https://github.com/quarkusio/quarkus/issues/40495,https://github.com/quarkusio/quarkus/tree/ea5c6fd94e0866de328c110e82242dfd12c0ca6f,https://github.com/quarkusio/quarkus/tree/5370e591e5684ff782b90f5e5faa9fc968f01bea,https://github.com/quarkusio/quarkus/compare/ea5c6fd94e0866de328c110e82242dfd12c0ca6f...5370e591e5684ff782b90f5e5faa9fc968f01bea
8,Quarkus,5ae525c917ffb88272cbfd87b4c6d5a9cbf4c875,2d5bbf96008c8a6e46524707fd6cbf164ff4b63a,40535,https://github.com/quarkusio/quarkus/issues/40535,https://github.com/quarkusio/quarkus/tree/5ae525c917ffb88272cbfd87b4c6d5a9cbf4c875,https://github.com/quarkusio/quarkus/tree/2d5bbf96008c8a6e46524707fd6cbf164ff4b63a,https://github.com/quarkusio/quarkus/compare/5ae525c917ffb88272cbfd87b4c6d5a9cbf4c875...2d5bbf96008c8a6e46524707fd6cbf164ff4b63a
9,Quarkus,e528e79f8d0bebf6e1124ca049b46f17eb2a9bb2,09fa7245ea1040d7b0b603ff82d67286f0339a48,40551,https://github.com/quarkusio/quarkus/issues/40551,https://github.com/quarkusio/quarkus/tree/e528e79f8d0bebf6e1124ca049b46f17eb2a9bb2,https://github.com/quarkusio/quarkus/tree/09fa7245ea1040d7b0b603ff82d67286f0339a48,https://github.com/quarkusio/quarkus/compare/e528e79f8d0bebf6e1124ca049b46f17eb2a9bb2...09fa7245ea1040d7b0b603ff82d67286f0339a48
10,Quarkus,4f2addcd0703de4d39daf13025961e886a3c0f34,a80a37e698aa5b8b5a88c238ed888ba287d64a7b,40369,https://github.com/quarkusio/quarkus/issues/40369,https://github.com/quarkusio/quarkus/tree/4f2addcd0703de4d39daf13025961e886a3c0f34,https://github.com/quarkusio/quarkus/tree/a80a37e698aa5b8b5a88c238ed888ba287d64a7b,https://github.com/quarkusio/quarkus/compare/4f2addcd0703de4d39daf13025961e886a3c0f34...a80a37e698aa5b8b5a88c238ed888ba287d64a7b
11,Quarkus,33db95140cdc64087120bf1598e18024d88d5c87,f1f7a20622fd54440ac0b94a81c467052bcdafac,40312,https://github.com/quarkusio/quarkus/issues/40312,https://github.com/quarkusio/quarkus/tree/33db95140cdc64087120bf1598e18024d88d5c87,https://github.com/quarkusio/quarkus/tree/f1f7a20622fd54440ac0b94a81c467052bcdafac,https://github.com/quarkusio/quarkus/compare/33db95140cdc64087120bf1598e18024d88d5c87...f1f7a20622fd54440ac0b94a81c467052bcdafac
12,Quarkus,faf6c8336ed91f7d74c196ffd83575c5741dae96,faf0d3693be7b1b662a9f8109ae118dbf029283c,40648,https://github.com/quarkusio/quarkus/issues/40648,https://github.com/quarkusio/quarkus/tree/faf6c8336ed91f7d74c196ffd83575c5741dae96,https://github.com/quarkusio/quarkus/tree/faf0d3693be7b1b662a9f8109ae118dbf029283c,https://github.com/quarkusio/quarkus/compare/faf6c8336ed91f7d74c196ffd83575c5741dae96...faf0d3693be7b1b662a9f8109ae118dbf029283c
13,Quarkus,589cf473e731f9a27d6f2de511dd3d38e16417f6,46b1e2739a2faa1f5bf72c6f12f2e1223525ad43,40677,https://github.com/quarkusio/quarkus/issues/40677,https://github.com/quarkusio/quarkus/tree/589cf473e731f9a27d6f2de511dd3d38e16417f6,https://github.com/quarkusio/quarkus/tree/46b1e2739a2faa1f5bf72c6f12f2e1223525ad43,https://github.com/quarkusio/quarkus/compare/589cf473e731f9a27d6f2de511dd3d38e16417f6...46b1e2739a2faa1f5bf72c6f12f2e1223525ad43
14,Quarkus,9b9dc32e3c433c8d6b5065043008e065a81c0611,a9c04c4399bd58d761b77742a49b7bf64c18d163,40874,https://github.com/quarkusio/quarkus/issues/40874,https://github.com/quarkusio/quarkus/tree/9b9dc32e3c433c8d6b5065043008e065a81c0611,https://github.com/quarkusio/quarkus/tree/a9c04c4399bd58d761b77742a49b7bf64c18d163,https://github.com/quarkusio/quarkus/compare/9b9dc32e3c433c8d6b5065043008e065a81c0611...a9c04c4399bd58d761b77742a49b7bf64c18d163
15,Quarkus,a7d0d563fb5bf214d5a088e49a8556be221df846,41ae1b3a8024ef8c4357e21e05915b288b05da56,40853,https://github.com/quarkusio/quarkus/issues/40853,https://github.com/quarkusio/quarkus/tree/a7d0d563fb5bf214d5a088e49a8556be221df846,https://github.com/quarkusio/quarkus/tree/41ae1b3a8024ef8c4357e21e05915b288b05da56,https://github.com/quarkusio/quarkus/compare/a7d0d563fb5bf214d5a088e49a8556be221df846...41ae1b3a8024ef8c4357e21e05915b288b05da56
16,Quarkus,3312986400832341b22345251cb252d7b2182e97,0ab1c1a94f27be14a29f59aafb61786c97f44f79,40546,https://github.com/quarkusio/quarkus/issues/40546,https://github.com/quarkusio/quarkus/tree/3312986400832341b22345251cb252d7b2182e97,https://github.com/quarkusio/quarkus/tree/0ab1c1a94f27be14a29f59aafb61786c97f44f79,https://github.com/quarkusio/quarkus/compare/3312986400832341b22345251cb252d7b2182e97...0ab1c1a94f27be14a29f59aafb61786c97f44f79
17,Quarkus,6776f7d85f53ff682867046f3d2af4294b2b1ce1,76af842d2865214eb419bedb7e1f8f509b9a544b,40981,https://github.com/quarkusio/quarkus/issues/40981,https://github.com/quarkusio/quarkus/tree/6776f7d85f53ff682867046f3d2af4294b2b1ce1,https://github.com/quarkusio/quarkus/tree/76af842d2865214eb419bedb7e1f8f509b9a544b,https://github.com/quarkusio/quarkus/compare/6776f7d85f53ff682867046f3d2af4294b2b1ce1...76af842d2865214eb419bedb7e1f8f509b9a544b
18,Quarkus,75928a5a00b6508bdcdabc0b2e92e8cc7992f046,c5663f99891e04d3fff1480b450fdd2b594680cd,40217,https://github.com/quarkusio/quarkus/issues/40217,https://github.com/quarkusio/quarkus/tree/75928a5a00b6508bdcdabc0b2e92e8cc7992f046,https://github.com/quarkusio/quarkus/tree/c5663f99891e04d3fff1480b450fdd2b594680cd,https://github.com/quarkusio/quarkus/compare/75928a5a00b6508bdcdabc0b2e92e8cc7992f046...c5663f99891e04d3fff1480b450fdd2b594680cd
