bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,RTree,ed7c6fe33764a27e8eff15e5603ce19c27d4f022,3edd29a90982a147472f30eb1dfbc54290d898c8,7,https://github.com/davidmoten/rtree/issues/7,https://www.github.com/davidmoten/rtree/tree/ed7c6fe33764a27e8eff15e5603ce19c27d4f022,https://www.github.com/davidmoten/rtree/tree/3edd29a90982a147472f30eb1dfbc54290d898c8,https://www.github.com/davidmoten/rtree/compare/ed7c6fe33764a27e8eff15e5603ce19c27d4f022...3edd29a90982a147472f30eb1dfbc54290d898c8
2,RTree,b9443eacf3aa5b317e51195fa23da70869bbce79,36043530c2bf9f6db57a8a1304058e01dc1ff2dd,7,https://github.com/davidmoten/rtree/issues/7,https://www.github.com/davidmoten/rtree/tree/b9443eacf3aa5b317e51195fa23da70869bbce79,https://www.github.com/davidmoten/rtree/tree/36043530c2bf9f6db57a8a1304058e01dc1ff2dd,https://www.github.com/davidmoten/rtree/compare/b9443eacf3aa5b317e51195fa23da70869bbce79...36043530c2bf9f6db57a8a1304058e01dc1ff2dd
3,RTree,85200e9b5a05bfe037b4c418452d6935e07bbad3,a8f7c9377c867e5fe87e6933d7fa1e374131cb74,19,https://github.com/davidmoten/rtree/issues/19,https://www.github.com/davidmoten/rtree/tree/85200e9b5a05bfe037b4c418452d6935e07bbad3,https://www.github.com/davidmoten/rtree/tree/a8f7c9377c867e5fe87e6933d7fa1e374131cb74,https://www.github.com/davidmoten/rtree/compare/85200e9b5a05bfe037b4c418452d6935e07bbad3...a8f7c9377c867e5fe87e6933d7fa1e374131cb74
4,RTree,72a383968e80a4c0c62b4071e5e353fd26dfaa09,81a212e43e9649cf6181a6ef40572ee180509826,20,https://github.com/davidmoten/rtree/issues/20,https://www.github.com/davidmoten/rtree/tree/72a383968e80a4c0c62b4071e5e353fd26dfaa09,https://www.github.com/davidmoten/rtree/tree/81a212e43e9649cf6181a6ef40572ee180509826,https://www.github.com/davidmoten/rtree/compare/72a383968e80a4c0c62b4071e5e353fd26dfaa09...81a212e43e9649cf6181a6ef40572ee180509826
5,RTree,81a212e43e9649cf6181a6ef40572ee180509826,98bac668a8b3856d18ca6037886c4e7361d25d33,21,https://github.com/davidmoten/rtree/issues/21,https://www.github.com/davidmoten/rtree/tree/81a212e43e9649cf6181a6ef40572ee180509826,https://www.github.com/davidmoten/rtree/tree/98bac668a8b3856d18ca6037886c4e7361d25d33,https://www.github.com/davidmoten/rtree/compare/81a212e43e9649cf6181a6ef40572ee180509826...98bac668a8b3856d18ca6037886c4e7361d25d33
6,RTree,b8d71e69cbeb156cede278dcb186b79ac27d1d95,9d40b261b222820e3e08821292974e2b25f6ddc4,26,https://github.com/davidmoten/rtree/issues/26,https://www.github.com/davidmoten/rtree/tree/b8d71e69cbeb156cede278dcb186b79ac27d1d95,https://www.github.com/davidmoten/rtree/tree/9d40b261b222820e3e08821292974e2b25f6ddc4,https://www.github.com/davidmoten/rtree/compare/b8d71e69cbeb156cede278dcb186b79ac27d1d95...9d40b261b222820e3e08821292974e2b25f6ddc4
7,RTree,bcd1193fbf765eda32b94e2d54b09e978ad39cc6,adc99ad31b7a1b4debe74e84121c054c733cc829,28,https://github.com/davidmoten/rtree/issues/28,https://www.github.com/davidmoten/rtree/tree/bcd1193fbf765eda32b94e2d54b09e978ad39cc6,https://www.github.com/davidmoten/rtree/tree/adc99ad31b7a1b4debe74e84121c054c733cc829,https://www.github.com/davidmoten/rtree/compare/bcd1193fbf765eda32b94e2d54b09e978ad39cc6...adc99ad31b7a1b4debe74e84121c054c733cc829
8,RTree,ebb9a3a95076f7af3da77d790004eeac9e605982,7b25502703319430b4b774de881a02d37967ca36,31,https://github.com/davidmoten/rtree/issues/31,https://www.github.com/davidmoten/rtree/tree/ebb9a3a95076f7af3da77d790004eeac9e605982,https://www.github.com/davidmoten/rtree/tree/7b25502703319430b4b774de881a02d37967ca36,https://www.github.com/davidmoten/rtree/compare/ebb9a3a95076f7af3da77d790004eeac9e605982...7b25502703319430b4b774de881a02d37967ca36
9,RTree,2a94c142ae36a29c8ec87409956e4727a0591c74,a655864bf6a0d70878496586c3d8745037181138,31,https://github.com/davidmoten/rtree/issues/31,https://www.github.com/davidmoten/rtree/tree/2a94c142ae36a29c8ec87409956e4727a0591c74,https://www.github.com/davidmoten/rtree/tree/a655864bf6a0d70878496586c3d8745037181138,https://www.github.com/davidmoten/rtree/compare/2a94c142ae36a29c8ec87409956e4727a0591c74...a655864bf6a0d70878496586c3d8745037181138
10,RTree,8998b74e55e44c9f46e70ab4b7aec5410ad90da6,b9deb3889bec5d634394d54231b31b7270314cfa,35,https://github.com/davidmoten/rtree/issues/35,https://www.github.com/davidmoten/rtree/tree/8998b74e55e44c9f46e70ab4b7aec5410ad90da6,https://www.github.com/davidmoten/rtree/tree/b9deb3889bec5d634394d54231b31b7270314cfa,https://www.github.com/davidmoten/rtree/compare/8998b74e55e44c9f46e70ab4b7aec5410ad90da6...b9deb3889bec5d634394d54231b31b7270314cfa
11,RTree,f158eab63606b7339bf6f94e3f6ded9b031f7257,bb3b0b3b773630a286a9e16797aad2861ebf0765,34,https://github.com/davidmoten/rtree/issues/34,https://www.github.com/davidmoten/rtree/tree/f158eab63606b7339bf6f94e3f6ded9b031f7257,https://www.github.com/davidmoten/rtree/tree/bb3b0b3b773630a286a9e16797aad2861ebf0765,https://www.github.com/davidmoten/rtree/compare/f158eab63606b7339bf6f94e3f6ded9b031f7257...bb3b0b3b773630a286a9e16797aad2861ebf0765
12,RTree,b9fa0b9334a5d139032efb9240740494142c1f29,dfffd524416320e10c665de0109b666de3fbf8fa,29,https://github.com/davidmoten/rtree/issues/29,https://www.github.com/davidmoten/rtree/tree/b9fa0b9334a5d139032efb9240740494142c1f29,https://www.github.com/davidmoten/rtree/tree/dfffd524416320e10c665de0109b666de3fbf8fa,https://www.github.com/davidmoten/rtree/compare/b9fa0b9334a5d139032efb9240740494142c1f29...dfffd524416320e10c665de0109b666de3fbf8fa
13,RTree,3249a02e3f0a6c53d3ab34cf85214e245759010e,a487a2120beb5ab0dca17275580a6dca3af8e431,36,https://github.com/davidmoten/rtree/issues/36,https://www.github.com/davidmoten/rtree/tree/3249a02e3f0a6c53d3ab34cf85214e245759010e,https://www.github.com/davidmoten/rtree/tree/a487a2120beb5ab0dca17275580a6dca3af8e431,https://www.github.com/davidmoten/rtree/compare/3249a02e3f0a6c53d3ab34cf85214e245759010e...a487a2120beb5ab0dca17275580a6dca3af8e431
14,RTree,271e224c8aefce9fa9bb7dc2859bec2529eb07b9,7e53efecdebff95c8e3bd6911cee6843e381d0fd,38,https://github.com/davidmoten/rtree/issues/38,https://www.github.com/davidmoten/rtree/tree/271e224c8aefce9fa9bb7dc2859bec2529eb07b9,https://www.github.com/davidmoten/rtree/tree/7e53efecdebff95c8e3bd6911cee6843e381d0fd,https://www.github.com/davidmoten/rtree/compare/271e224c8aefce9fa9bb7dc2859bec2529eb07b9...7e53efecdebff95c8e3bd6911cee6843e381d0fd
15,RTree,c1a59980de118a709feb442326155ac0e14639ac,81b61041ba38613911c8e1a325653f99eedce520,39,https://github.com/davidmoten/rtree/issues/39,https://www.github.com/davidmoten/rtree/tree/c1a59980de118a709feb442326155ac0e14639ac,https://www.github.com/davidmoten/rtree/tree/81b61041ba38613911c8e1a325653f99eedce520,https://www.github.com/davidmoten/rtree/compare/c1a59980de118a709feb442326155ac0e14639ac...81b61041ba38613911c8e1a325653f99eedce520
16,RTree,24925185c1eb4162fe666d5305f2fc5fa0e02b2f,b738de4232913d54d1482bd992de8f5e57f1f11c,39,https://github.com/davidmoten/rtree/issues/39,https://www.github.com/davidmoten/rtree/tree/24925185c1eb4162fe666d5305f2fc5fa0e02b2f,https://www.github.com/davidmoten/rtree/tree/b738de4232913d54d1482bd992de8f5e57f1f11c,https://www.github.com/davidmoten/rtree/compare/24925185c1eb4162fe666d5305f2fc5fa0e02b2f...b738de4232913d54d1482bd992de8f5e57f1f11c
17,RTree,3f5a55d7fa0308cb7ceac846a2ae24be8799e0a8,c74e1b397b7caa3771c679eaf48b4d95c18cded4,40,https://github.com/davidmoten/rtree/issues/40,https://www.github.com/davidmoten/rtree/tree/3f5a55d7fa0308cb7ceac846a2ae24be8799e0a8,https://www.github.com/davidmoten/rtree/tree/c74e1b397b7caa3771c679eaf48b4d95c18cded4,https://www.github.com/davidmoten/rtree/compare/3f5a55d7fa0308cb7ceac846a2ae24be8799e0a8...c74e1b397b7caa3771c679eaf48b4d95c18cded4
18,RTree,c0844a65fb081ffa1657ba98c96052ec74002bca,16400fc53d776a352ca65390c5e93e4e479f3d32,50,https://github.com/davidmoten/rtree/issues/50,https://www.github.com/davidmoten/rtree/tree/c0844a65fb081ffa1657ba98c96052ec74002bca,https://www.github.com/davidmoten/rtree/tree/16400fc53d776a352ca65390c5e93e4e479f3d32,https://www.github.com/davidmoten/rtree/compare/c0844a65fb081ffa1657ba98c96052ec74002bca...16400fc53d776a352ca65390c5e93e4e479f3d32
19,RTree,14fd4d1e62c4354ab9d11fbf76a02950887c12ea,75da48987d7235afe1cfc970df4717c6f1c2f957,60,https://github.com/davidmoten/rtree/issues/60,https://www.github.com/davidmoten/rtree/tree/14fd4d1e62c4354ab9d11fbf76a02950887c12ea,https://www.github.com/davidmoten/rtree/tree/75da48987d7235afe1cfc970df4717c6f1c2f957,https://www.github.com/davidmoten/rtree/compare/14fd4d1e62c4354ab9d11fbf76a02950887c12ea...75da48987d7235afe1cfc970df4717c6f1c2f957
20,RTree,468cdb4d1d9810472ea19c1e6beaa415f63c7c91,178499b75da94596063fd5b94e849328fcb3f1a0,73,https://github.com/davidmoten/rtree/issues/73,https://www.github.com/davidmoten/rtree/tree/468cdb4d1d9810472ea19c1e6beaa415f63c7c91,https://www.github.com/davidmoten/rtree/tree/178499b75da94596063fd5b94e849328fcb3f1a0,https://www.github.com/davidmoten/rtree/compare/468cdb4d1d9810472ea19c1e6beaa415f63c7c91...178499b75da94596063fd5b94e849328fcb3f1a0
