bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Rails,66579a1d75b51e57de3ea96f3a08b04c17319683,5abb45d53ae32f9d80fac5a21fe4cda9b83412a1,46044,https://github.com/rails/rails/issues/46044,https://github.com/rails/rails/tree/66579a1d75b51e57de3ea96f3a08b04c17319683,https://github.com/rails/rails/tree/5abb45d53ae32f9d80fac5a21fe4cda9b83412a1,https://github.com/rails/rails/compare/66579a1d75b51e57de3ea96f3a08b04c17319683...5abb45d53ae32f9d80fac5a21fe4cda9b83412a1
2,Rails,0b1b5129767f94526dbe19461fee210648bb9738,763941e81b3d199433956d4f21c3679425aea9bf,46113,https://github.com/rails/rails/issues/46113,https://github.com/rails/rails/tree/0b1b5129767f94526dbe19461fee210648bb9738,https://github.com/rails/rails/tree/763941e81b3d199433956d4f21c3679425aea9bf,https://github.com/rails/rails/compare/0b1b5129767f94526dbe19461fee210648bb9738...763941e81b3d199433956d4f21c3679425aea9bf
3,Rails,de771c979eca99e37e975a58618dd254fc472986,acf30afc915cbc74d805608b8036e8061bd62222,46196,https://github.com/rails/rails/issues/46196,https://github.com/rails/rails/tree/de771c979eca99e37e975a58618dd254fc472986,https://github.com/rails/rails/tree/acf30afc915cbc74d805608b8036e8061bd62222,https://github.com/rails/rails/compare/de771c979eca99e37e975a58618dd254fc472986...acf30afc915cbc74d805608b8036e8061bd62222
4,Rails,48ecee1c448755292866443c2f7bf8798c665b23,31c15b4791a8581cbf354c22bbadb463a90bcd1a,46285,https://github.com/rails/rails/issues/46285,https://github.com/rails/rails/tree/48ecee1c448755292866443c2f7bf8798c665b23,https://github.com/rails/rails/tree/31c15b4791a8581cbf354c22bbadb463a90bcd1a,https://github.com/rails/rails/compare/48ecee1c448755292866443c2f7bf8798c665b23...31c15b4791a8581cbf354c22bbadb463a90bcd1a
5,Rails,be0b5c65a175b6c92514375fc7044efb11cdbe90,be177e4566747b73ff63fd5f529fab564e475ed4,46244,https://github.com/rails/rails/issues/46244,https://github.com/rails/rails/tree/be0b5c65a175b6c92514375fc7044efb11cdbe90,https://github.com/rails/rails/tree/be177e4566747b73ff63fd5f529fab564e475ed4,https://github.com/rails/rails/compare/be0b5c65a175b6c92514375fc7044efb11cdbe90...be177e4566747b73ff63fd5f529fab564e475ed4
6,Rails,7fdcbe747f7ab5ef664b894f73c8e0ada04c5c50,c6d5ae5be48bf941936211acf64e96bfcec2ea14,46184,https://github.com/rails/rails/issues/46184,https://github.com/rails/rails/tree/7fdcbe747f7ab5ef664b894f73c8e0ada04c5c50,https://github.com/rails/rails/tree/c6d5ae5be48bf941936211acf64e96bfcec2ea14,https://github.com/rails/rails/compare/7fdcbe747f7ab5ef664b894f73c8e0ada04c5c50...c6d5ae5be48bf941936211acf64e96bfcec2ea14
7,Rails,1562651e5fb02d7687ffe13498c0cc3aee9249f0,1eb20036a5d2a31fb58c5bdae388dc1e71f35abf,46347,https://github.com/rails/rails/issues/46347,https://github.com/rails/rails/tree/1562651e5fb02d7687ffe13498c0cc3aee9249f0,https://github.com/rails/rails/tree/1eb20036a5d2a31fb58c5bdae388dc1e71f35abf,https://github.com/rails/rails/compare/1562651e5fb02d7687ffe13498c0cc3aee9249f0...1eb20036a5d2a31fb58c5bdae388dc1e71f35abf
8,Rails,e76f978189435e25d281ef541d630e138c421dae,73bdebdcd5b547c3675c0007bb790b935b6e1c05,46371,https://github.com/rails/rails/issues/46371,https://github.com/rails/rails/tree/e76f978189435e25d281ef541d630e138c421dae,https://github.com/rails/rails/tree/73bdebdcd5b547c3675c0007bb790b935b6e1c05,https://github.com/rails/rails/compare/e76f978189435e25d281ef541d630e138c421dae...73bdebdcd5b547c3675c0007bb790b935b6e1c05
9,Rails,f2d1b7bbc758ee7fe611ea3429629b250931770f,4a4922b7d3ec7c61b5fb5ff8981e80e82fd810f9,46507,https://github.com/rails/rails/issues/46507,https://github.com/rails/rails/tree/f2d1b7bbc758ee7fe611ea3429629b250931770f,https://github.com/rails/rails/tree/4a4922b7d3ec7c61b5fb5ff8981e80e82fd810f9,https://github.com/rails/rails/compare/f2d1b7bbc758ee7fe611ea3429629b250931770f...4a4922b7d3ec7c61b5fb5ff8981e80e82fd810f9
10,Rails,fae0baef41a7c6b823d57ae720e976d2ef0578c4,8194f8ec88ad7e4e2c2df99fbf4dacc93faa6805,46569,https://github.com/rails/rails/issues/46569,https://github.com/rails/rails/tree/fae0baef41a7c6b823d57ae720e976d2ef0578c4,https://github.com/rails/rails/tree/8194f8ec88ad7e4e2c2df99fbf4dacc93faa6805,https://github.com/rails/rails/compare/fae0baef41a7c6b823d57ae720e976d2ef0578c4...8194f8ec88ad7e4e2c2df99fbf4dacc93faa6805
