bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Rand,ef236b46c85ebeead7aee72e95a735ac10416b97,2b34e240c129fcac1eb814feb9232956cee7cc66,1165,https://github.com/rust-random/rand/issues/1165,https://github.com/rust-random/rand/tree/ef236b46c85ebeead7aee72e95a735ac10416b97,https://github.com/rust-random/rand/tree/2b34e240c129fcac1eb814feb9232956cee7cc66,https://github.com/rust-random/rand/compare/ef236b46c85ebeead7aee72e95a735ac10416b97...2b34e240c129fcac1eb814feb9232956cee7cc66
2,Rand,2c46acdb41bacd8f134bd1fb09f27f70f38e9eb7,39fe06301bdefbd6c224b19638cce58a2e1c1105,8,https://github.com/rust-random/rand/issues/8,https://github.com/rust-random/rand/tree/2c46acdb41bacd8f134bd1fb09f27f70f38e9eb7,https://github.com/rust-random/rand/tree/39fe06301bdefbd6c224b19638cce58a2e1c1105,https://github.com/rust-random/rand/compare/2c46acdb41bacd8f134bd1fb09f27f70f38e9eb7...39fe06301bdefbd6c224b19638cce58a2e1c1105
3,Rand,8c6618e085c301182e3ebd82fdc88c8c5acd9867,cc5bfb8c64e541b6801b18fa5fcd14b759d4a49e,21,https://github.com/rust-random/rand/issues/21,https://github.com/rust-random/rand/tree/8c6618e085c301182e3ebd82fdc88c8c5acd9867,https://github.com/rust-random/rand/tree/cc5bfb8c64e541b6801b18fa5fcd14b759d4a49e,https://github.com/rust-random/rand/compare/8c6618e085c301182e3ebd82fdc88c8c5acd9867...cc5bfb8c64e541b6801b18fa5fcd14b759d4a49e
4,Rand,7ccdb515dc729907750a554fe57276b29359b29a,d2060d6af92662ad8aec78eda481a25bbba63c3e,32,https://github.com/rust-random/rand/issues/32,https://github.com/rust-random/rand/tree/7ccdb515dc729907750a554fe57276b29359b29a,https://github.com/rust-random/rand/tree/d2060d6af92662ad8aec78eda481a25bbba63c3e,https://github.com/rust-random/rand/compare/7ccdb515dc729907750a554fe57276b29359b29a...d2060d6af92662ad8aec78eda481a25bbba63c3e
5,Rand,e64fb51b45b45267dd8e4b5652edfeeec5d500d5,8f1508233f55b31cc7f6a0a8555cac9154458a54,38,https://github.com/rust-random/rand/issues/38,https://github.com/rust-random/rand/tree/e64fb51b45b45267dd8e4b5652edfeeec5d500d5,https://github.com/rust-random/rand/tree/8f1508233f55b31cc7f6a0a8555cac9154458a54,https://github.com/rust-random/rand/compare/e64fb51b45b45267dd8e4b5652edfeeec5d500d5...8f1508233f55b31cc7f6a0a8555cac9154458a54
6,Rand,3f933b5f073b8ec7c09dd55f7c03da9e74484098,17778ef1449f313a2005ad785ee6816dbf893483,147,https://github.com/rust-random/rand/issues/147,https://github.com/rust-random/rand/tree/3f933b5f073b8ec7c09dd55f7c03da9e74484098,https://github.com/rust-random/rand/tree/17778ef1449f313a2005ad785ee6816dbf893483,https://github.com/rust-random/rand/compare/3f933b5f073b8ec7c09dd55f7c03da9e74484098...17778ef1449f313a2005ad785ee6816dbf893483
7,Rand,4c45ea6e2933d8a80ad836701b9fb14b7af349ba,b3bda8508d042ebdf1fc98710a96a470824a98a5,180,https://github.com/rust-random/rand/issues/180,https://github.com/rust-random/rand/tree/4c45ea6e2933d8a80ad836701b9fb14b7af349ba,https://github.com/rust-random/rand/tree/b3bda8508d042ebdf1fc98710a96a470824a98a5,https://github.com/rust-random/rand/compare/4c45ea6e2933d8a80ad836701b9fb14b7af349ba...b3bda8508d042ebdf1fc98710a96a470824a98a5
8,Rand,85f4cf7a96f6cec924db7f18090a444d5b5abd69,522a28c26ddbb25b22b8f84208dece83686b5412,167,https://github.com/rust-random/rand/issues/167,https://github.com/rust-random/rand/tree/85f4cf7a96f6cec924db7f18090a444d5b5abd69,https://github.com/rust-random/rand/tree/522a28c26ddbb25b22b8f84208dece83686b5412,https://github.com/rust-random/rand/compare/85f4cf7a96f6cec924db7f18090a444d5b5abd69...522a28c26ddbb25b22b8f84208dece83686b5412
9,Rand,dbf8ac7340aa46afa6a579b2a12100ab6c8ad756,70e7e92cdf8ad357f5d0f13b50ae923657e6b5a2,259,https://github.com/rust-random/rand/issues/259,https://github.com/rust-random/rand/tree/dbf8ac7340aa46afa6a579b2a12100ab6c8ad756,https://github.com/rust-random/rand/tree/70e7e92cdf8ad357f5d0f13b50ae923657e6b5a2,https://github.com/rust-random/rand/compare/dbf8ac7340aa46afa6a579b2a12100ab6c8ad756...70e7e92cdf8ad357f5d0f13b50ae923657e6b5a2
10,Rand,628a952bb341fed4f404ca43844ff67cd9254ccf,c95a4a156bc460ad0fcf7a1053a87e12d24d1042,354,https://github.com/rust-random/rand/issues/354,https://github.com/rust-random/rand/tree/628a952bb341fed4f404ca43844ff67cd9254ccf,https://github.com/rust-random/rand/tree/c95a4a156bc460ad0fcf7a1053a87e12d24d1042,https://github.com/rust-random/rand/compare/628a952bb341fed4f404ca43844ff67cd9254ccf...c95a4a156bc460ad0fcf7a1053a87e12d24d1042
11,Rand,aec044d04e04c5569fce1f5d9c7430b165bdf8e4,8fcd8d123be192237f5bd1768ad43e5f672e3946,393,https://github.com/rust-random/rand/issues/393,https://github.com/rust-random/rand/tree/aec044d04e04c5569fce1f5d9c7430b165bdf8e4,https://github.com/rust-random/rand/tree/8fcd8d123be192237f5bd1768ad43e5f672e3946,https://github.com/rust-random/rand/compare/aec044d04e04c5569fce1f5d9c7430b165bdf8e4...8fcd8d123be192237f5bd1768ad43e5f672e3946
12,Rand,e4db7ce53aa7fd2afd7f2f1a8bcd9a917d2da872,5bb3eb84395b54b532bee2f8d5cc5980712ccf6a,403,https://github.com/rust-random/rand/issues/403,https://github.com/rust-random/rand/tree/e4db7ce53aa7fd2afd7f2f1a8bcd9a917d2da872,https://github.com/rust-random/rand/tree/5bb3eb84395b54b532bee2f8d5cc5980712ccf6a,https://github.com/rust-random/rand/compare/e4db7ce53aa7fd2afd7f2f1a8bcd9a917d2da872...5bb3eb84395b54b532bee2f8d5cc5980712ccf6a
13,Rand,7fcd3d921d84a6bc1bd95776ffd25b13d92ec6a9,d9b1e85cd21d6d262ca263069eab006237cfe7ce,417,https://github.com/rust-random/rand/issues/417,https://github.com/rust-random/rand/tree/7fcd3d921d84a6bc1bd95776ffd25b13d92ec6a9,https://github.com/rust-random/rand/tree/d9b1e85cd21d6d262ca263069eab006237cfe7ce,https://github.com/rust-random/rand/compare/7fcd3d921d84a6bc1bd95776ffd25b13d92ec6a9...d9b1e85cd21d6d262ca263069eab006237cfe7ce
14,Rand,eb47e3bdcbf517f41843703c67d0fe669cfbc264,20eb2bf3aef3877d9d439fce0db047505c8cae64,300,https://github.com/rust-random/rand/issues/300,https://github.com/rust-random/rand/tree/eb47e3bdcbf517f41843703c67d0fe669cfbc264,https://github.com/rust-random/rand/tree/20eb2bf3aef3877d9d439fce0db047505c8cae64,https://github.com/rust-random/rand/compare/eb47e3bdcbf517f41843703c67d0fe669cfbc264...20eb2bf3aef3877d9d439fce0db047505c8cae64
15,Rand,89b268e2d770dce1b3156d6417078fbce4816f02,1509f9d32ea6bfa1ec020d1670dbaa01094552d5,460,https://github.com/rust-random/rand/issues/460,https://github.com/rust-random/rand/tree/89b268e2d770dce1b3156d6417078fbce4816f02,https://github.com/rust-random/rand/tree/1509f9d32ea6bfa1ec020d1670dbaa01094552d5,https://github.com/rust-random/rand/compare/89b268e2d770dce1b3156d6417078fbce4816f02...1509f9d32ea6bfa1ec020d1670dbaa01094552d5
16,Rand,74c68bfc596a5e0b19813f0f356c024315fe38ed,140385528f6838aa352a2ab8649ae2b2306ceeb7,478,https://github.com/rust-random/rand/issues/478,https://github.com/rust-random/rand/tree/74c68bfc596a5e0b19813f0f356c024315fe38ed,https://github.com/rust-random/rand/tree/140385528f6838aa352a2ab8649ae2b2306ceeb7,https://github.com/rust-random/rand/compare/74c68bfc596a5e0b19813f0f356c024315fe38ed...140385528f6838aa352a2ab8649ae2b2306ceeb7
17,Rand,33e2e8983738dcfd7ec6a24f9aa9461b101a5e54,6d2b7e5c8f81901b84a6aafaa2959f2bd1288559,476,https://github.com/rust-random/rand/issues/476,https://github.com/rust-random/rand/tree/33e2e8983738dcfd7ec6a24f9aa9461b101a5e54,https://github.com/rust-random/rand/tree/6d2b7e5c8f81901b84a6aafaa2959f2bd1288559,https://github.com/rust-random/rand/compare/33e2e8983738dcfd7ec6a24f9aa9461b101a5e54...6d2b7e5c8f81901b84a6aafaa2959f2bd1288559
18,Rand,149c8b3a9671cebf414f3af03ed17a05fa65bfc5,a7f8f348f65ff990549e46e7c771c94b19167f59,556,https://github.com/rust-random/rand/issues/556,https://github.com/rust-random/rand/tree/149c8b3a9671cebf414f3af03ed17a05fa65bfc5,https://github.com/rust-random/rand/tree/a7f8f348f65ff990549e46e7c771c94b19167f59,https://github.com/rust-random/rand/compare/149c8b3a9671cebf414f3af03ed17a05fa65bfc5...a7f8f348f65ff990549e46e7c771c94b19167f59
19,Rand,7aec8e27ce284c6ac03389d2385f07b222a0e276,c5735dc2f4d51688a56b0e7c47daab6864d274c8,618,https://github.com/rust-random/rand/issues/618,https://github.com/rust-random/rand/tree/7aec8e27ce284c6ac03389d2385f07b222a0e276,https://github.com/rust-random/rand/tree/c5735dc2f4d51688a56b0e7c47daab6864d274c8,https://github.com/rust-random/rand/compare/7aec8e27ce284c6ac03389d2385f07b222a0e276...c5735dc2f4d51688a56b0e7c47daab6864d274c8
20,Rand,ad8410ea73bd70b5817c40feee873f04ed679592,92009afdbe337f2f63148580538a9a60b750e9a0,610,https://github.com/rust-random/rand/issues/610,https://github.com/rust-random/rand/tree/ad8410ea73bd70b5817c40feee873f04ed679592,https://github.com/rust-random/rand/tree/92009afdbe337f2f63148580538a9a60b750e9a0,https://github.com/rust-random/rand/compare/ad8410ea73bd70b5817c40feee873f04ed679592...92009afdbe337f2f63148580538a9a60b750e9a0
21,Rand,76aab69c05d554189331b21f5972acf3b0307cae,06dd14dc3ad2d260dfb3b1f60faecf8809f3b0d0,617,https://github.com/rust-random/rand/issues/617,https://github.com/rust-random/rand/tree/76aab69c05d554189331b21f5972acf3b0307cae,https://github.com/rust-random/rand/tree/06dd14dc3ad2d260dfb3b1f60faecf8809f3b0d0,https://github.com/rust-random/rand/compare/76aab69c05d554189331b21f5972acf3b0307cae...06dd14dc3ad2d260dfb3b1f60faecf8809f3b0d0
