bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Rclone,4bfca7501291df0a1738f1885fa0613dc7049397,1d67b014cb5f1842efe37de93d47e97805c74d9f,1,https://github.com/rclone/rclone/issues/1,https://github.com/rclone/rclone/tree/4bfca7501291df0a1738f1885fa0613dc7049397,https://github.com/rclone/rclone/tree/1d67b014cb5f1842efe37de93d47e97805c74d9f,https://github.com/rclone/rclone/compare/4bfca7501291df0a1738f1885fa0613dc7049397...1d67b014cb5f1842efe37de93d47e97805c74d9f
2,Rclone,1d67b014cb5f1842efe37de93d47e97805c74d9f,7ebf48ef429acefc2cf892437e89a13d255b41bf,3,https://github.com/rclone/rclone/issues/3,https://github.com/rclone/rclone/tree/1d67b014cb5f1842efe37de93d47e97805c74d9f,https://github.com/rclone/rclone/tree/7ebf48ef429acefc2cf892437e89a13d255b41bf,https://github.com/rclone/rclone/compare/1d67b014cb5f1842efe37de93d47e97805c74d9f...7ebf48ef429acefc2cf892437e89a13d255b41bf
3,Rclone,fdcd6a3a4c05be798439bbb9acb759262a0f45fd,a12760c0383cdf7d6c2291964855cec56de49141,2,https://github.com/rclone/rclone/issues/2,https://github.com/rclone/rclone/tree/fdcd6a3a4c05be798439bbb9acb759262a0f45fd,https://github.com/rclone/rclone/tree/a12760c0383cdf7d6c2291964855cec56de49141,https://github.com/rclone/rclone/compare/fdcd6a3a4c05be798439bbb9acb759262a0f45fd...a12760c0383cdf7d6c2291964855cec56de49141
4,Rclone,a12760c0383cdf7d6c2291964855cec56de49141,93cb0a47e4801a258ecda7439f015c49b400d4d2,4,https://github.com/rclone/rclone/issues/4,https://github.com/rclone/rclone/tree/a12760c0383cdf7d6c2291964855cec56de49141,https://github.com/rclone/rclone/tree/93cb0a47e4801a258ecda7439f015c49b400d4d2,https://github.com/rclone/rclone/compare/a12760c0383cdf7d6c2291964855cec56de49141...93cb0a47e4801a258ecda7439f015c49b400d4d2
5,Rclone,d4817399ff32a7ea61aafee798c3d9d4ed212d21,91cfbd4146cbf67ebbefe5ce696f53182776b1f0,5,https://github.com/rclone/rclone/issues/5,https://github.com/rclone/rclone/tree/d4817399ff32a7ea61aafee798c3d9d4ed212d21,https://github.com/rclone/rclone/tree/91cfbd4146cbf67ebbefe5ce696f53182776b1f0,https://github.com/rclone/rclone/compare/d4817399ff32a7ea61aafee798c3d9d4ed212d21...91cfbd4146cbf67ebbefe5ce696f53182776b1f0
6,Rclone,54cd46372a64989c8e84ca4380fe24305819af30,80ecea82e8456a936f8a456259c373ba158cf213,9,https://github.com/rclone/rclone/issues/9,https://github.com/rclone/rclone/tree/54cd46372a64989c8e84ca4380fe24305819af30,https://github.com/rclone/rclone/tree/80ecea82e8456a936f8a456259c373ba158cf213,https://github.com/rclone/rclone/compare/54cd46372a64989c8e84ca4380fe24305819af30...80ecea82e8456a936f8a456259c373ba158cf213
7,Rclone,839133c5e1aeb73072578cf7fc0f2ec7b3b3c7f1,ee6b39aa6cfa6810d00d857d4921eff506d2a821,13,https://github.com/rclone/rclone/issues/13,https://github.com/rclone/rclone/tree/839133c5e1aeb73072578cf7fc0f2ec7b3b3c7f1,https://github.com/rclone/rclone/tree/ee6b39aa6cfa6810d00d857d4921eff506d2a821,https://github.com/rclone/rclone/compare/839133c5e1aeb73072578cf7fc0f2ec7b3b3c7f1...ee6b39aa6cfa6810d00d857d4921eff506d2a821
8,Rclone,ee6b39aa6cfa6810d00d857d4921eff506d2a821,af9c447146294cf503df624bb0a6d105071dc959,15,https://github.com/rclone/rclone/issues/15,https://github.com/rclone/rclone/tree/ee6b39aa6cfa6810d00d857d4921eff506d2a821,https://github.com/rclone/rclone/tree/af9c447146294cf503df624bb0a6d105071dc959,https://github.com/rclone/rclone/compare/ee6b39aa6cfa6810d00d857d4921eff506d2a821...af9c447146294cf503df624bb0a6d105071dc959
9,Rclone,9ba25c7219f7ac76d8071ab502ef8c5f1ffee702,0fb35f081a865c1fce13e638f0079196cceb9222,16,https://github.com/rclone/rclone/issues/16,https://github.com/rclone/rclone/tree/9ba25c7219f7ac76d8071ab502ef8c5f1ffee702,https://github.com/rclone/rclone/tree/0fb35f081a865c1fce13e638f0079196cceb9222,https://github.com/rclone/rclone/compare/9ba25c7219f7ac76d8071ab502ef8c5f1ffee702...0fb35f081a865c1fce13e638f0079196cceb9222
10,Rclone,2b052671e27494733d818d669061407ead2f9ef8,14567952b323751858776c7d572e387829b85766,17,https://github.com/rclone/rclone/issues/17,https://github.com/rclone/rclone/tree/2b052671e27494733d818d669061407ead2f9ef8,https://github.com/rclone/rclone/tree/14567952b323751858776c7d572e387829b85766,https://github.com/rclone/rclone/compare/2b052671e27494733d818d669061407ead2f9ef8...14567952b323751858776c7d572e387829b85766
