bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Rdf4j_query,c838d81b84ce78729e9d126168714711fda6a51c,f07f93b12872fc932068706cca7236cef0177284,6,https://github.com/eclipse-rdf4j/rdf4j/issues/6,https://github.com/eclipse/rdf4j/tree/c838d81b84ce78729e9d126168714711fda6a51c,https://github.com/eclipse/rdf4j/tree/f07f93b12872fc932068706cca7236cef0177284,https://github.com/eclipse/rdf4j/compare/c838d81b84ce78729e9d126168714711fda6a51c...f07f93b12872fc932068706cca7236cef0177284
2,Rdf4j_query,6cedbfbc0d5b3b625c680a82e1f4fd8ef7b6e6bc,a2525138e4b8dc6344e4d01309cab88f68e807ac,13,https://github.com/eclipse-rdf4j/rdf4j/issues/13,https://github.com/eclipse/rdf4j/tree/6cedbfbc0d5b3b625c680a82e1f4fd8ef7b6e6bc,https://github.com/eclipse/rdf4j/tree/a2525138e4b8dc6344e4d01309cab88f68e807ac,https://github.com/eclipse/rdf4j/compare/6cedbfbc0d5b3b625c680a82e1f4fd8ef7b6e6bc...a2525138e4b8dc6344e4d01309cab88f68e807ac
3,Rdf4j_query,da4efb41dcce3aa5dc072d6eb9a5788d2e7d0838,07f5d3140b261cfd227963bd4510c92f71fa4763,55,https://github.com/eclipse-rdf4j/rdf4j/issues/55,https://github.com/eclipse/rdf4j/tree/da4efb41dcce3aa5dc072d6eb9a5788d2e7d0838,https://github.com/eclipse/rdf4j/tree/07f5d3140b261cfd227963bd4510c92f71fa4763,https://github.com/eclipse/rdf4j/compare/da4efb41dcce3aa5dc072d6eb9a5788d2e7d0838...07f5d3140b261cfd227963bd4510c92f71fa4763
4,Rdf4j_query,554938f31d2e3ac5e67355a7258bd4ee9d4dc209,c72016053d1aed9fd74b61c4800d1f62b4970507,57,https://github.com/eclipse-rdf4j/rdf4j/issues/57,https://github.com/eclipse/rdf4j/tree/554938f31d2e3ac5e67355a7258bd4ee9d4dc209,https://github.com/eclipse/rdf4j/tree/c72016053d1aed9fd74b61c4800d1f62b4970507,https://github.com/eclipse/rdf4j/compare/554938f31d2e3ac5e67355a7258bd4ee9d4dc209...c72016053d1aed9fd74b61c4800d1f62b4970507
5,Rdf4j_query,6f596a81fad30b889cfa3fb8f6a49fd53a88e5e4,2154a71401e99c4f51a6ab479d7e8d5c673c4dcb,293,https://github.com/eclipse-rdf4j/rdf4j/issues/293,https://github.com/eclipse/rdf4j/tree/6f596a81fad30b889cfa3fb8f6a49fd53a88e5e4,https://github.com/eclipse/rdf4j/tree/2154a71401e99c4f51a6ab479d7e8d5c673c4dcb,https://github.com/eclipse/rdf4j/compare/6f596a81fad30b889cfa3fb8f6a49fd53a88e5e4...2154a71401e99c4f51a6ab479d7e8d5c673c4dcb
6,Rdf4j_query,ea9efabeab760c20c7edddcfa7bdf25f8dbe7ec0,82e8dfc26ca44ede07261a6f28b5487c80339f2b,575,https://github.com/eclipse-rdf4j/rdf4j/issues/575,https://github.com/eclipse/rdf4j/tree/ea9efabeab760c20c7edddcfa7bdf25f8dbe7ec0,https://github.com/eclipse/rdf4j/tree/82e8dfc26ca44ede07261a6f28b5487c80339f2b,https://github.com/eclipse/rdf4j/compare/ea9efabeab760c20c7edddcfa7bdf25f8dbe7ec0...82e8dfc26ca44ede07261a6f28b5487c80339f2b
7,Rdf4j_query,b80a481591b0af95005b09c502673c19aad993eb,fe6e6fec45ee67fabd493555af2d808ae5b86fe7,649,https://github.com/eclipse-rdf4j/rdf4j/issues/649,https://github.com/eclipse/rdf4j/tree/b80a481591b0af95005b09c502673c19aad993eb,https://github.com/eclipse/rdf4j/tree/fe6e6fec45ee67fabd493555af2d808ae5b86fe7,https://github.com/eclipse/rdf4j/compare/b80a481591b0af95005b09c502673c19aad993eb...fe6e6fec45ee67fabd493555af2d808ae5b86fe7
8,Rdf4j_query,24dd2be60deeab4abf4fbea0021b220d7d354d4a,5c8373aa4ac7ec7ce4c4e96fe080c433d01ab693,676,https://github.com/eclipse-rdf4j/rdf4j/issues/676,https://github.com/eclipse/rdf4j/tree/24dd2be60deeab4abf4fbea0021b220d7d354d4a,https://github.com/eclipse/rdf4j/tree/5c8373aa4ac7ec7ce4c4e96fe080c433d01ab693,https://github.com/eclipse/rdf4j/compare/24dd2be60deeab4abf4fbea0021b220d7d354d4a...5c8373aa4ac7ec7ce4c4e96fe080c433d01ab693
9,Rdf4j_query,5c8373aa4ac7ec7ce4c4e96fe080c433d01ab693,0bf78791e4bb59ee52b3c11706262bdab576e973,676,https://github.com/eclipse-rdf4j/rdf4j/issues/676,https://github.com/eclipse/rdf4j/tree/5c8373aa4ac7ec7ce4c4e96fe080c433d01ab693,https://github.com/eclipse/rdf4j/tree/0bf78791e4bb59ee52b3c11706262bdab576e973,https://github.com/eclipse/rdf4j/compare/5c8373aa4ac7ec7ce4c4e96fe080c433d01ab693...0bf78791e4bb59ee52b3c11706262bdab576e973
10,Rdf4j_query,0bf78791e4bb59ee52b3c11706262bdab576e973,f2a9aa10fa0497a9129f3dede893945d7ba909d4,676,https://github.com/eclipse-rdf4j/rdf4j/issues/676,https://github.com/eclipse/rdf4j/tree/0bf78791e4bb59ee52b3c11706262bdab576e973,https://github.com/eclipse/rdf4j/tree/f2a9aa10fa0497a9129f3dede893945d7ba909d4,https://github.com/eclipse/rdf4j/compare/0bf78791e4bb59ee52b3c11706262bdab576e973...f2a9aa10fa0497a9129f3dede893945d7ba909d4
11,Rdf4j_query,f0ff3b98fb8fad6f7fbc4c624f965bd81e22368f,7910da56e994a652c5ddd6659eb4cfb3d01aee06,732,https://github.com/eclipse-rdf4j/rdf4j/issues/732,https://github.com/eclipse/rdf4j/tree/f0ff3b98fb8fad6f7fbc4c624f965bd81e22368f,https://github.com/eclipse/rdf4j/tree/7910da56e994a652c5ddd6659eb4cfb3d01aee06,https://github.com/eclipse/rdf4j/compare/f0ff3b98fb8fad6f7fbc4c624f965bd81e22368f...7910da56e994a652c5ddd6659eb4cfb3d01aee06
12,Rdf4j_query,a6af36abcdb849f23f800cfa0801a41fffe113f5,225b8df7f9eafe01028d1aa82e33f19e1b97004a,740,https://github.com/eclipse-rdf4j/rdf4j/issues/740,https://github.com/eclipse/rdf4j/tree/a6af36abcdb849f23f800cfa0801a41fffe113f5,https://github.com/eclipse/rdf4j/tree/225b8df7f9eafe01028d1aa82e33f19e1b97004a,https://github.com/eclipse/rdf4j/compare/a6af36abcdb849f23f800cfa0801a41fffe113f5...225b8df7f9eafe01028d1aa82e33f19e1b97004a
13,Rdf4j_query,225b8df7f9eafe01028d1aa82e33f19e1b97004a,785adc0e2b2f1d0784b3f552c96c0f3fade2536e,740,https://github.com/eclipse-rdf4j/rdf4j/issues/740,https://github.com/eclipse/rdf4j/tree/225b8df7f9eafe01028d1aa82e33f19e1b97004a,https://github.com/eclipse/rdf4j/tree/785adc0e2b2f1d0784b3f552c96c0f3fade2536e,https://github.com/eclipse/rdf4j/compare/225b8df7f9eafe01028d1aa82e33f19e1b97004a...785adc0e2b2f1d0784b3f552c96c0f3fade2536e
14,Rdf4j_query,785adc0e2b2f1d0784b3f552c96c0f3fade2536e,14094fb5b0d4dcb3fa74347b9b139e604f263155,740,https://github.com/eclipse-rdf4j/rdf4j/issues/740,https://github.com/eclipse/rdf4j/tree/785adc0e2b2f1d0784b3f552c96c0f3fade2536e,https://github.com/eclipse/rdf4j/tree/14094fb5b0d4dcb3fa74347b9b139e604f263155,https://github.com/eclipse/rdf4j/compare/785adc0e2b2f1d0784b3f552c96c0f3fade2536e...14094fb5b0d4dcb3fa74347b9b139e604f263155
15,Rdf4j_query,ed711f1f47a5ef688767c56f013c4d9ed8fff3bf,d9e61bc4858c4d39368ae6911037d74c1ee1f855,740,https://github.com/eclipse-rdf4j/rdf4j/issues/740,https://github.com/eclipse/rdf4j/tree/ed711f1f47a5ef688767c56f013c4d9ed8fff3bf,https://github.com/eclipse/rdf4j/tree/d9e61bc4858c4d39368ae6911037d74c1ee1f855,https://github.com/eclipse/rdf4j/compare/ed711f1f47a5ef688767c56f013c4d9ed8fff3bf...d9e61bc4858c4d39368ae6911037d74c1ee1f855
16,Rdf4j_query,d9e61bc4858c4d39368ae6911037d74c1ee1f855,c8ee930894367b43c0664d33035ae6137f846ce7,740,https://github.com/eclipse-rdf4j/rdf4j/issues/740,https://github.com/eclipse/rdf4j/tree/d9e61bc4858c4d39368ae6911037d74c1ee1f855,https://github.com/eclipse/rdf4j/tree/c8ee930894367b43c0664d33035ae6137f846ce7,https://github.com/eclipse/rdf4j/compare/d9e61bc4858c4d39368ae6911037d74c1ee1f855...c8ee930894367b43c0664d33035ae6137f846ce7
