bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Rdf4j_rio_api,c838d81b84ce78729e9d126168714711fda6a51c,f07f93b12872fc932068706cca7236cef0177284,6,https://github.com/eclipse-rdf4j/rdf4j/issues/6,https://github.com/eclipse/rdf4j/tree/c838d81b84ce78729e9d126168714711fda6a51c,https://github.com/eclipse/rdf4j/tree/f07f93b12872fc932068706cca7236cef0177284,https://github.com/eclipse/rdf4j/compare/c838d81b84ce78729e9d126168714711fda6a51c...f07f93b12872fc932068706cca7236cef0177284
2,Rdf4j_rio_api,6cedbfbc0d5b3b625c680a82e1f4fd8ef7b6e6bc,a2525138e4b8dc6344e4d01309cab88f68e807ac,13,https://github.com/eclipse-rdf4j/rdf4j/issues/13,https://github.com/eclipse/rdf4j/tree/6cedbfbc0d5b3b625c680a82e1f4fd8ef7b6e6bc,https://github.com/eclipse/rdf4j/tree/a2525138e4b8dc6344e4d01309cab88f68e807ac,https://github.com/eclipse/rdf4j/compare/6cedbfbc0d5b3b625c680a82e1f4fd8ef7b6e6bc...a2525138e4b8dc6344e4d01309cab88f68e807ac
3,Rdf4j_rio_api,d0a1b6687878d5643895ee51c9bbbe08867b5f17,f11a819047709803e5399a776e0bff6b7e639222,46,https://github.com/eclipse-rdf4j/rdf4j/issues/46,https://github.com/eclipse/rdf4j/tree/d0a1b6687878d5643895ee51c9bbbe08867b5f17,https://github.com/eclipse/rdf4j/tree/f11a819047709803e5399a776e0bff6b7e639222,https://github.com/eclipse/rdf4j/compare/d0a1b6687878d5643895ee51c9bbbe08867b5f17...f11a819047709803e5399a776e0bff6b7e639222
4,Rdf4j_rio_api,da4efb41dcce3aa5dc072d6eb9a5788d2e7d0838,07f5d3140b261cfd227963bd4510c92f71fa4763,55,https://github.com/eclipse-rdf4j/rdf4j/issues/55,https://github.com/eclipse/rdf4j/tree/da4efb41dcce3aa5dc072d6eb9a5788d2e7d0838,https://github.com/eclipse/rdf4j/tree/07f5d3140b261cfd227963bd4510c92f71fa4763,https://github.com/eclipse/rdf4j/compare/da4efb41dcce3aa5dc072d6eb9a5788d2e7d0838...07f5d3140b261cfd227963bd4510c92f71fa4763
5,Rdf4j_rio_api,554938f31d2e3ac5e67355a7258bd4ee9d4dc209,c72016053d1aed9fd74b61c4800d1f62b4970507,57,https://github.com/eclipse-rdf4j/rdf4j/issues/57,https://github.com/eclipse/rdf4j/tree/554938f31d2e3ac5e67355a7258bd4ee9d4dc209,https://github.com/eclipse/rdf4j/tree/c72016053d1aed9fd74b61c4800d1f62b4970507,https://github.com/eclipse/rdf4j/compare/554938f31d2e3ac5e67355a7258bd4ee9d4dc209...c72016053d1aed9fd74b61c4800d1f62b4970507
6,Rdf4j_rio_api,3f01bb3ccc849bdb40c5b982fc889fe6efae51e5,e833f4d70ae9400874ec4543fe0795f9ea70d684,264,https://github.com/eclipse-rdf4j/rdf4j/issues/264,https://github.com/eclipse/rdf4j/tree/3f01bb3ccc849bdb40c5b982fc889fe6efae51e5,https://github.com/eclipse/rdf4j/tree/e833f4d70ae9400874ec4543fe0795f9ea70d684,https://github.com/eclipse/rdf4j/compare/3f01bb3ccc849bdb40c5b982fc889fe6efae51e5...e833f4d70ae9400874ec4543fe0795f9ea70d684
7,Rdf4j_rio_api,fbae8f593584ad23c53c0603dce1ada892ee8507,2491d01b10e33ddc76151f615c6672e7b80caae5,207,https://github.com/eclipse-rdf4j/rdf4j/issues/207,https://github.com/eclipse/rdf4j/tree/fbae8f593584ad23c53c0603dce1ada892ee8507,https://github.com/eclipse/rdf4j/tree/2491d01b10e33ddc76151f615c6672e7b80caae5,https://github.com/eclipse/rdf4j/compare/fbae8f593584ad23c53c0603dce1ada892ee8507...2491d01b10e33ddc76151f615c6672e7b80caae5
8,Rdf4j_rio_api,2491d01b10e33ddc76151f615c6672e7b80caae5,70eec6d96cbbc9ecbd9e8a9a0ebdcaefff704e37,207,https://github.com/eclipse-rdf4j/rdf4j/issues/207,https://github.com/eclipse/rdf4j/tree/2491d01b10e33ddc76151f615c6672e7b80caae5,https://github.com/eclipse/rdf4j/tree/70eec6d96cbbc9ecbd9e8a9a0ebdcaefff704e37,https://github.com/eclipse/rdf4j/compare/2491d01b10e33ddc76151f615c6672e7b80caae5...70eec6d96cbbc9ecbd9e8a9a0ebdcaefff704e37
9,Rdf4j_rio_api,07a6009498ebf479ae4b3e00228a1f6d61567ea3,95ffcd0c4c6a980f7c9b9e2fab630e5994a8b1db,299,https://github.com/eclipse-rdf4j/rdf4j/issues/299,https://github.com/eclipse/rdf4j/tree/07a6009498ebf479ae4b3e00228a1f6d61567ea3,https://github.com/eclipse/rdf4j/tree/95ffcd0c4c6a980f7c9b9e2fab630e5994a8b1db,https://github.com/eclipse/rdf4j/compare/07a6009498ebf479ae4b3e00228a1f6d61567ea3...95ffcd0c4c6a980f7c9b9e2fab630e5994a8b1db
10,Rdf4j_rio_api,9ac6735d3fc60fa390e0ce0fbdd47102048a915e,7e8ff64c246d9388b4b64c58a39d80b1e4278e1e,662,https://github.com/eclipse-rdf4j/rdf4j/issues/662,https://github.com/eclipse/rdf4j/tree/9ac6735d3fc60fa390e0ce0fbdd47102048a915e,https://github.com/eclipse/rdf4j/tree/7e8ff64c246d9388b4b64c58a39d80b1e4278e1e,https://github.com/eclipse/rdf4j/compare/9ac6735d3fc60fa390e0ce0fbdd47102048a915e...7e8ff64c246d9388b4b64c58a39d80b1e4278e1e
11,Rdf4j_rio_api,0bdc5893a5b4182ac53ae49e09a8ac7e43f668f6,73ad2e8b80d7b1d039e534c22c2858c2bdf05480,449,https://github.com/eclipse-rdf4j/rdf4j/issues/449,https://github.com/eclipse/rdf4j/tree/0bdc5893a5b4182ac53ae49e09a8ac7e43f668f6,https://github.com/eclipse/rdf4j/tree/73ad2e8b80d7b1d039e534c22c2858c2bdf05480,https://github.com/eclipse/rdf4j/compare/0bdc5893a5b4182ac53ae49e09a8ac7e43f668f6...73ad2e8b80d7b1d039e534c22c2858c2bdf05480
12,Rdf4j_rio_api,0c4ee17356ad195433b514c9d715c2786d3de928,e51bc2a927a5ba550a5e3866efa9c90186a81bb4,449,https://github.com/eclipse-rdf4j/rdf4j/issues/449,https://github.com/eclipse/rdf4j/tree/0c4ee17356ad195433b514c9d715c2786d3de928,https://github.com/eclipse/rdf4j/tree/e51bc2a927a5ba550a5e3866efa9c90186a81bb4,https://github.com/eclipse/rdf4j/compare/0c4ee17356ad195433b514c9d715c2786d3de928...e51bc2a927a5ba550a5e3866efa9c90186a81bb4
13,Rdf4j_rio_api,f0ff3b98fb8fad6f7fbc4c624f965bd81e22368f,7910da56e994a652c5ddd6659eb4cfb3d01aee06,732,https://github.com/eclipse-rdf4j/rdf4j/issues/732,https://github.com/eclipse/rdf4j/tree/f0ff3b98fb8fad6f7fbc4c624f965bd81e22368f,https://github.com/eclipse/rdf4j/tree/7910da56e994a652c5ddd6659eb4cfb3d01aee06,https://github.com/eclipse/rdf4j/compare/f0ff3b98fb8fad6f7fbc4c624f965bd81e22368f...7910da56e994a652c5ddd6659eb4cfb3d01aee06
14,Rdf4j_rio_api,8fea3256933bb227bc418096f975beb6bc5391ee,01c6c32d71318f4e813fb8f35abeb6190d1bcec9,745,https://github.com/eclipse-rdf4j/rdf4j/issues/745,https://github.com/eclipse/rdf4j/tree/8fea3256933bb227bc418096f975beb6bc5391ee,https://github.com/eclipse/rdf4j/tree/01c6c32d71318f4e813fb8f35abeb6190d1bcec9,https://github.com/eclipse/rdf4j/compare/8fea3256933bb227bc418096f975beb6bc5391ee...01c6c32d71318f4e813fb8f35abeb6190d1bcec9
15,Rdf4j_rio_api,0732c499838aaddae309df1e79a4a847cda4bec3,e1427f2794182783a0269593c52bdde8222fa0ea,745,https://github.com/eclipse-rdf4j/rdf4j/issues/745,https://github.com/eclipse/rdf4j/tree/0732c499838aaddae309df1e79a4a847cda4bec3,https://github.com/eclipse/rdf4j/tree/e1427f2794182783a0269593c52bdde8222fa0ea,https://github.com/eclipse/rdf4j/compare/0732c499838aaddae309df1e79a4a847cda4bec3...e1427f2794182783a0269593c52bdde8222fa0ea
16,Rdf4j_rio_api,aecf8d6aab93f01da9ae851969a40bc34a0ba7f7,9063d7b3e6e6e9ea0e8b9d03efef5bdeff153dc1,827,https://github.com/eclipse-rdf4j/rdf4j/issues/827,https://github.com/eclipse/rdf4j/tree/aecf8d6aab93f01da9ae851969a40bc34a0ba7f7,https://github.com/eclipse/rdf4j/tree/9063d7b3e6e6e9ea0e8b9d03efef5bdeff153dc1,https://github.com/eclipse/rdf4j/compare/aecf8d6aab93f01da9ae851969a40bc34a0ba7f7...9063d7b3e6e6e9ea0e8b9d03efef5bdeff153dc1
