bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Rdf4j_rio_jsonld,6cedbfbc0d5b3b625c680a82e1f4fd8ef7b6e6bc,a2525138e4b8dc6344e4d01309cab88f68e807ac,13,https://github.com/eclipse-rdf4j/rdf4j/issues/13,https://github.com/eclipse/rdf4j/tree/6cedbfbc0d5b3b625c680a82e1f4fd8ef7b6e6bc,https://github.com/eclipse/rdf4j/tree/a2525138e4b8dc6344e4d01309cab88f68e807ac,https://github.com/eclipse/rdf4j/compare/6cedbfbc0d5b3b625c680a82e1f4fd8ef7b6e6bc...a2525138e4b8dc6344e4d01309cab88f68e807ac
2,Rdf4j_rio_jsonld,554938f31d2e3ac5e67355a7258bd4ee9d4dc209,c72016053d1aed9fd74b61c4800d1f62b4970507,57,https://github.com/eclipse-rdf4j/rdf4j/issues/57,https://github.com/eclipse/rdf4j/tree/554938f31d2e3ac5e67355a7258bd4ee9d4dc209,https://github.com/eclipse/rdf4j/tree/c72016053d1aed9fd74b61c4800d1f62b4970507,https://github.com/eclipse/rdf4j/compare/554938f31d2e3ac5e67355a7258bd4ee9d4dc209...c72016053d1aed9fd74b61c4800d1f62b4970507
3,Rdf4j_rio_jsonld,8fea3256933bb227bc418096f975beb6bc5391ee,01c6c32d71318f4e813fb8f35abeb6190d1bcec9,745,https://github.com/eclipse-rdf4j/rdf4j/issues/745,https://github.com/eclipse/rdf4j/tree/8fea3256933bb227bc418096f975beb6bc5391ee,https://github.com/eclipse/rdf4j/tree/01c6c32d71318f4e813fb8f35abeb6190d1bcec9,https://github.com/eclipse/rdf4j/compare/8fea3256933bb227bc418096f975beb6bc5391ee...01c6c32d71318f4e813fb8f35abeb6190d1bcec9
4,Rdf4j_rio_jsonld,aecf8d6aab93f01da9ae851969a40bc34a0ba7f7,9063d7b3e6e6e9ea0e8b9d03efef5bdeff153dc1,827,https://github.com/eclipse-rdf4j/rdf4j/issues/827,https://github.com/eclipse/rdf4j/tree/aecf8d6aab93f01da9ae851969a40bc34a0ba7f7,https://github.com/eclipse/rdf4j/tree/9063d7b3e6e6e9ea0e8b9d03efef5bdeff153dc1,https://github.com/eclipse/rdf4j/compare/aecf8d6aab93f01da9ae851969a40bc34a0ba7f7...9063d7b3e6e6e9ea0e8b9d03efef5bdeff153dc1
5,Rdf4j_rio_jsonld,ad5d02efbb90ae2117022fc2912cfe6d72a2323b,729f60c54d893a00dad576276a0e7bb8e93f81e0,834,https://github.com/eclipse-rdf4j/rdf4j/issues/834,https://github.com/eclipse/rdf4j/tree/ad5d02efbb90ae2117022fc2912cfe6d72a2323b,https://github.com/eclipse/rdf4j/tree/729f60c54d893a00dad576276a0e7bb8e93f81e0,https://github.com/eclipse/rdf4j/compare/ad5d02efbb90ae2117022fc2912cfe6d72a2323b...729f60c54d893a00dad576276a0e7bb8e93f81e0
6,Rdf4j_rio_jsonld,36cb449d84beb6a0bc445513f4ea773caa1d9136,76bb51672d17f3c562cc504db0fd6340fbe1cff9,876,https://github.com/eclipse-rdf4j/rdf4j/issues/876,https://github.com/eclipse/rdf4j/tree/36cb449d84beb6a0bc445513f4ea773caa1d9136,https://github.com/eclipse/rdf4j/tree/76bb51672d17f3c562cc504db0fd6340fbe1cff9,https://github.com/eclipse/rdf4j/compare/36cb449d84beb6a0bc445513f4ea773caa1d9136...76bb51672d17f3c562cc504db0fd6340fbe1cff9
7,Rdf4j_rio_jsonld,6efaa8387f5c88ac05cfd6627c6dd97f3311100a,7b315eb9d77b12382105419f3327a660f3d5ff48,874,https://github.com/eclipse-rdf4j/rdf4j/issues/874,https://github.com/eclipse/rdf4j/tree/6efaa8387f5c88ac05cfd6627c6dd97f3311100a,https://github.com/eclipse/rdf4j/tree/7b315eb9d77b12382105419f3327a660f3d5ff48,https://github.com/eclipse/rdf4j/compare/6efaa8387f5c88ac05cfd6627c6dd97f3311100a...7b315eb9d77b12382105419f3327a660f3d5ff48
8,Rdf4j_rio_jsonld,9a2471f60271bf7d161acc694343505926df7918,5a86ddd6a5d8d67fbf6adb7fee2c1cc74b7911ff,898,https://github.com/eclipse-rdf4j/rdf4j/issues/898,https://github.com/eclipse/rdf4j/tree/9a2471f60271bf7d161acc694343505926df7918,https://github.com/eclipse/rdf4j/tree/5a86ddd6a5d8d67fbf6adb7fee2c1cc74b7911ff,https://github.com/eclipse/rdf4j/compare/9a2471f60271bf7d161acc694343505926df7918...5a86ddd6a5d8d67fbf6adb7fee2c1cc74b7911ff
9,Rdf4j_rio_jsonld,3883b1d6573c73fd50f86339ee49ab57963b4305,4c2b7e755e8375486248647e3977c0a30f8ddf45,915,https://github.com/eclipse-rdf4j/rdf4j/issues/915,https://github.com/eclipse/rdf4j/tree/3883b1d6573c73fd50f86339ee49ab57963b4305,https://github.com/eclipse/rdf4j/tree/4c2b7e755e8375486248647e3977c0a30f8ddf45,https://github.com/eclipse/rdf4j/compare/3883b1d6573c73fd50f86339ee49ab57963b4305...4c2b7e755e8375486248647e3977c0a30f8ddf45
10,Rdf4j_rio_jsonld,f9003ae41b660767cf2faa9722f7fbd7a863a40e,088e2e9ee12fc93d96be032f40055e5c431f03c0,1643,https://github.com/eclipse-rdf4j/rdf4j/issues/1643,https://github.com/eclipse/rdf4j/tree/f9003ae41b660767cf2faa9722f7fbd7a863a40e,https://github.com/eclipse/rdf4j/tree/088e2e9ee12fc93d96be032f40055e5c431f03c0,https://github.com/eclipse/rdf4j/compare/f9003ae41b660767cf2faa9722f7fbd7a863a40e...088e2e9ee12fc93d96be032f40055e5c431f03c0
11,Rdf4j_rio_jsonld,0f60b28280c7cacdcae29eeeb538d1d6f068d13e,def41aa38c6108d9e6a01522b3f961551e334180,1387,https://github.com/eclipse-rdf4j/rdf4j/issues/1387,https://github.com/eclipse/rdf4j/tree/0f60b28280c7cacdcae29eeeb538d1d6f068d13e,https://github.com/eclipse/rdf4j/tree/def41aa38c6108d9e6a01522b3f961551e334180,https://github.com/eclipse/rdf4j/compare/0f60b28280c7cacdcae29eeeb538d1d6f068d13e...def41aa38c6108d9e6a01522b3f961551e334180
