bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Rdf4j_rio_rdfjson,6cedbfbc0d5b3b625c680a82e1f4fd8ef7b6e6bc,a2525138e4b8dc6344e4d01309cab88f68e807ac,13,https://github.com/eclipse-rdf4j/rdf4j/issues/13,https://github.com/eclipse/rdf4j/tree/6cedbfbc0d5b3b625c680a82e1f4fd8ef7b6e6bc,https://github.com/eclipse/rdf4j/tree/a2525138e4b8dc6344e4d01309cab88f68e807ac,https://github.com/eclipse/rdf4j/compare/6cedbfbc0d5b3b625c680a82e1f4fd8ef7b6e6bc...a2525138e4b8dc6344e4d01309cab88f68e807ac
2,Rdf4j_rio_rdfjson,da4efb41dcce3aa5dc072d6eb9a5788d2e7d0838,07f5d3140b261cfd227963bd4510c92f71fa4763,55,https://github.com/eclipse-rdf4j/rdf4j/issues/55,https://github.com/eclipse/rdf4j/tree/da4efb41dcce3aa5dc072d6eb9a5788d2e7d0838,https://github.com/eclipse/rdf4j/tree/07f5d3140b261cfd227963bd4510c92f71fa4763,https://github.com/eclipse/rdf4j/compare/da4efb41dcce3aa5dc072d6eb9a5788d2e7d0838...07f5d3140b261cfd227963bd4510c92f71fa4763
3,Rdf4j_rio_rdfjson,554938f31d2e3ac5e67355a7258bd4ee9d4dc209,c72016053d1aed9fd74b61c4800d1f62b4970507,57,https://github.com/eclipse-rdf4j/rdf4j/issues/57,https://github.com/eclipse/rdf4j/tree/554938f31d2e3ac5e67355a7258bd4ee9d4dc209,https://github.com/eclipse/rdf4j/tree/c72016053d1aed9fd74b61c4800d1f62b4970507,https://github.com/eclipse/rdf4j/compare/554938f31d2e3ac5e67355a7258bd4ee9d4dc209...c72016053d1aed9fd74b61c4800d1f62b4970507
4,Rdf4j_rio_rdfjson,3fb84331bdc01273126da0fcc291b647f30298ee,15fcb25e9f4eaffc0828ee60c19aa7eeed82760b,273,https://github.com/eclipse-rdf4j/rdf4j/issues/273,https://github.com/eclipse/rdf4j/tree/3fb84331bdc01273126da0fcc291b647f30298ee,https://github.com/eclipse/rdf4j/tree/15fcb25e9f4eaffc0828ee60c19aa7eeed82760b,https://github.com/eclipse/rdf4j/compare/3fb84331bdc01273126da0fcc291b647f30298ee...15fcb25e9f4eaffc0828ee60c19aa7eeed82760b
5,Rdf4j_rio_rdfjson,15fcb25e9f4eaffc0828ee60c19aa7eeed82760b,ab93b042c4da1009bc6e9ce2018d661b4d4e44fc,273,https://github.com/eclipse-rdf4j/rdf4j/issues/273,https://github.com/eclipse/rdf4j/tree/15fcb25e9f4eaffc0828ee60c19aa7eeed82760b,https://github.com/eclipse/rdf4j/tree/ab93b042c4da1009bc6e9ce2018d661b4d4e44fc,https://github.com/eclipse/rdf4j/compare/15fcb25e9f4eaffc0828ee60c19aa7eeed82760b...ab93b042c4da1009bc6e9ce2018d661b4d4e44fc
6,Rdf4j_rio_rdfjson,50511d5f980097d70df5a2e21c898842c2aa4c75,73e953faa498588081d702e715a430e57fd80283,207,https://github.com/eclipse-rdf4j/rdf4j/issues/207,https://github.com/eclipse/rdf4j/tree/50511d5f980097d70df5a2e21c898842c2aa4c75,https://github.com/eclipse/rdf4j/tree/73e953faa498588081d702e715a430e57fd80283,https://github.com/eclipse/rdf4j/compare/50511d5f980097d70df5a2e21c898842c2aa4c75...73e953faa498588081d702e715a430e57fd80283
7,Rdf4j_rio_rdfjson,8fea3256933bb227bc418096f975beb6bc5391ee,01c6c32d71318f4e813fb8f35abeb6190d1bcec9,745,https://github.com/eclipse-rdf4j/rdf4j/issues/745,https://github.com/eclipse/rdf4j/tree/8fea3256933bb227bc418096f975beb6bc5391ee,https://github.com/eclipse/rdf4j/tree/01c6c32d71318f4e813fb8f35abeb6190d1bcec9,https://github.com/eclipse/rdf4j/compare/8fea3256933bb227bc418096f975beb6bc5391ee...01c6c32d71318f4e813fb8f35abeb6190d1bcec9
8,Rdf4j_rio_rdfjson,01c6c32d71318f4e813fb8f35abeb6190d1bcec9,0732c499838aaddae309df1e79a4a847cda4bec3,745,https://github.com/eclipse-rdf4j/rdf4j/issues/745,https://github.com/eclipse/rdf4j/tree/01c6c32d71318f4e813fb8f35abeb6190d1bcec9,https://github.com/eclipse/rdf4j/tree/0732c499838aaddae309df1e79a4a847cda4bec3,https://github.com/eclipse/rdf4j/compare/01c6c32d71318f4e813fb8f35abeb6190d1bcec9...0732c499838aaddae309df1e79a4a847cda4bec3
9,Rdf4j_rio_rdfjson,aecf8d6aab93f01da9ae851969a40bc34a0ba7f7,9063d7b3e6e6e9ea0e8b9d03efef5bdeff153dc1,827,https://github.com/eclipse-rdf4j/rdf4j/issues/827,https://github.com/eclipse/rdf4j/tree/aecf8d6aab93f01da9ae851969a40bc34a0ba7f7,https://github.com/eclipse/rdf4j/tree/9063d7b3e6e6e9ea0e8b9d03efef5bdeff153dc1,https://github.com/eclipse/rdf4j/compare/aecf8d6aab93f01da9ae851969a40bc34a0ba7f7...9063d7b3e6e6e9ea0e8b9d03efef5bdeff153dc1
10,Rdf4j_rio_rdfjson,36cb449d84beb6a0bc445513f4ea773caa1d9136,76bb51672d17f3c562cc504db0fd6340fbe1cff9,876,https://github.com/eclipse-rdf4j/rdf4j/issues/876,https://github.com/eclipse/rdf4j/tree/36cb449d84beb6a0bc445513f4ea773caa1d9136,https://github.com/eclipse/rdf4j/tree/76bb51672d17f3c562cc504db0fd6340fbe1cff9,https://github.com/eclipse/rdf4j/compare/36cb449d84beb6a0bc445513f4ea773caa1d9136...76bb51672d17f3c562cc504db0fd6340fbe1cff9
