bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,ReactHookForm,ab1cf8214b98ddc544f23ab27aae7b82b7d7cf89,992a6a8355831a4e1d6a93e86010bb331b30d79d,159,https://github.com/react-hook-form/react-hook-form/issues/159,https://github.com/react-hook-form/react-hook-form/tree/ab1cf8214b98ddc544f23ab27aae7b82b7d7cf89,https://github.com/react-hook-form/react-hook-form/tree/992a6a8355831a4e1d6a93e86010bb331b30d79d,https://github.com/react-hook-form/react-hook-form/compare/ab1cf8214b98ddc544f23ab27aae7b82b7d7cf89...992a6a8355831a4e1d6a93e86010bb331b30d79d
2,ReactHookForm,886cb3664b3d7bd9ecf79b1de3940a1e9ac14db1,3923e41fae5af4a8118bc63080fdd09f1108cbe1,338,https://github.com/react-hook-form/react-hook-form/issues/338,https://github.com/react-hook-form/react-hook-form/tree/886cb3664b3d7bd9ecf79b1de3940a1e9ac14db1,https://github.com/react-hook-form/react-hook-form/tree/3923e41fae5af4a8118bc63080fdd09f1108cbe1,https://github.com/react-hook-form/react-hook-form/compare/886cb3664b3d7bd9ecf79b1de3940a1e9ac14db1...3923e41fae5af4a8118bc63080fdd09f1108cbe1
3,ReactHookForm,ba9ad9e34c8c598614de1c814c4ea34b3dafa798,d7d71b8a16864fdb5acaeca139cec3e28b64b02c,531,https://github.com/react-hook-form/react-hook-form/issues/531,https://github.com/react-hook-form/react-hook-form/tree/ba9ad9e34c8c598614de1c814c4ea34b3dafa798,https://github.com/react-hook-form/react-hook-form/tree/d7d71b8a16864fdb5acaeca139cec3e28b64b02c,https://github.com/react-hook-form/react-hook-form/compare/ba9ad9e34c8c598614de1c814c4ea34b3dafa798...d7d71b8a16864fdb5acaeca139cec3e28b64b02c
4,ReactHookForm,8ddab99e6c47b10cbab764ffd3e1c120633e36cc,a5b41793e2d019dd8de309b29f9704b884df3865,547,https://github.com/react-hook-form/react-hook-form/issues/547,https://github.com/react-hook-form/react-hook-form/tree/8ddab99e6c47b10cbab764ffd3e1c120633e36cc,https://github.com/react-hook-form/react-hook-form/tree/a5b41793e2d019dd8de309b29f9704b884df3865,https://github.com/react-hook-form/react-hook-form/compare/8ddab99e6c47b10cbab764ffd3e1c120633e36cc...a5b41793e2d019dd8de309b29f9704b884df3865
5,ReactHookForm,784aa4af3b443f11484fac0df97458b0e22a1442,d931782675a4fe87b746ab14d8466925f35a3a37,553,https://github.com/react-hook-form/react-hook-form/issues/553,https://github.com/react-hook-form/react-hook-form/tree/784aa4af3b443f11484fac0df97458b0e22a1442,https://github.com/react-hook-form/react-hook-form/tree/d931782675a4fe87b746ab14d8466925f35a3a37,https://github.com/react-hook-form/react-hook-form/compare/784aa4af3b443f11484fac0df97458b0e22a1442...d931782675a4fe87b746ab14d8466925f35a3a37
6,ReactHookForm,e8d5c77e360ec89fe00f481569a8f7575aac876b,4d796295854a40f35f68f61749aed6f7461b39de,555,https://github.com/react-hook-form/react-hook-form/issues/555,https://github.com/react-hook-form/react-hook-form/tree/e8d5c77e360ec89fe00f481569a8f7575aac876b,https://github.com/react-hook-form/react-hook-form/tree/4d796295854a40f35f68f61749aed6f7461b39de,https://github.com/react-hook-form/react-hook-form/compare/e8d5c77e360ec89fe00f481569a8f7575aac876b...4d796295854a40f35f68f61749aed6f7461b39de
7,ReactHookForm,d790e439f92c5bca3d9caedc440aba7baa6c3bf6,bb4fdbb61b65b1f20e16e7f225a49e59458e7c00,567,https://github.com/react-hook-form/react-hook-form/issues/567,https://github.com/react-hook-form/react-hook-form/tree/d790e439f92c5bca3d9caedc440aba7baa6c3bf6,https://github.com/react-hook-form/react-hook-form/tree/bb4fdbb61b65b1f20e16e7f225a49e59458e7c00,https://github.com/react-hook-form/react-hook-form/compare/d790e439f92c5bca3d9caedc440aba7baa6c3bf6...bb4fdbb61b65b1f20e16e7f225a49e59458e7c00
8,ReactHookForm,31ea85b496d50ff0052a9a8edc0bb028d9e6db52,10ab10b24ed0bad36cb0c589e747dfe2d7f8ab80,557,https://github.com/react-hook-form/react-hook-form/issues/557,https://github.com/react-hook-form/react-hook-form/tree/31ea85b496d50ff0052a9a8edc0bb028d9e6db52,https://github.com/react-hook-form/react-hook-form/tree/10ab10b24ed0bad36cb0c589e747dfe2d7f8ab80,https://github.com/react-hook-form/react-hook-form/compare/31ea85b496d50ff0052a9a8edc0bb028d9e6db52...10ab10b24ed0bad36cb0c589e747dfe2d7f8ab80
9,ReactHookForm,10ab10b24ed0bad36cb0c589e747dfe2d7f8ab80,6a3864ec37d563f40136f01148f5333a6f2ed7c8,581,https://github.com/react-hook-form/react-hook-form/issues/581,https://github.com/react-hook-form/react-hook-form/tree/10ab10b24ed0bad36cb0c589e747dfe2d7f8ab80,https://github.com/react-hook-form/react-hook-form/tree/6a3864ec37d563f40136f01148f5333a6f2ed7c8,https://github.com/react-hook-form/react-hook-form/compare/10ab10b24ed0bad36cb0c589e747dfe2d7f8ab80...6a3864ec37d563f40136f01148f5333a6f2ed7c8
10,ReactHookForm,8a2cc08b78b6430252db93dd807655a27a8c3d1b,539dca9e5e8b75236565f60fb0852130405e7c93,575,https://github.com/react-hook-form/react-hook-form/issues/575,https://github.com/react-hook-form/react-hook-form/tree/8a2cc08b78b6430252db93dd807655a27a8c3d1b,https://github.com/react-hook-form/react-hook-form/tree/539dca9e5e8b75236565f60fb0852130405e7c93,https://github.com/react-hook-form/react-hook-form/compare/8a2cc08b78b6430252db93dd807655a27a8c3d1b...539dca9e5e8b75236565f60fb0852130405e7c93
11,ReactHookForm,3fe45d11008ec553df0c95de138b8d46838afac1,5614b44374d4458aefa0a22c070d2e59cb1570d8,576,https://github.com/react-hook-form/react-hook-form/issues/576,https://github.com/react-hook-form/react-hook-form/tree/3fe45d11008ec553df0c95de138b8d46838afac1,https://github.com/react-hook-form/react-hook-form/tree/5614b44374d4458aefa0a22c070d2e59cb1570d8,https://github.com/react-hook-form/react-hook-form/compare/3fe45d11008ec553df0c95de138b8d46838afac1...5614b44374d4458aefa0a22c070d2e59cb1570d8
12,ReactHookForm,87de8062ec2d452b94a14d0d27db63a548a4d2b7,7784f48cc55a701be5ad653c41e2372d3148437b,603,https://github.com/react-hook-form/react-hook-form/issues/603,https://github.com/react-hook-form/react-hook-form/tree/87de8062ec2d452b94a14d0d27db63a548a4d2b7,https://github.com/react-hook-form/react-hook-form/tree/7784f48cc55a701be5ad653c41e2372d3148437b,https://github.com/react-hook-form/react-hook-form/compare/87de8062ec2d452b94a14d0d27db63a548a4d2b7...7784f48cc55a701be5ad653c41e2372d3148437b
