bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,ReactRouter,7989ca477c44b85cf5dc2793cf80f81267c2f4fc,f9fc1f9a1fdc987dd590a312610c5beab7d55852,3102,https://github.com/remix-run/react-router/issues/3102,https://github.com/remix-run/react-router/tree/7989ca477c44b85cf5dc2793cf80f81267c2f4fc,https://github.com/remix-run/react-router/tree/f9fc1f9a1fdc987dd590a312610c5beab7d55852,https://github.com/remix-run/react-router/compare/7989ca477c44b85cf5dc2793cf80f81267c2f4fc...f9fc1f9a1fdc987dd590a312610c5beab7d55852
2,ReactRouter,c58c806b82ed7dec960f042e31b24091bee7dad0,be1b5f507a3729a7677d345b0967822fb2603bc5,3294,https://github.com/remix-run/react-router/issues/3294,https://github.com/remix-run/react-router/tree/c58c806b82ed7dec960f042e31b24091bee7dad0,https://github.com/remix-run/react-router/tree/be1b5f507a3729a7677d345b0967822fb2603bc5,https://github.com/remix-run/react-router/compare/c58c806b82ed7dec960f042e31b24091bee7dad0...be1b5f507a3729a7677d345b0967822fb2603bc5
3,ReactRouter,c84d2674f5d9a66c7b3d5187d4e83ece7ac33571,4c6a83489874c53a711c32cf684b07e93a3422fe,3316,https://github.com/remix-run/react-router/issues/3316,https://github.com/remix-run/react-router/tree/c84d2674f5d9a66c7b3d5187d4e83ece7ac33571,https://github.com/remix-run/react-router/tree/4c6a83489874c53a711c32cf684b07e93a3422fe,https://github.com/remix-run/react-router/compare/c84d2674f5d9a66c7b3d5187d4e83ece7ac33571...4c6a83489874c53a711c32cf684b07e93a3422fe
4,ReactRouter,d16eeb60ef7226753fc51b995b4cad33ede29d56,a52d9b0c5d19720eeb26d02fc6c49e919ade1b1f,3528,https://github.com/remix-run/react-router/issues/3528,https://github.com/remix-run/react-router/tree/d16eeb60ef7226753fc51b995b4cad33ede29d56,https://github.com/remix-run/react-router/tree/a52d9b0c5d19720eeb26d02fc6c49e919ade1b1f,https://github.com/remix-run/react-router/compare/d16eeb60ef7226753fc51b995b4cad33ede29d56...a52d9b0c5d19720eeb26d02fc6c49e919ade1b1f
5,ReactRouter,4f3ea90e4fbcf34b62fe3d7b937f7166211fcadd,6b231fbe776cd58b0425ef2f6b0cf5290738039d,3807,https://github.com/remix-run/react-router/issues/3807,https://github.com/remix-run/react-router/tree/4f3ea90e4fbcf34b62fe3d7b937f7166211fcadd,https://github.com/remix-run/react-router/tree/6b231fbe776cd58b0425ef2f6b0cf5290738039d,https://github.com/remix-run/react-router/compare/4f3ea90e4fbcf34b62fe3d7b937f7166211fcadd...6b231fbe776cd58b0425ef2f6b0cf5290738039d
6,ReactRouter,d78fa5c13f48a7f3bace7d0a53634eb0ab6646d3,5a74d46a9fcf1b9663ba42b238ba6dd4584983ab,3837,https://github.com/remix-run/react-router/issues/3837,https://github.com/remix-run/react-router/tree/d78fa5c13f48a7f3bace7d0a53634eb0ab6646d3,https://github.com/remix-run/react-router/tree/5a74d46a9fcf1b9663ba42b238ba6dd4584983ab,https://github.com/remix-run/react-router/compare/d78fa5c13f48a7f3bace7d0a53634eb0ab6646d3...5a74d46a9fcf1b9663ba42b238ba6dd4584983ab
7,ReactRouter,075c747407c47b54fc16122e6c7e08517cd8fee8,a603eaae85d8b9abf157669137406657567475de,3960,https://github.com/remix-run/react-router/issues/3960,https://github.com/remix-run/react-router/tree/075c747407c47b54fc16122e6c7e08517cd8fee8,https://github.com/remix-run/react-router/tree/a603eaae85d8b9abf157669137406657567475de,https://github.com/remix-run/react-router/compare/075c747407c47b54fc16122e6c7e08517cd8fee8...a603eaae85d8b9abf157669137406657567475de
8,ReactRouter,e5be03ae2d458bfc7d54afaac100914ba73083d4,eac82172a04287501b5c4a2668fcfdbe7059f227,3903,https://github.com/remix-run/react-router/issues/3903,https://github.com/remix-run/react-router/tree/e5be03ae2d458bfc7d54afaac100914ba73083d4,https://github.com/remix-run/react-router/tree/eac82172a04287501b5c4a2668fcfdbe7059f227,https://github.com/remix-run/react-router/compare/e5be03ae2d458bfc7d54afaac100914ba73083d4...eac82172a04287501b5c4a2668fcfdbe7059f227
9,ReactRouter,31f6f32b77c84119de8fadf25e67ccf97b3ca25f,0aaac6117a5b75cd9e90955d094798675e2b2b87,3936,https://github.com/remix-run/react-router/issues/3936,https://github.com/remix-run/react-router/tree/31f6f32b77c84119de8fadf25e67ccf97b3ca25f,https://github.com/remix-run/react-router/tree/0aaac6117a5b75cd9e90955d094798675e2b2b87,https://github.com/remix-run/react-router/compare/31f6f32b77c84119de8fadf25e67ccf97b3ca25f...0aaac6117a5b75cd9e90955d094798675e2b2b87
10,ReactRouter,812f60e9aa5317ae2edafd4aa8b3d2ddfbc2d05e,90d4832b57ce5a4f7e0c128923d93108173c6b61,3956,https://github.com/remix-run/react-router/issues/3956,https://github.com/remix-run/react-router/tree/812f60e9aa5317ae2edafd4aa8b3d2ddfbc2d05e,https://github.com/remix-run/react-router/tree/90d4832b57ce5a4f7e0c128923d93108173c6b61,https://github.com/remix-run/react-router/compare/812f60e9aa5317ae2edafd4aa8b3d2ddfbc2d05e...90d4832b57ce5a4f7e0c128923d93108173c6b61
