bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,ReduxToolkit,23918494d38d4b77291b65f6e7c1d4fa7d9ff674,60c3dbf9a177aaeeb50c7e0c17b6bc9d16843894,3,https://github.com/reduxjs/redux-toolkit/issues/3,https://github.com/reduxjs/redux-toolk/tree/23918494d38d4b77291b65f6e7c1d4fa7d9ff674,https://github.com/reduxjs/redux-toolk/tree/60c3dbf9a177aaeeb50c7e0c17b6bc9d16843894,https://github.com/reduxjs/redux-toolk/compare/23918494d38d4b77291b65f6e7c1d4fa7d9ff674...60c3dbf9a177aaeeb50c7e0c17b6bc9d16843894
2,ReduxToolkit,828970f97e3d65b8ffef4aa17d146fd40e5de575,4b6d041548b8ad2e97ce3a720b2e29e940b9398e,6,https://github.com/reduxjs/redux-toolkit/issues/6,https://github.com/reduxjs/redux-toolk/tree/828970f97e3d65b8ffef4aa17d146fd40e5de575,https://github.com/reduxjs/redux-toolk/tree/4b6d041548b8ad2e97ce3a720b2e29e940b9398e,https://github.com/reduxjs/redux-toolk/compare/828970f97e3d65b8ffef4aa17d146fd40e5de575...4b6d041548b8ad2e97ce3a720b2e29e940b9398e
3,ReduxToolkit,d8f84f7c12a923b00b3c415ee0f1b8403670d6c6,e178ead62797b851af702a57d9d84e32a7a77b02,93,https://github.com/reduxjs/redux-toolkit/issues/93,https://github.com/reduxjs/redux-toolk/tree/d8f84f7c12a923b00b3c415ee0f1b8403670d6c6,https://github.com/reduxjs/redux-toolk/tree/e178ead62797b851af702a57d9d84e32a7a77b02,https://github.com/reduxjs/redux-toolk/compare/d8f84f7c12a923b00b3c415ee0f1b8403670d6c6...e178ead62797b851af702a57d9d84e32a7a77b02
4,ReduxToolkit,82014e019a4585384a8a56b1dc7ef1a41463f5c1,4da8c59bfcaea3f803ae365f34aeb21bdebbbb8f,131,https://github.com/reduxjs/redux-toolkit/issues/131,https://github.com/reduxjs/redux-toolk/tree/82014e019a4585384a8a56b1dc7ef1a41463f5c1,https://github.com/reduxjs/redux-toolk/tree/4da8c59bfcaea3f803ae365f34aeb21bdebbbb8f,https://github.com/reduxjs/redux-toolk/compare/82014e019a4585384a8a56b1dc7ef1a41463f5c1...4da8c59bfcaea3f803ae365f34aeb21bdebbbb8f
5,ReduxToolkit,4da8c59bfcaea3f803ae365f34aeb21bdebbbb8f,ad0c248b3609f4d9d8391056195feaad600a4e40,40,https://github.com/reduxjs/redux-toolkit/issues/40,https://github.com/reduxjs/redux-toolk/tree/4da8c59bfcaea3f803ae365f34aeb21bdebbbb8f,https://github.com/reduxjs/redux-toolk/tree/ad0c248b3609f4d9d8391056195feaad600a4e40,https://github.com/reduxjs/redux-toolk/compare/4da8c59bfcaea3f803ae365f34aeb21bdebbbb8f...ad0c248b3609f4d9d8391056195feaad600a4e40
6,ReduxToolkit,8f35fd1b499f21d392b9a3db1bf3a397d90babd9,93d63f09f3dca7cbd0b1a13a07393d8f2bb0fa23,216,https://github.com/reduxjs/redux-toolkit/issues/216,https://github.com/reduxjs/redux-toolk/tree/8f35fd1b499f21d392b9a3db1bf3a397d90babd9,https://github.com/reduxjs/redux-toolk/tree/93d63f09f3dca7cbd0b1a13a07393d8f2bb0fa23,https://github.com/reduxjs/redux-toolk/compare/8f35fd1b499f21d392b9a3db1bf3a397d90babd9...93d63f09f3dca7cbd0b1a13a07393d8f2bb0fa23
7,ReduxToolkit,5ed8e4856a35435e1792facf9d434c78b8d585ad,6f620fd23071cf07545e34c4b92fab7b71a8a304,224,https://github.com/reduxjs/redux-toolkit/issues/224,https://github.com/reduxjs/redux-toolk/tree/5ed8e4856a35435e1792facf9d434c78b8d585ad,https://github.com/reduxjs/redux-toolk/tree/6f620fd23071cf07545e34c4b92fab7b71a8a304,https://github.com/reduxjs/redux-toolk/compare/5ed8e4856a35435e1792facf9d434c78b8d585ad...6f620fd23071cf07545e34c4b92fab7b71a8a304
8,ReduxToolkit,1774987e317993f945288075cba3b8392385c6b9,feaf9ac391ad9dd4c064fd77449bf404c7c5d98d,321,https://github.com/reduxjs/redux-toolkit/issues/321,https://github.com/reduxjs/redux-toolk/tree/1774987e317993f945288075cba3b8392385c6b9,https://github.com/reduxjs/redux-toolk/tree/feaf9ac391ad9dd4c064fd77449bf404c7c5d98d,https://github.com/reduxjs/redux-toolk/compare/1774987e317993f945288075cba3b8392385c6b9...feaf9ac391ad9dd4c064fd77449bf404c7c5d98d
9,ReduxToolkit,b835eae7cbcd8d46f6483721374a215d01e2f92c,9a37bd7d046076846ff83873c8732d375e43b833,541,https://github.com/reduxjs/redux-toolkit/issues/541,https://github.com/reduxjs/redux-toolk/tree/b835eae7cbcd8d46f6483721374a215d01e2f92c,https://github.com/reduxjs/redux-toolk/tree/9a37bd7d046076846ff83873c8732d375e43b833,https://github.com/reduxjs/redux-toolk/compare/b835eae7cbcd8d46f6483721374a215d01e2f92c...9a37bd7d046076846ff83873c8732d375e43b833
10,ReduxToolkit,0cd6a2eac8f112cfd3f26a126abb0643866bbd4f,e3bc1fea54185539d48673527bde674e03d4c049,1156,https://github.com/reduxjs/redux-toolkit/issues/1156,https://github.com/reduxjs/redux-toolk/tree/0cd6a2eac8f112cfd3f26a126abb0643866bbd4f,https://github.com/reduxjs/redux-toolk/tree/e3bc1fea54185539d48673527bde674e03d4c049,https://github.com/reduxjs/redux-toolk/compare/0cd6a2eac8f112cfd3f26a126abb0643866bbd4f...e3bc1fea54185539d48673527bde674e03d4c049
