bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Reqwest,9e704977818cb59f1d980a22b458cb37e2a0e0d0,a54447c1d9c75dab639333265f51a91a43e99c2e,9,https://github.com/seanmonstar/reqwest/issues/9,https://github.com/seanmonstar/reqwes/tree/9e704977818cb59f1d980a22b458cb37e2a0e0d0,https://github.com/seanmonstar/reqwes/tree/a54447c1d9c75dab639333265f51a91a43e99c2e,https://github.com/seanmonstar/reqwes/compare/9e704977818cb59f1d980a22b458cb37e2a0e0d0...a54447c1d9c75dab639333265f51a91a43e99c2e
2,Reqwest,0285033f60404692cb659caf4980cc5529463306,d08cae4e4c05579a8869bdd26097e5128e958296,52,https://github.com/seanmonstar/reqwest/issues/52,https://github.com/seanmonstar/reqwes/tree/0285033f60404692cb659caf4980cc5529463306,https://github.com/seanmonstar/reqwes/tree/d08cae4e4c05579a8869bdd26097e5128e958296,https://github.com/seanmonstar/reqwes/compare/0285033f60404692cb659caf4980cc5529463306...d08cae4e4c05579a8869bdd26097e5128e958296
3,Reqwest,76921efbfbce3d769e0d6c10885f937ec6a19312,3cc4d654a36f1aebfed5c9fb13a5e92caaca2dca,82,https://github.com/seanmonstar/reqwest/issues/82,https://github.com/seanmonstar/reqwes/tree/76921efbfbce3d769e0d6c10885f937ec6a19312,https://github.com/seanmonstar/reqwes/tree/3cc4d654a36f1aebfed5c9fb13a5e92caaca2dca,https://github.com/seanmonstar/reqwes/compare/76921efbfbce3d769e0d6c10885f937ec6a19312...3cc4d654a36f1aebfed5c9fb13a5e92caaca2dca
4,Reqwest,5a078cd1bef52839899351ec9adae14d20d8f2c9,21a28dffd13dfbadaf8ab3fbc730aed76e9063dd,10,https://github.com/seanmonstar/reqwest/issues/10,https://github.com/seanmonstar/reqwes/tree/5a078cd1bef52839899351ec9adae14d20d8f2c9,https://github.com/seanmonstar/reqwes/tree/21a28dffd13dfbadaf8ab3fbc730aed76e9063dd,https://github.com/seanmonstar/reqwes/compare/5a078cd1bef52839899351ec9adae14d20d8f2c9...21a28dffd13dfbadaf8ab3fbc730aed76e9063dd
5,Reqwest,546880cea9859717d56402058c714807da8f5fac,e176dcebcadb076a1b28ad3c24e3f6cbfddcfc16,108,https://github.com/seanmonstar/reqwest/issues/108,https://github.com/seanmonstar/reqwes/tree/546880cea9859717d56402058c714807da8f5fac,https://github.com/seanmonstar/reqwes/tree/e176dcebcadb076a1b28ad3c24e3f6cbfddcfc16,https://github.com/seanmonstar/reqwes/compare/546880cea9859717d56402058c714807da8f5fac...e176dcebcadb076a1b28ad3c24e3f6cbfddcfc16
6,Reqwest,e176dcebcadb076a1b28ad3c24e3f6cbfddcfc16,7fc47fb9089b55a76b6d14fa7c78cb424c8479ac,123,https://github.com/seanmonstar/reqwest/issues/123,https://github.com/seanmonstar/reqwes/tree/e176dcebcadb076a1b28ad3c24e3f6cbfddcfc16,https://github.com/seanmonstar/reqwes/tree/7fc47fb9089b55a76b6d14fa7c78cb424c8479ac,https://github.com/seanmonstar/reqwes/compare/e176dcebcadb076a1b28ad3c24e3f6cbfddcfc16...7fc47fb9089b55a76b6d14fa7c78cb424c8479ac
7,Reqwest,e45f234b4a1e49cd28d61c33f62c93260620f27c,583fceb51f561494e70d2c092dc55ce173a65ef9,109,https://github.com/seanmonstar/reqwest/issues/109,https://github.com/seanmonstar/reqwes/tree/e45f234b4a1e49cd28d61c33f62c93260620f27c,https://github.com/seanmonstar/reqwes/tree/583fceb51f561494e70d2c092dc55ce173a65ef9,https://github.com/seanmonstar/reqwes/compare/e45f234b4a1e49cd28d61c33f62c93260620f27c...583fceb51f561494e70d2c092dc55ce173a65ef9
8,Reqwest,64c672a8cdbc9fe9ab3c02b9cb07717a713f09f0,0759f43ecbd1f29ee2f305b3d97564717e5a4356,140,https://github.com/seanmonstar/reqwest/issues/140,https://github.com/seanmonstar/reqwes/tree/64c672a8cdbc9fe9ab3c02b9cb07717a713f09f0,https://github.com/seanmonstar/reqwes/tree/0759f43ecbd1f29ee2f305b3d97564717e5a4356,https://github.com/seanmonstar/reqwes/compare/64c672a8cdbc9fe9ab3c02b9cb07717a713f09f0...0759f43ecbd1f29ee2f305b3d97564717e5a4356
9,Reqwest,a25b9a60028729fb4ee83e7df53c4a9e2580f4cf,6cdaff4b66a2ed42b97f4940f2ac6b2ebff3343d,30,https://github.com/seanmonstar/reqwest/issues/30,https://github.com/seanmonstar/reqwes/tree/a25b9a60028729fb4ee83e7df53c4a9e2580f4cf,https://github.com/seanmonstar/reqwes/tree/6cdaff4b66a2ed42b97f4940f2ac6b2ebff3343d,https://github.com/seanmonstar/reqwes/compare/a25b9a60028729fb4ee83e7df53c4a9e2580f4cf...6cdaff4b66a2ed42b97f4940f2ac6b2ebff3343d
10,Reqwest,478309e03f9f902d592d9b5ec6cab2a476c6b069,1785e0dc5d834430df1f6cd6672494916588240c,153,https://github.com/seanmonstar/reqwest/issues/153,https://github.com/seanmonstar/reqwes/tree/478309e03f9f902d592d9b5ec6cab2a476c6b069,https://github.com/seanmonstar/reqwes/tree/1785e0dc5d834430df1f6cd6672494916588240c,https://github.com/seanmonstar/reqwes/compare/478309e03f9f902d592d9b5ec6cab2a476c6b069...1785e0dc5d834430df1f6cd6672494916588240c
