bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Restfixture,7f5472676ab60028c0a82f8177b9b6009d4f2472,ee9fbfc502a334d494ddaa3ed0ca559e5b4dcc9f,1,https://github.com/smartrics/RestFixture/issues/1,https://github.com/smartrics/RestFixture/tree/7f5472676ab60028c0a82f8177b9b6009d4f2472,https://github.com/smartrics/RestFixture/tree/ee9fbfc502a334d494ddaa3ed0ca559e5b4dcc9f,https://github.com/smartrics/RestFixture/compare/7f5472676ab60028c0a82f8177b9b6009d4f2472...ee9fbfc502a334d494ddaa3ed0ca559e5b4dcc9f
2,Restfixture,df308e7e3ee0641e8ef9e07de9ab424072d6786f,7d5b692caf173b7aea4c94a4e285df0497e1b728,4,https://github.com/smartrics/RestFixture/issues/4,https://github.com/smartrics/RestFixture/tree/df308e7e3ee0641e8ef9e07de9ab424072d6786f,https://github.com/smartrics/RestFixture/tree/7d5b692caf173b7aea4c94a4e285df0497e1b728,https://github.com/smartrics/RestFixture/compare/df308e7e3ee0641e8ef9e07de9ab424072d6786f...7d5b692caf173b7aea4c94a4e285df0497e1b728
3,Restfixture,7d5b692caf173b7aea4c94a4e285df0497e1b728,2936099bb24508db14a0e12d126e6a9470ca16f0,3,https://github.com/smartrics/RestFixture/issues/3,https://github.com/smartrics/RestFixture/tree/7d5b692caf173b7aea4c94a4e285df0497e1b728,https://github.com/smartrics/RestFixture/tree/2936099bb24508db14a0e12d126e6a9470ca16f0,https://github.com/smartrics/RestFixture/compare/7d5b692caf173b7aea4c94a4e285df0497e1b728...2936099bb24508db14a0e12d126e6a9470ca16f0
4,Restfixture,5e24d62a35f92a1428b5df47d8ae644ff0a6d5f0,b8e0fc13aaa0fd0b07b62014e9b74a1d369ca9c3,11,https://github.com/smartrics/RestFixture/issues/11,https://github.com/smartrics/RestFixture/tree/5e24d62a35f92a1428b5df47d8ae644ff0a6d5f0,https://github.com/smartrics/RestFixture/tree/b8e0fc13aaa0fd0b07b62014e9b74a1d369ca9c3,https://github.com/smartrics/RestFixture/compare/5e24d62a35f92a1428b5df47d8ae644ff0a6d5f0...b8e0fc13aaa0fd0b07b62014e9b74a1d369ca9c3
5,Restfixture,33bea21829dd42b5efb55c57bdf2b1c414b9fafe,2d919513bcbcda8ae238079633260a8db05ab91d,15,https://github.com/smartrics/RestFixture/issues/15,https://github.com/smartrics/RestFixture/tree/33bea21829dd42b5efb55c57bdf2b1c414b9fafe,https://github.com/smartrics/RestFixture/tree/2d919513bcbcda8ae238079633260a8db05ab91d,https://github.com/smartrics/RestFixture/compare/33bea21829dd42b5efb55c57bdf2b1c414b9fafe...2d919513bcbcda8ae238079633260a8db05ab91d
6,Restfixture,9aa8ece48c30225bc7d6018bda67f8a6fa31215d,1f05c884740d9cb10876d4180787d51de36d343a,34,https://github.com/smartrics/RestFixture/issues/34,https://github.com/smartrics/RestFixture/tree/9aa8ece48c30225bc7d6018bda67f8a6fa31215d,https://github.com/smartrics/RestFixture/tree/1f05c884740d9cb10876d4180787d51de36d343a,https://github.com/smartrics/RestFixture/compare/9aa8ece48c30225bc7d6018bda67f8a6fa31215d...1f05c884740d9cb10876d4180787d51de36d343a
7,Restfixture,1877d9ee2f031e85cbfe7cb95dcb807aec43b163,017ea192b8ce3ed36ba819b4eccf5fb255d4a98d,40,https://github.com/smartrics/RestFixture/issues/40,https://github.com/smartrics/RestFixture/tree/1877d9ee2f031e85cbfe7cb95dcb807aec43b163,https://github.com/smartrics/RestFixture/tree/017ea192b8ce3ed36ba819b4eccf5fb255d4a98d,https://github.com/smartrics/RestFixture/compare/1877d9ee2f031e85cbfe7cb95dcb807aec43b163...017ea192b8ce3ed36ba819b4eccf5fb255d4a98d
8,Restfixture,017ea192b8ce3ed36ba819b4eccf5fb255d4a98d,5ac011b84cd2991ac71cef54e2c2e63b1e4df839,41,https://github.com/smartrics/RestFixture/issues/41,https://github.com/smartrics/RestFixture/tree/017ea192b8ce3ed36ba819b4eccf5fb255d4a98d,https://github.com/smartrics/RestFixture/tree/5ac011b84cd2991ac71cef54e2c2e63b1e4df839,https://github.com/smartrics/RestFixture/compare/017ea192b8ce3ed36ba819b4eccf5fb255d4a98d...5ac011b84cd2991ac71cef54e2c2e63b1e4df839
9,Restfixture,5ac011b84cd2991ac71cef54e2c2e63b1e4df839,bae5142d7de20e5a35ee6245dffe6292a42d3fac,20,https://github.com/smartrics/RestFixture/issues/20,https://github.com/smartrics/RestFixture/tree/5ac011b84cd2991ac71cef54e2c2e63b1e4df839,https://github.com/smartrics/RestFixture/tree/bae5142d7de20e5a35ee6245dffe6292a42d3fac,https://github.com/smartrics/RestFixture/compare/5ac011b84cd2991ac71cef54e2c2e63b1e4df839...bae5142d7de20e5a35ee6245dffe6292a42d3fac
10,Restfixture,923dc80d9301653bb9f932d237a7b16b5133f3c6,3f1296e71cd2d11ea6a35184f777c4fadb102e82,46,https://github.com/smartrics/RestFixture/issues/46,https://github.com/smartrics/RestFixture/tree/923dc80d9301653bb9f932d237a7b16b5133f3c6,https://github.com/smartrics/RestFixture/tree/3f1296e71cd2d11ea6a35184f777c4fadb102e82,https://github.com/smartrics/RestFixture/compare/923dc80d9301653bb9f932d237a7b16b5133f3c6...3f1296e71cd2d11ea6a35184f777c4fadb102e82
11,Restfixture,f29114b116d891f6bb0291ffce4c9172ef5d4342,73b3cb524b6423663b92787f2ae8d81d9486e5e3,61,https://github.com/smartrics/RestFixture/issues/61,https://github.com/smartrics/RestFixture/tree/f29114b116d891f6bb0291ffce4c9172ef5d4342,https://github.com/smartrics/RestFixture/tree/73b3cb524b6423663b92787f2ae8d81d9486e5e3,https://github.com/smartrics/RestFixture/compare/f29114b116d891f6bb0291ffce4c9172ef5d4342...73b3cb524b6423663b92787f2ae8d81d9486e5e3
12,Restfixture,dc80aa76a1bac0680564b25517f9f225f76d54a6,7e364d62cf72ec24369b6ae65d30214fcbfc2b48,96,https://github.com/smartrics/RestFixture/issues/96,https://github.com/smartrics/RestFixture/tree/dc80aa76a1bac0680564b25517f9f225f76d54a6,https://github.com/smartrics/RestFixture/tree/7e364d62cf72ec24369b6ae65d30214fcbfc2b48,https://github.com/smartrics/RestFixture/compare/dc80aa76a1bac0680564b25517f9f225f76d54a6...7e364d62cf72ec24369b6ae65d30214fcbfc2b48
