bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Retrofit,2bd8bd8b74b0984fe86267ac9af33ce1ebe33052,e997c7218efa52faf9b91022a8f9ad46091aa05c,65,https://github.com/square/retrofit/issues/65,https://github.com/square/retrof/tree/2bd8bd8b74b0984fe86267ac9af33ce1ebe33052,https://github.com/square/retrof/tree/e997c7218efa52faf9b91022a8f9ad46091aa05c,https://github.com/square/retrof/compare/2bd8bd8b74b0984fe86267ac9af33ce1ebe33052...e997c7218efa52faf9b91022a8f9ad46091aa05c
2,Retrofit,05db64dbebe4873cc36099e14a6eb7bd4858dace,d6efabb91065b9def92417a811e54030faac7614,105,https://github.com/square/retrofit/issues/105,https://github.com/square/retrof/tree/05db64dbebe4873cc36099e14a6eb7bd4858dace,https://github.com/square/retrof/tree/d6efabb91065b9def92417a811e54030faac7614,https://github.com/square/retrof/compare/05db64dbebe4873cc36099e14a6eb7bd4858dace...d6efabb91065b9def92417a811e54030faac7614
3,Retrofit,4c894bd6d01c7e8d2cc5a05c4a087bea3e9d2751,857f2f1015a73046cef0c674dafc0e5a7f9b828e,146,https://github.com/square/retrofit/issues/146,https://github.com/square/retrof/tree/4c894bd6d01c7e8d2cc5a05c4a087bea3e9d2751,https://github.com/square/retrof/tree/857f2f1015a73046cef0c674dafc0e5a7f9b828e,https://github.com/square/retrof/compare/4c894bd6d01c7e8d2cc5a05c4a087bea3e9d2751...857f2f1015a73046cef0c674dafc0e5a7f9b828e
4,Retrofit,48c8a6aec0828ec8df4744ef9e2189b7390ae5b8,fe43ab0b5c3541fb33b8fddc6a1db60260ff52b3,135,https://github.com/square/retrofit/issues/135,https://github.com/square/retrof/tree/48c8a6aec0828ec8df4744ef9e2189b7390ae5b8,https://github.com/square/retrof/tree/fe43ab0b5c3541fb33b8fddc6a1db60260ff52b3,https://github.com/square/retrof/compare/48c8a6aec0828ec8df4744ef9e2189b7390ae5b8...fe43ab0b5c3541fb33b8fddc6a1db60260ff52b3
5,Retrofit,49c9c0281fcc08b9b9b1023e48f73c6c1809bd19,f607a1377f063399d7fefd49b2fa6551339f4241,137,https://github.com/square/retrofit/issues/137,https://github.com/square/retrof/tree/49c9c0281fcc08b9b9b1023e48f73c6c1809bd19,https://github.com/square/retrof/tree/f607a1377f063399d7fefd49b2fa6551339f4241,https://github.com/square/retrof/compare/49c9c0281fcc08b9b9b1023e48f73c6c1809bd19...f607a1377f063399d7fefd49b2fa6551339f4241
6,Retrofit,db20a59b2819fbe4fe7e9a8478b726b592dc3971,df6bec88cd6c85e52e6652da2d2f0146db64013e,163,https://github.com/square/retrofit/issues/163,https://github.com/square/retrof/tree/db20a59b2819fbe4fe7e9a8478b726b592dc3971,https://github.com/square/retrof/tree/df6bec88cd6c85e52e6652da2d2f0146db64013e,https://github.com/square/retrof/compare/db20a59b2819fbe4fe7e9a8478b726b592dc3971...df6bec88cd6c85e52e6652da2d2f0146db64013e
7,Retrofit,2fcabb79e66d572725c72950e4a73dab1e328985,00c23fb8a4c80480f5a95cf668be488091affa69,142,https://github.com/square/retrofit/issues/142,https://github.com/square/retrof/tree/2fcabb79e66d572725c72950e4a73dab1e328985,https://github.com/square/retrof/tree/00c23fb8a4c80480f5a95cf668be488091affa69,https://github.com/square/retrof/compare/2fcabb79e66d572725c72950e4a73dab1e328985...00c23fb8a4c80480f5a95cf668be488091affa69
8,Retrofit,2fcabb79e66d572725c72950e4a73dab1e328985,737b844b8b1e9e9ff25e1b4dde266435ff1a9821,141,https://github.com/square/retrofit/issues/141,https://github.com/square/retrof/tree/2fcabb79e66d572725c72950e4a73dab1e328985,https://github.com/square/retrof/tree/737b844b8b1e9e9ff25e1b4dde266435ff1a9821,https://github.com/square/retrof/compare/2fcabb79e66d572725c72950e4a73dab1e328985...737b844b8b1e9e9ff25e1b4dde266435ff1a9821
9,Retrofit,c349a430561415a5fba5a99ab57e97c510908bb4,8e37431e43aefd6bd9180f82b6b62812ef329139,181,https://github.com/square/retrofit/issues/181,https://github.com/square/retrof/tree/c349a430561415a5fba5a99ab57e97c510908bb4,https://github.com/square/retrof/tree/8e37431e43aefd6bd9180f82b6b62812ef329139,https://github.com/square/retrof/compare/c349a430561415a5fba5a99ab57e97c510908bb4...8e37431e43aefd6bd9180f82b6b62812ef329139
10,Retrofit,1af9c9595077a7cfc0c30c3669208cc5bd047407,6248abcb99cf059a17bf4d2298faa4658101fe1f,188,https://github.com/square/retrofit/issues/188,https://github.com/square/retrof/tree/1af9c9595077a7cfc0c30c3669208cc5bd047407,https://github.com/square/retrof/tree/6248abcb99cf059a17bf4d2298faa4658101fe1f,https://github.com/square/retrof/compare/1af9c9595077a7cfc0c30c3669208cc5bd047407...6248abcb99cf059a17bf4d2298faa4658101fe1f
