bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Ripper,f11d9fb9221a8c20452dee82af6429e88a8f2785,fdca74148dbb168035f538506621e59b92766090,4,https://github.com/BurntSushi/ripgrep/issues/4,https://github.com/BurntSushi/ripgrep/tree/f11d9fb9221a8c20452dee82af6429e88a8f2785,https://github.com/BurntSushi/ripgrep/tree/fdca74148dbb168035f538506621e59b92766090,https://github.com/BurntSushi/ripgrep/compare/f11d9fb9221a8c20452dee82af6429e88a8f2785...fdca74148dbb168035f538506621e59b92766090
2,Ripper,e9ec52b7f99c402d407610e43b8333b7081ce7ea,d22a3ca3e57dc5c28bfb161fc6a0d54856e0f486,5,https://github.com/BurntSushi/ripgrep/issues/5,https://github.com/BurntSushi/ripgrep/tree/e9ec52b7f99c402d407610e43b8333b7081ce7ea,https://github.com/BurntSushi/ripgrep/tree/d22a3ca3e57dc5c28bfb161fc6a0d54856e0f486,https://github.com/BurntSushi/ripgrep/compare/e9ec52b7f99c402d407610e43b8333b7081ce7ea...d22a3ca3e57dc5c28bfb161fc6a0d54856e0f486
3,Ripper,0ce82403d48a7283321474fbf60c966ab45f0a6b,d5c045469b8f59f007a1c5c265edc5598858d2e0,14,https://github.com/BurntSushi/ripgrep/issues/14,https://github.com/BurntSushi/ripgrep/tree/0ce82403d48a7283321474fbf60c966ab45f0a6b,https://github.com/BurntSushi/ripgrep/tree/d5c045469b8f59f007a1c5c265edc5598858d2e0,https://github.com/BurntSushi/ripgrep/compare/0ce82403d48a7283321474fbf60c966ab45f0a6b...d5c045469b8f59f007a1c5c265edc5598858d2e0
4,Ripper,b33e9cba69df670449e79587a0411201962ecc1b,6367dd61ba5bd215f99a71564691b14aeab15a4e,18,https://github.com/BurntSushi/ripgrep/issues/18,https://github.com/BurntSushi/ripgrep/tree/b33e9cba69df670449e79587a0411201962ecc1b,https://github.com/BurntSushi/ripgrep/tree/6367dd61ba5bd215f99a71564691b14aeab15a4e,https://github.com/BurntSushi/ripgrep/compare/b33e9cba69df670449e79587a0411201962ecc1b...6367dd61ba5bd215f99a71564691b14aeab15a4e
5,Ripper,f5eb36baac668dd6eeb5b90fea2a374940fca06d,cc90511ab29d3c37e873acac0fd80f90473f54bb,40,https://github.com/BurntSushi/ripgrep/issues/40,https://github.com/BurntSushi/ripgrep/tree/f5eb36baac668dd6eeb5b90fea2a374940fca06d,https://github.com/BurntSushi/ripgrep/tree/cc90511ab29d3c37e873acac0fd80f90473f54bb,https://github.com/BurntSushi/ripgrep/compare/f5eb36baac668dd6eeb5b90fea2a374940fca06d...cc90511ab29d3c37e873acac0fd80f90473f54bb
6,Ripper,3bec8f3f0a35b47a216f7d5e47ee59af5d5b6af3,a3fc4cdded50c370698154433600ea51dca390df,16,https://github.com/BurntSushi/ripgrep/issues/16,https://github.com/BurntSushi/ripgrep/tree/3bec8f3f0a35b47a216f7d5e47ee59af5d5b6af3,https://github.com/BurntSushi/ripgrep/tree/a3fc4cdded50c370698154433600ea51dca390df,https://github.com/BurntSushi/ripgrep/compare/3bec8f3f0a35b47a216f7d5e47ee59af5d5b6af3...a3fc4cdded50c370698154433600ea51dca390df
7,Ripper,a3fc4cdded50c370698154433600ea51dca390df,155676b474cf1e5f11e9e32b1e4e1e5798850cff,43,https://github.com/BurntSushi/ripgrep/issues/43,https://github.com/BurntSushi/ripgrep/tree/a3fc4cdded50c370698154433600ea51dca390df,https://github.com/BurntSushi/ripgrep/tree/155676b474cf1e5f11e9e32b1e4e1e5798850cff,https://github.com/BurntSushi/ripgrep/compare/a3fc4cdded50c370698154433600ea51dca390df...155676b474cf1e5f11e9e32b1e4e1e5798850cff
8,Ripper,56fe93d3434eb19b8aeaea6db738bff3a36a5884,346bad7dfcceea62e27dba8110ac470fc52ff9bf,25,https://github.com/BurntSushi/ripgrep/issues/25,https://github.com/BurntSushi/ripgrep/tree/56fe93d3434eb19b8aeaea6db738bff3a36a5884,https://github.com/BurntSushi/ripgrep/tree/346bad7dfcceea62e27dba8110ac470fc52ff9bf,https://github.com/BurntSushi/ripgrep/compare/56fe93d3434eb19b8aeaea6db738bff3a36a5884...346bad7dfcceea62e27dba8110ac470fc52ff9bf
9,Ripper,346bad7dfcceea62e27dba8110ac470fc52ff9bf,9ce0484670c9d63c5ac16bb52d2fa026c58e7a37,15,https://github.com/BurntSushi/ripgrep/issues/15,https://github.com/BurntSushi/ripgrep/tree/346bad7dfcceea62e27dba8110ac470fc52ff9bf,https://github.com/BurntSushi/ripgrep/tree/9ce0484670c9d63c5ac16bb52d2fa026c58e7a37,https://github.com/BurntSushi/ripgrep/compare/346bad7dfcceea62e27dba8110ac470fc52ff9bf...9ce0484670c9d63c5ac16bb52d2fa026c58e7a37
10,Ripper,9ce0484670c9d63c5ac16bb52d2fa026c58e7a37,af4dc785370a031b55d709fb7541260c185e1c54,22,https://github.com/BurntSushi/ripgrep/issues/22,https://github.com/BurntSushi/ripgrep/tree/9ce0484670c9d63c5ac16bb52d2fa026c58e7a37,https://github.com/BurntSushi/ripgrep/tree/af4dc785370a031b55d709fb7541260c185e1c54,https://github.com/BurntSushi/ripgrep/compare/9ce0484670c9d63c5ac16bb52d2fa026c58e7a37...af4dc785370a031b55d709fb7541260c185e1c54
