bug.id,project_id,revision.id.buggy,revision.id.fixed,report.id,report.url,buggy_commit_url,fixed_commit_url,compare_url
1,Rocket,529340ebb7a9adb85f0b30a56cb57e620988e0d3,fec443a3f082418a19e2a9417f87884a94828006,1,https://github.com/rwf2/Rocket/issues/1,https://github.com/SergioBenitez/Rocke/tree/529340ebb7a9adb85f0b30a56cb57e620988e0d3,https://github.com/SergioBenitez/Rocke/tree/fec443a3f082418a19e2a9417f87884a94828006,https://github.com/SergioBenitez/Rocke/compare/529340ebb7a9adb85f0b30a56cb57e620988e0d3...fec443a3f082418a19e2a9417f87884a94828006
2,Rocket,53e537748223f62000819fb5580639417e2cd085,f74e286e317ab6cfcc31796e63872f50c258752c,5,https://github.com/rwf2/Rocket/issues/5,https://github.com/SergioBenitez/Rocke/tree/53e537748223f62000819fb5580639417e2cd085,https://github.com/SergioBenitez/Rocke/tree/f74e286e317ab6cfcc31796e63872f50c258752c,https://github.com/SergioBenitez/Rocke/compare/53e537748223f62000819fb5580639417e2cd085...f74e286e317ab6cfcc31796e63872f50c258752c
3,Rocket,31cca896f444a0f71c14608c30deb5b6c4256d53,cd4af6836abebc115c1abbf6c2e96cbe63c6bf2c,12,https://github.com/rwf2/Rocket/issues/12,https://github.com/SergioBenitez/Rocke/tree/31cca896f444a0f71c14608c30deb5b6c4256d53,https://github.com/SergioBenitez/Rocke/tree/cd4af6836abebc115c1abbf6c2e96cbe63c6bf2c,https://github.com/SergioBenitez/Rocke/compare/31cca896f444a0f71c14608c30deb5b6c4256d53...cd4af6836abebc115c1abbf6c2e96cbe63c6bf2c
4,Rocket,5b5cb7e0878d3147f92356581710938b96cb8756,b72ac78ce8333f2aae82a8378762c46791007b97,3,https://github.com/rwf2/Rocket/issues/3,https://github.com/SergioBenitez/Rocke/tree/5b5cb7e0878d3147f92356581710938b96cb8756,https://github.com/SergioBenitez/Rocke/tree/b72ac78ce8333f2aae82a8378762c46791007b97,https://github.com/SergioBenitez/Rocke/compare/5b5cb7e0878d3147f92356581710938b96cb8756...b72ac78ce8333f2aae82a8378762c46791007b97
5,Rocket,463df9d1dfcfd54195311d9573749affeb31ea5a,2ad508ed96a1c6dfa30a0a09030f1b5546613747,11,https://github.com/rwf2/Rocket/issues/11,https://github.com/SergioBenitez/Rocke/tree/463df9d1dfcfd54195311d9573749affeb31ea5a,https://github.com/SergioBenitez/Rocke/tree/2ad508ed96a1c6dfa30a0a09030f1b5546613747,https://github.com/SergioBenitez/Rocke/compare/463df9d1dfcfd54195311d9573749affeb31ea5a...2ad508ed96a1c6dfa30a0a09030f1b5546613747
6,Rocket,63d31e808276c4775aef406f4d909af24a2785af,d4f9525b22ac18fd77e2e06db415651cee76b6d7,13,https://github.com/rwf2/Rocket/issues/13,https://github.com/SergioBenitez/Rocke/tree/63d31e808276c4775aef406f4d909af24a2785af,https://github.com/SergioBenitez/Rocke/tree/d4f9525b22ac18fd77e2e06db415651cee76b6d7,https://github.com/SergioBenitez/Rocke/compare/63d31e808276c4775aef406f4d909af24a2785af...d4f9525b22ac18fd77e2e06db415651cee76b6d7
7,Rocket,f9e17ce7dfeccad0733726bc177f087481a18031,2d7f6ca6864d381b17e22bff7faaab0c522c2a34,4,https://github.com/rwf2/Rocket/issues/4,https://github.com/SergioBenitez/Rocke/tree/f9e17ce7dfeccad0733726bc177f087481a18031,https://github.com/SergioBenitez/Rocke/tree/2d7f6ca6864d381b17e22bff7faaab0c522c2a34,https://github.com/SergioBenitez/Rocke/compare/f9e17ce7dfeccad0733726bc177f087481a18031...2d7f6ca6864d381b17e22bff7faaab0c522c2a34
8,Rocket,14f79c37339d9cd4afe022dad37d4e20a6d81484,9cebab50379f8f18cfb91aed1dbc6e7338108712,41,https://github.com/rwf2/Rocket/issues/41,https://github.com/SergioBenitez/Rocke/tree/14f79c37339d9cd4afe022dad37d4e20a6d81484,https://github.com/SergioBenitez/Rocke/tree/9cebab50379f8f18cfb91aed1dbc6e7338108712,https://github.com/SergioBenitez/Rocke/compare/14f79c37339d9cd4afe022dad37d4e20a6d81484...9cebab50379f8f18cfb91aed1dbc6e7338108712
9,Rocket,de6de99caf8634ebfc19a635cfab0bb5cfd8fd94,89f42a614d070de59f968648e2aed550a7505805,42,https://github.com/rwf2/Rocket/issues/42,https://github.com/SergioBenitez/Rocke/tree/de6de99caf8634ebfc19a635cfab0bb5cfd8fd94,https://github.com/SergioBenitez/Rocke/tree/89f42a614d070de59f968648e2aed550a7505805,https://github.com/SergioBenitez/Rocke/compare/de6de99caf8634ebfc19a635cfab0bb5cfd8fd94...89f42a614d070de59f968648e2aed550a7505805
10,Rocket,f86b1cd775100d4e3c63210c2a199bb11713067c,71419933a572a37935b10f75f946a7494fac3b6c,45,https://github.com/rwf2/Rocket/issues/45,https://github.com/SergioBenitez/Rocke/tree/f86b1cd775100d4e3c63210c2a199bb11713067c,https://github.com/SergioBenitez/Rocke/tree/71419933a572a37935b10f75f946a7494fac3b6c,https://github.com/SergioBenitez/Rocke/compare/f86b1cd775100d4e3c63210c2a199bb11713067c...71419933a572a37935b10f75f946a7494fac3b6c
11,Rocket,3d0f7f2f80d55f23206afb43c96aa8018ce9b277,9da512c60c85ca3f1fdaa16b72101186741482d6,66,https://github.com/rwf2/Rocket/issues/66,https://github.com/SergioBenitez/Rocke/tree/3d0f7f2f80d55f23206afb43c96aa8018ce9b277,https://github.com/SergioBenitez/Rocke/tree/9da512c60c85ca3f1fdaa16b72101186741482d6,https://github.com/SergioBenitez/Rocke/compare/3d0f7f2f80d55f23206afb43c96aa8018ce9b277...9da512c60c85ca3f1fdaa16b72101186741482d6
12,Rocket,1f373cc83a21f490af4ef00cdfa75cd2f29a40e7,a1878ad080c2c445edbac1de7b6d4c0684445564,86,https://github.com/rwf2/Rocket/issues/86,https://github.com/SergioBenitez/Rocke/tree/1f373cc83a21f490af4ef00cdfa75cd2f29a40e7,https://github.com/SergioBenitez/Rocke/tree/a1878ad080c2c445edbac1de7b6d4c0684445564,https://github.com/SergioBenitez/Rocke/compare/1f373cc83a21f490af4ef00cdfa75cd2f29a40e7...a1878ad080c2c445edbac1de7b6d4c0684445564
13,Rocket,82f6f78189fc2dcec22950f61e178af1eac9ea04,24805bbf16d25a21d6a926c86035ac905524c71c,92,https://github.com/rwf2/Rocket/issues/92,https://github.com/SergioBenitez/Rocke/tree/82f6f78189fc2dcec22950f61e178af1eac9ea04,https://github.com/SergioBenitez/Rocke/tree/24805bbf16d25a21d6a926c86035ac905524c71c,https://github.com/SergioBenitez/Rocke/compare/82f6f78189fc2dcec22950f61e178af1eac9ea04...24805bbf16d25a21d6a926c86035ac905524c71c
14,Rocket,21a1bde7c0aad495b17401492849dfcb56e2dc2e,e230ce9b95600ac1a38aaa6b69638dec5c8c444a,113,https://github.com/rwf2/Rocket/issues/113,https://github.com/SergioBenitez/Rocke/tree/21a1bde7c0aad495b17401492849dfcb56e2dc2e,https://github.com/SergioBenitez/Rocke/tree/e230ce9b95600ac1a38aaa6b69638dec5c8c444a,https://github.com/SergioBenitez/Rocke/compare/21a1bde7c0aad495b17401492849dfcb56e2dc2e...e230ce9b95600ac1a38aaa6b69638dec5c8c444a
